transfer	distribution	predicted	target	predicted_over_target	shape_l1	development_nonzero_cells	closure_source_rows	closure_target_rows	closure_target_neff	fold3_ratio	fold4_ratio
sequential_2b_3b_ge4	mbb1	1701985.1810673	5788097.488114503	0.294049155972618	0.3458569233267658	35	1908	24	12.127765653460985	0.6504153035881548	0.2103867708699421
sequential_2b_3b_ge4	mbb2	1701985.181067302	5788097.488114504	0.29404915597261827	0.3675909993483557	35	1908	24	12.127765653460985	0.6504153035881548	0.2103867708699421
sequential_2b_3b_ge4	r_hh_125_125	1701985.1810672996	5788097.488114504	0.2940491559726179	0.48514495130401836	35	1908	24	12.127765653460985	0.6504153035881548	0.2103867708699421
sequential_2b_3b_ge4	mhh	1701985.181067306	5788097.488114504	0.294049155972619	0.39212353125288446	35	1908	24	12.127765653460985	0.6504153035881548	0.2103867708699421
sequential_2b_3b_ge4	ht_candidate_jets	1701985.1810673	5788097.488114504	0.29404915597261794	0.18593765150698494	35	1908	24	12.127765653460985	0.6504153035881548	0.2103867708699421
sequential_2b_3b_ge4	h1_pt	1701985.1810673012	5788097.488114504	0.29404915597261816	0.133919958884962	35	1908	24	12.127765653460985	0.6504153035881548	0.2103867708699421
sequential_2b_3b_ge4	h2_pt	1701985.1810673047	5788097.488114504	0.29404915597261877	0.061109247553682536	35	1908	24	12.127765653460985	0.6504153035881548	0.2103867708699421
sequential_2b_3b_ge4	max_drbb	1701985.1810673047	5788097.488114504	0.29404915597261877	0.09495022966904454	35	1908	24	12.127765653460985	0.6504153035881548	0.2103867708699421
joint_2b3b_to_ge4	yield	1704965.2440419006	5788097.488114504	0.2945640165085229		35	2119	24	12.127765653460985	0.6429526511471924	0.21277447417527698
joint_2b3b_to_ge4	mbb1	1704965.2440418971	5788097.488114503	0.2945640165085223	0.34752898716867886	35	2119	24	12.127765653460985	0.6429526511471924	0.21277447417527698
joint_2b3b_to_ge4	mbb2	1704965.2440418997	5788097.488114504	0.2945640165085227	0.3568568622937773	35	2119	24	12.127765653460985	0.6429526511471924	0.21277447417527698
joint_2b3b_to_ge4	r_hh_125_125	1704965.244041898	5788097.488114504	0.29456401650852243	0.47642239373745143	35	2119	24	12.127765653460985	0.6429526511471924	0.21277447417527698
joint_2b3b_to_ge4	mhh	1704965.2440419036	5788097.488114504	0.29456401650852343	0.3923644455492624	35	2119	24	12.127765653460985	0.6429526511471924	0.21277447417527698
joint_2b3b_to_ge4	ht_candidate_jets	1704965.2440418976	5788097.488114504	0.2945640165085224	0.15577854127185436	35	2119	24	12.127765653460985	0.6429526511471924	0.21277447417527698
joint_2b3b_to_ge4	h1_pt	1704965.2440418971	5788097.488114504	0.29456401650852226	0.12228904949024463	35	2119	24	12.127765653460985	0.6429526511471924	0.21277447417527698
joint_2b3b_to_ge4	h2_pt	1704965.2440419004	5788097.488114504	0.2945640165085228	0.06631986098943278	35	2119	24	12.127765653460985	0.6429526511471924	0.21277447417527698
joint_2b3b_to_ge4	max_drbb	1704965.2440418971	5788097.488114504	0.29456401650852226	0.09883352963811849	35	2119	24	12.127765653460985	0.6429526511471924	0.21277447417527698
