sampling_mode	purpose	sample_group	process_family	selection_rank_within_group	available_file_count_in_group	selected_file_count_in_group	remote_path	remote_size_bytes	remote_adler32	identity_status	deterministic_rank_sha256	target_valid_events_per_file	physical_weight_status
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbar_forInfer2_ntuple	ttbar	4	60	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer2_ntuple/selected_ntuples_0013.root	1581361417	20799495	complete	077a68aa598ec4df2f2f36c819d8df370eb2a163d3d06a0d0106c7955c8a31ce	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbar_forInfer_ntuple	ttbar	1	60	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0006.root	1355183178	e37dc6cc	complete	032d96e7100e84830d0e0bd2829dde29f44035339b8be5f77619e8b4e931a598	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbar_forInfer_ntuple	ttbar	2	60	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0033.root	1355120668	f594f5f6	complete	06b687731483f0ea4faf068aae572d43265b65e6e534a47d35e563c2f6bbf38b	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbar_forInfer_ntuple	ttbar	3	60	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0056.root	1355893378	5fd6eb72	complete	1081ac362b4a44d92d8c030e5c8cc311f25b8b368b9abe28360852f078895a2c	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TTbar_forInfer_ntuple	ttbar	4	60	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0018.root	1355244443	1b9145da	complete	126ca7c92dc607a1857148a751d454ba1eac85ba25a00e1991bf3810ff55b01c	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TW_ntuple	single_top	1	3	3	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TW_ntuple/selected_ntuples_0001.root	1335252823	810ee127	complete	5d355f795c4c07a3704f5e4839dbaac63168ef2c7a737b5236a00bd1c4ee22a8	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TW_ntuple	single_top	2	3	3	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TW_ntuple/selected_ntuples_0000.root	1334297177	0b589046	complete	b841c60f1ea819c8201fa99101b33869d4121be2f41acb44099b87680106f61e	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	TW_ntuple	single_top	3	3	3	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TW_ntuple/selected_ntuples_0002.root	1012690616	4692a82a	complete	c76ca02cf2bbd3749f086f2f76fd5df7a3a86bf00e93e5b44adf35284a79a14a	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	VBFH_ntuple	single_higgs	1	1	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/VBFH_ntuple/selected_ntuples_0000.root	685799527	68ca9c4d	complete	ba07b23094ffd5e158ef89e099202f08e3f5f7e11dec02902942bfa396e6bfff	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	WW_ntuple	ww	1	1	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/WW_ntuple/selected_ntuples_0000.root	476601734	76cbbf73	complete	4810fe0ceeeb733abc37e49254e5e8d4bbfcdd8a2a56814710832150d137dc79	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	WminusH_ntuple	single_higgs	1	1	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/WminusH_ntuple/selected_ntuples_0000.root	395004306	1996233c	complete	4c4564d032066bfd0491cf7e4f660a7303c3ae101a9c0b08ff7a2cff27e95955	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	WplusH_ntuple	single_higgs	1	1	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/WplusH_ntuple/selected_ntuples_0000.root	369458509	a6f9f3e7	complete	d10a2a9dc4136fdcc6dbfe02fafda97e7ab865ed5651df079e224abb2332b37c	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	ZH_ntuple	other	1	1	1	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZH_ntuple/selected_ntuples_0000.root	293471345	881df2ba	complete	04942813e09fa6cd3283bca25dc8851253c6012134620c88c0f77349c5f8e3be	256	blocked_pending_author_clarification
