qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background,mode
0.675,0.775,60.76209387586663,327384.96100979776,0.00018559830509150415,0.10619482867433663,0.0018559830509150413,89,522,49.42831874397415,109.35002137545129,lbn_p4_plus_topology_btag
0.525,0.575,67.89397103499505,408880.6158889041,0.00016604839749469156,0.10617761105766099,0.0016604839749469154,102,707,55.4033619624118,154.29482579231714,lbn_p4_plus_topology_btag
0.675,0.75,60.76209387586663,328362.0604845063,0.00018504602445913108,0.10603671019765579,0.001850460244591311,89,525,49.42831874397415,109.93888700162542,lbn_p4_plus_topology_btag
0.75,0.775,56.781944567514024,287112.72824175295,0.0001977688168519747,0.10597026939510752,0.001977688168519747,85,446,46.314805194240115,88.39857935688929,lbn_p4_plus_topology_btag
0.5,0.725,66.59348065037966,394921.60407322075,0.00016862455728816711,0.1059683735505476,0.0016862455728816708,101,703,54.407189641906065,149.54416568773496,lbn_p4_plus_topology_btag
0.5,0.7,66.6721588048861,397059.78563574585,0.00016791465974861958,0.10580752742800666,0.0016791465974861958,102,712,54.531685010343004,150.99961122316947,lbn_p4_plus_topology_btag
0.75,0.75,56.781944567514024,288089.82771646156,0.0001970980545116605,0.10579040979997177,0.001970980545116605,85,449,46.314805194240115,88.94614610666228,lbn_p4_plus_topology_btag
0.525,0.675,66.51480249587323,395469.1328208783,0.00016819214693552351,0.10576987961973501,0.001681921469355235,100,687,54.28282726458198,148.34083819116051,lbn_p4_plus_topology_btag
0.675,0.725,60.76209387586663,330038.6799145019,0.00018410597779510977,0.10576703033504666,0.0018410597779510978,89,529,49.42831874397415,110.93783145405179,lbn_p4_plus_topology_btag
0.525,0.55,67.97264918950148,413501.16445758205,0.00016438321105737607,0.10570507243196424,0.0016438321105737607,103,712,55.527712124798164,155.89982732338626,lbn_p4_plus_topology_btag
0.525,0.65,66.59348065037966,397262.97694478114,0.0001676307245203875,0.1056556359583224,0.001676307245203875,101,692,54.407189641906065,149.52898253844123,lbn_p4_plus_topology_btag
0.55,0.775,64.97827764773854,378255.8818963731,0.0001717839186583752,0.10565142290570646,0.001717839186583752,96,646,52.91395084606212,138.48620012335326,lbn_p4_plus_topology_btag
0.675,0.7,60.84077203037307,331908.22828664305,0.00018330600703827588,0.10560529809632518,0.0018330600703827587,90,535,49.552300115192836,112.06833650810404,lbn_p4_plus_topology_btag
0.75,0.7,56.86062272202046,289959.3760886027,0.00019609858280508093,0.10559492191011173,0.001960985828050809,86,455,46.43911404173104,89.9945531393268,lbn_p4_plus_topology_btag
0.525,0.8,89.25256427038627,549416.2022973557,0.00016244982200594237,0.12041205578885439,0.0016244982200594236,125,812,72.21857909006884,133.36324131568904,lbn_p4_plus_massaware_btag
0.525,0.775,89.33124242489271,553332.1976076826,0.00016144233574535158,0.12009098397510498,0.0016144233574535156,126,819,72.341900021667,135.10559948922972,lbn_p4_plus_massaware_btag
0.5,0.8,90.86776727302741,575985.2701827171,0.00015776057475254854,0.11973032694966479,0.0015776057475254852,130,835,73.7093904715916,134.1192830151973,lbn_p4_plus_massaware_btag
0.525,0.925,86.49422719214263,522356.5095585818,0.00016558466413146592,0.11967504985969983,0.001655846641314659,121,758,69.97750528380585,122.62022904524395,lbn_p4_plus_massaware_btag
0.5,0.775,90.94644542753385,579901.2654930439,0.00015683091388015737,0.11942869902394479,0.0015683091388015735,131,842,73.83300874967708,135.796941110699,lbn_p4_plus_massaware_btag
0.525,0.75,89.33124242489271,562027.886878202,0.00015894450170628603,0.11915833925507695,0.0015894450170628603,126,824,72.341900021667,137.78165513649182,lbn_p4_plus_massaware_btag
0.525,0.9,86.57290534664907,529566.472278247,0.00016347882632033694,0.11896569655666213,0.0016347882632033693,122,779,70.10081215872043,125.77261386413203,lbn_p4_plus_massaware_btag
0.5,0.925,88.10943019478376,548718.8083532413,0.00016057300907765265,0.1189453502012324,0.0016057300907765264,126,779,71.46828368019878,123.63276865885854,lbn_p4_plus_massaware_btag
0.525,0.6,90.86776727302741,586159.9291113383,0.00015502214115998964,0.1186866287544319,0.0015502214115998964,130,859,73.7093904715916,146.86536952211452,lbn_p4_plus_massaware_btag
0.525,0.725,89.33124242489271,567362.1979722077,0.00015745011342695872,0.11859685599698883,0.001574501134269587,126,830,72.341900021667,139.5715918456481,lbn_p4_plus_massaware_btag
0.5,0.75,90.94644542753385,588596.9547635633,0.00015451395847616405,0.11854322119946246,0.0015451395847616404,131,847,73.83300874967708,138.42559906608437,lbn_p4_plus_massaware_btag
0.525,0.575,90.94644542753385,590635.1702675119,0.00015398074819408767,0.11833850477559883,0.0015398074819408768,131,863,73.83300874967708,148.27990402048763,lbn_p4_plus_massaware_btag
0.5,0.9,88.18810834929019,556032.1556182576,0.000158602533069752,0.11826604487690949,0.00158602533069752,127,801,71.59189741813876,126.7141060738119,lbn_p4_plus_massaware_btag
0.525,0.7,89.33124242489271,571250.5129854218,0.00015637840210950047,0.11819254184956485,0.0015637840210950046,126,837,72.341900021667,141.3216130536681,lbn_p4_plus_massaware_btag
0.5,0.6,92.48297027566855,612832.3815420507,0.00015091071076067582,0.11813835438823242,0.0015091071076067581,135,883,75.2010915309853,147.30067053923904,lbn_p4_plus_massaware_btag
0.525,0.875,86.6515835011555,539141.5773101579,0.0001607213896087752,0.11801170667398439,0.001607213896087752,123,795,70.22422054621032,129.40019927800165,lbn_p4_plus_massaware_btag
0.5,0.725,90.94644542753385,593931.2658575691,0.00015312621283915327,0.11800968078721756,0.0015312621283915327,131,853,73.83300874967708,140.17515390504857,lbn_p4_plus_massaware_btag
0.525,0.55,90.94644542753385,595213.7959690363,0.00015279626588538445,0.11788247222075074,0.0015279626588538446,131,868,73.83300874967708,149.74692462253714,lbn_p4_plus_massaware_btag
0.5,0.575,92.56164843017498,617307.6226982243,0.0001499441202841334,0.11780948580616005,0.001499441202841334,136,887,75.32499813499491,148.69009968856278,lbn_p4_plus_massaware_btag
0.525,0.525,90.94644542753385,596280.037419055,0.00015252304239663536,0.11777702896476472,0.0015252304239663536,131,872,73.83300874967708,150.24672013821683,lbn_p4_plus_massaware_btag
