category,analysis_sample,n_test_rows,background_events_450fb,neff_sample,mean_qcd_score,mean_top_score,mode,fraction_of_category_background
CAT4_loose,qcd_bbbb_iht600plus_20000,34,3999.3219233216146,34.00000000000001,0.596609,0.9047254,lbn_p4_only,0.01356110112917323
CAT0_high_purity_diagnostic,qcd_bbbb_iht200to400_combined220k_bdtv2,140,103858.33414949731,140.00000000000006,0.9265706,0.9877694,lbn_p4_plus_topology,0.6227337881832257
CAT0_high_purity_diagnostic,ttbar_200k,12,42651.68542391087,12.000000000000005,0.93981856,0.9738433,lbn_p4_plus_topology,0.2557391840908883
CAT0_high_purity_diagnostic,qcd_bbbb_iht400to600_combined120k_bdtv2,103,10648.608171148495,103.0,0.9430378,0.9806468,lbn_p4_plus_topology,0.06384897427444679
CAT0_high_purity_diagnostic,qcd_bbbb_iht600plus_20000,46,5410.847308023361,45.99999999999999,0.9454068,0.9922305,lbn_p4_plus_topology,0.03244339964625463
CAT0_high_purity_diagnostic,Zbbbb_100k,47,4208.586649347863,46.99999999999998,0.9314793,0.98221993,lbn_p4_plus_topology,0.025234653805184578
CAT1_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,21,15578.750122424595,21.0,0.9292495,0.69128996,lbn_p4_plus_topology,0.5314539832370464
CAT1_tight,ttbar_200k,3,10662.921355977718,3.0000000000000004,0.93516,0.66741496,lbn_p4_plus_topology,0.363755242432489
CAT1_tight,qcd_bbbb_iht600plus_20000,11,1293.8982693099342,10.999999999999998,0.95399433,0.64933324,lbn_p4_plus_topology,0.0441400872165259
CAT1_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,12,1240.614544211475,11.999999999999991,0.9410615,0.6876147,lbn_p4_plus_topology,0.04232236450303798
CAT1_tight,Zbbbb_100k,6,537.2663807678123,6.000000000000002,0.9384632,0.7004582,lbn_p4_plus_topology,0.01832832261090062
CAT2_medium_tight,qcd_bbbb_iht100to200_20000,2,27668.915557148302,2.0,0.8050735,0.9990999,lbn_p4_plus_topology,0.39423260596170645
CAT2_medium_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,36,26706.428781299306,36.0,0.8301845,0.962515,lbn_p4_plus_topology,0.3805188892436473
CAT2_medium_tight,ttbar_200k,3,10662.921355977718,3.0000000000000004,0.82987934,0.9014096,lbn_p4_plus_topology,0.15192757607899107
CAT2_medium_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,26,2687.998179124863,25.999999999999993,0.8276428,0.95905465,lbn_p4_plus_topology,0.038299170951893065
CAT2_medium_tight,qcd_bbbb_iht600plus_20000,11,1293.8982693099342,10.999999999999998,0.8299271,0.974556,lbn_p4_plus_topology,0.018435738310951365
CAT2_medium_tight,Zbbbb_100k,13,1164.07715833026,13.000000000000002,0.82730573,0.9640254,lbn_p4_plus_topology,0.01658601945281063
CAT3_medium,qcd_bbbb_iht200to400_combined220k_bdtv2,61,45252.559879423825,61.00000000000001,0.75304115,0.96931297,lbn_p4_plus_topology,0.535603132940245
CAT3_medium,ttbar_200k,5,17771.535593296197,5.000000000000001,0.756438,0.93351376,lbn_p4_plus_topology,0.2103414738589527
CAT3_medium,qcd_bbbb_iht100to200_20000,1,13834.457778574151,1.0,0.79527736,0.9999995,lbn_p4_plus_topology,0.163742757282181
CAT3_medium,qcd_bbbb_iht400to600_combined120k_bdtv2,34,3515.0745419325126,33.99999999999999,0.75817347,0.92483723,lbn_p4_plus_topology,0.04160394333920544
CAT3_medium,qcd_bbbb_iht600plus_20000,19,2234.915192444432,19.0,0.7595608,0.9432194,lbn_p4_plus_topology,0.026452151704091157
CAT3_medium,Zbbbb_100k,21,1880.4323326873432,20.999999999999993,0.7474603,0.9572983,lbn_p4_plus_topology,0.02225654087532468
CAT4_loose,qcd_bbbb_iht200to400_combined220k_bdtv2,117,86795.89353922274,117.00000000000004,0.5837756,0.95361656,lbn_p4_plus_topology,0.5709013608486455
CAT4_loose,qcd_bbbb_iht100to200_20000,2,27668.915557148302,2.0,0.62969923,0.9645558,lbn_p4_plus_topology,0.18199272915652365
CAT4_loose,ttbar_200k,7,24880.149830614675,7.000000000000001,0.6403351,0.9424891,lbn_p4_plus_topology,0.16364957853676948
CAT4_loose,qcd_bbbb_iht400to600_combined120k_bdtv2,80,8270.7636280765,79.99999999999996,0.5972245,0.93896323,lbn_p4_plus_topology,0.0544010784149897
CAT4_loose,Zbbbb_100k,27,2417.6987134551555,26.999999999999986,0.59602404,0.9777299,lbn_p4_plus_topology,0.015902451479571783
CAT4_loose,qcd_bbbb_iht600plus_20000,17,1999.6609616608073,17.0,0.6106512,0.9563264,lbn_p4_plus_topology,0.013152801563499973
