qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.625,0.525,153.96032710743802,730401.4661608008,0.00021078863370400607,0.18014740352166808,0.0021078863370400606,229,677,120.67083725761358,292.33300907769893
0.625,0.55,146.894768677686,690244.2074534817,0.00021281564856534606,0.17680923467680704,0.0021281564856534606,220,647,115.22807431259157,273.75046625543456
0.625,0.575,139.8292102479339,640082.2757019277,0.00021845505735117293,0.17477527898441936,0.0021845505735117294,211,612,109.785484404864,251.3167846379717
0.625,0.6,135.62017603305787,597406.9363324406,0.00022701473281453325,0.1754644637138945,0.0022701473281453322,206,572,106.56622202418473,231.07254834836087
0.625,0.625,128.70612181818183,557547.7656994092,0.00023084322050278142,0.17236860404067905,0.002308432205027814,199,533,101.35539463181745,210.63376261849328
0.625,0.65,122.84156917355371,513529.6209055531,0.00023921028928562308,0.1714204401415002,0.0023921028928562305,189,499,96.67787931732587,192.61957293119622
0.625,0.675,116.9770165289256,481430.3351863078,0.00024297807591135048,0.16859077792705207,0.002429780759113505,179,457,92.00044370074188,175.67647707123575
0.625,0.7,105.92968020661158,463878.44598743535,0.00022835654711467407,0.15553049864558224,0.0022835654711467405,168,431,83.68780242008268,165.55525343793482
0.625,0.725,97.5116117768595,424549.9684657615,0.0002296822965957268,0.1496552402612752,0.0022968229659572677,158,393,77.25212863679461,146.93335818395823
0.625,0.75,85.7825064876033,372187.58737057704,0.00023048191126855607,0.14061051187116175,0.002304819112685561,138,354,67.89598949299209,144.3974247885635
0.625,0.775,76.08768016528927,314638.3905198007,0.0002418257989420428,0.13564646713282916,0.0024182579894204276,128,299,60.583976853071924,116.50810264172608
0.625,0.8,69.76861487603307,266882.8436765101,0.00026142038174847956,0.135051612115351,0.002614203817484796,112,254,55.20587521657578,93.87394508978913
0.625,0.825,58.1910138016529,216866.4344483507,0.0002683265114293737,0.12495675944076039,0.002683265114293737,94,204,46.082452033369925,69.5913732573542
0.625,0.85,44.2871532644628,157112.21942924557,0.00028188229677709585,0.1117307678301104,0.0028188229677709583,79,163,35.55771089628629,61.22559175000753
0.625,0.875,36.69133008264462,105529.20651681922,0.00034768886542131596,0.11294762913507174,0.0034768886542131594,63,104,29.29814084651124,34.03579984721052
0.625,0.9,20.90469479338843,48842.07493424927,0.000428005870379793,0.09459033824904181,0.0042800587037979294,40,52,16.96507938837014,35.185164373709256
0.625,0.925,13.763384256198348,24556.85707854826,0.0005604701046300183,0.08782918315761928,0.0056047010463001826,30,29,11.422461996111965,20.073101242371784
0.625,0.95,0.8332731818181819,7678.403221506916,0.00010852167537701267,0.009509374413579644,0.0010852167537701266,11,8,11.000000000000004,6.045385107020446
0.65,0.5,153.50581446280995,680689.0362682743,0.00022551533267580056,0.18605890147007292,0.0022551533267580054,223,627,119.98044402229259,262.966952978312
0.65,0.525,144.03824446280993,661177.4101505729,0.00021785112777825767,0.1771408874298182,0.002178511277782576,216,608,113.0048796175,254.45450950783493
0.65,0.55,137.04843814049588,621020.1514432539,0.00022068275533731818,0.17390867414686548,0.0022068275533731817,208,578,107.6777884506568,236.0993483674195
0.65,0.575,129.98287971074382,574434.4008922918,0.0002262797623346308,0.17150071465891337,0.0022627976233463077,199,548,102.23556071244644,216.02824166442144
0.65,0.6,125.77384549586777,531848.530924292,0.00023648433375812318,0.17246316724532054,0.002364843337581232,194,509,99.01662769996408,196.19407005822285
0.65,0.625,118.85979128099176,496819.60735585395,0.00023924134539210482,0.1686302949623502,0.0023924134539210482,187,475,93.80675434758759,178.9834222138384
0.65,0.65,114.34774863636365,457538.1825522827,0.0002499195761072841,0.1690495219396443,0.0024991957610728402,178,444,90.12458084077855,162.9170120373656
0.65,0.675,108.48319599173554,428991.20595881296,0.00025287976649607805,0.16562972339268806,0.00252879766496078,168,407,85.44696800664404,148.493318711952
0.65,0.7,97.43585966942148,412232.9391302898,0.00023636116967020444,0.1517565608442889,0.002363611696702044,157,384,77.13574448273968,139.27247067749735
0.65,0.725,90.37030123966942,377641.1815989008,0.00023930202965960758,0.147057119880688,0.002393020296596076,148,349,71.69571021100107,122.97026499058107
0.65,0.75,78.64119595041325,328013.6151843262,0.00023974979180733423,0.137310634535681,0.0023974979180733423,128,312,62.3393901281263,120.0681061730562
0.65,0.775,68.94636962809919,271945.1671501587,0.0002535304096433138,0.1322119560978935,0.002535304096433138,118,259,55.02889633250304,93.80722667921559
0.65,0.8,62.70305644628101,230387.2747117662,0.00027216371444441884,0.1306349752150545,0.002721637144444188,103,220,49.76582105336722,75.2589425301977
0.65,0.825,53.830475371900825,185948.95199387387,0.00028949060908756445,0.12483355759924775,0.002894906090875644,87,176,42.63208731910886,54.4189205434357
0.65,0.85,41.354876942148756,131664.3663359885,0.0003140931604578346,0.11397054004919137,0.0031409316045783457,74,139,33.218655045730266,46.82529988756005
0.65,0.875,33.83480586776859,87801.48189692362,0.00038535574954748103,0.11418597539088358,0.0038535574954748097,59,89,27.076429616674176,25.359237420214573
0.65,0.9,18.048170578512398,39318.79435618339,0.0004590214647737308,0.09101921607789705,0.004590214647737308,36,43,14.746465679280123,27.69690553145647
0.65,0.925,13.611880041322316,19225.267922884665,0.0007080203041081944,0.09817070564247406,0.007080203041081944,28,24,11.180111361382435,15.61049761099784
0.65,0.95,0.8332731818181819,7678.403221506916,0.00010852167537701267,0.009509374413579644,0.0010852167537701266,11,8,11.000000000000004,6.045385107020446
0.675,0.5,145.0877460330579,562226.690186889,0.0002580591575701066,0.19349734239786473,0.002580591575701066,213,544,113.54055348650134,257.46900615421146
0.675,0.525,135.62017603305785,544082.4714094924,0.0002492640052926574,0.18386198159623773,0.002492640052926574,206,526,106.56622202418468,249.67686244398615
0.675,0.55,128.63036971074382,512674.68531188584,0.0002509005679351839,0.17964808046327213,0.0025090056793518386,198,501,101.23967555214193,234.81030750421016
0.675,0.575,121.56481128099173,470191.1567818387,0.0002585433807667206,0.17728445304328289,0.0025854338076672055,189,474,95.79787625971012,216.9719013782124
0.675,0.6,117.3557770661157,437148.3817939005,0.0002684575351383656,0.17749659896859138,0.002684575351383656,184,443,92.57932652824394,200.76526032189503
0.675,0.625,110.44172285123969,403600.20704207115,0.0002736413929533175,0.17384310996176255,0.0027364139295331744,177,411,87.37054378849027,182.8106120382845
0.675,0.65,105.92968020661156,371903.6583856987,0.00028483097118865296,0.17370104689077898,0.002848309711886529,168,386,83.68780242008265,170.05738050302048
0.675,0.675,101.56914177685951,346091.49647283886,0.0002934748262005641,0.17264989496175284,0.0029347482620056408,161,351,80.23744404474408,155.2653148413087
0.675,0.7,91.87431545454544,334802.8590055355,0.00027441317474838654,0.15878136723720632,0.0027441317474838655,151,332,72.92356427801771,147.53740087320745
0.675,0.725,84.80875702479338,303035.3855562438,0.0002798642042054615,0.1540614659621222,0.0027986420420546146,142,300,67.48446735385346,130.6130705020033
0.675,0.75,73.15540384297522,267575.60155066283,0.00027340087593570806,0.14142401313108002,0.0027340087593570803,123,266,58.244824573687346,112.84341553600842
0.675,0.775,63.46057752066116,224924.96091042802,0.00028214110725546863,0.13380895937399273,0.002821411072554686,113,224,50.938535954550375,92.00746479513157
0.675,0.8,58.56977433884298,186919.37759781114,0.0003133424425629419,0.13547101591002178,0.003133424425629419,99,190,46.66607665193976,74.19421490323121
