first_mass_gev	second_mass_gev	count
90.0	125.0	1768
90.0	130.0	1889
90.0	135.0	1866
90.0	140.0	1951
90.0	145.0	1779
90.0	150.0	2036
90.0	155.0	2725
90.0	160.0	2618
90.0	165.0	3077
90.0	170.0	2826
90.0	175.0	2994
90.0	180.0	3426
90.0	185.0	3373
90.0	190.0	3842
90.0	195.0	3561
90.0	200.0	4191
95.0	95.0	783
95.0	100.0	1160
95.0	105.0	1545
95.0	110.0	1149
95.0	115.0	1654
95.0	120.0	1816
95.0	125.0	1894
95.0	130.0	1848
95.0	135.0	2190
95.0	140.0	2598
95.0	145.0	2120
95.0	150.0	2331
95.0	155.0	2527
95.0	160.0	2901
95.0	165.0	2873
95.0	170.0	3394
95.0	175.0	3439
95.0	180.0	3214
95.0	185.0	3524
95.0	190.0	3319
95.0	195.0	3877
95.0	200.0	4147
100.0	100.0	806
100.0	105.0	1663
100.0	110.0	1673
100.0	115.0	1751
100.0	120.0	1988
100.0	125.0	1573
100.0	130.0	2084
100.0	135.0	1620
100.0	140.0	2555
100.0	145.0	2303
100.0	150.0	2506
100.0	155.0	2796
100.0	160.0	2903
100.0	165.0	3452
100.0	170.0	2925
100.0	175.0	3406
100.0	180.0	3091
100.0	185.0	3371
100.0	190.0	3545
100.0	195.0	3590
100.0	200.0	4250
105.0	105.0	548
105.0	110.0	1783
105.0	115.0	2240
105.0	120.0	1818
105.0	125.0	2105
105.0	130.0	2611
105.0	135.0	2364
105.0	140.0	2936
105.0	145.0	2426
105.0	150.0	2734
105.0	155.0	3196
105.0	160.0	2802
105.0	165.0	2955
105.0	170.0	4076
105.0	175.0	3780
105.0	180.0	4032
105.0	185.0	4007
105.0	190.0	3425
105.0	195.0	3800
105.0	200.0	4392
110.0	110.0	1258
110.0	115.0	2270
110.0	120.0	2047
110.0	125.0	2100
110.0	130.0	2882
110.0	135.0	2864
110.0	140.0	2808
110.0	145.0	3021
110.0	150.0	2897
110.0	155.0	3481
110.0	160.0	3644
110.0	165.0	3834
110.0	170.0	4144
110.0	175.0	3705
110.0	180.0	4083
110.0	185.0	3764
110.0	190.0	4323
110.0	195.0	3923
110.0	200.0	4243
115.0	115.0	1243
115.0	120.0	1829
115.0	125.0	2421
115.0	130.0	2293
115.0	135.0	2594
115.0	140.0	2989
115.0	145.0	2524
115.0	150.0	2702
115.0	155.0	3528
115.0	160.0	3525
115.0	165.0	3929
115.0	170.0	4237
115.0	175.0	3308
115.0	180.0	4343
115.0	185.0	4248
115.0	190.0	4169
115.0	195.0	4786
115.0	200.0	4925
120.0	120.0	1539
120.0	125.0	2198
120.0	130.0	2609
120.0	135.0	2984
120.0	140.0	2656
120.0	145.0	2983
120.0	150.0	3410
120.0	155.0	2936
120.0	160.0	3274
120.0	165.0	3649
120.0	170.0	4557
120.0	175.0	3624
120.0	180.0	3817
120.0	185.0	3909
120.0	190.0	4515
120.0	195.0	4897
120.0	200.0	5410
125.0	125.0	1793
125.0	130.0	2401
125.0	135.0	2897
125.0	140.0	2841
125.0	145.0	2904
125.0	150.0	3560
125.0	155.0	3061
125.0	160.0	3188
125.0	165.0	3824
125.0	170.0	4752
125.0	175.0	4933
125.0	180.0	3421
125.0	185.0	4861
125.0	190.0	4798
125.0	195.0	4469
125.0	200.0	5435
130.0	130.0	1470
130.0	135.0	3172
130.0	140.0	3099
130.0	145.0	3351
130.0	150.0	3873
130.0	155.0	3877
130.0	160.0	4192
130.0	165.0	3644
130.0	170.0	4001
130.0	175.0	4749
130.0	180.0	4246
130.0	185.0	4184
130.0	190.0	5124
130.0	195.0	5040
130.0	200.0	4980
135.0	135.0	1616
135.0	140.0	3662
135.0	145.0	3277
135.0	150.0	4038
135.0	155.0	3689
135.0	160.0	3865
135.0	165.0	4052
135.0	170.0	5027
135.0	175.0	4774
135.0	180.0	4746
135.0	185.0	4628
135.0	190.0	5381
135.0	195.0	4839
135.0	200.0	5472
140.0	140.0	1497
140.0	145.0	3921
140.0	150.0	3962
140.0	155.0	3828
140.0	160.0	3578
140.0	165.0	4365
140.0	170.0	4500
140.0	175.0	4201
140.0	180.0	4996
140.0	185.0	5322
140.0	190.0	4590
140.0	195.0	5079
140.0	200.0	5238
145.0	145.0	1688
145.0	150.0	4090
145.0	155.0	3800
145.0	160.0	4563
145.0	165.0	4643
145.0	170.0	4603
145.0	175.0	4047
145.0	180.0	4955
145.0	185.0	5247
145.0	190.0	4602
145.0	195.0	5872
145.0	200.0	5848
150.0	150.0	2105
150.0	155.0	4019
150.0	160.0	4105
150.0	165.0	4652
150.0	170.0	4308
150.0	175.0	4791
150.0	180.0	4496
150.0	185.0	5767
150.0	190.0	5287
150.0	195.0	5272
150.0	200.0	5228
155.0	155.0	1885
155.0	160.0	5059
155.0	165.0	3919
155.0	170.0	4638
155.0	175.0	5125
155.0	180.0	4745
155.0	185.0	5224
155.0	190.0	5692
155.0	195.0	5555
155.0	200.0	5017
160.0	160.0	2497
160.0	165.0	5172
160.0	170.0	4905
160.0	175.0	5159
160.0	180.0	5095
160.0	185.0	6393
160.0	190.0	5876
160.0	195.0	5767
160.0	200.0	5878
165.0	165.0	2652
165.0	170.0	4642
165.0	175.0	5358
165.0	180.0	5298
165.0	185.0	5719
165.0	190.0	5477
165.0	195.0	5563
165.0	200.0	5844
170.0	170.0	2242
170.0	175.0	5525
170.0	180.0	4771
170.0	185.0	5736
170.0	190.0	6451
170.0	195.0	5750
170.0	200.0	6891
175.0	175.0	2011
175.0	180.0	5668
175.0	185.0	5894
175.0	190.0	5799
175.0	195.0	6575
175.0	200.0	6666
180.0	180.0	3005
180.0	185.0	5992
180.0	190.0	6860
180.0	195.0	6345
180.0	200.0	6007
185.0	185.0	3014
185.0	190.0	7166
185.0	195.0	7293
185.0	200.0	6140
190.0	190.0	4095
190.0	195.0	6470
190.0	200.0	7141
195.0	195.0	3582
195.0	200.0	7622
200.0	200.0	3665
