score_set	target_class	diagonal_target_cell	n_events	top1_exact_count	top3_count	top5_count	top1_exact_fraction	top3_fraction	top5_fraction	within_chebyshev_1_fraction	within_chebyshev_2_fraction	mean_chebyshev_distance	mean_target_rank
model0	104	False	5	0	0	0	0.0	0.0	0.0	0.0	0.0	4.8	22.2
model0	105	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	4.8	19.8
model0	106	False	5	0	0	0	0.0	0.0	0.0	0.0	0.0	4.0	30.6
model0	107	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	3.8	26.8
model0	108	True	15	0	4	6	0.0	0.26666666666666666	0.4	0.4666666666666667	0.6	2.8	30.466666666666665
model0	109	False	5	2	3	4	0.4	0.6	0.8	0.8	1.0	0.8	3.8
model0	110	False	5	0	1	3	0.0	0.2	0.6	0.8	0.8	1.8	12.0
model0	111	False	5	0	1	3	0.0	0.2	0.6	0.6	0.6	2.0	14.2
model0	112	False	5	0	1	1	0.0	0.2	0.2	0.2	0.8	2.6	16.4
model0	113	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	2.6	15.0
model0	114	False	5	0	1	2	0.0	0.2	0.4	0.6	0.6	2.4	21.2
model0	115	True	15	0	1	3	0.0	0.06666666666666667	0.2	0.4	0.6	3.4	33.86666666666667
model0	116	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	1.6	7.6
model0	117	False	5	0	0	0	0.0	0.0	0.0	0.2	0.6	3.2	26.6
model0	118	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	2.2	13.8
model0	119	False	5	0	3	4	0.0	0.6	0.8	0.8	0.8	1.4	5.2
model0	120	False	5	0	1	2	0.0	0.2	0.4	0.4	0.4	2.8	22.8
model0	121	True	15	0	3	4	0.0	0.2	0.26666666666666666	0.6	0.8666666666666667	1.6	11.866666666666667
model0	122	False	5	3	3	3	0.6	0.6	0.6	0.8	0.8	1.2	10.6
model0	123	False	5	1	1	1	0.2	0.2	0.2	0.4	0.8	3.2	13.8
model0	124	False	5	0	0	0	0.0	0.0	0.0	0.2	0.6	2.8	24.0
model0	125	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	4.2	30.8
model0	126	True	15	0	0	1	0.0	0.0	0.06666666666666667	0.06666666666666667	0.3333333333333333	4.6	33.266666666666666
model0	127	False	5	1	1	1	0.2	0.2	0.2	0.2	0.6	4.8	13.4
model0	128	False	5	2	2	3	0.4	0.4	0.6	1.0	1.0	0.6	3.6
model0	129	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	4.6	17.8
model0	130	True	15	0	1	2	0.0	0.06666666666666667	0.13333333333333333	0.3333333333333333	0.7333333333333333	3.4	20.333333333333332
model0	131	False	5	1	2	2	0.2	0.4	0.4	0.4	0.8	2.8	17.4
model0	132	False	5	0	1	1	0.0	0.2	0.2	0.2	0.2	4.2	46.0
model0	133	True	15	0	0	3	0.0	0.0	0.2	0.5333333333333333	0.8	2.933333333333333	16.4
model0	134	False	5	2	3	4	0.4	0.6	0.8	0.6	0.8	3.0	4.4
model0	135	True	15	2	6	7	0.13333333333333333	0.4	0.4666666666666667	0.5333333333333333	0.6	3.6	19.266666666666666
model1	0	True	15	2	2	3	0.13333333333333333	0.13333333333333333	0.2	0.2	0.26666666666666666	9.0	50.53333333333333
model1	1	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	6.2	40.8
model1	2	False	5	0	2	3	0.0	0.4	0.6	0.6	0.8	3.6	13.2
model1	3	False	5	1	2	2	0.2	0.4	0.4	0.4	0.6	3.6	18.0
model1	4	False	5	0	3	4	0.0	0.6	0.8	0.4	0.4	2.4	6.8
model1	5	False	5	1	3	3	0.2	0.6	0.6	0.8	0.8	1.4	12.6
model1	6	False	5	1	3	4	0.2	0.6	0.8	0.6	0.6	3.2	10.8
model1	7	False	5	2	2	4	0.4	0.4	0.8	0.6	0.8	2.2	4.2
model1	8	False	5	1	3	3	0.2	0.6	0.6	0.6	0.8	1.6	11.0
model1	9	False	5	1	1	3	0.2	0.2	0.6	0.4	0.6	4.4	8.6
model1	10	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	6.4	45.4
model1	11	False	5	1	2	4	0.2	0.4	0.8	0.6	0.8	3.2	5.8
model1	12	False	5	1	3	3	0.2	0.6	0.6	0.6	0.6	3.4	14.6
model1	13	False	5	0	3	3	0.0	0.6	0.6	0.4	0.6	2.6	4.6
model1	14	False	5	1	4	4	0.2	0.8	0.8	0.8	0.8	1.6	20.4
model1	15	False	5	4	4	4	0.8	0.8	0.8	0.8	0.8	2.4	13.0
model1	16	True	15	0	1	3	0.0	0.06666666666666667	0.2	0.4666666666666667	0.4666666666666667	5.533333333333333	65.26666666666667
model1	17	False	5	1	3	3	0.2	0.6	0.6	0.6	0.6	4.6	29.8
model1	18	False	5	1	1	2	0.2	0.2	0.4	0.4	0.4	4.6	18.0
model1	19	False	5	1	1	3	0.2	0.2	0.6	0.4	0.4	7.0	26.4
model1	20	False	5	0	0	0	0.0	0.0	0.0	0.4	0.4	5.4	38.8
model1	21	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	3.4	40.4
model1	22	False	5	2	2	2	0.4	0.4	0.4	0.4	0.4	4.6	51.8
model1	23	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	3.8	23.4
model1	24	False	5	0	1	2	0.0	0.2	0.4	0.6	0.8	3.4	20.4
model1	25	False	5	0	0	0	0.0	0.0	0.0	0.6	0.8	1.6	26.4
model1	26	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	2.2	10.4
model1	27	False	5	1	1	1	0.2	0.2	0.2	0.2	0.2	5.2	27.6
model1	28	False	5	0	1	2	0.0	0.2	0.4	0.0	0.8	3.0	27.4
model1	29	False	5	0	0	1	0.0	0.0	0.2	0.6	0.8	1.6	12.2
model1	30	False	5	0	1	2	0.0	0.2	0.4	0.4	0.4	4.2	9.0
model1	31	True	15	0	0	2	0.0	0.0	0.13333333333333333	0.2	0.3333333333333333	6.266666666666667	54.86666666666667
model1	32	False	5	1	2	3	0.2	0.4	0.6	0.4	0.6	3.6	7.4
model1	33	False	5	0	0	0	0.0	0.0	0.0	0.4	0.6	5.2	31.6
model1	34	False	5	0	0	1	0.0	0.0	0.2	0.0	0.6	3.8	25.8
model1	35	False	5	0	1	2	0.0	0.2	0.4	0.4	0.8	2.0	10.2
model1	36	False	5	1	1	2	0.2	0.2	0.4	0.4	0.4	2.6	53.0
model1	37	False	5	0	1	2	0.0	0.2	0.4	0.4	0.8	2.0	8.6
model1	38	False	5	0	1	3	0.0	0.2	0.6	0.6	0.6	3.0	35.4
model1	39	False	5	0	0	0	0.0	0.0	0.0	0.6	0.6	4.0	38.2
model1	40	False	5	0	0	1	0.0	0.0	0.2	0.0	0.2	4.0	26.8
model1	41	False	5	1	2	2	0.2	0.4	0.4	0.4	0.8	1.6	10.2
model1	42	False	5	0	0	0	0.0	0.0	0.0	0.0	0.4	6.4	45.0
model1	43	False	5	1	3	3	0.2	0.6	0.6	0.6	0.8	1.4	7.6
model1	44	False	5	2	3	4	0.4	0.6	0.8	0.8	0.8	1.2	5.4
model1	45	True	15	1	3	4	0.06666666666666667	0.2	0.26666666666666666	0.5333333333333333	0.6	3.6	35.06666666666667
model1	46	False	5	1	2	2	0.2	0.4	0.4	0.4	0.6	3.4	16.6
model1	47	False	5	1	2	2	0.2	0.4	0.4	0.4	0.6	3.2	11.6
model1	48	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	5.8	34.2
