score_set	subset	metric	successes	total	fraction	wilson95_low	wilson95_high
model2	all	top3_contains_target	215	840	0.25595238095238093	0.2275983631378333	0.2865283774788304
model2	diagonal	top3_contains_target	39	240	0.1625	0.12120922353602243	0.21442467242452978
model2	off_diagonal	top3_contains_target	176	600	0.29333333333333333	0.2583102463852376	0.3309859233670921
model2	all	top5_contains_target	304	840	0.3619047619047619	0.3301039993933459	0.39496283919949804
model2	diagonal	top5_contains_target	68	240	0.2833333333333333	0.2300847737601461	0.34340859154786263
model2	off_diagonal	top5_contains_target	236	600	0.3933333333333333	0.3550439316889931	0.4329798978605964
model2	all	within_chebyshev_1	366	840	0.4357142857142857	0.40255011316026085	0.4694637599777873
model2	diagonal	within_chebyshev_1	103	240	0.42916666666666664	0.36814818175774017	0.4924169569006473
model2	off_diagonal	within_chebyshev_1	263	600	0.43833333333333335	0.39914803065478444	0.4783032458035721
model2	all	within_chebyshev_2	519	840	0.6178571428571429	0.5845312730546028	0.6501099595256425
model2	diagonal	within_chebyshev_2	148	240	0.6166666666666667	0.5537760294828047	0.6758813891974984
model2	off_diagonal	within_chebyshev_2	371	600	0.6183333333333333	0.5788260422730251	0.6563350218203989
ensemble	all	top1_exact	89	840	0.10595238095238095	0.08690286338303137	0.12858958122241104
ensemble	diagonal	top1_exact	8	240	0.03333333333333333	0.01698546425790705	0.06438486102088117
ensemble	off_diagonal	top1_exact	81	600	0.135	0.10996732443966875	0.16467671730033281
ensemble	all	top3_contains_target	229	840	0.2726190476190476	0.2435910267203697	0.30371730234198524
ensemble	diagonal	top3_contains_target	35	240	0.14583333333333334	0.10676384528381955	0.196061848008118
ensemble	off_diagonal	top3_contains_target	194	600	0.3233333333333333	0.28713254163546603	0.3617819260560416
ensemble	all	top5_contains_target	321	840	0.3821428571428571	0.34989004047435757	0.41546872694539716
ensemble	diagonal	top5_contains_target	69	240	0.2875	0.23394165218682478	0.3477537637883376
ensemble	off_diagonal	top5_contains_target	252	600	0.42	0.38113928555086996	0.4598785866113222
ensemble	all	within_chebyshev_1	391	840	0.4654761904761905	0.4319779623002251	0.499288747347986
ensemble	diagonal	within_chebyshev_1	110	240	0.4583333333333333	0.3964472786253335	0.5215322147031297
ensemble	off_diagonal	within_chebyshev_1	281	600	0.4683333333333333	0.42873420347591623	0.5083353709216182
ensemble	all	within_chebyshev_2	530	840	0.6309523809523809	0.5977928251746435	0.6629196554700735
ensemble	diagonal	within_chebyshev_2	150	240	0.625	0.5622343547480164	0.6838271652665939
ensemble	off_diagonal	within_chebyshev_2	380	600	0.6333333333333333	0.594039718833861	0.6709304942291522
