role,process,source_tag,source_root,event_index,n_selected_jets,n_selected_btags_four_jets,btag_region,trigger_proxy_2018,lepton_veto_proxy,analysis_chi,analysis_mass_region,analysis_region,validation_chi,validation_mass_region,validation_region,mk,m_perp,pairing_mode,pairing_delta_distance,mbb1,mbb2,avg_mbb,delta_mbb,mhh,h1_pt,h2_pt,h1_eta,h2_eta,delta_eta_hh,delta_phi_hh,drbb1,drbb2,j1_pt,j1_eta,j1_phi,j1_mass,j1_btag,j2_pt,j2_eta,j2_phi,j2_mass,j2_btag,j3_pt,j3_eta,j3_phi,j3_mass,j3_btag,j4_pt,j4_eta,j4_phi,j4_mass,j4_btag
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2770,5,3,3b,True,True,206.85068684060616,outside,A_outside,137.02078898283153,outside,V_outside,371.008912884006,60.74034914680337,minimum_distance,42.08534009385782,309.705750783516,213.11816296474169,261.41195687412886,96.58758781877432,740.0186026208115,69.9244767501203,15.702447885350308,-2.993747349833453,1.8612075376433024,4.854954887476755,2.8678710376798158,2.7403375535727106,3.143454464335985,169.5867462158203,-1.4029138088226318,2.597938299179077,27.589859008789062,1.0,141.6986083984375,-1.6930299997329712,-0.12699885666370392,12.136624336242676,1.0,101.92305755615234,0.6497622132301331,-2.5964419841766357,9.634870529174805,1.0,91.89787292480469,-0.23410406708717346,0.4201929569244385,7.484736919403076,0.0
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2781,6,4,4b,True,True,292.4537852944753,outside,A_outside,220.54901880452238,outside,V_outside,456.6747282295449,-72.21549063375578,minimum_distance,55.185518619733884,279.4278330278372,368.3571237540681,323.89247839095265,88.92929072623087,716.419470408637,145.99538085783473,62.931723392480755,1.1542734790155875,-0.9790485524208433,2.133322031436431,0.1388605811960626,2.2416733118185044,3.2351987551977412,167.53782653808594,0.3368699252605438,-2.0331313610076904,31.624839782714844,1.0,141.47012329101562,0.646194577217102,2.5879383087158203,18.012826919555664,1.0,127.11058807373047,1.0082355737686157,2.111276865005493,16.281652450561523,1.0,118.36190795898438,-1.1581735610961914,-1.0099599361419678,14.978347778320312,1.0
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2818,5,4,4b,True,True,146.8248325843244,outside,A_outside,75.35090665582639,outside,V_outside,316.7211975267611,31.326680927444205,minimum_distance,30.152881818047543,250.1733798113438,196.74083951860285,223.45710966497333,53.43254029274095,592.8923696435816,75.18250491339467,57.42392844602481,2.126160883545898,-1.4109950525705113,3.537155936116409,0.48337558625929944,3.114372003635388,3.285272221066005,136.2361602783203,1.5437610149383545,0.9495363235473633,17.517108917236328,1.0,71.43168640136719,0.08720452338457108,-1.8032361268997192,5.581337928771973,1.0,55.49068832397461,-1.7617655992507935,1.906893014907837,8.724536895751953,1.0,46.201881408691406,0.879367470741272,-0.04693135619163513,12.304786682128906,1.0
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2820,5,4,4b,True,True,35.77102997177752,CR,A4bCR,95.55940832633506,outside,V_outside,158.44048672740263,32.54900152737245,four_jet_com_pt,19.895728077484918,136.83817779662203,86.2446429185326,111.54141035757732,50.59353487808943,370.4383300623646,106.48307216746902,32.388373303939666,-1.0275838727403572,2.1199958753794155,3.1475797481197727,2.8025178179745986,1.999970521961698,2.414823509723088,110.13150787353516,-0.9175457954406738,-1.9478387832641602,11.871450424194336,1.0,53.82670974731445,-0.25510674715042114,2.448270320892334,8.709769248962402,1.0,45.902469635009766,1.2798060178756714,-0.7955894470214844,11.66525650024414,1.0,44.035064697265625,1.0725841522216797,1.6103265285491943,5.4067063331604,1.0
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2836,5,3,3b,True,True,112.987520848493,outside,A_outside,47.427826827373835,CR,V3bCR,280.8505423609513,-34.556668037366755,four_jet_com_pt,0.18032869186634315,178.67042787179383,219.4266817285341,199.04855480016397,40.75625385674027,1139.5469460906602,296.20722292939473,217.51688770722237,0.2906836806482063,-2.4075357837250113,2.6982194643732176,2.944167840121132,1.1186983796333594,1.7706469608585456,214.6098175048828,-1.9899157285690308,-2.8783583641052246,21.1633243560791,1.0,145.12530517578125,-0.2981344163417816,0.7050024271011353,19.40611457824707,1.0,90.52103424072266,-2.2574193477630615,-1.1280348300933838,9.689176559448242,1.0,155.48947143554688,0.7666484713554382,1.0481109619140625,13.48737621307373,0.0
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2860,4,4,4b,False,True,36.491147317124,CR,A4bCR,57.805335612069634,outside,V_outside,197.31334006472989,-27.45668338238446,four_jet_com_pt,2.058369644325733,123.32471465413578,156.4526713908594,139.8886930224976,33.12795673672362,347.77264947704407,105.31247025249395,96.792853541161,-0.5333938480289158,-0.9733316088910625,0.43993776086214675,3.0299765445191404,1.883858632127614,2.505159408011447,81.86598205566406,0.16287456452846527,1.1999343633651733,16.905567169189453,1.0,61.01357650756836,0.4721720516681671,-2.538996934890747,10.248555183410645,1.0,49.052494049072266,-1.1798456907272339,-0.12143827974796295,9.599198341369629,1.0,40.25598907470703,-1.9575215578079224,-1.9287407398223877,6.774331569671631,1.0
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2864,4,3,3b,False,True,26.361702585708596,CR,A3bCR,100.56933397261493,outside,V_outside,147.94884840562588,7.3083664715380126,minimum_distance,30.594412992356357,111.78969979456345,97.18712355489562,104.48841167472953,14.602576239667826,233.60386278480595,109.2391759318575,19.98637021508794,0.3003182998343118,1.424880460661843,1.1245621608275314,1.835905268891116,1.6049484482470484,2.776836700385775,89.89012145996094,0.2675817310810089,1.0896110534667969,14.91946029663086,1.0,64.7252426147461,0.13800640404224396,2.6893203258514404,4.462349891662598,1.0,53.229705810546875,0.3968360126018524,-1.8351092338562012,13.81627368927002,1.0,43.49114227294922,0.39137619733810425,1.671244740486145,8.036209106445312,0.0
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2897,4,3,3b,False,True,9.300019604317677,SR,A3bSR,82.40100973719069,outside,V_outside,166.06013744844265,5.865481618857897,four_jet_com_pt,3.3053410819139337,123.85571039268447,110.7706465050209,117.31317844885268,13.085063887663566,239.6297165422432,23.35746182933613,20.777649890538374,3.0567923022030064,3.2814648542674174,0.22467255206441106,2.5969623057059956,2.8797907359232804,2.900647209059009,61.65856170654297,1.0453122854232788,2.441253185272217,6.14915657043457,1.0,52.5865592956543,2.095951557159424,2.8972432613372803,8.412039756774902,1.0,47.056610107421875,1.1331695318222046,-0.6497393846511841,7.3548903465271,1.0,53.673580169677734,1.8750065565109253,-0.3164273798465729,6.518507957458496,0.0
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2904,4,3,3b,False,True,27.854369009534217,CR,A3bCR,47.16767580921181,CR,V3bCR,201.09888730886118,1.3496327462952284,minimum_distance,47.248581358985085,146.00485121122114,138.29377212369724,142.1493116674592,7.711079087523899,751.8655754658786,60.41138507560948,42.95226034662411,-2.409622190707186,2.818600421684488,5.228222612391674,1.6463653604999893,2.3942831747655626,2.870236258611013,88.75670623779297,-1.5310815572738647,0.8594786524772644,17.327192306518555,1.0,77.08621978759766,1.1940089464187622,-0.49685099720954895,6.754304885864258,1.0,46.873104095458984,2.347904920578003,2.1312243938446045,8.324873924255371,1.0,67.05841064453125,-1.4685732126235962,-3.0302395820617676,7.927566051483154,0.0
background,Zbbbb,zbbbb_ak4ak8_extra50k_v1_shard004,/uscms_data/d3/iturkmen/hh4b_delphes/root/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8_delphes.root,2956,4,3,3b,False,True,80.56198091974,outside,A_outside,28.11671930333112,CR,V3bCR,248.73197763448294,-28.227903038970492,four_jet_com_pt,10.12160652819454,159.88337370293,192.61806255205576,176.25071812749286,32.734688849125774,444.24629518995744,132.30837872460222,82.25526344239283,0.15406395177741766,-1.3894515146654662,1.5435154664428838,2.706331799815239,2.048798083658579,2.904678782334348,84.98291015625,0.9031379222869873,-0.5367110967636108,11.468186378479004,1.0,53.22895050048828,-1.0548264980316162,0.0665706917643547,6.474053382873535,1.0,44.58182144165039,0.6453012824058533,1.8111876249313354,4.122479438781738,1.0,89.08954620361328,-1.4802227020263672,-2.4922738075256348,9.53465461730957,0.0
