seed,auc_all,auc_vs_ttbar,auc_vs_qcd_bbbb,auc_vs_zbbbb,threshold,selected_signal_rows,selected_background_rows,selected_ttbar_rows,selected_qcd_bbbb_rows,selected_zbbbb_rows,S_over_sqrtB_rows,S_over_B_rows
57,0.746520777306874,0.5971080312165584,0.7736791401300064,0.7371165757946665,0.805,113,36,10,12,14,18.833333333333332,3.138888888888889
58,0.7702095539340786,0.6582586085392821,0.7979707764325262,0.7531253739678487,0.7000000000000001,183,78,12,33,33,20.7206697248461,2.3461538461538463
59,0.7884135920870761,0.6637955785242607,0.8175731949516305,0.7718651675083823,0.8,124,30,10,11,9,22.639199043546867,4.133333333333334
60,0.7546474050014541,0.6520688613711869,0.7735114585228449,0.7470023034931053,0.73,149,75,12,35,28,17.205038021850847,1.9866666666666666
61,0.7787789472308361,0.679436562316921,0.7953161179905366,0.7734587973186584,0.6950000000000001,182,79,11,34,34,20.476599796853634,2.3037974683544302
62,0.7592972607350236,0.6416490486257929,0.7867088131256116,0.749191749671251,0.765,137,53,13,17,23,18.818397260970396,2.5849056603773586
63,0.7541915688279945,0.6548978153629316,0.776521845299678,0.7436478250431738,0.58,263,210,25,84,101,18.148724210703918,1.2523809523809524
64,0.7747385068832897,0.6615673325890206,0.7970873603141044,0.7654585913235943,0.71,181,82,13,33,36,19.988106219547223,2.207317073170732
65,0.7474340834752035,0.6328800691908514,0.7720140604702107,0.7359205198817316,0.81,107,29,6,11,12,19.86940118494455,3.689655172413793
66,0.7762007770454626,0.6706365985435752,0.7981906681744432,0.7678238473262811,0.74,138,40,9,11,20,21.819715855161817,3.45
67,0.7674647339648598,0.6743931327848391,0.7892544720284589,0.7548853561959048,0.79,119,25,4,10,11,23.8,4.76
68,0.7587074512059235,0.6387546561965166,0.7729482268037959,0.75981922920263,0.735,164,63,12,29,22,20.662057857837755,2.6031746031746033
69,0.7736013671817562,0.6690710110682752,0.7898532878302783,0.7702118794463048,0.76,142,42,12,17,13,21.91107569461705,3.380952380952381
70,0.7618198809924485,0.6876517109075249,0.7821559440801809,0.7477278578282611,0.76,144,51,11,20,20,20.16403321000334,2.823529411764706
71,0.7584395044946428,0.6625175190631162,0.7747771221631107,0.7550080218313766,0.8,116,37,6,16,15,19.070282527421448,3.135135135135135
72,0.7688240733781873,0.6818306180823283,0.7954181222460007,0.7508897744383773,0.785,109,27,5,10,12,20.977059780556402,4.037037037037037
73,0.7801889351078812,0.6451187663225967,0.8002114164904862,0.7770306958259684,0.755,161,57,13,17,27,21.324970948747204,2.824561403508772
74,0.7462757040953368,0.6429458817375384,0.7784034548059677,0.727988694465686,0.73,174,89,13,31,45,18.443963112110666,1.9550561797752808
