100644 blob 4f384d670ba132d00d9e704244ed0645ea9d6df1    8266	README.md
100644 blob a5cb536cb5316101f60ca1f48a15058ef99abfbd   11931	delphes/ana/GenPartGenericProcessor.h
100644 blob e4e39d0496a8ce8c78f4207b805ec9979a776e46    9287	delphes/ana/GenPartProcessor.h
100644 blob 81d320a95d0b9996bc55fcaa9dd86a3b6b8bc79e   12777	delphes/ana/InferSophonHH.C
100644 blob 1a9ba6bd47e0c8802e3cb0ea6d4a8e354acb2532   27138	delphes/ana/JetGhostMatching.h
100644 blob c607cbd41613f6597e4f0fa956856ea9f62baef3    8413	delphes/ana/ONNXRuntime.h
100644 blob c0f466dc9b6c9df8300894455d7643951b34ba67    8171	delphes/ana/OrtHelperSophon.h
100644 blob 4a67decba9b65acaace9395ddd69e0c7e1403a49    7947	delphes/ana/OrtHelperSophonAK4.h
100644 blob 641b58c0752b88be1c17f9ab7275e7cb6c3124dd    8394	delphes/ana/OrtHelperSophonHH.h
100644 blob 5149a8e8fc8f5295dfe76c4900dcc758eacf82e5    1464	delphes/ana/ParticleID.h
100644 blob a41f0b83727bab02e4ab2c0f2931fe64f975315c    1660	delphes/ana/ParticleInfo.h
100644 blob a56375142f586eb17bc3697aff17fb03b1bf354d   15859	delphes/ana/makeNtuplesAK4GhostMatching.C
100644 blob ff0deeb6f707f0a2a45b98dd73761bbdc44d4997   46128	delphes/ana/makeNtuplesHH4bAllObjectsOptionalSel.C
100644 blob 040badf70528408131de1363abda7c2778358f53   49632	delphes/cards/delphes_card_CMS_JetClassII_lite.tcl
100644 blob 3d81a6e987e99cb5c7d0699ce0a44f9b8e6a104a 35810954	delphes/models/HH4b/model0.onnx
100644 blob 5f49a3c2b0858f66cdaa000207332969e3abf2c5 35810954	delphes/models/HH4b/model1.onnx
100644 blob d13c77b4a339d95dcee6f3cb9ed29f1ee74359fc 35810954	delphes/models/HH4b/model2.onnx
100644 blob 7d7ef752bc35632e3c4834702abc8a56b1caaa8e 9274819	delphes/models/Sophon/JetClassII_ak8puppi_full_scale_mergeQCD/model_embed.onnx
100644 blob ff31d4000e313a802ea89b3383ab218e160bb514 2500258	delphes/models/SophonAK4/JetClassII_full_nonscale_ak4_alljetghostmatching.ddp2-bs512-lr1e-3/model.onnx
100644 blob 1e3de20f3ed8556c513735e27ea4cc2c1091ab6b    8415	delphes/readers/DelphesHepMC2WithFilterAK4.cpp
100644 blob 8f28a7037f543dba762e777a455a2b7dcf3bf684     160	gen_configs/hh_incl/qqHH_CV_0p5_C2V_1_kl_1/mg5_step1.dat
100644 blob 1bfda50e262417525805b9165e167c6d54b60018   15394	gen_configs/hh_incl/qqHH_CV_0p5_C2V_1_kl_1/mg5_step2_run_card_templ.dat
100644 blob 131e8fa9cfd8586a8610fa374c37db78f9f7df2b     187	gen_configs/hh_incl/qqHH_CV_0p5_C2V_1_kl_1/mg5_step2_templ.dat
100644 blob 23f717833cf45973c989d2acf90053298d3884c1    5758	gen_configs/hh_incl/qqHH_CV_0p5_C2V_1_kl_1/py8.dat
100644 blob 8f28a7037f543dba762e777a455a2b7dcf3bf684     160	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_0/mg5_step1.dat
100644 blob 1bfda50e262417525805b9165e167c6d54b60018   15394	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_0/mg5_step2_run_card_templ.dat
100644 blob 2a1e3cfa4b1f4878dab9ca4176e4a15d44ddac4d     187	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_0/mg5_step2_templ.dat
100644 blob 23f717833cf45973c989d2acf90053298d3884c1    5758	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_0/py8.dat
100644 blob 8f28a7037f543dba762e777a455a2b7dcf3bf684     160	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_1/mg5_step1.dat
100644 blob 1bfda50e262417525805b9165e167c6d54b60018   15394	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_1/mg5_step2_run_card_templ.dat
100644 blob fc0774b1b9f36182316c2c69de0e2052ef3d18d4     187	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_1/mg5_step2_templ.dat
100644 blob 23f717833cf45973c989d2acf90053298d3884c1    5758	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_1/py8.dat
100644 blob 8f28a7037f543dba762e777a455a2b7dcf3bf684     160	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_2/mg5_step1.dat
100644 blob 1bfda50e262417525805b9165e167c6d54b60018   15394	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_2/mg5_step2_run_card_templ.dat
100644 blob f04312a473ab6870a2c02834e980a65c8098cbec     187	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_2/mg5_step2_templ.dat
100644 blob 23f717833cf45973c989d2acf90053298d3884c1    5758	gen_configs/hh_incl/qqHH_CV_1_C2V_1_kl_2/py8.dat
100644 blob 8f28a7037f543dba762e777a455a2b7dcf3bf684     160	gen_configs/hh_incl/qqHH_CV_1_C2V_2_kl_1/mg5_step1.dat
100644 blob 1bfda50e262417525805b9165e167c6d54b60018   15394	gen_configs/hh_incl/qqHH_CV_1_C2V_2_kl_1/mg5_step2_run_card_templ.dat
100644 blob e2033818ce358e3d94014165efdba5caaa13ccdd     187	gen_configs/hh_incl/qqHH_CV_1_C2V_2_kl_1/mg5_step2_templ.dat
100644 blob 23f717833cf45973c989d2acf90053298d3884c1    5758	gen_configs/hh_incl/qqHH_CV_1_C2V_2_kl_1/py8.dat
100644 blob 8f28a7037f543dba762e777a455a2b7dcf3bf684     160	gen_configs/hh_incl/qqHH_CV_1p5_C2V_1_kl_1/mg5_step1.dat
100644 blob 1bfda50e262417525805b9165e167c6d54b60018   15394	gen_configs/hh_incl/qqHH_CV_1p5_C2V_1_kl_1/mg5_step2_run_card_templ.dat
100644 blob 13251183cdbe43c73ab99002bc4c795c53ef99cc     187	gen_configs/hh_incl/qqHH_CV_1p5_C2V_1_kl_1/mg5_step2_templ.dat
100644 blob 23f717833cf45973c989d2acf90053298d3884c1    5758	gen_configs/hh_incl/qqHH_CV_1p5_C2V_1_kl_1/py8.dat
100644 blob 3a80ad21738025dc0299aa72b3971e55f47c5e6b     268	gen_configs/sm_incl/SingleTop/mg5_step1.dat
100644 blob 65dfc81f8021257b263144ccc3221c7005b88451     112	gen_configs/sm_incl/SingleTop/mg5_step2_templ.dat
100644 blob b54aadc78392735d4be6cac302ccdb037eeadaec    5828	gen_configs/sm_incl/SingleTop/py8.dat
100644 blob eb4d089dc6b1d14f712836bf447b61a6c52f2ff4     277	gen_configs/sm_incl/TTbar/mg5_step1.dat
100644 blob 65dfc81f8021257b263144ccc3221c7005b88451     112	gen_configs/sm_incl/TTbar/mg5_step2_templ.dat
100644 blob 1e4334eb5d25856d42c11a04b731a3b614e50d5b    5828	gen_configs/sm_incl/TTbar/py8.dat
100644 blob 52439afb1a2089f3570906560e6038d09b604be4     262	gen_configs/sm_incl/TTbarW/mg5_step1.dat
100644 blob 65dfc81f8021257b263144ccc3221c7005b88451     112	gen_configs/sm_incl/TTbarW/mg5_step2_templ.dat
100644 blob 49dd9d1401c159a8f96ed677a1b7c099393b5b10    5623	gen_configs/sm_incl/TTbarW/py8.dat
100644 blob defe17ceac78bbd3ef55d44621f95cdd919b530d     262	gen_configs/sm_incl/TTbarZ/mg5_step1.dat
100644 blob 65dfc81f8021257b263144ccc3221c7005b88451     112	gen_configs/sm_incl/TTbarZ/mg5_step2_templ.dat
100644 blob 49dd9d1401c159a8f96ed677a1b7c099393b5b10    5623	gen_configs/sm_incl/TTbarZ/py8.dat
100644 blob e0d4d342b47023bc581c51bdf429067f7d8d3dee     314	gen_configs/sm_incl/TW/mg5_step1.dat
100644 blob 65dfc81f8021257b263144ccc3221c7005b88451     112	gen_configs/sm_incl/TW/mg5_step2_templ.dat
100644 blob 1e4334eb5d25856d42c11a04b731a3b614e50d5b    5828	gen_configs/sm_incl/TW/py8.dat
100644 blob 66e01f945337ecffd7a08862afab1b37e30ec64a     243	gen_configs/sm_incl/WW/mg5_step1.dat
100644 blob 65dfc81f8021257b263144ccc3221c7005b88451     112	gen_configs/sm_incl/WW/mg5_step2_templ.dat
100644 blob 1e4334eb5d25856d42c11a04b731a3b614e50d5b    5828	gen_configs/sm_incl/WW/py8.dat
100644 blob 1d37bf8c12bdb101fb829e462c3455ff2b13b63f     252	gen_configs/sm_incl/ZW/mg5_step1.dat
100644 blob 65dfc81f8021257b263144ccc3221c7005b88451     112	gen_configs/sm_incl/ZW/mg5_step2_templ.dat
100644 blob 1e4334eb5d25856d42c11a04b731a3b614e50d5b    5828	gen_configs/sm_incl/ZW/py8.dat
100644 blob f07c6279bdb2b79981953b377dc2ae5b1986c69f     219	gen_configs/sm_incl/ZZ/mg5_step1.dat
100644 blob 65dfc81f8021257b263144ccc3221c7005b88451     112	gen_configs/sm_incl/ZZ/mg5_step2_templ.dat
100644 blob 1e4334eb5d25856d42c11a04b731a3b614e50d5b    5828	gen_configs/sm_incl/ZZ/py8.dat
100644 blob ea5c4d04a188b309d3b5169b1c75900fe00b4ae4 31491205	gen_configs/spec/HH4b_2HDM_H3VAR_H1H2_40to200/mg5_params.dat
100644 blob c36a119aa7672109b32787cd6790e88f9c65490b      72	gen_configs/spec/HH4b_2HDM_H3VAR_H1H2_40to200/mg5_step1.dat
100644 blob 5f04b445507335fd90791567a8c3eeb975c68d12     191	gen_configs/spec/HH4b_2HDM_H3VAR_H1H2_40to200/mg5_step2_templ.dat
100644 blob e332576313c0b90f612329e1245cc02680636b40    5847	gen_configs/spec/HH4b_2HDM_H3VAR_H1H2_40to200/py8.dat
100644 blob c9f426c2f8586143db49c18987e222d329bd32cd    4916	gen_configs/spec/QCD_DelphesHH4JTrig/py8_main.cc
100644 blob 3e2d9683087c6f51bb79475d2df7abee8c46722f     549	gen_configs/spec/QCD_DelphesHH4JTrig/py8_templ.dat
100755 blob 147a88f403da294e547960cc216214ecfa0e641e    3018	gen_configs/spec/QCD_DelphesHH4JTrig/run.sh
100644 blob da4bec3db8877c8ac0b11a1db8e47a942697099e     161	gen_configs/spec/ZJetsToQQ_DelphesHH4JTrig/mg5_step1.dat
100644 blob 907d7a5df5560870e4a144fd7f4ecee646639045     172	gen_configs/spec/ZJetsToQQ_DelphesHH4JTrig/mg5_step2_templ.dat
100644 blob b54aadc78392735d4be6cac302ccdb037eeadaec    5828	gen_configs/spec/ZJetsToQQ_DelphesHH4JTrig/py8.dat
