process,event_uid,score,u,n_selected_jets,HT,mHH,pT_H1,pT_H2,pt5
signal,signal|129|2162,1.0,inf,5,534.56591796875,666.9534078443032,250.3700916888788,189.88826286825218,42.878868103027344
signal,signal|0|1541,1.0,inf,4,360.616455078125,496.5016319323009,175.7238317560714,158.0254442866362,0.0
signal,signal|33|1549,1.0,inf,5,509.67718505859375,640.891586066178,213.71690096957286,116.82758628644531,51.931732177734375
signal,signal|135|2209,1.0,inf,5,485.8852844238281,562.9638825841857,223.08352221489375,174.2027283150628,44.89950180053711
signal,signal|32|2028,1.0,inf,5,570.4801635742188,715.486909135159,129.4101171811468,200.60522414582346,31.420167922973633
signal,signal|198|2334,1.0,inf,5,358.43194580078125,455.8920076102272,146.02151971779523,137.49444814321262,30.961917877197266
signal,signal|2|695,1.0,inf,5,582.6864624023438,1569.988782057217,109.10368285426378,75.93742096976393,55.63860321044922
signal,signal|2|817,1.0,inf,5,345.2240905761719,483.7163872695272,121.87358612296151,123.55172571384587,32.06186294555664
signal,signal|128|1714,1.0,inf,6,352.9541320800781,287.4636360133819,37.03198683113101,108.96537670636435,37.664066314697266
signal,signal|128|962,1.0,inf,6,662.8846435546875,702.3761119763823,243.86036156128242,128.20660422354177,58.23392105102539
signal,signal|128|900,1.0,inf,5,477.89312744140625,713.4751250265466,207.05866708893868,189.32431722591616,39.182743072509766
signal,signal|127|2386,1.0,inf,5,533.2350463867188,587.0532092611716,263.08107051054344,210.60343181261908,39.021915435791016
signal,signal|141|1609,1.0,inf,5,364.544677734375,331.9031581554357,67.39818114226442,55.19235846836875,47.55837631225586
signal,signal|188|1505,1.0,inf,5,491.9530944824219,564.1558107613675,258.7037824403969,148.35215665371078,43.686180114746094
signal,signal|144|2416,1.0,inf,5,591.45263671875,628.9051107346562,274.2724636447942,231.19681704515205,51.372703552246094
signal,signal|196|1393,1.0,inf,5,405.3656311035156,743.4974080556261,183.23809571716083,123.18621645853794,37.214813232421875
signal,signal|43|516,1.0,inf,5,759.128662109375,871.5076247364647,340.8050982278696,300.63487766930814,33.15552520751953
signal,signal|42|1908,1.0,inf,5,414.27862548828125,461.6590570168952,102.41420093623938,115.99232231188508,52.3281364440918
signal,signal|112|1911,1.0,inf,5,341.4188232421875,328.0836139965967,32.494474049008744,66.0412302609425,44.007606506347656
signal,signal|143|63,1.0,inf,5,349.7052001953125,398.27485107862174,81.96214254802044,13.106537616345465,37.0424690246582
signal,signal|113|338,1.0,inf,5,490.273193359375,559.0299872579487,282.1335213751394,159.67260562820636,38.5587272644043
signal,signal|110|1203,1.0,inf,5,404.5598449707031,585.1871221822166,158.55028269219676,101.32253509619395,31.25283432006836
signal,signal|28|2059,1.0,inf,6,414.2223205566406,368.77176182404764,61.267289803668284,122.19649226575824,41.99692153930664
signal,signal|180|294,1.0,inf,5,344.3256530761719,422.9642540509216,124.71143696374699,128.04923038357413,41.245323181152344
signal,signal|31|377,1.0,inf,5,449.528564453125,614.5831837261738,219.13419736935035,180.3946771743671,44.09347915649414
signal,signal|31|642,1.0,inf,6,384.5419006347656,272.3924869505904,54.924743836072935,115.61764448544835,36.24553298950195
signal,signal|44|1311,1.0,inf,5,346.9847106933594,291.3577766187785,148.61805831819612,65.20834700068706,52.209022521972656
signal,signal|9|1461,1.0,inf,4,373.4652099609375,378.9712146531583,83.50940410473191,88.45908493800522,0.0
signal,signal|145|684,1.0,inf,5,479.17822265625,855.0406744161675,121.17429050765465,164.90068398184397,48.344261169433594
signal,signal|46|358,1.0,inf,5,504.7102966308594,521.9228249180089,245.6614019474201,168.9551957025145,30.754505157470703
signal,signal|108|2560,1.0,inf,5,374.851318359375,375.57847964674244,116.98561460236901,111.51674792841567,37.67696762084961
signal,signal|27|2556,1.0,inf,5,414.859130859375,569.4924866916059,151.30081578539014,104.05217579264024,44.25938415527344
