member_index	sample_class	dataset_split	candidate_rows	local_path	metadata_opened	schema_columns	has_source_root_column	has_source_root_index_column	has_analysis_sample_column	parquet_metadata_keys_json
13	signal	train	63	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard012_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
14	signal	train	81	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard013_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
15	signal	validation	60	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard014_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
16	signal	validation	59	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard015_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
17	signal	validation	78	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard016_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
18	signal	train	74	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard020_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
19	signal	train	74	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard021_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
20	signal	train	58	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard022_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
21	signal	train	64	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard023_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
22	signal	train	47	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard024_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
23	signal	train	54	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard025_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
24	signal	train	43	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard026_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
25	signal	train	74	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard027_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
26	signal	train	63	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard028_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
27	signal	train	54	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard029_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
28	signal	train	68	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard030_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
29	signal	train	58	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard031_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
30	signal	train	75	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard032_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
31	signal	train	55	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard033_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
32	signal	train	56	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard034_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
33	signal	train	56	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard035_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
34	signal	train	69	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard036_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
35	signal	train	58	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard037_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
36	signal	train	57	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard038_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
37	signal	train	66	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard039_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
38	signal	train	50	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard040_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
39	signal	train	46	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard041_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
40	signal	train	67	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard042_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
41	signal	train	62	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard043_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
42	signal	train	57	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard044_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
43	signal	train	59	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard045_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
44	signal	train	55	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard046_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
45	signal	train	67	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard047_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
46	signal	train	52	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard048_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
47	signal	train	54	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard049_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
48	signal	train	70	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard050_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
49	signal	train	63	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard051_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
50	signal	train	58	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard052_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
51	signal	train	77	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard053_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
52	signal	train	71	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard054_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
53	signal	train	66	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard055_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
54	signal	train	53	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard056_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
55	signal	train	63	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard057_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
56	signal	train	63	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard058_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
57	signal	train	57	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard059_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
58	signal	train	53	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard060_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
59	signal	train	56	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard061_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
60	signal	train	63	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard062_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
61	signal	train	62	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard063_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
62	signal	train	61	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard064_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
63	signal	train	55	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard065_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
64	signal	train	64	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard066_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
65	signal	train	61	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard067_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
66	signal	train	65	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard068_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
67	signal	train	67	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard069_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
68	signal	train	49	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard070_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
69	signal	train	52	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard071_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
70	signal	train	74	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard072_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
71	signal	train	58	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard073_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
72	signal	train	58	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard074_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
73	signal	train	44	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard075_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
74	signal	train	53	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard076_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
75	signal	train	69	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard077_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
76	signal	train	63	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard078_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
77	signal	train	55	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard079_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
78	signal	train	61	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard080_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
79	signal	train	58	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard081_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
80	signal	train	65	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard082_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
81	signal	train	57	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard083_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
82	signal	train	59	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard084_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
83	signal	train	60	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard085_train_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
84	signal	validation	76	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard086_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
85	signal	validation	47	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard087_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
86	signal	validation	46	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard088_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
87	signal	validation	66	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard089_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
88	signal	validation	59	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard090_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
89	signal	validation	59	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard091_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
90	signal	validation	61	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard092_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
91	signal	validation	61	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/ggF_HH4b_SMnorm_ext80k_shard093_validation_v2_hh4b_candidates.parquet	True	75	True	True	True	"[""ARROW:schema"", ""pandas""]"
