score_threshold	epsilon_S	epsilon_B	rejection	raw_signal_rows	raw_background_rows	physical_S	physical_B	physical_QCD_B	physical_nonQCD_B	physical_background_efficiency	S_over_B	S_over_sqrt_B_diagnostic	ZA_stat_only	signal_sumw	signal_sumw2	signal_Neff	background_sumw	background_sumw2	background_Neff	qcd_raw_rows	qcd_sumw	qcd_sumw2	qcd_Neff	qcd_largest_abs_event_weight	qcd_largest_event_fraction_of_yield	qcd_largest_source_fraction_of_yield	QCD_Neff_below_100	QCD_raw_O_1_to_10	zero_QCD_rows_not_zero_physical_QCD	variant	target_epsilon_S	epsilon_S_over_sqrt_epsilon_B
0.7094538807868958	0.4100046338180454	0.07997192566605622	12.50438815461019	37162	76114	288.78931006011067	248383761.76340464	243594568.8163761	4789192.9470285475	0.0039872510664568745	1.1626738721156575e-06	0.018323967511245976	0.01832396395983631	288.78931006011067	3.6751825069969977	22692.55076345597	248383761.76340464	162606677611137.38	379.4093453854206	1731	243594568.8163761	162606133029333.94	364.9205159200953	1893738.577177808	0.0077741412149682455	0.04032197262204676	False	False	False	global_mass_aware	0.41000000000000003	1.4498397023006517
0.7039629817008972	0.42000044131600434	0.08419988673603297	11.87650053657441	38068	80138	296.1941470497306	266561679.5165278	261478989.6545819	5082689.861945897	0.004279057267605184	1.1111655193160106e-06	0.018141684685411018	0.018141681326438334	296.1941470497306	3.7707395290403785	23266.251108265817	266561679.5165278	171082128955693.53	415.32759394801417	1836	261478989.6545819	171081550871020.44	399.6413504710775	1893738.577177808	0.007242412018187267	0.03825969494200605	False	False	False	global_mass_aware	0.42000000000000004	1.44741807966373
0.697974681854248	0.42999624881396326	0.08912130066539954	11.220662092381694	38974	84822	303.88538479086674	292211884.41925424	286779303.5953247	5432580.823929548	0.004690814486060765	1.039948752922259e-06	0.01777709838372288	0.017777095302649322	303.88538479086674	3.870993731654854	23855.974328848886	292211884.41925424	189103288409339.4	451.54045767315426	1954	286779303.5953247	189102670087620.8	434.90855487398653	1893738.577177808	0.0066034701717878124	0.038055642291062036	False	False	False	global_mass_aware	0.43000000000000005	1.4403694744609927
0.6925882697105408	0.4400030892120303	0.0936959881650712	10.672815555754912	39881	89176	311.39175698153105	312456945.0053261	306703378.24130434	5753566.764021754	0.005015804086182814	9.965909286356976e-07	0.01761619142322555	0.017616188496269624	311.39175698153105	3.9681853566743364	24435.55872533871	312456945.0053261	203314777687701.47	480.18812794819775	2073	306703378.24130434	203314122789939.3	462.6681163797803	1893738.577177808	0.006174495331733436	0.03795570180477412	False	False	False	global_mass_aware	0.44	1.437458210110955
0.6871861815452576	0.44999889670998916	0.09840726486431964	10.161851377322229	40787	93660	318.85994898742945	335248011.4863491	329157117.7504657	6090893.735883415	0.00538166417094435	9.511166004348188e-07	0.017414734872967304	0.01741473211387974	318.85994898742945	4.064795883828108	25012.736180128843	335248011.4863491	218033721332145.97	515.4763608072252	2167	329157117.7504657	218033028030646.0	496.9174126709161	1893738.577177808	0.0057532967542067645	0.0375769280777357	False	False	False	global_mass_aware	0.45	1.4344911340255528
0.6818898916244507	0.4599947042079481	0.10315426489268817	9.694218664059157	41693	98178	326.4276519528425	360293622.82103306	353857618.3936772	6436004.4273558855	0.005783715978982457	9.060045231913176e-07	0.017197236090837287	0.017197233493558447	326.4276519528425	4.163033505411617	25595.52110760889	360293622.82103306	235468587370388.75	551.290072680961	2293	353857618.3936772	235467854457424.94	531.7720093206417	1893738.577177808	0.0053516964980840605	0.03649601195055115	False	False	False	global_mass_aware	0.46	1.432218362578115
0.6764410138130188	0.4700015446060151	0.10835305996581067	9.229088687624847	42600	103126	334.19730459631666	380721586.22994983	373905724.6908188	6815861.539131045	0.00611164167875236	8.777997273694556e-07	0.0171277057092377	0.017127703204163115	334.19730459631666	4.26456048224952	26189.76536136002	380721586.22994983	245829942675394.0	589.6308832193271	2417	373905724.6908188	245829166304667.5	568.7099421852122	1893738.577177808	0.005064748818017518	0.036485034439924485	False	False	False	global_mass_aware	0.47000000000000003	1.427837207494571
0.670867919921875	0.47999735210397404	0.11390173352707986	8.779497633916629	43506	108407	341.8512733198368	403955029.13874984	396737505.8837945	7217523.254955351	0.006484603137093661	8.462607187950575e-07	0.017008683202430774	0.01700868080506156	341.8512733198368	4.364201643043647	26777.473322450012	403955029.13874984	259618005466228.38	628.5375518290658	2537	396737505.8837945	259617183272444.94	606.2797792922512	1893738.577177808	0.004773278424885015	0.03667772076751145	False	False	False	global_mass_aware	0.48000000000000004	1.42224257340544
0.6654452681541443	0.4900041925020411	0.1195449688419022	8.365052997943364	44413	113778	349.6317430615073	433761709.6699448	426131889.70109445	7629819.968850374	0.006963083364189797	8.060456588654329e-07	0.016787469990927232	0.016787467734550098	349.6317430615073	4.465883087710726	27372.49349241048	433761709.6699448	287278399524814.06	654.9368873086536	2670	426131889.70109445	287277530188225.06	632.1009070958264	1894967.6856186804	0.0044469041895641385	0.035855093695199076	False	False	False	global_mass_aware	0.49000000000000005	1.4172097918251083
0.6599719524383545	0.5	0.1252480932673082	7.9841534822072715	45319	119206	357.52162790124606	463752769.8167869	455707398.4744903	8045371.3422966	0.007444523397570783	7.709315203497131e-07	0.016601948444559516	0.01660194631003147	357.52162790124606	4.5693837354278255	27973.512801325116	463752769.8167869	309609277058987.1	694.6388478913924	2836	455707398.4744903	309608360156526.44	670.7481442665115	1894967.6856186804	0.004158299145377508	0.03632209788517832	False	False	False	global_mass_aware	0.5	1.4128122205558027
