signal_efficiency	background_efficiency	background_rejection	threshold
0.007987819678280633	0.00016390703949214035	6101.0192307692305	0.92012626
0.007987819678280633	0.000164957725642731	6062.15923566879	0.9201215
0.007998852578388756	0.000164957725642731	6062.15923566879	0.920106
0.007998852578388756	0.00016600841179332162	6023.791139240507	0.9200543
0.008009885478496877	0.00016600841179332162	6023.791139240507	0.9199948
0.008009885478496877	0.00016705909794391226	5985.905660377359	0.9199815
0.008054017078929367	0.00016705909794391226	5985.905660377359	0.9199198
0.008054017078929367	0.00016810978409450292	5948.49375	0.9198708
0.008197444780334958	0.00016810978409450292	5948.49375	0.9196702
0.008197444780334958	0.00016916047024509356	5911.546583850932	0.9196431
0.008219510580551204	0.00016916047024509356	5911.546583850932	0.9196325
0.008219510580551204	0.0001702111563956842	5875.055555555556	0.91961235
0.008285707981199939	0.0001702111563956842	5875.055555555556	0.91951114
0.008285707981199939	0.00017126184254627485	5839.01226993865	0.91948915
0.008329839581632428	0.00017126184254627485	5839.01226993865	0.91942376
0.008329839581632428	0.0001723125286968655	5803.408536585366	0.9193939
0.008340872481740551	0.0001723125286968655	5803.408536585366	0.9193622
0.008340872481740551	0.00017336321484745612	5768.236363636364	0.91934687
0.008351905381848672	0.00017336321484745612	5768.236363636364	0.91932094
0.008351905381848672	0.00017441390099804679	5733.4879518072285	0.91928136
0.008373971182064918	0.00017441390099804679	5733.4879518072285	0.9192523
0.008373971182064918	0.00017546458714863742	5699.1556886227545	0.9192082
0.008418102782497407	0.00017546458714863742	5699.1556886227545	0.91912043
0.008418102782497407	0.00017651527329922806	5665.232142857143	0.9190766
0.008440168582713651	0.00017651527329922806	5665.232142857143	0.9190725
0.008440168582713651	0.0001775659594498187	5631.710059171598	0.9190289
0.008451201482821774	0.0001775659594498187	5631.710059171598	0.9190233
0.008451201482821774	0.00017861664560040935	5598.582352941176	0.91894686
0.00847326728303802	0.00017861664560040935	5598.582352941176	0.9189254
0.00847326728303802	0.000179667331751	5565.842105263158	0.91890454
0.00851739888347051	0.000179667331751	5565.842105263158	0.9188214
0.00851739888347051	0.00018176870405218129	5501.49710982659	0.918806
0.008539464683686753	0.00018176870405218129	5501.49710982659	0.91879886
0.008539464683686753	0.00018387007635336256	5438.622857142857	0.91878307
0.008550497583794876	0.00018387007635336256	5438.622857142857	0.9187781
0.008550497583794876	0.00018492076250395322	5407.721590909091	0.91870075
0.008638760784659855	0.00018492076250395322	5407.721590909091	0.918511
0.008638760784659855	0.00018597144865454385	5377.169491525424	0.9184983
0.0086608265848761	0.00018597144865454385	5377.169491525424	0.918463
0.0086608265848761	0.0001870221348051345	5346.960674157303	0.9184557
0.008693925285200467	0.0001870221348051345	5346.960674157303	0.9184291
0.008693925285200467	0.00018807282095572512	5317.089385474861	0.9184074
0.008715991085416713	0.00018807282095572512	5317.089385474861	0.91839975
0.008715991085416713	0.00018912350710631579	5287.55	0.91836
0.00874908978574108	0.00018912350710631579	5287.55	0.91827667
0.00874908978574108	0.00019122487940749706	5229.445054945055	0.91825545
0.008760122685849202	0.00019122487940749706	5229.445054945055	0.9182509
0.008760122685849202	0.00019227556555808772	5200.868852459016	0.91821724
0.008848385886714182	0.00019227556555808772	5200.868852459016	0.9180672
0.008848385886714182	0.00019542762400985965	5116.9838709677415	0.9180108
0.009013879388336019	0.00019542762400985965	5116.9838709677415	0.917809
0.009013879388336019	0.00019647831016045029	5089.620320855614	0.91779596
0.009102142589200998	0.00019647831016045029	5089.620320855614	0.91760236
0.009102142589200998	0.00019752899631104092	5062.547872340426	0.91759944
0.009223504490390343	0.00019752899631104092	5062.547872340426	0.9174509
0.009223504490390343	0.00019857968246163156	5035.7619047619055	0.91744
0.00934486639157969	0.00019857968246163156	5035.7619047619055	0.91733
0.00934486639157969	0.00019963036861222222	5009.257894736842	0.9173269
0.009377965091904058	0.00019963036861222222	5009.257894736842	0.9172851
0.009377965091904058	0.00020068105476281285	4983.031413612565	0.91726303
0.00938899799201218	0.00020068105476281285	4983.031413612565	0.91726255
0.00938899799201218	0.00020383311321458479	4905.974226804124	0.9172497
0.009422096692336547	0.00020383311321458479	4905.974226804124	0.9172151
0.009422096692336547	0.00020593448551576608	4855.913265306122	0.917181
0.009455195392660916	0.00020593448551576608	4855.913265306122	0.91716224
0.009455195392660916	0.00020698517166635672	4831.2639593908625	0.91714
0.009521392793309649	0.00020698517166635672	4831.2639593908625	0.91698116
0.009521392793309649	0.000209086543967538	4782.708542713568	0.91696596
0.009532425693417772	0.000209086543967538	4782.708542713568	0.91696495
0.009532425693417772	0.00021013723011812865	4758.795	0.91693467
0.009576557293850261	0.00021013723011812865	4758.795	0.91687304
0.009576557293850261	0.0002111879162687193	4735.119402985075	0.9168579
0.009609655994174628	0.0002111879162687193	4735.119402985075	0.91679364
0.009609655994174628	0.00021223860241930992	4711.678217821783	0.91679186
0.00965378759460712	0.00021223860241930992	4711.678217821783	0.91673654
0.00965378759460712	0.00021328928856990058	4688.467980295566	0.9167262
0.009686886294931486	0.00021328928856990058	4688.467980295566	0.91661507
0.009686886294931486	0.00021433997472049122	4665.485294117647	0.91661453
0.009697919195039609	0.00021433997472049122	4665.485294117647	0.91659856
0.009697919195039609	0.00021539066087108185	4642.726829268293	0.9165909
0.009719984995255853	0.00021539066087108185	4642.726829268293	0.9165741
0.009719984995255853	0.00021749203317226315	4597.869565217391	0.91656095
0.009742050795472098	0.00021749203317226315	4597.869565217391	0.9165128
0.009742050795472098	0.0002185427193228538	4575.764423076923	0.9164967
0.009819281096228955	0.0002185427193228538	4575.764423076923	0.91636455
0.009819281096228955	0.00021959340547344442	4553.8708133971295	0.9163578
0.009863412696661444	0.00021959340547344442	4553.8708133971295	0.9163089
0.009863412696661444	0.00022064409162403508	4532.185714285714	0.91628456
0.009874445596769567	0.00022064409162403508	4532.185714285714	0.91628164
0.009874445596769567	0.00022169477777462572	4510.706161137441	0.9162672
0.009907544297093934	0.00022169477777462572	4510.706161137441	0.91614383
0.00992961009731018	0.00022169477777462572	4510.706161137441	0.91613877
0.009962708797634546	0.00022169477777462572	4510.706161137441	0.9160105
0.009962708797634546	0.00022274546392521635	4489.429245283019	0.9160007
0.010084070698823893	0.00022274546392521635	4489.429245283019	0.91593486
0.010084070698823893	0.00022379615007580702	4468.352112676056	0.91590756
0.010095103598932014	0.00022379615007580702	4468.352112676056	0.915904
0.010095103598932014	0.00022484683622639765	4447.471962616823	0.91590047
0.01020543260001324	0.00022484683622639765	4447.471962616823	0.9157248
0.01020543260001324	0.0002258975223769883	4426.786046511628	0.9156997
0.010238531300337608	0.0002258975223769883	4426.786046511628	0.91567796
0.010238531300337608	0.00022799889467816958	4385.9861751152075	0.9156104
0.010337827401310708	0.00022799889467816958	4385.9861751152075	0.91543853
0.010337827401310708	0.00022904958082876022	4365.866972477064	0.91543424
0.010359893201526953	0.00022904958082876022	4365.866972477064	0.9153905
0.010359893201526953	0.00023115095312994152	4326.177272727273	0.9153688
0.010381959001743199	0.00023115095312994152	4326.177272727273	0.91535443
0.010381959001743199	0.00023220163928053215	4306.601809954751	0.91535
0.010415057702067566	0.00023220163928053215	4306.601809954751	0.91530627
0.010415057702067566	0.0002332523254311228	4287.2027027027025	0.91530484
0.010426090602175688	0.0002332523254311228	4287.2027027027025	0.91529804
0.010426090602175688	0.00023745507003348535	4211.3230088495575	0.9152805
0.010470222202608178	0.00023745507003348535	4211.3230088495575	0.9152461
0.010470222202608178	0.00023850575618407602	4192.770925110132	0.91521287
0.0104812551027163	0.00023850575618407602	4192.770925110132	0.9152111
0.0104812551027163	0.0002406071284852573	4156.152838427948	0.9152014
0.010547452503365034	0.0002406071284852573	4156.152838427948	0.9151441
0.010547452503365034	0.00024165781463584795	4138.082608695652	0.91512775
0.010624682804121892	0.00024165781463584795	4138.082608695652	0.9150875
0.010624682804121892	0.00024270850078643858	4120.168831168831	0.91506463
0.010635715704230013	0.00024270850078643858	4120.168831168831	0.91505283
0.010635715704230013	0.00024375918693702922	4102.4094827586205	0.91504675
0.010735011805203115	0.00024375918693702922	4102.4094827586205	0.91493857
0.010735011805203115	0.00024480987308761985	4084.8025751072964	0.9149368
0.010768110505527484	0.00024480987308761985	4084.8025751072964	0.91491216
0.010768110505527484	0.0002458605592382105	4067.346153846154	0.9148993
0.010812242105959973	0.0002458605592382105	4067.346153846154	0.9148072
0.010812242105959973	0.0002469112453888012	4050.03829787234	0.91480017
0.010856373706392463	0.0002469112453888012	4050.03829787234	0.9146809
0.010856373706392463	0.00024901261768998245	4015.8607594936707	0.9146422
0.010911538206933075	0.00024901261768998245	4015.8607594936707	0.91445833
0.010911538206933075	0.0002500633038405731	3998.987394957983	0.9144385
0.010933604007149319	0.0002500633038405731	3998.987394957983	0.9144109
0.010933604007149319	0.0002511139899911637	3982.255230125523	0.91439027
0.011010834307906177	0.0002511139899911637	3982.255230125523	0.91430444
