seed,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
13,0.825,0.775,39.239320929589915,65064.4234627542,0.0006030841255675194,0.15383306390592694,0.006030841255675195,66,66,30.260916553959223,36.10548511683816
13,0.875,0.775,23.00051914612579,29138.67977138624,0.0007893466459901854,0.1347419112378455,0.007893466459901853,43,27,18.005362519755856,13.997228768105002
13,0.85,0.775,30.27470536752515,46180.70325196039,0.0006555704706865844,0.14088010096421044,0.0065557047068658435,52,42,23.41360560971351,23.95207807854176
14,0.875,0.75,32.64272912451362,54027.36484396976,0.0006041888072606419,0.14043636130102524,0.006041888072606418,52,54,24.076625561706344,27.201007811500503
14,0.85,0.75,43.285869571984435,70105.60118681371,0.0006174381053610613,0.16348194180836026,0.006174381053610613,66,73,31.761506643037183,33.287307316870326
14,0.8,0.5,78.969495967204,251040.1563647099,0.000314569179332718,0.15761145116622,0.00314569179332718,122,235,58.03348717965696,93.03408775683184
14,0.825,0.525,69.49015026403558,203814.1588650547,0.0003409485908682379,0.15392390591375027,0.0034094859086823788,105,180,50.936112315846316,70.13641191695946
14,0.8,0.775,43.927846575875485,118836.09094143285,0.0003696507199780315,0.1274282547705056,0.0036965071997803155,75,118,32.685236904209255,38.11306376781105
14,0.825,0.775,40.458964635908835,97961.27487325919,0.00041300978053066407,0.1292669644757492,0.004130097805306641,65,93,29.87261270967522,28.318311213116765
14,0.875,0.775,25.11181672595886,45113.43281975714,0.0005566372398724068,0.11822932102705942,0.005566372398724068,43,48,18.69204281077519,24.763870771739807
14,0.85,0.775,35.75495717342968,57690.8794402166,0.0006197679342101469,0.14886159996838938,0.006197679342101469,57,65,26.37451660397303,29.969357418616493
15,0.875,0.75,21.8193316040654,42286.51704867467,0.0005159879112046485,0.10610613242533759,0.005159879112046484,46,40,17.49834728491476,21.996781125224036
15,0.85,0.75,30.60023838599205,54249.79024753818,0.0005640618746425599,0.13137894743265338,0.0056406187464255984,58,57,24.11754228502694,30.90883421595039
15,0.8,0.5,82.26571098486522,233017.67358022011,0.0003530449417028615,0.17042151606764974,0.0035304494170286145,134,215,63.46811017220605,115.01185761242397
15,0.825,0.525,71.5778033683164,173185.4755839311,0.00041330142222941526,0.1719976974618631,0.004133014222294153,114,156,55.06443106606865,82.45433772062485
15,0.8,0.775,39.381145167918696,79247.72044279183,0.0004969372613859293,0.13989266753474694,0.004969372613859293,70,89,30.74473234253681,53.90011065099849
15,0.825,0.775,33.23152973265577,57320.201781772834,0.0005797524903902731,0.13880224105534317,0.0057975249039027305,58,63,25.876992525002315,36.28779662858678
15,0.875,0.775,18.596685096111354,35884.36312232493,0.0005182392406608353,0.09817093237316951,0.005182392406608353,38,34,14.83465329909613,19.513587707448135
15,0.85,0.775,25.914107414383558,46321.49618404148,0.0005594402070136801,0.12040512288302968,0.0055944020701368,48,48,20.353096911112672,27.47991172901336
