replica	category_id	selected_structure_id	threshold_variable	threshold_value	supporting_outer_fold_count	supporting_outer_folds_json	is_nominal_structure
282	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.998785436981115	2	[2,4]	True
282	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	211.1573685913095	2	[2,4]	True
282	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.88604437986292	2	[2,4]	True
287	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	183.88928604125974	3	[1,2,3]	True
287	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.13602488452228	3	[1,2,3]	True
292	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	175.47574234008786	3	[0,1,4]	True
292	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.274863392030184	3	[0,1,4]	True
309	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.00072097778317	3	[1,2,4]	True
309	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.906277920894006	3	[1,2,4]	True
320	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	175.9104495644569	2	[0,4]	True
320	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.433105158303285	2	[0,4]	True
335	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	181.43527412414548	2	[1,3]	True
335	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.86694745552122	2	[1,3]	True
338	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	185.55699908733365	2	[2,4]	True
338	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.138758339834894	2	[2,4]	True
341	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.94566726684567	3	[1,2,4]	True
341	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.93664091857352	3	[1,2,4]	True
348	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	175.7988471984863	3	[0,2,3]	True
348	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.37984165509682	3	[0,2,3]	True
349	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	181.36813354492185	2	[1,2]	True
349	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.1953833676497	2	[1,2]	True
350	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.685676574707	3	[2,3,4]	True
350	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.42868292003873	3	[2,3,4]	True
352	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.0888404846191	3	[1,3,4]	True
352	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.56333264177503	3	[1,3,4]	True
353	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	181.33755970001218	2	[1,2]	True
353	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.97467919598037	2	[1,2]	True
356	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	185.8915271759033	2	[2,4]	True
356	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.1004606491224	2	[2,4]	True
358	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	206.6152305603027	2	[2,3]	True
358	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	42.50863698030871	2	[2,3]	True
366	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	175.71272277832028	3	[2,3,4]	True
366	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.319834635205666	3	[2,3,4]	True
381	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	181.25142192840573	2	[1,4]	True
381	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.986651226981024	2	[1,4]	True
393	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.46165084838864	3	[1,2,3]	True
393	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.355791295662485	3	[1,2,3]	True
397	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.23132705688474	3	[2,3,4]	True
397	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.33538951749927	3	[2,3,4]	True
397	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.904302164473993	2	[0,2]	True
397	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	212.0642245494223	2	[0,2]	True
397	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.69452735566973	2	[0,2]	True
419	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.62866783142087	2	[0,3]	True
419	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.371534717303575	2	[0,3]	True
423	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	181.6101551055908	2	[1,2]	True
423	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.89171744023268	2	[1,2]	True
435	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.809818891966871	3	[0,1,2]	True
435	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	208.7757371124349	3	[0,1,2]	True
435	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.96519251190917	3	[0,1,2]	True
437	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.4512376785278	2	[0,3]	True
437	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.44046251598829	2	[0,3]	True
438	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.63428878784177	4	[0,2,3,4]	True
