seed,luminosity_fb,category,sample,group,expected_events,rows,fraction_within_group
0,4000.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,12.688822950819672,19,0.049703269705989386
0,4000.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,17011.814971205215,22,0.018697714232299822
0,4000.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,242.60269058295964,20,0.9502967302940106
0,4000.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,363235.0610514267,30,0.39923226194191286
0,4000.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,103892.87272862025,18,0.11418882984211148
0,4000.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,3067.621388555417,3,0.003371627788874101
0,4000.0,CAT1_high_QCD_medium_top,ttbar_200k,background,422626.5678405764,15,0.46450956619480194
0,4000.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,14.024488524590163,21,0.04992921049398269
0,4000.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,14692.022020586322,19,0.014448182251475147
0,4000.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,266.8629596412556,22,0.9500707895060174
0,4000.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,544852.5915771399,45,0.5358098110841868
0,4000.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,103892.87272862025,18,0.10216858902805495
0,4000.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,15338.106942777087,15,0.015083544265816165
0,4000.0,CAT2_nominal_loose_mid,ttbar_200k,background,338101.25427246105,12,0.3324898733704669
0,4000.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,13.356655737704918,20,0.06438841339931438
0,4000.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,30157.308358045608,39,0.024745291607961493
0,4000.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,194.08215246636772,16,0.9356115866006856
0,4000.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,726470.1221028534,60,0.5960981266125008
0,4000.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,109664.69899132136,19,0.08998432232151081
0,4000.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,14315.566479925283,14,0.011746501473975286
0,4000.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,338101.25427246105,12,0.2774257579840519
0,4000.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,7.346160655737705,11,0.048043081232938094
0,4000.0,CAT4_loose_low_purity,Zbbbb_100k,background,27064.25109055375,35,0.023174904407389084
0,4000.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,145.5616143497758,12,0.951956918767062
0,4000.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,641715.2745241871,53,0.5494957201697761
0,4000.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,69261.91515241351,12,0.05930843079157357
0,4000.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,7157.783239962641,7,0.006129153243514041
0,4000.0,CAT4_loose_low_purity,ttbar_200k,background,422626.5678405764,15,0.3618917913877475
