luminosity_fb,category,sample,group,expected_events_mean,rows_median,fraction_within_group_mean
138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,21345.851138698898,51.5,0.6004966796360509
138.0,CAT2_nominal_loose_mid,ttbar_200k,background,9115.854047013057,8.5,0.2518056825500974
138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht100to200_20000,background,6806.98575353069,2.0,0.1542611774236895
138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,3271.498794513502,17.5,0.09236085330080854
138.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,672.5062545576329,23.5,0.01903318644404347
138.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,459.3336269952206,12.0,0.013164421455446324
138.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,6.9346839591832365,16.5,0.9394014347602887
138.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,0.43907819583402696,20.0,0.06059856523971137
138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,26317.44339433749,63.5,0.649708863611208
138.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,7500.953915513793,7.0,0.1823552980452953
138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,4188.089911345392,1.0,0.09918443864015997
138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,3702.35148244856,18.0,0.09181704646894452
138.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,758.26739238861,26.5,0.018763682062351524
138.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,504.09453112633275,13.5,0.01272211242412868
138.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,5.932025655835769,13.5,0.9400028119243679
138.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,0.3667814434758679,16.0,0.059997188075632
138.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,18227.129201133972,44.0,0.49882379169880736
138.0,CAT4_loose_low_purity,ttbar_200k,background,11688.18513350914,11.5,0.3242220847460302
138.0,CAT4_loose_low_purity,qcd_bbbb_iht100to200_20000,background,6577.743167198904,1.0,0.16649772884329406
138.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,2671.180499309045,13.5,0.0738749430416256
138.0,CAT4_loose_low_purity,Zbbbb_100k,background,687.0733195888018,23.5,0.018979152153828886
138.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,332.49901531431914,9.0,0.009176050380225492
138.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,5.401047401862002,12.0,0.9528342475645306
138.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,0.24568103911424025,11.0,0.047165752435469326
350.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,29543.738818719525,11.0,0.5418189434067607
350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,17038.322683797764,15.0,0.31421338183441694
350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht100to200_20000,background,10142.087695745775,1.0,0.15791466497010806
350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,4876.489899866139,9.0,0.09059879869213192
350.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,939.4536944009573,13.0,0.017510760189241307
350.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,639.1564632074123,6.5,0.01217091613193291
350.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,32.38292702698378,29.5,0.9328539753710035
350.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,2.293538710003478,39.5,0.06714602462899663
350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,35436.723331883535,32.5,0.4341609353376583
350.0,CAT1_high_QCD_medium_top,ttbar_200k,background,34208.98548296494,14.5,0.40469504316261923
350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,10304.328771073118,1.0,0.0943871615386028
350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,9046.373495708061,18.0,0.11153725640553484
350.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,1472.1152255290565,21.5,0.018373529860535722
350.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,982.4132270022048,10.5,0.012355802925931374
350.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,21.19167864347968,21.0,0.935311444992848
350.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.4071407725347516,24.0,0.06468855500715193
350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,54138.028250323296,51.5,0.6004966796360509
350.0,CAT2_nominal_loose_mid,ttbar_200k,background,23119.91968445341,8.5,0.2518056825500974
350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht100to200_20000,background,17264.09430243291,2.0,0.1542611774236895
350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,8297.27955130236,17.5,0.09236085330080854
350.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,1705.631805037475,23.5,0.01903318644404347
350.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,1164.9765902052695,12.0,0.013164421455446324
350.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,17.58796656314589,16.5,0.9394014347602887
350.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,1.113604119868909,20.0,0.06059856523971137
350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,66747.13904360958,63.5,0.649708863611208
350.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,19024.15848137556,7.0,0.1823552980452953
350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,10621.967166455703,1.0,0.09918443864015998
350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,9390.021875775334,18.0,0.09181704646894452
350.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,1923.1419372174892,26.5,0.018763682062351524
350.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,1278.5006224218585,13.5,0.01272211242412868
350.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,15.044992605380575,13.5,0.9400028119243679
350.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,0.9302427914243026,16.0,0.059997188075632
350.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,46228.22623476007,44.0,0.4988237916988075
350.0,CAT4_loose_low_purity,ttbar_200k,background,29643.94780237825,11.5,0.32422208474603026
350.0,CAT4_loose_low_purity,qcd_bbbb_iht100to200_20000,background,16682.68194579432,1.0,0.16649772884329408
350.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,6774.733150421491,13.5,0.0738749430416256
350.0,CAT4_loose_low_purity,Zbbbb_100k,background,1742.5772598266715,23.5,0.018979152153828886
350.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,843.2946040580558,9.0,0.009176050380225492
350.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,13.698308627910873,12.0,0.9528342475645306
350.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,0.6231040847100295,11.0,0.047165752435469326
450.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,37984.807052639386,11.0,0.5418189434067606
450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,21906.41487916855,15.0,0.31421338183441694
450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht100to200_20000,background,13039.827037387426,1.0,0.15791466497010806
450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,6269.772728399322,9.0,0.09059879869213192
450.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,1207.8690356583736,13.0,0.017510760189241307
450.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,821.7725955523872,6.5,0.01217091613193291
450.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,41.63519189183629,29.5,0.9328539753710035
450.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,2.9488354842901865,39.5,0.06714602462899663
450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,45561.5014267074,32.5,0.4341609353376583
450.0,CAT1_high_QCD_medium_top,ttbar_200k,background,43982.981335240635,14.5,0.40469504316261923
450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,13248.422705665438,1.0,0.0943871615386028
450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,11631.051637338936,18.0,0.11153725640553484
450.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,1892.7195756802153,21.5,0.018373529860535722
450.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,1263.1027204314062,10.5,0.012355802925931374
450.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,27.24644397018816,21.0,0.935311444992848
450.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.8091809932589666,24.0,0.06468855500715193
450.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,69606.03632184424,51.5,0.6004966796360509
450.0,CAT2_nominal_loose_mid,ttbar_200k,background,29725.61102286867,8.5,0.2518056825500974
450.0,CAT2_nominal_loose_mid,qcd_bbbb_iht100to200_20000,background,22196.692674556598,2.0,0.1542611774236895
450.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,10667.930851674462,17.5,0.09236085330080854
450.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,2192.955177905325,23.5,0.019033186444043466
450.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,1497.8270445496323,12.0,0.013164421455446324
450.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,22.613099866901855,16.5,0.9394014347602887
450.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,1.43177672554574,20.0,0.06059856523971137
450.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,85817.75019892659,63.5,0.649708863611208
450.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,24459.63233319715,7.0,0.1823552980452953
450.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,13656.814928300191,1.0,0.09918443864015997
450.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,12072.885268854001,18.0,0.09181704646894452
450.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,2472.611062136772,26.5,0.018763682062351524
450.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,1643.7865145423893,13.5,0.01272211242412868
450.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,19.343561921203595,13.5,0.9400028119243681
450.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,1.1960264461169605,16.0,0.059997188075632
450.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,59436.29087326295,44.0,0.4988237916988075
450.0,CAT4_loose_low_purity,ttbar_200k,background,38113.64717448632,11.5,0.32422208474603026
450.0,CAT4_loose_low_purity,qcd_bbbb_iht100to200_20000,background,21449.162501735558,1.0,0.16649772884329408
450.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,8710.37119339906,13.5,0.0738749430416256
450.0,CAT4_loose_low_purity,Zbbbb_100k,background,2240.456476920006,23.5,0.018979152153828886
450.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,1084.2359195032145,9.0,0.009176050380225492
450.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,17.61211109302827,12.0,0.9528342475645306
450.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,0.8011338231986095,11.0,0.04716575243546933
4000.0,CAT0_very_high_QCD_high_top,ttbar_200k,background,337642.7293567945,11.0,0.5418189434067606
4000.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht200to400_combined120k,background,194723.68781483156,15.0,0.31421338183441694
4000.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht100to200_20000,background,115909.573665666,1.0,0.15791466497010806
4000.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht400to600_20000,background,55731.31314132731,9.0,0.09059879869213192
4000.0,CAT0_very_high_QCD_high_top,Zbbbb_100k,background,10736.613650296655,13.0,0.017510760189241307
4000.0,CAT0_very_high_QCD_high_top,qcd_bbbb_iht600plus_20000,background,7304.645293798999,6.5,0.01217091613193291
4000.0,CAT0_very_high_QCD_high_top,ggF_HH4b_SMnorm,signal,370.09059459410037,29.5,0.9328539753710035
4000.0,CAT0_very_high_QCD_high_top,VBF_HH4b_SMnorm,signal,26.211870971468322,39.5,0.06714602462899663
4000.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,404991.1237929546,32.5,0.4341609353376583
4000.0,CAT1_high_QCD_medium_top,ttbar_200k,background,390959.83409102785,14.5,0.40469504316261923
4000.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,117763.75738369278,1.0,0.0943871615386028
4000.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,103387.12566523498,18.0,0.11153725640553484
4000.0,CAT1_high_QCD_medium_top,Zbbbb_100k,background,16824.174006046356,21.5,0.018373529860535722
4000.0,CAT1_high_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,11227.579737168055,10.5,0.012355802925931374
4000.0,CAT1_high_QCD_medium_top,ggF_HH4b_SMnorm,signal,242.1906130683392,21.0,0.935311444992848
4000.0,CAT1_high_QCD_medium_top,VBF_HH4b_SMnorm,signal,16.08160882896859,24.0,0.06468855500715193
4000.0,CAT2_nominal_loose_mid,qcd_bbbb_iht200to400_combined120k,background,618720.3228608377,51.5,0.6004966796360509
4000.0,CAT2_nominal_loose_mid,ttbar_200k,background,264227.6535366104,8.5,0.2518056825500974
4000.0,CAT2_nominal_loose_mid,qcd_bbbb_iht100to200_20000,background,197303.93488494752,2.0,0.1542611774236895
4000.0,CAT2_nominal_loose_mid,qcd_bbbb_iht400to600_20000,background,94826.05201488412,17.5,0.09236085330080854
4000.0,CAT2_nominal_loose_mid,Zbbbb_100k,background,19492.934914714,23.5,0.01903318644404347
4000.0,CAT2_nominal_loose_mid,qcd_bbbb_iht600plus_20000,background,13314.01817377451,12.0,0.013164421455446324
4000.0,CAT2_nominal_loose_mid,ggF_HH4b_SMnorm,signal,201.00533215023873,16.5,0.9394014347602887
4000.0,CAT2_nominal_loose_mid,VBF_HH4b_SMnorm,signal,12.726904227073245,20.0,0.06059856523971137
4000.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht200to400_combined120k,background,762824.4462126808,63.5,0.649708863611208
4000.0,CAT3_lower_QCD_medium_top,ttbar_200k,background,217418.95407286356,7.0,0.1823552980452953
4000.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht100to200_20000,background,121393.91047377947,1.0,0.09918443864015997
4000.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht400to600_20000,background,107314.53572314668,18.0,0.09181704646894452
4000.0,CAT3_lower_QCD_medium_top,Zbbbb_100k,background,21978.764996771304,26.5,0.018763682062351524
4000.0,CAT3_lower_QCD_medium_top,qcd_bbbb_iht600plus_20000,background,14611.43568482124,13.5,0.01272211242412868
4000.0,CAT3_lower_QCD_medium_top,ggF_HH4b_SMnorm,signal,171.94277263292085,13.5,0.9400028119243681
4000.0,CAT3_lower_QCD_medium_top,VBF_HH4b_SMnorm,signal,10.631346187706315,16.0,0.059997188075632
4000.0,CAT4_loose_low_purity,qcd_bbbb_iht200to400_combined120k,background,528322.5855401151,44.0,0.49882379169880736
4000.0,CAT4_loose_low_purity,ttbar_200k,background,338787.9748843229,11.5,0.3242220847460302
4000.0,CAT4_loose_low_purity,qcd_bbbb_iht100to200_20000,background,190659.2222376494,1.0,0.16649772884329406
4000.0,CAT4_loose_low_purity,qcd_bbbb_iht400to600_20000,background,77425.52171910275,13.5,0.0738749430416256
4000.0,CAT4_loose_low_purity,Zbbbb_100k,background,19915.16868373339,23.5,0.018979152153828886
4000.0,CAT4_loose_low_purity,qcd_bbbb_iht600plus_20000,background,9637.652617806352,9.0,0.009176050380225492
4000.0,CAT4_loose_low_purity,ggF_HH4b_SMnorm,signal,156.5520986046957,12.0,0.9528342475645306
4000.0,CAT4_loose_low_purity,VBF_HH4b_SMnorm,signal,7.121189539543195,11.0,0.04716575243546933
