qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background,run
0.8,0.5,69.07414335259162,432189.88466627384,0.0001598236002351812,0.10506987329283404,0.001598236002351812,117,672,57.28228058587381,121.0757664425155,topology_only
0.775,0.5,74.59081750907892,512279.81623760937,0.00014560561463636048,0.10421536273332276,0.0014560561463636049,125,769,61.76273436035823,121.9412378587176,topology_only
0.5,0.5,105.91830313634864,1035127.4638143976,0.0001023239232258842,0.10410560176253565,0.001023239232258842,166,1521,86.90321300819672,240.20104936085926,topology_only
0.8,0.525,67.6949748134698,424699.63883521315,0.0001593949432100553,0.10387606397047947,0.001593949432100553,115,655,56.16221321935721,117.29835024251621,topology_only
0.8,0.725,59.02657280620667,333060.1916137103,0.00017722494099404963,0.10227893665198594,0.001772249409940496,98,543,48.810953227264754,94.60102433435857,topology_only
0.5,0.525,103.23864421261145,1020048.8860174745,0.00010120950635579917,0.10221904038681046,0.0010120950635579915,163,1495,84.78733704904245,234.32866667336785,topology_only
0.775,0.525,71.91115858534171,501235.2632878894,0.0001434678759703282,0.1015723445668377,0.0014346787597032816,122,751,59.64867477851006,117.70631005765003,topology_only
0.525,0.5,101.78079751898319,1005862.1765763774,0.00010118761783588623,0.10148377428132337,0.0010118761783588623,160,1465,83.54188194168916,228.85656695537662,topology_only
0.775,0.725,63.242756578078584,390182.5836960464,0.00016208503203552754,0.10124576152102831,0.0016208503203552751,105,627,52.297449886355096,96.71996083124185,topology_only
0.825,0.5,63.557469196104336,396066.3087903102,0.00016047178915627895,0.10099099363875944,0.0016047178915627894,109,598,52.802141334198694,104.69223156676249,topology_only
0.5,0.6,99.02246044073954,966381.6899663525,0.00010246723574014249,0.10073012358550043,0.0010246723574014248,156,1411,81.30101043056736,215.02433547980877,topology_only
0.8,0.65,60.72045396335426,366227.86127566895,0.0001657996574915103,0.10033658589892899,0.0016579965749151028,104,580,50.43571040296764,96.68186033071322,topology_only
0.5,0.65,96.02808889897656,915963.6325438108,0.00010483832052620661,0.10033655148304613,0.001048383205262066,149,1347,78.68539243598241,198.90106106364243,topology_only
0.5,0.55,100.48030713436779,1003407.0874458525,0.00010013912438085113,0.1003095706996824,0.0010013912438085113,159,1469,82.54649368416877,228.36328120908414,topology_only
0.8,0.55,64.93663773522614,420134.8511126989,0.00015456141656243423,0.10018332553453281,0.0015456141656243422,111,642,53.92214218027454,115.00305224477238,topology_only
0.8,0.6,63.55746919610433,402652.1381992591,0.00015784709223287883,0.10016167781285332,0.0015784709223287882,109,616,52.80214133419869,108.59698292362438,topology_only
0.9,0.725,38.18168841036646,145989.8065316155,0.000261536673809468,0.09992953410917495,0.0026153667380946796,66,253,31.7572006165471,49.643774847890306,topology_only
0.925,0.725,31.28584571475735,98111.27900164982,0.0003188812339734278,0.09988227614258749,0.003188812339734278,56,169,26.1582778035871,49.078293981391795,topology_only
0.5,0.575,99.10113859524597,986290.2890146293,0.00010047867215062485,0.09978752835232144,0.0010047867215062485,157,1438,81.42607769058465,222.22685379080153,topology_only
0.825,0.525,62.178300656982515,388665.6073560441,0.00015997891112609552,0.09973573499390803,0.001599789111260955,107,582,51.68216570188462,101.15579087604276,topology_only
