category,analysis_sample,n_test_rows,background_events_450fb,neff_sample,mean_qcd_score,mean_top_score,run,fraction_of_category_background
CAT3_medium,Zbbbb_100k,30,2686.331903839062,29.999999999999982,0.7546826,0.9537724,mass_aware,0.022240614504646834
CAT3_medium,qcd_bbbb_iht600plus_20000,12,1411.5253847017466,11.999999999999998,0.7594678,0.9460539,mass_aware,0.01168626702449186
CAT4_loose,qcd_bbbb_iht200to400_combined220k_bdtv2,202,149852.7392728461,201.99999999999997,0.598218,0.9519119,mass_aware,0.556515670844107
CAT4_loose,qcd_bbbb_iht100to200_20000,5,69172.28889287075,5.0,0.5786721,0.9529109,mass_aware,0.256888615742601
CAT4_loose,ttbar_200k,9,31988.764067933153,9.0,0.58820945,0.86305374,mass_aware,0.11879828544425895
CAT4_loose,qcd_bbbb_iht400to600_combined120k_bdtv2,105,10855.377261850406,104.99999999999993,0.6001392,0.9167259,mass_aware,0.040314161679387006
CAT4_loose,Zbbbb_100k,59,5283.119410883488,59.000000000000036,0.59210867,0.9377471,mass_aware,0.019620186840522524
CAT4_loose,qcd_bbbb_iht600plus_20000,18,2117.28807705262,18.000000000000004,0.5831438,0.95736015,mass_aware,0.007863079449123433
CAT0_high_purity_diagnostic,qcd_bbbb_iht200to400_combined220k_bdtv2,135,100149.1079298724,135.00000000000006,0.9097669,0.96889764,topology_only,0.4536094938682106
CAT0_high_purity_diagnostic,qcd_bbbb_iht100to200_20000,4,55337.831114296605,4.0,0.8841859,0.9749693,topology_only,0.25064392566629407
CAT0_high_purity_diagnostic,ttbar_200k,13,46205.99254257011,13.000000000000007,0.9397895,0.9285498,topology_only,0.2092827117900045
CAT0_high_purity_diagnostic,qcd_bbbb_iht400to600_combined120k_bdtv2,104,10751.992716499451,103.9999999999999,0.920271,0.96166956,topology_only,0.04869944500774962
CAT0_high_purity_diagnostic,qcd_bbbb_iht600plus_20000,45,5293.220192631549,45.0,0.9308732,0.96615475,topology_only,0.02397480099567022
CAT0_high_purity_diagnostic,Zbbbb_100k,34,3044.509491017603,33.99999999999999,0.92325044,0.95240986,topology_only,0.013789622672071043
CAT1_tight,ttbar_200k,16,56868.91389854783,16.0,0.8997242,0.6699111,topology_only,0.45608393931610086
CAT1_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,60,44510.71463549884,59.99999999999999,0.9034592,0.6941153,topology_only,0.3569722134829011
CAT1_tight,qcd_bbbb_iht100to200_20000,1,13834.457778574151,1.0,0.97356737,0.72392476,topology_only,0.11095119581869653
CAT1_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,61,6306.457266408332,61.000000000000014,0.910629,0.67051715,topology_only,0.050577260510431654
CAT1_tight,qcd_bbbb_iht600plus_20000,14,1646.7796154853709,13.999999999999996,0.94252014,0.6480943,topology_only,0.01320703496388034
CAT1_tight,Zbbbb_100k,17,1522.2547455088015,17.0,0.9067371,0.7506857,topology_only,0.012208355907989504
CAT2_medium_tight,qcd_bbbb_iht200to400_combined220k_bdtv2,82,60831.310001848426,82.0,0.82619166,0.8849262,topology_only,0.7014870453733572
CAT2_medium_tight,ttbar_200k,5,17771.535593296197,5.000000000000001,0.82774323,0.8155491,topology_only,0.20493561612778013
CAT2_medium_tight,qcd_bbbb_iht400to600_combined120k_bdtv2,44,4548.919995442076,44.00000000000001,0.82708836,0.88724595,topology_only,0.05245667810121933
CAT2_medium_tight,Zbbbb_100k,28,2507.243110249791,27.999999999999986,0.8239399,0.82991505,topology_only,0.02891271881845696
CAT2_medium_tight,qcd_bbbb_iht600plus_20000,9,1058.64403852631,9.000000000000002,0.8230942,0.9629714,topology_only,0.012207941579186346
CAT3_medium,qcd_bbbb_iht200to400_combined220k_bdtv2,156,115727.858052297,155.99999999999997,0.7498509,0.88389194,topology_only,0.5765296720119831
CAT3_medium,qcd_bbbb_iht100to200_20000,4,55337.831114296605,4.0,0.7843493,0.9192816,topology_only,0.2756803950157159
CAT3_medium,ttbar_200k,4,14217.228474636957,4.0,0.7573326,0.7756142,topology_only,0.07082697465719821
CAT3_medium,qcd_bbbb_iht400to600_combined120k_bdtv2,76,7857.225446672675,76.0,0.75485015,0.86889267,topology_only,0.03914289684379494
CAT3_medium,Zbbbb_100k,48,4298.131046142498,48.000000000000014,0.75617456,0.92843175,topology_only,0.0214123040381276
CAT3_medium,qcd_bbbb_iht600plus_20000,28,3293.5592309707417,28.000000000000014,0.7482387,0.90940225,topology_only,0.016407757433180216
CAT4_loose,qcd_bbbb_iht200to400_combined220k_bdtv2,297,220328.0374457193,296.99999999999994,0.60625553,0.90172166,topology_only,0.5477993284674083
CAT4_loose,qcd_bbbb_iht100to200_20000,9,124510.12000716737,9.0,0.6130917,0.9677045,topology_only,0.3095682279842677
CAT4_loose,ttbar_200k,10,35543.071186592395,10.000000000000002,0.5788358,0.7639121,topology_only,0.08837037153059292
CAT4_loose,qcd_bbbb_iht400to600_combined120k_bdtv2,108,11165.530897903276,107.99999999999997,0.60338473,0.86676437,topology_only,0.02776074438261352
CAT4_loose,Zbbbb_100k,77,6894.918553186925,77.00000000000006,0.62075144,0.94166446,topology_only,0.017142764929333126
CAT4_loose,qcd_bbbb_iht600plus_20000,32,3764.0676925379908,32.0,0.60835224,0.90456694,topology_only,0.009358562705784406
