baseline	sample_class	population_kind	process_or_mode	selected_rows	selected_sources	physical_yield	physical_sumw2	physical_effective_events	fraction_of_selected_class_yield	display_group
bdt	signal	ordinary	ggf_hh4b	2958	80	42.61371954534635	0.6139109652559018	2957.9681684501006	0.8860387579433975	Other
bdt	signal	ordinary	vbf_hh4b	2785	7	5.480925483792015	0.0107866787102062	2784.966991781881	0.1139612420566025	Other
dense_dnn	background	hard_qcd	qcd_hardqcd	146	42	596762.2920636479	11898236577.18082	29.930925555141325	0.8648597437850051	Transferred QCD
dense_dnn	background	ordinary	bbh_hbb_4fs	333	3	484.2779190450718	704.284564963549	332.99764689115864	0.0007018413907113	Other
dense_dnn	background	ordinary	ggh_hbb	12	5	804.4342295312506	53926.28459895881	11.99998172420043	0.0011658289923755	ggh_hbb
dense_dnn	background	ordinary	schannel_single_top	3	1	153.21633454808335	7825.081724116733	3.0000000000000004	0.0002220492842848	Other
dense_dnn	background	ordinary	tchannel_antitop	7	5	966.406433069376	133420.2760319196	6.999995965039354	0.0014005677490216	tchannel_antitop
dense_dnn	background	ordinary	tchannel_top	5	4	1158.557799979756	268452.0421893722	4.999984969185201	0.0016790437589239	tchannel_top
dense_dnn	background	ordinary	ttbar_inclusive	721	81	81347.8533618919	9178198.1675964	720.9991684370943	0.117893648026478	ttbar_inclusive
dense_dnn	background	ordinary	tth_hbb	665	2	678.5471125283334	692.3705722481864	664.9996437969563	0.0009833866678438	Other
dense_dnn	background	ordinary	tttt	340	3	11.909775660163003	0.4171871400861898	339.997911359652	1.7260282130706215e-05	Other
dense_dnn	background	ordinary	ttw	48	4	39.1096517221421	31.86616333279512	47.999655366515306	5.66797933075923e-05	Other
dense_dnn	background	ordinary	ttz_zbb	745	3	218.48106999290877	64.07263884534396	744.9978462798248	0.000316634419984	Other
dense_dnn	background	ordinary	tw_antitop	15	4	828.2909614482389	45737.7776509551	14.999983647052462	0.0012004034407407	tw_antitop
dense_dnn	background	ordinary	tw_top	12	5	663.3684129667764	36671.4812255791	11.99999663539935	0.0009613888868372	Other
dense_dnn	background	ordinary	vbf_hbb	10	3	44.91315654097682	201.7194887305296	9.99998385465367	6.509054203857466e-05	Other
dense_dnn	background	ordinary	wh_hbb	6	3	11.043724521613491	20.327325720983684	5.99999493211176	1.600515462725672e-05	Other
dense_dnn	background	ordinary	wwz_zbb	12	4	6.088855160631398	3.089533317192372	11.99992146413845	8.82429366633981e-06	Other
