series	mbb1_low_GeV	mbb1_high_GeV	mbb2_low_GeV	mbb2_high_GeV	unit_normalized_weight
signal	31.248708266878577	35.31470135884584	45.102693125095094	50.971327345413684	0.0
signal	31.248708266878577	35.31470135884584	50.971327345413684	57.60357156827405	0.0
signal	31.248708266878577	35.31470135884584	57.60357156827405	65.09878455656568	0.0
signal	31.248708266878577	35.31470135884584	65.09878455656568	73.56925335296755	0.0
signal	31.248708266878577	35.31470135884584	73.56925335296755	83.14187547096454	0.0
signal	31.248708266878577	35.31470135884584	83.14187547096454	93.96005996777642	0.0
signal	31.248708266878577	35.31470135884584	93.96005996777642	106.18587587949342	0.0
signal	31.248708266878577	35.31470135884584	106.18587587949342	120.00248020448376	0.0
signal	31.248708266878577	35.31470135884584	120.00248020448376	135.6168618091	0.0002064172083690883
signal	31.248708266878577	35.31470135884584	135.6168618091	153.26294236259747	0.0
signal	31.248708266878577	35.31470135884584	153.26294236259747	173.20508075688775	0.0
signal	31.248708266878577	35.31470135884584	173.20508075688775	195.7420335114306	0.0
signal	31.248708266878577	35.31470135884584	195.7420335114306	221.2114304947513	2.477545134884815e-05
signal	31.248708266878577	35.31470135884584	221.2114304947513	249.99483301411902	0.0
signal	31.248708266878577	35.31470135884584	249.99483301411902	282.5234500494769	0.0
signal	31.248708266878577	35.31470135884584	282.5234500494769	319.284598267482	0.0
signal	31.248708266878577	35.31470135884584	319.284598267482	360.82900259420836	0.0
signal	31.248708266878577	35.31470135884584	360.82900259420836	407.77904671761775	0.0
signal	31.248708266878577	35.31470135884584	407.77904671761775	460.8380971219581	0.0
signal	31.248708266878577	35.31470135884584	460.8380971219581	520.8010403390149	0.0
signal	31.248708266878577	35.31470135884584	520.8010403390149	588.5661912765424	0.0
signal	31.248708266878577	35.31470135884584	588.5661912765424	665.1487510245375	0.0
signal	31.248708266878577	35.31470135884584	665.1487510245375	751.6960157530128	0.0
