figure	panel	series	bin_low	bin_high	central_value	weighted_statistical_uncertainty	bootstrap_median	bootstrap_p16	bootstrap_p84	valid_replicas	multijet_systematic_lower	multijet_systematic_upper	multijet_systematic_support	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
fig02	unit_shape	background	0.3333333333333333	0.36666666666666664	0.0903724758373183	0.03555695564726784	0.08619287387996333	0.0605269452403306	0.11839361747071939	1000			not_applicable	0.0903724758373183	0.0605269452403306	0.11839361747071939	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.36666666666666664	0.4	0.04506799297357915	0.006796275308252623	0.045293148151351915	0.038395245578067914	0.0529633505629336	1000			not_applicable	0.04506799297357915	0.038395245578067914	0.0529633505629336	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.4	0.43333333333333335	0.06489517947556651	0.016770549567466864	0.06293603318413507	0.04896488622353126	0.08071287103022584	1000			not_applicable	0.06489517947556651	0.04896488622353126	0.08071287103022584	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.43333333333333335	0.4666666666666667	0.05043369967469113	0.008156220311012614	0.05036704375366781	0.04244751176238422	0.05827425104300862	1000			not_applicable	0.05043369967469113	0.04244751176238422	0.05827425104300862	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.4666666666666667	0.5	0.06094186573185529	0.01656239858739657	0.059285893638216666	0.044822160202065246	0.07618403146607279	1000			not_applicable	0.06094186573185529	0.044822160202065246	0.07618403146607279	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.5	0.5333333333333333	0.046293121451983665	0.007481534216132449	0.045682142173556296	0.038562379539478886	0.05377992473145344	1000			not_applicable	0.046293121451983665	0.038562379539478886	0.05377992473145344	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.5333333333333333	0.5666666666666667	0.04463328212719273	0.009561875239475008	0.04396014805441874	0.03532325187008598	0.05418236456006934	1000			not_applicable	0.04463328212719273	0.03532325187008598	0.05418236456006934	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.5666666666666667	0.6	0.0400641125233479	0.015811634125195793	0.03924912383494048	0.024839433886871418	0.05571830580128644	1000			not_applicable	0.0400641125233479	0.024839433886871418	0.05571830580128644	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.6	0.6333333333333333	0.03787248320450496	0.005700657333342658	0.037601493658044785	0.032135706701509704	0.0434731206951963	1000			not_applicable	0.03787248320450496	0.032135706701509704	0.0434731206951963	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.6333333333333333	0.6666666666666666	0.03851770719676422	0.009276588006058585	0.03745083605516619	0.030190374601470102	0.04742645628188044	1000			not_applicable	0.03851770719676422	0.030190374601470102	0.04742645628188044	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.6666666666666666	0.7	0.03750986279909627	0.007777190442955752	0.03652558889532623	0.02987922585480886	0.044829732733873764	1000			not_applicable	0.03750986279909627	0.02987922585480886	0.044829732733873764	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.7	0.7333333333333333	0.03155049043943334	0.006886399687895296	0.03138156017661803	0.025709155155962303	0.03872016510194011	1000			not_applicable	0.03155049043943334	0.025709155155962303	0.03872016510194011	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.7333333333333333	0.7666666666666666	0.025868874788836652	0.0036948063843322294	0.025769247052587978	0.02234221029023106	0.029268560648561773	1000			not_applicable	0.025868874788836652	0.02234221029023106	0.029268560648561773	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.7666666666666666	0.8	0.042995054913216806	0.01677132170630138	0.041257464812915826	0.027236310143966977	0.0582559280647403	1000			not_applicable	0.042995054913216806	0.027236310143966977	0.0582559280647403	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.8	0.8333333333333334	0.02989349386555372	0.005777692074020464	0.02939378445119965	0.024124260369875045	0.035411634502391834	1000			not_applicable	0.02989349386555372	0.024124260369875045	0.035411634502391834	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.8333333333333334	0.8666666666666667	0.021962305828955753	0.003892696782108181	0.021754829009507145	0.018276876686368463	0.025687060667858218	1000			not_applicable	0.021962305828955753	0.018276876686368463	0.025687060667858218	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.8666666666666667	0.9	0.015634678459966807	0.0027358516863041815	0.015682449164427438	0.01323900744241309	0.01833908822168574	1000			not_applicable	0.015634678459966807	0.01323900744241309	0.01833908822168574	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.9	0.9333333333333333	0.011978120060344908	0.003701443206063379	0.01175751627316288	0.008509911678731462	0.015628652042252018	1000			not_applicable	0.011978120060344908	0.008509911678731462	0.015628652042252018	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.9333333333333333	0.9666666666666667	0.003659962003984585	0.0015405772756913322	0.0035534465152500814	0.002252804507360302	0.0050679155767769535	1000			not_applicable	0.003659962003984585	0.002252804507360302	0.0050679155767769535	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	background	0.9666666666666667	1.0	0.0007602572561257061	0.0006536644062827157	0.0007288978201816164	9.070279978621097e-05	0.0014322437545424378	1000			not_applicable	0.0007602572561257061	9.070279978621097e-05	0.0014322437545424378	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.0	0.03333333333333333	0.02873125625432394	0.020316190302472302	0.02873125625432394	0.014315401488536097	0.04324756429736353	1000			not_applicable	0.02873125625432394	0.014315401488536097	0.04324756429736353	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.03333333333333333	0.06666666666666667	0.06554825640760953	0.029105952487312115	0.06357081587245474	0.03667307732614251	0.09434364053244065	1000			not_applicable	0.06554825640760953	0.03667307732614251	0.09434364053244065	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.06666666666666667	0.1	0.06351209161335511	0.029006886882412024	0.0614790177339798	0.0347997791679845	0.08969890792621986	1000			not_applicable	0.06351209161335511	0.0347997791679845	0.08969890792621986	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.1	0.13333333333333333	0.19902826424878622	0.05214843178457031	0.1951648431886323	0.1455336709096607	0.25068929170755777	1000			not_applicable	0.19902826424878622	0.1455336709096607	0.25068929170755777	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.13333333333333333	0.16666666666666666	0.29488658679237434	0.06173111183368745	0.2898451060721612	0.2306531796052956	0.3587749057641758	1000			not_applicable	0.29488658679237434	0.2306531796052956	0.3587749057641758	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.16666666666666666	0.2	0.4317141118906903	0.07423240778593203	0.4292777927236255	0.3446440743355634	0.5104771268308962	1000			not_applicable	0.4317141118906903	0.3446440743355634	0.5104771268308962	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.2	0.23333333333333334	0.6838506447776198	0.09419812646403171	0.6799376414995415	0.5986389725132001	0.7704546144779293	1000			not_applicable	0.6838506447776198	0.5986389725132001	0.7704546144779293	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.23333333333333334	0.26666666666666666	0.918765088016622	0.10879920409144468	0.9173256945446375	0.8043096279323013	1.025363574125474	1000			not_applicable	0.918765088016622	0.8043096279323013	1.025363574125474	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.26666666666666666	0.3	1.4210785698316046	0.13761246524265586	1.412719500410957	1.2720187178935298	1.5529497845287314	1000			not_applicable	1.4210785698316046	1.2720187178935298	1.5529497845287314	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.3	0.3333333333333333	1.3567472366561832	0.13241301886577958	1.3532966620626654	1.2331367311368608	1.4780284862301336	1000			not_applicable	1.3567472366561832	1.2331367311368608	1.4780284862301336	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.3333333333333333	0.36666666666666664	1.5223213735781826	0.1395844476586356	1.5212344949379988	1.389696649186985	1.659842731854194	1000			not_applicable	1.5223213735781826	1.389696649186985	1.659842731854194	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.36666666666666664	0.4	1.9728889939048306	0.16051631541519493	1.9709398707858043	1.7916986954484275	2.1448316907137515	1000			not_applicable	1.9728889939048306	1.7916986954484275	2.1448316907137515	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.4	0.43333333333333335	2.2413933697885047	0.17222000122237044	2.2383458025402905	2.0542945542420408	2.424166189685297	1000			not_applicable	2.2413933697885047	2.0542945542420408	2.424166189685297	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.43333333333333335	0.4666666666666667	2.3351328268756775	0.17488483901169072	2.3244875717759905	2.1459825704431026	2.5003312690079245	1000			not_applicable	2.3351328268756775	2.1459825704431026	2.5003312690079245	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.4666666666666667	0.5	2.4064171914632735	0.17731119522577643	2.39881681645753	2.2070405970507148	2.5807855590482176	1000			not_applicable	2.4064171914632735	2.2070405970507148	2.5807855590482176	1000	True	paired_source_member_bootstrap_p16_p84
fig02	physical_yield	signal	0.5	0.5333333333333333	2.616929131604528	0.18485958835848218	2.6021401547469942	2.401263812340674	2.831477714745295	1000			not_applicable	2.616929131604528	2.401263812340674	2.831477714745295	1000	True	paired_source_member_bootstrap_p16_p84
