figure	panel	series	bin_low	bin_high	value	statistical_uncertainty	normalization
fig13	unit_shape	fourb_ordinary	134.9282847673563	156.730853766308	0.022806818556482235	0.0025981286289118205	unit_area
fig13	unit_shape	fourb_ordinary	156.730853766308	182.05642030260796	0.019764193190289547	0.002514761851657998	unit_area
fig13	unit_shape	fourb_ordinary	182.05642030260796	211.47425268811284	0.013144858963811387	0.0020027880373901614	unit_area
fig13	unit_shape	fourb_ordinary	211.47425268811284	245.64560522315796	0.015182701809474466	0.0021767276707364515	unit_area
fig13	unit_shape	fourb_ordinary	245.64560522315796	285.33858187665555	0.008179707429864165	0.001552218501085375	unit_area
fig13	unit_shape	fourb_ordinary	285.33858187665555	331.44540173399844	0.005089144963297463	0.0012091139817957783	unit_area
fig13	unit_shape	fourb_ordinary	331.44540173399844	385.0024543056699	0.004849980294691111	0.0012202493205385407	unit_area
fig13	unit_shape	fourb_ordinary	385.0024543056699	447.213595499958	0.0026728591743854974	0.0008763354332830657	unit_area
fig13	unit_shape	fourb_ordinary	447.213595499958	519.4772079068651	0.0023306405657560554	0.0008472338664323071	unit_area
fig13	unit_shape	fourb_ordinary	519.4772079068651	603.4176336545162	0.0016603605833171457	0.0007165353158498879	unit_area
fig13	unit_shape	fourb_ordinary	603.4176336545162	700.9216863860865	0.0006501199350797011	0.0004525761554826687	unit_area
fig13	unit_shape	fourb_ordinary	700.9216863860865	814.1810630738086	0.0006563519638596459	0.0004534412276878861	unit_area
fig13	unit_shape	fourb_ordinary	814.1810630738086	945.7416090031759	0.0006401867298816853	0.0004525399682711181	unit_area
fig13	unit_shape	fourb_ordinary	945.7416090031759	1098.560543306117	0.0003199888582631928	0.00031998885826327057	unit_area
fig13	unit_shape	fourb_ordinary	1098.560543306117	1276.0729313591826	9.938123954086574e-08	9.938114472816368e-08	unit_area
fig13	unit_shape	fourb_ordinary	1276.0729313591826	1482.2688982138943	0.0	0.0	unit_area
fig13	unit_shape	fourb_ordinary	1482.2688982138943	1721.7833186634691	0.0	0.0	unit_area
fig13	unit_shape	fourb_ordinary	1721.7833186634691	2000.0	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.25	0.29039658741038554	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.29039658741038554	0.33732071191839086	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.33732071191839086	0.3918271344157699	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.3918271344157699	0.45514105075652006	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.45514105075652006	0.528685631720282	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.528685631720282	0.6141140130578951	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.6141140130578951	0.7133464546916389	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.7133464546916389	0.8286135043349967	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.8286135043349967	0.962506135764175	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	0.962506135764175	1.118033988749895	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	1.118033988749895	1.2986930197671636	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	1.2986930197671636	1.5085440841362905	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	1.5085440841362905	1.7523042159652176	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	1.7523042159652176	2.0354526576845218	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	2.0354526576845218	2.3643540225079396	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	2.3643540225079396	2.7464013582652944	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	2.7464013582652944	3.1901823283979565	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	3.1901823283979565	3.7056722455347377	2.512318773830451e-07	2.512318773830451e-07	unit_area
fig13	unit_shape	threeb_qcd_template	3.7056722455347377	4.304458296658675	0.004333463323379846	0.004333463323379846	unit_area
fig13	unit_shape	threeb_qcd_template	4.304458296658675	5.000000000000001	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	5.000000000000001	5.807931748207712	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	5.807931748207712	6.746414238367816	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	6.746414238367816	7.836542688315396	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	7.836542688315396	9.102821015130399	0.0043174976484454345	0.004317497648445435	unit_area
fig13	unit_shape	threeb_qcd_template	9.102821015130399	10.57371263440564	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	10.57371263440564	12.282280261157908	0.0	0.0	unit_area
fig13	unit_shape	threeb_qcd_template	12.282280261157908	14.266929093832774	0.014252473231051426	0.007290558874917392	unit_area
fig13	unit_shape	threeb_qcd_template	14.266929093832774	16.572270086699938	0.03297797497961427	0.01733482748488433	unit_area
fig13	unit_shape	threeb_qcd_template	16.572270086699938	19.250122715283492	0.017065612363427993	0.00781648927481618	unit_area
fig13	unit_shape	threeb_qcd_template	19.250122715283492	22.360679774997894	0.036168848424387744	0.014886816980671201	unit_area
fig13	unit_shape	threeb_qcd_template	22.360679774997894	25.97386039534325	0.04125278861630469	0.015565219965531276	unit_area
fig13	unit_shape	threeb_qcd_template	25.97386039534325	30.170881682725806	0.0516976354003783	0.01934190620715692	unit_area
fig13	unit_shape	threeb_qcd_template	30.170881682725806	35.046084319304356	0.04625461823216238	0.019003204539229837	unit_area
fig13	unit_shape	threeb_qcd_template	35.046084319304356	40.70905315369042	0.04105694970079473	0.015144553470540695	unit_area
fig13	unit_shape	threeb_qcd_template	40.70905315369042	47.28708045015879	0.10341306757006001	0.02578687286608371	unit_area
fig13	unit_shape	threeb_qcd_template	47.28708045015879	54.92802716530585	0.13499945844413405	0.03356965504449645	unit_area
fig13	unit_shape	threeb_qcd_template	54.92802716530585	63.80364656795912	0.0672685071902277	0.020705453667351024	unit_area
fig13	unit_shape	threeb_qcd_template	63.80364656795912	74.11344491069478	0.06758914518743385	0.017570165896288088	unit_area
fig13	unit_shape	threeb_qcd_template	74.11344491069478	86.08916593317345	0.08955169704417479	0.01662946894290241	unit_area
fig13	unit_shape	threeb_qcd_template	86.08916593317345	100.0	0.07724347066619244	0.018583639391078863	unit_area
fig13	unit_shape	threeb_qcd_template	100.0	116.15863496415416	0.016798401760206395	0.0075188954009608455	unit_area
fig13	unit_shape	threeb_qcd_template	116.15863496415416	134.9282847673563	0.04008371832595843	0.010891452502196091	unit_area
fig13	unit_shape	threeb_qcd_template	134.9282847673563	156.730853766308	0.03183384956622438	0.00953513370410439	unit_area
fig13	unit_shape	threeb_qcd_template	156.730853766308	182.05642030260796	0.0145901024686698	0.005446331263706173	unit_area
fig13	unit_shape	threeb_qcd_template	182.05642030260796	211.47425268811284	0.011680139101926678	0.0059873412206999455	unit_area
fig13	unit_shape	threeb_qcd_template	211.47425268811284	245.64560522315796	0.020139898383710195	0.007710098692962167	unit_area
fig13	unit_shape	threeb_qcd_template	245.64560522315796	285.33858187665555	0.013723361570369921	0.004265420261219108	unit_area
fig13	unit_shape	threeb_qcd_template	285.33858187665555	331.44540173399844	0.006865665281742593	0.0039974107563941	unit_area
fig13	unit_shape	threeb_qcd_template	331.44540173399844	385.0024543056699	0.008352519862905378	0.003605471843319816	unit_area
fig13	unit_shape	threeb_qcd_template	385.0024543056699	447.213595499958	0.0009028184392512835	0.00038578677607642355	unit_area
fig13	unit_shape	threeb_qcd_template	447.213595499958	519.4772079068651	0.0017814515478647769	0.0011630640417050104	unit_area
fig13	unit_shape	threeb_qcd_template	519.4772079068651	603.4176336545162	0.0023321735305715094	0.0015842685687269856	unit_area
fig13	unit_shape	threeb_qcd_template	603.4176336545162	700.9216863860865	5.990256199156235e-05	2.6238661647100622e-05	unit_area
fig13	unit_shape	threeb_qcd_template	700.9216863860865	814.1810630738086	0.0011480865049850765	0.0011143291626081375	unit_area
fig13	unit_shape	threeb_qcd_template	814.1810630738086	945.7416090031759	3.6136831900219766e-05	1.877843948296966e-05	unit_area
fig13	unit_shape	threeb_qcd_template	945.7416090031759	1098.560543306117	1.3414351015541512e-05	1.29145454716627e-05	unit_area
fig13	unit_shape	threeb_qcd_template	1098.560543306117	1276.0729313591826	1.609756437562871e-05	1.321089694378988e-05	unit_area
fig13	unit_shape	threeb_qcd_template	1276.0729313591826	1482.2688982138943	0.00019213914030163546	0.00019163246288187062	unit_area
fig13	unit_shape	threeb_qcd_template	1482.2688982138943	1721.7833186634691	6.6639519819485035e-06	3.573898919088703e-06	unit_area
fig13	unit_shape	threeb_qcd_template	1721.7833186634691	2000.0	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	0.25	0.29039658741038554	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	0.29039658741038554	0.33732071191839086	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	0.33732071191839086	0.3918271344157699	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	0.3918271344157699	0.45514105075652006	0.0	0.0	unit_area
fig13	unit_shape	fourb_direct_qcd	0.45514105075652006	0.528685631720282	0.0	0.0	unit_area
