model	false_positive_rate	true_positive_rate	threshold	weighting
bdt	0.055797385100908176	0.3626884072407119	0.8311558961868286	development_hierarchical_weight
bdt	0.05677114893998819	0.36649472324975474	0.8297038674354553	development_hierarchical_weight
bdt	0.0583638094631112	0.36951476925784743	0.8282160758972168	development_hierarchical_weight
bdt	0.058837674878842755	0.37308932858705757	0.8268616199493408	development_hierarchical_weight
bdt	0.05931261473789182	0.3772171970736111	0.8250072598457336	development_hierarchical_weight
bdt	0.06114182787097247	0.3802832203948294	0.8232259154319763	development_hierarchical_weight
bdt	0.06305081954423077	0.3837467606064871	0.8212677836418152	development_hierarchical_weight
bdt	0.06349989349991514	0.38768519491493425	0.8193094730377197	development_hierarchical_weight
bdt	0.06412617697222432	0.39087213824719597	0.8176690936088562	development_hierarchical_weight
bdt	0.06456988943317908	0.39499086563283464	0.8157884478569031	development_hierarchical_weight
bdt	0.06686973073514917	0.3982514461768462	0.8142201900482178	development_hierarchical_weight
bdt	0.06748079367502062	0.40194386890417355	0.812566339969635	development_hierarchical_weight
bdt	0.06826999331120222	0.4048081828594514	0.8107743859291077	development_hierarchical_weight
bdt	0.06994768360264457	0.40746014259113605	0.8092444539070129	development_hierarchical_weight
bdt	0.07428910926848785	0.41051477170546846	0.8075590133666992	development_hierarchical_weight
bdt	0.07481330158010198	0.4148124201893325	0.8059408068656921	development_hierarchical_weight
bdt	0.08216455121981497	0.41813054313550047	0.8042486906051636	development_hierarchical_weight
bdt	0.0831752815478855	0.42115314145548177	0.8024245500564575	development_hierarchical_weight
bdt	0.08379841869665566	0.4247103818861582	0.8007523417472839	development_hierarchical_weight
bdt	0.08428896737163677	0.4287286303294492	0.7990332245826721	development_hierarchical_weight
bdt	0.08552832647686309	0.43287307916247164	0.7973378896713257	development_hierarchical_weight
bdt	0.10180001411339636	0.4364692625971374	0.7957870960235596	development_hierarchical_weight
bdt	0.10224268373487139	0.44013394999484196	0.7938647270202637	development_hierarchical_weight
bdt	0.1039805385492472	0.44371494896867036	0.7917534708976746	development_hierarchical_weight
bdt	0.10462459653142768	0.4472492280073119	0.7899512052536011	development_hierarchical_weight
bdt	0.10501300972417925	0.45096556492129874	0.7880380153656006	development_hierarchical_weight
bdt	0.10635162482817269	0.453932814831652	0.7862344980239868	development_hierarchical_weight
bdt	0.10827527432658379	0.45709908917911457	0.7841821312904358	development_hierarchical_weight
bdt	0.10948941454204789	0.46032013691287293	0.7822268009185791	development_hierarchical_weight
bdt	0.11030865697706092	0.4631613865930031	0.7802347540855408	development_hierarchical_weight
bdt	0.11195918920921372	0.46625289871538744	0.7788450121879578	development_hierarchical_weight
bdt	0.11330719786660876	0.46913925737819634	0.7766798734664917	development_hierarchical_weight
bdt	0.11653351830840342	0.4724474127740952	0.7747684717178345	development_hierarchical_weight
bdt	0.12288556769313057	0.4754061173995853	0.7730705738067627	development_hierarchical_weight
bdt	0.12352819443870636	0.4787366978511443	0.7714261412620544	development_hierarchical_weight
