member	path	exists	writable
ttbar_100k_shard004	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard004/lhe	True	True
ttbar_100k_shard004	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard004/hepmc	True	True
ttbar_100k_shard004	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard004/root	True	True
ttbar_100k_shard004	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard004/parquet	True	True
ttbar_100k_shard004	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard004/logs	True	True
ttbar_100k_shard004	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard004/receipts	True	True
ttbar_100k_shard004	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard004/checksums	True	True
ttbar_100k_shard005	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard005/lhe	True	True
ttbar_100k_shard005	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard005/hepmc	True	True
ttbar_100k_shard005	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard005/root	True	True
ttbar_100k_shard005	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard005/parquet	True	True
ttbar_100k_shard005	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard005/logs	True	True
ttbar_100k_shard005	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard005/receipts	True	True
ttbar_100k_shard005	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard005/checksums	True	True
ttbar_100k_shard007	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard007/lhe	True	True
ttbar_100k_shard007	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard007/hepmc	True	True
ttbar_100k_shard007	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard007/root	True	True
ttbar_100k_shard007	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard007/parquet	True	True
ttbar_100k_shard007	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard007/logs	True	True
ttbar_100k_shard007	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard007/receipts	True	True
ttbar_100k_shard007	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard007/checksums	True	True
ttbar_100k_shard008	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard008/lhe	True	True
ttbar_100k_shard008	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard008/hepmc	True	True
ttbar_100k_shard008	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard008/root	True	True
ttbar_100k_shard008	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard008/parquet	True	True
ttbar_100k_shard008	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard008/logs	True	True
ttbar_100k_shard008	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard008/receipts	True	True
ttbar_100k_shard008	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard008/checksums	True	True
ttbar_100k_shard009	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard009/lhe	True	True
ttbar_100k_shard009	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard009/hepmc	True	True
ttbar_100k_shard009	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard009/root	True	True
ttbar_100k_shard009	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard009/parquet	True	True
ttbar_100k_shard009	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard009/logs	True	True
ttbar_100k_shard009	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard009/receipts	True	True
ttbar_100k_shard009	/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/hh4b_ttbar7_exact_regeneration_scaleout_20260728_v1/members/ttbar_100k_shard009/checksums	True	True
