variable	axis_label	bin_index	bin_low	bin_high	bin_label	model	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	0	0.0	100.0	[0,100)	single_head_learned	0.8121399176954732	0.8121505214502043	0.8119890678981756	0.006599215298246934	0.8056199674251535	0.8186907995236736	0.7993614297870326	0.8254167290434983	1000	0	{}
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	0	0.0	100.0	[0,100)	frozen_geometric	0.7921810699588477	0.7920306538365166	0.7921785095680285	0.0070945310264659365	0.7848307402296649	0.7993362159301023	0.7778898971602844	0.8053964796632908	1000	0	{}
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	1	100.0	200.0	[100,200)	single_head_learned	0.8453333333333334	0.8455872854669046	0.8457221841200799	0.006264144176384518	0.8392409751327121	0.8517921704729676	0.8334888470389354	0.8581171668833445	1000	0	{}
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	1	100.0	200.0	[100,200)	frozen_geometric	0.8147878787878788	0.8147684946751438	0.8148552439082246	0.0066327964990688226	0.8080499492909111	0.8216474331164136	0.8020044286575166	0.8277940599752818	1000	0	{}
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	2	200.0	300.0	[200,300)	single_head_learned	0.9087635054021609	0.9091565183338283	0.909611320508072	0.007719818622043558	0.9014396847727598	0.9168184578020644	0.8925446428571429	0.9235128692124961	1000	0	{}
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	2	200.0	300.0	[200,300)	frozen_geometric	0.9117647058823529	0.9116664838069096	0.9118012585374289	0.006539437211187245	0.904995965831801	0.9180956867965107	0.8990675273777858	0.9239414083555956	1000	0	{}
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	3	300.0	500.0	[300,500)	single_head_learned	0.9368029739776952	0.9368624916921883	0.937046004842615	0.0090503431995862	0.927948551640741	0.9460098505141277	0.9181101607149706	0.9534324039584228	1000	0	{}
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	3	300.0	500.0	[300,500)	frozen_geometric	0.9491945477075588	0.9489610473436813	0.9491945477075588	0.0070039735319943185	0.9421364686761979	0.9557772435191789	0.9349768348751071	0.962387881112877	1000	0	{}
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	4	500.0	inf	>=500	single_head_learned	0.975	0.9748667284293514	0.9753086419753086	0.01632860479247298	0.9594594594594594	0.9882352941176471	0.9382716049382716	1.0	1000	0	{}
truth_Higgs_pT_GeV	Truth Higgs $p_T$ [GeV]	4	500.0	inf	>=500	frozen_geometric	0.975	0.9749978997849369	0.975	0.01620535181870391	0.96	0.9880952380952381	0.9382523148148147	1.0	1000	0	{}
selected_jet_multiplicity	Selected-jet multiplicity	0	4.0	5.0	[4,5)	single_head_learned	0.8592077087794433	0.8592924682673669	0.8590225775445727	0.0073487524236363335	0.8518325975112598	0.8666078431372549	0.8451742080755281	0.8736266783534101	1000	0	{}
selected_jet_multiplicity	Selected-jet multiplicity	0	4.0	5.0	[4,5)	frozen_geometric	0.8399357601713062	0.8399605815063889	0.8396581973208979	0.00843699467750518	0.8315334773218143	0.8485418703586548	0.8242541699902456	0.8563059573002755	1000	0	{}
selected_jet_multiplicity	Selected-jet multiplicity	1	5.0	6.0	[5,6)	single_head_learned	0.8536585365853658	0.8538665124511774	0.8540333779793055	0.009077222516327825	0.8444380109061833	0.8625698915248259	0.8364177743268362	0.8728731935420813	1000	0	{}
selected_jet_multiplicity	Selected-jet multiplicity	1	5.0	6.0	[5,6)	frozen_geometric	0.8237929318068691	0.8236233381164656	0.8233975040286108	0.009095248954693854	0.8147420136505884	0.8325616719251613	0.8065598369065194	0.8417913690647433	1000	0	{}
selected_jet_multiplicity	Selected-jet multiplicity	2	6.0	7.0	[6,7)	single_head_learned	0.8415435139573071	0.841796048709601	0.8417900307516271	0.011522158595569973	0.8300466598383976	0.8535127612986249	0.818950303232063	0.862964438965119	1000	0	{}
selected_jet_multiplicity	Selected-jet multiplicity	2	6.0	7.0	[6,7)	frozen_geometric	0.8308702791461412	0.8307322892608365	0.8309248433468723	0.014637976765533864	0.8163881879635457	0.8458518581608607	0.8009832680990451	0.8578409505445829	1000	0	{}
selected_jet_multiplicity	Selected-jet multiplicity	3	7.0	inf	>=7	single_head_learned	0.8100890207715133	0.8099922021482577	0.8099547511312217	0.01306309870983382	0.7965075419660186	0.8234542035992479	0.7863416004200705	0.8352439670735545	1000	0	{}
selected_jet_multiplicity	Selected-jet multiplicity	3	7.0	inf	>=7	frozen_geometric	0.8175074183976261	0.8172453503072374	0.8177873937031258	0.013032942073975502	0.8035448916408668	0.8294573643410853	0.791847343166874	0.8434467614527067	1000	0	{}
extra_jet_activity	Extra selected jets	0	0.0	1.0	[0,1)	single_head_learned	0.8592077087794433	0.8592924682673669	0.8590225775445727	0.0073487524236363335	0.8518325975112598	0.8666078431372549	0.8451742080755281	0.8736266783534101	1000	0	{}
extra_jet_activity	Extra selected jets	0	0.0	1.0	[0,1)	frozen_geometric	0.8399357601713062	0.8399605815063889	0.8396581973208979	0.00843699467750518	0.8315334773218143	0.8485418703586548	0.8242541699902456	0.8563059573002755	1000	0	{}
extra_jet_activity	Extra selected jets	1	1.0	2.0	[1,2)	single_head_learned	0.8536585365853658	0.8538665124511774	0.8540333779793055	0.009077222516327825	0.8444380109061833	0.8625698915248259	0.8364177743268362	0.8728731935420813	1000	0	{}
extra_jet_activity	Extra selected jets	1	1.0	2.0	[1,2)	frozen_geometric	0.8237929318068691	0.8236233381164656	0.8233975040286108	0.009095248954693854	0.8147420136505884	0.8325616719251613	0.8065598369065194	0.8417913690647433	1000	0	{}
extra_jet_activity	Extra selected jets	2	2.0	3.0	[2,3)	single_head_learned	0.8415435139573071	0.841796048709601	0.8417900307516271	0.011522158595569973	0.8300466598383976	0.8535127612986249	0.818950303232063	0.862964438965119	1000	0	{}
extra_jet_activity	Extra selected jets	2	2.0	3.0	[2,3)	frozen_geometric	0.8308702791461412	0.8307322892608365	0.8309248433468723	0.014637976765533864	0.8163881879635457	0.8458518581608607	0.8009832680990451	0.8578409505445829	1000	0	{}
extra_jet_activity	Extra selected jets	3	3.0	inf	>=3	single_head_learned	0.8100890207715133	0.8099922021482577	0.8099547511312217	0.01306309870983382	0.7965075419660186	0.8234542035992479	0.7863416004200705	0.8352439670735545	1000	0	{}
extra_jet_activity	Extra selected jets	3	3.0	inf	>=3	frozen_geometric	0.8175074183976261	0.8172453503072374	0.8177873937031258	0.013032942073975502	0.8035448916408668	0.8294573643410853	0.791847343166874	0.8434467614527067	1000	0	{}
