seed,category,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,n_signal_rows,n_background_rows,neff_background,combined_category_Z
4,CAT1_high_QCD_medium_top,31.081664346744777,119838.16340833282,0.0002593636573087163,0.0897856009625912,45,100,53.3382038526305,
4,CAT2_nominal_loose_mid,22.485161435282418,132964.84483168158,0.00016910606306310577,0.06166341806662182,36,128,75.25918147179752,
4,CAT3_lower_QCD_medium_top,20.794732094617007,142838.17670458442,0.00014558245263536466,0.05502134222490103,31,144,52.91202655035561,
4,CAT4_loose_low_purity,16.09155672322317,118996.68879939671,0.00013522692845975015,0.04664774152965298,21,109,56.60700161800023,
4,INCLUSIVE_union_of_categories,139.68487766110312,596436.901078036,0.00023419891929662339,0.18087025015273075,209,541,261.48899246965624,0.21609706321304445
5,CAT0_very_high_QCD_high_top,59.9245202593181,73633.67665329993,0.0008138194774854089,0.22083419519178196,82,59,28.437426657015255,
5,CAT1_high_QCD_medium_top,34.44573036847549,117202.20015855516,0.00029390003192667136,0.10061610832780435,47,110,54.92676534320864,
5,CAT2_nominal_loose_mid,28.17793589985594,108706.87244268523,0.0002592102529185771,0.08546350034561603,35,113,66.02998432467149,
5,CAT3_lower_QCD_medium_top,12.318213324590893,136422.8027664259,9.029438682388985e-05,0.0333506449549301,21,133,57.68529092321235,
5,CAT4_loose_low_purity,16.4393908756603,111662.20135073527,0.00014722431294385412,0.04919632127389763,22,90,37.072029801781916,
5,INCLUSIVE_union_of_categories,151.30579072790073,547627.7533717015,0.00027629313853493135,0.20446210357599573,207,505,234.5363664342149,0.26406040304853357
6,CAT0_very_high_QCD_high_top,45.35610335167859,57229.674466364864,0.0007925277187857388,0.1895942222809441,71,58,28.170869465891162,
6,CAT1_high_QCD_medium_top,26.995450641166762,89996.44295026394,0.0002999613068717133,0.08998661374846378,43,83,41.16737959376943,
6,CAT2_nominal_loose_mid,23.885133904788113,99820.48293374268,0.0002392808890800721,0.07559931267236676,35,102,54.547180516865,
6,CAT3_lower_QCD_medium_top,22.09792477710512,113986.13004620363,0.00019386503224688698,0.0654523865073136,28,128,67.17046090205399,
6,CAT4_loose_low_purity,11.435713654375345,122574.48260762956,9.329603854810428e-05,0.03266353902937777,19,116,38.870483836248994,
6,INCLUSIVE_union_of_categories,129.7703263291139,483607.21300420474,0.00026833827709675956,0.18660746444190993,196,487,217.43089041852429,0.2347546326149752
7,CAT0_very_high_QCD_high_top,43.91988060895424,59642.33465355141,0.0007363876827437207,0.17983898105808063,66,51,25.418341841524974,
7,CAT1_high_QCD_medium_top,31.601667284363344,75678.36447773672,0.00041757862372488266,0.11487463049784359,45,84,43.11548122608802,
7,CAT2_nominal_loose_mid,27.480489733293933,147429.2876025808,0.0001863977651941993,0.07157025829720141,44,123,72.85046804246309,
7,CAT3_lower_QCD_medium_top,19.718205185068893,150327.96546016316,0.0001311679109386617,0.050856619840345015,30,140,84.44967914430582,
7,CAT4_loose_low_purity,10.89618178253482,113189.65219431887,9.626482254604641e-05,0.03238701909292021,20,86,23.19402770919445,
7,INCLUSIVE_union_of_categories,133.61642459421523,546267.604388351,0.0002445988440845286,0.18078280616931644,205,484,214.5103972118579,0.23301471305491303
8,CAT0_very_high_QCD_high_top,51.195005492002196,79689.10817991284,0.000642434162726731,0.18135440576132916,78,65,18.85457587704179,
8,CAT1_high_QCD_medium_top,33.772840648097066,104305.63941618401,0.00032378729316199264,0.104571586273895,53,98,47.34681025347063,
8,CAT2_nominal_loose_mid,16.575149396028678,110110.1293673763,0.00015053246682443372,0.049950957213728345,31,115,66.56255206993471,
8,CAT3_lower_QCD_medium_top,23.204611615002754,141500.43772649657,0.0001639896807941647,0.061687250317199814,33,160,89.96768106010093,
8,CAT4_loose_low_purity,18.269180291781574,154325.2941581963,0.00011838098473380611,0.046505091691346506,19,112,30.41261681506806,
8,INCLUSIVE_union_of_categories,143.0167874429123,589930.608848166,0.00024242984733772544,0.18620294827557687,214,550,198.36893209840002,0.2286652043411254
9,CAT0_very_high_QCD_high_top,38.338362147654706,67900.21935385933,0.0005646279572066747,0.14712889281877972,57,57,29.300420310107704,
9,CAT1_high_QCD_medium_top,29.94656439936138,133418.63214913674,0.00022445563949334153,0.0819858235482647,46,112,63.853847498038455,
9,CAT2_nominal_loose_mid,22.88948046685752,115506.9736995132,0.0001981653551620493,0.06734910560794115,36,123,66.95230247191058,
9,CAT3_lower_QCD_medium_top,33.56719099317331,157333.50553244076,0.00021335055670168145,0.08462611231354772,44,152,59.149350658398966,
9,CAT4_loose_low_purity,20.404222090398587,126595.33523545052,0.00016117672939883166,0.05734706428805084,20,122,69.93730248296227,
9,INCLUSIVE_union_of_categories,145.14582009744555,600754.6659704004,0.00024160581401892428,0.18726471642059983,203,566,281.2887216459083,0.20821804210711378
10,CAT0_very_high_QCD_high_top,38.21149436000885,87291.01498909255,0.00043774831080591243,0.1293329699243914,70,67,23.35050575460232,
10,CAT1_high_QCD_medium_top,23.3686317967282,149144.84664622616,0.00015668413842121512,0.06051027961555763,48,119,51.24758277934639,
10,CAT2_nominal_loose_mid,28.06891831601636,158416.68168617194,0.0001771841072370251,0.07052209747967188,40,124,45.25495536635641,
10,CAT3_lower_QCD_medium_top,18.076476184370517,150549.82574177723,0.00012006972505816947,0.04658795472520678,30,136,55.585655900825365,
10,CAT4_loose_low_purity,18.809812633469665,126864.32471830088,0.0001482671560758818,0.05280982319118992,22,116,69.29301904025891,
10,INCLUSIVE_union_of_categories,126.53533329059357,672266.6937815687,0.00018822192808455143,0.15432668078714337,210,562,231.17997840636428,0.17412981431251653
11,CAT0_very_high_QCD_high_top,41.3312307779165,57404.338849550244,0.0007200018605952523,0.1725067043937471,59,50,23.880224366618414,
11,CAT1_high_QCD_medium_top,32.49141380769655,157671.925043014,0.0002060697476664452,0.08182601936229136,43,121,47.05805067723146,
11,CAT2_nominal_loose_mid,21.947409562479343,121001.68578995031,0.00018138102307581377,0.06309392681000606,38,120,40.44191738129841,
11,CAT3_lower_QCD_medium_top,27.257444900855578,115993.71078687126,0.00023499071385808885,0.08003278350275951,41,123,37.93668943245246,
11,CAT4_loose_low_purity,11.608934286710975,70888.26073914344,0.00016376384701311615,0.04360187769482245,19,73,35.54058491987121,
11,INCLUSIVE_union_of_categories,134.63643333565895,522959.9212085294,0.00025745076797572197,0.18617801470575815,200,487,179.41002618037433,0.2207742609080369
12,CAT0_very_high_QCD_high_top,42.602054539203735,73887.79942019726,0.0005765776606355182,0.1567271289358701,64,61,30.78205226623695,
12,CAT1_high_QCD_medium_top,32.023714172119334,92387.51555919427,0.00034662382658835744,0.1053574029098659,49,100,49.825145014178034,
12,CAT2_nominal_loose_mid,26.308883186203833,97694.70020168966,0.0002692969335275038,0.084171857331165,45,102,63.07365085322636,
12,CAT3_lower_QCD_medium_top,12.36791445214595,154289.74592955114,8.016031381497739e-05,0.031486757593007474,21,138,54.990695560439136,
12,CAT4_loose_low_purity,21.156680734168788,115887.25639766897,0.00018256261638958213,0.062148362721385665,30,94,33.751713063530815,
12,INCLUSIVE_union_of_categories,134.45924708384166,534147.0175083013,0.0002517270389546863,0.18397561829898004,209,495,214.39486593819345,0.2181795401765262
13,CAT0_very_high_QCD_high_top,43.35351606001989,55221.84256380238,0.0007850791289683965,0.18448832111035593,68,53,25.19710290603379,
13,CAT1_high_QCD_medium_top,32.55122609704874,122980.86824747652,0.0002646852844748611,0.09282149826146349,47,100,36.50226450793176,
13,CAT2_nominal_loose_mid,27.55356060517299,112935.79442295195,0.00024397544415354357,0.0819901956739869,33,125,69.7051431118451,
13,CAT3_lower_QCD_medium_top,20.647487034376045,126410.20791549525,0.00016333718118855412,0.05807324970089242,29,113,43.94182936734432,
13,CAT4_loose_low_purity,14.695617503039685,111823.11086620469,0.00013141842852702296,0.043946273544905816,20,101,58.798648296104545,
13,INCLUSIVE_union_of_categories,138.80140729965734,529371.8240159309,0.0002622002173192358,0.19077148413268144,197,492,216.4546067963226,0.2338331470121061
14,CAT0_very_high_QCD_high_top,51.98057671484157,87179.26178494218,0.0005962493332768709,0.1760493800317727,72,74,36.216738726993725,
14,CAT1_high_QCD_medium_top,17.580904327404113,89260.2849113019,0.0001969622250799926,0.058845339962005354,34,91,45.08724235698143,
14,CAT2_nominal_loose_mid,22.87806030850472,146051.4181928835,0.00015664387646199164,0.05986407981966655,31,123,36.463352454622836,
14,CAT3_lower_QCD_medium_top,12.662904530294607,125115.5273470567,0.00010120969634063966,0.035799563157972024,23,126,71.90287113682521,
14,CAT4_loose_low_purity,18.316714402445804,119262.70795276544,0.0001535829155388642,0.053038989441922174,25,110,38.392908336156076,
14,INCLUSIVE_union_of_categories,123.41916028349083,566869.2001889497,0.00021772070213437698,0.16392347676204538,185,524,206.02106255684782,0.20526716595888606
15,CAT0_very_high_QCD_high_top,40.918549026734425,82540.74148703433,0.0004957375992698344,0.14242493903849263,73,63,35.83829766042943,
15,CAT1_high_QCD_medium_top,30.733173736743268,91844.5437248957,0.00033462166058333446,0.10140998782558427,42,96,48.65506805829499,
15,CAT2_nominal_loose_mid,26.490559136102522,113681.13788923762,0.0002330251053777535,0.0785682208924569,38,118,67.62726657562824,
15,CAT3_lower_QCD_medium_top,16.172248495360144,133078.619586402,0.00012152401749899597,0.04433189155842843,23,126,74.51343985430033,
15,CAT4_loose_low_purity,16.246167890521434,127511.03335165133,0.00012740989907687104,0.045496402179922305,24,128,77.95132146399278,
15,INCLUSIVE_union_of_categories,130.5606982854618,548656.076039221,0.0002379645537291536,0.17626349112072695,200,531,300.7749303228585,0.20193328959231782
16,CAT0_very_high_QCD_high_top,45.85566390442634,84455.82080114922,0.0005429544520370391,0.15778953345524044,73,61,33.17095421224977,
16,CAT1_high_QCD_medium_top,25.94242295199296,74498.17364861637,0.0003482289790667208,0.09504684875938588,43,86,41.5544639822543,
16,CAT2_nominal_loose_mid,24.070788341224407,82459.0451270031,0.0002919120431742894,0.08382453701335117,35,91,51.475270386363775,
16,CAT3_lower_QCD_medium_top,17.013704408720546,136585.9916860767,0.0001245640508129421,0.04603581150022495,25,122,50.599488439810116,
16,CAT4_loose_low_purity,16.783595496586656,130044.97196302294,0.00012905993398467503,0.04654126907181371,22,106,31.486655408389304,
16,INCLUSIVE_union_of_categories,129.66617510295086,508044.00322586845,0.0002552262683539703,0.18191815193448577,198,466,186.1606818796153,0.2127049106154202
17,CAT0_very_high_QCD_high_top,45.20140284534948,56488.952396337765,0.000800181290816077,0.1901823253498843,69,57,25.65813797693966,
17,CAT1_high_QCD_medium_top,30.964773467253718,135283.5781459667,0.00022888789527612664,0.08418706448512,46,110,43.37694765670976,
17,CAT2_nominal_loose_mid,20.379912597688502,115124.86082466885,0.00017702442766663926,0.06006448504317621,38,115,66.00570427815764,
17,CAT3_lower_QCD_medium_top,17.973901444689048,124606.11049789516,0.0001442457466401109,0.05091815819454725,23,132,78.2155290472826,
17,CAT4_loose_low_purity,27.313004958723177,126797.5611270448,0.0002154063904380378,0.07670329725751551,31,114,39.57250437719594,
17,INCLUSIVE_union_of_categories,141.83299531370395,558301.0629919134,0.0002540439284740504,0.1898204712794037,207,528,230.56819310762208,0.23524577724097973
18,CAT0_very_high_QCD_high_top,31.768045269001327,60860.97716975746,0.0005219772462803512,0.12877187887587435,56,52,25.69357599673678,
18,CAT1_high_QCD_medium_top,28.545398761047284,92996.10336466576,0.00030695263272604195,0.09360601103517957,48,94,51.39582099366582,
18,CAT2_nominal_loose_mid,23.563590208793638,127179.70117465712,0.00018527791771136127,0.0660742985410296,34,124,68.21069352178452,
18,CAT3_lower_QCD_medium_top,29.121850482766245,136773.31862761275,0.0002129205518662243,0.07874414566274918,38,150,98.26999341617976,
18,CAT4_loose_low_purity,14.930522217189573,124002.65197698289,0.00012040486214731073,0.042399380530239714,24,117,63.90916167259773,
18,INCLUSIVE_union_of_categories,127.92940693879807,541812.752313676,0.00023611368760241889,0.17379840052517767,200,537,299.3921640448736,0.19418661891163988
19,CAT0_very_high_QCD_high_top,41.69971474052264,62827.1671566951,0.0006637210720725447,0.16636399662396603,68,55,26.77229858586546,
19,CAT1_high_QCD_medium_top,30.458380751748248,98875.02937679483,0.000308049271324885,0.09686424519043109,40,99,53.64170384020643,
19,CAT2_nominal_loose_mid,27.840320352410746,104802.33590223531,0.0002656459907380456,0.08599807836504678,40,112,60.852895561788294,
19,CAT3_lower_QCD_medium_top,17.4896103312477,106789.24823342102,0.00016377688410184078,0.05352003255050497,24,117,66.8616660271916,
19,CAT4_loose_low_purity,21.713575586124406,111245.86723291411,0.00019518545835651548,0.06510126115012317,28,86,52.57361657293642,
19,INCLUSIVE_union_of_categories,139.20160176205377,484539.64790206024,0.00028728629816933063,0.19997678082582937,200,469,256.2696683582253,0.22706364512848662
