category_id	inner_held_out_fold	category_family_id	structure_id	continuous_variables	thresholds_json	training_signal_efficiency	training_background_efficiency	held_out_signal_efficiency	held_out_background_efficiency	held_out_selected_signal_rows	held_out_selected_background_rows	optimizer_audit_json	elapsed_seconds_first_run
exact3tag	4	exact3tag::symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular_mass__category__plus_h2_pt	max_abs_mbb_minus_125,h2_pt	"{""h2_pt"":3.139943911086556,""max_abs_mbb_minus_125"":30.678458922312533}"	0.5861459221358087	0.37532659836872917	0.5846406017530961	0.3889197242032906	748	947	"{""beam_width_used"":16,""coarse_candidates"":64,""coordinate_passes_completed"":2,""grid_sizes"":{""h2_pt"":8,""max_abs_mbb_minus_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.46995115280151367
exact3tag	4	exact3tag::asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb1_minus_125,abs_mbb2_minus_125,ht_candidate_jets	"{""abs_mbb1_minus_125"":25.61861977186216,""abs_mbb2_minus_125"":35.85118633574209,""ht_candidate_jets"":148.1731491088867}"	0.5859676018758256	0.35691193692354034	0.5759389823522636	0.37073153920906055	737	905	"{""beam_width_used"":16,""coarse_candidates"":512,""coordinate_passes_completed"":2,""grid_sizes"":{""abs_mbb1_minus_125"":8,""abs_mbb2_minus_125"":8,""ht_candidate_jets"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	1.0722384452819824
ge4tag	1	ge4tag::radial_mass__category__mass_only	radial_mass__category__mass_only	r_hh_125_125	"{""r_hh_125_125"":32.49353177431479}"	0.5859619137960369	0.2542592028963705	0.5906683225059861	0.22117204850753452	447	315	"{""beam_width_used"":8,""coarse_candidates"":8,""coordinate_passes_completed"":2,""grid_sizes"":{""r_hh_125_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.17933368682861328
ge4tag	1	ge4tag::symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular_mass__category__plus_h2_pt	max_abs_mbb_minus_125,h2_pt	"{""h2_pt"":1.2839076902860573,""max_abs_mbb_minus_125"":29.800983186271086}"	0.5861662061481016	0.2668018460133377	0.5827733654861924	0.2327344807890189	441	315	"{""beam_width_used"":16,""coarse_candidates"":64,""coordinate_passes_completed"":2,""grid_sizes"":{""h2_pt"":8,""max_abs_mbb_minus_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.3126513957977295
ge4tag	1	ge4tag::asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb1_minus_125,abs_mbb2_minus_125,ht_candidate_jets	"{""abs_mbb1_minus_125"":22.765120955746628,""abs_mbb2_minus_125"":60.17225657280586,""ht_candidate_jets"":210.40771484374997}"	0.5861252606093083	0.26910632254340366	0.5855945340638743	0.24902863725831437	442	337	"{""beam_width_used"":16,""coarse_candidates"":512,""coordinate_passes_completed"":2,""grid_sizes"":{""abs_mbb1_minus_125"":8,""abs_mbb2_minus_125"":8,""ht_candidate_jets"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.7517378330230713
ge4tag	2	ge4tag::radial_mass__category__mass_only	radial_mass__category__mass_only	r_hh_125_125	"{""r_hh_125_125"":32.34460184736702}"	0.586010304766899	0.233531115196174	0.577438691585614	0.2566442277657521	453	318	"{""beam_width_used"":8,""coarse_candidates"":8,""coordinate_passes_completed"":2,""grid_sizes"":{""r_hh_125_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.18485379219055176
ge4tag	2	ge4tag::symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular_mass__category__plus_h2_pt	max_abs_mbb_minus_125,h2_pt	"{""h2_pt"":1.9577662921103671,""max_abs_mbb_minus_125"":29.778166204375825}"	0.5861747409890149	0.2525328059132061	0.5765243205561454	0.2667986374310416	452	327	"{""beam_width_used"":16,""coarse_candidates"":64,""coordinate_passes_completed"":2,""grid_sizes"":{""h2_pt"":8,""max_abs_mbb_minus_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.3395195007324219
ge4tag	2	ge4tag::asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb1_minus_125,abs_mbb2_minus_125,ht_candidate_jets	"{""abs_mbb1_minus_125"":30.61702201134806,""abs_mbb2_minus_125"":28.82420371036672,""ht_candidate_jets"":159.23284912109372}"	0.5861445665172027	0.25315034364984224	0.5712218193989241	0.26879186880006745	448	326	"{""beam_width_used"":16,""coarse_candidates"":512,""coordinate_passes_completed"":2,""grid_sizes"":{""abs_mbb1_minus_125"":8,""abs_mbb2_minus_125"":8,""ht_candidate_jets"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.7276403903961182
ge4tag	3	ge4tag::radial_mass__category__mass_only	radial_mass__category__mass_only	r_hh_125_125	"{""r_hh_125_125"":32.001050621146085}"	0.586007814749641	0.2301893964347558	0.563378166274311	0.25164904548896044	721	319	"{""beam_width_used"":8,""coarse_candidates"":8,""coordinate_passes_completed"":2,""grid_sizes"":{""r_hh_125_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.16552352905273438
ge4tag	3	ge4tag::symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular_mass__category__plus_h2_pt	max_abs_mbb_minus_125,h2_pt	"{""h2_pt"":1.4241866561746042,""max_abs_mbb_minus_125"":29.23389163106666}"	0.5859662473798052	0.24398496399033773	0.5638396441646906	0.2764042865359478	722	339	"{""beam_width_used"":16,""coarse_candidates"":64,""coordinate_passes_completed"":2,""grid_sizes"":{""h2_pt"":8,""max_abs_mbb_minus_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.2852482795715332
ge4tag	3	ge4tag::asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb1_minus_125,abs_mbb2_minus_125,ht_candidate_jets	"{""abs_mbb1_minus_125"":26.24778166976137,""abs_mbb2_minus_125"":40.02974622921102,""ht_candidate_jets"":210.85167360305783}"	0.586126468798333	0.2498915692275019	0.5635727088203532	0.24833739123650186	722	318	"{""beam_width_used"":16,""coarse_candidates"":512,""coordinate_passes_completed"":2,""grid_sizes"":{""abs_mbb1_minus_125"":8,""abs_mbb2_minus_125"":8,""ht_candidate_jets"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.6585173606872559
ge4tag	4	ge4tag::radial_mass__category__mass_only	radial_mass__category__mass_only	r_hh_125_125	"{""r_hh_125_125"":32.80047089201995}"	0.5862553322329792	0.25128075313294856	0.6091438266091292	0.23627245575468564	714	327	"{""beam_width_used"":8,""coarse_candidates"":8,""coordinate_passes_completed"":2,""grid_sizes"":{""r_hh_125_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.16559791564941406
ge4tag	4	ge4tag::symmetric_rectangular_mass__category__plus_h2_pt	symmetric_rectangular_mass__category__plus_h2_pt	max_abs_mbb_minus_125,h2_pt	"{""h2_pt"":1.4241866561746042,""max_abs_mbb_minus_125"":30.296249429969865}"	0.5862037748123864	0.26543252532492473	0.616828155509955	0.2579709730669537	723	346	"{""beam_width_used"":16,""coarse_candidates"":64,""coordinate_passes_completed"":2,""grid_sizes"":{""h2_pt"":8,""max_abs_mbb_minus_125"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.2898683547973633
ge4tag	4	ge4tag::asymmetric_rectangular_mass__category__plus_ht_candidate_jets	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	abs_mbb1_minus_125,abs_mbb2_minus_125,ht_candidate_jets	"{""abs_mbb1_minus_125"":22.53359030439694,""abs_mbb2_minus_125"":39.853542236456015,""ht_candidate_jets"":164.89383125305173}"	0.586179444149779	0.2612283644959452	0.5954131700936768	0.26170148393018233	698	328	"{""beam_width_used"":16,""coarse_candidates"":512,""coordinate_passes_completed"":2,""grid_sizes"":{""abs_mbb1_minus_125"":8,""abs_mbb2_minus_125"":8,""ht_candidate_jets"":8},""open_boundary_seed_included"":true,""refinement_starts_used"":4}"	0.6598448753356934
