feature	gain	variant	outer_fold
n_selected_jets	399.3239440917969	global_mass_plane_blind	3
n_selected_bjets	5099.427734375	global_mass_plane_blind	3
ht_selected_jets	267.8111267089844	global_mass_plane_blind	3
ht_selected_bjets	962.864501953125	global_mass_plane_blind	3
ht_candidate_jets	165.05792236328125	global_mass_plane_blind	3
mhh	220.59201049804688	global_mass_plane_blind	3
hh_pt	233.63800048828125	global_mass_plane_blind	3
abs_hh_eta	40.320457458496094	global_mass_plane_blind	3
h1_pt	83.93102264404297	global_mass_plane_blind	3
abs_h1_eta	33.57890319824219	global_mass_plane_blind	3
h2_pt	60.13950347900391	global_mass_plane_blind	3
abs_h2_eta	42.28704452514648	global_mass_plane_blind	3
abs_h_delta_eta	171.1690216064453	global_mass_plane_blind	3
abs_h_delta_phi	103.93328857421876	global_mass_plane_blind	3
h_delta_r	90.7821044921875	global_mass_plane_blind	3
h_pt_balance	37.0916633605957	global_mass_plane_blind	3
drbb1	136.77394104003906	global_mass_plane_blind	3
drbb2	84.11365509033203	global_mass_plane_blind	3
j1_pt	61.30928039550781	global_mass_plane_blind	3
abs_j1_eta	35.947265625	global_mass_plane_blind	3
j1_mass	102.52434539794922	global_mass_plane_blind	3
j2_pt	43.10884094238281	global_mass_plane_blind	3
abs_j2_eta	38.32981872558594	global_mass_plane_blind	3
j2_mass	142.09423828125	global_mass_plane_blind	3
j3_pt	58.64888000488281	global_mass_plane_blind	3
abs_j3_eta	37.47476959228516	global_mass_plane_blind	3
j3_mass	187.37391662597656	global_mass_plane_blind	3
j4_pt	57.007511138916016	global_mass_plane_blind	3
abs_j4_eta	43.06308364868164	global_mass_plane_blind	3
j4_mass	219.02261352539065	global_mass_plane_blind	3
n_selected_jets	537.1310424804688	global_mass_plane_blind	4
n_selected_bjets	4778.25830078125	global_mass_plane_blind	4
ht_selected_jets	292.50408935546875	global_mass_plane_blind	4
ht_selected_bjets	933.8622436523438	global_mass_plane_blind	4
ht_candidate_jets	230.11227416992188	global_mass_plane_blind	4
mhh	215.36569213867188	global_mass_plane_blind	4
hh_pt	220.853759765625	global_mass_plane_blind	4
abs_hh_eta	39.3447265625	global_mass_plane_blind	4
h1_pt	57.94788360595703	global_mass_plane_blind	4
abs_h1_eta	32.68814468383789	global_mass_plane_blind	4
h2_pt	55.430206298828125	global_mass_plane_blind	4
abs_h2_eta	44.49390411376953	global_mass_plane_blind	4
abs_h_delta_eta	175.75119018554688	global_mass_plane_blind	4
abs_h_delta_phi	93.51439666748048	global_mass_plane_blind	4
h_delta_r	85.03844451904297	global_mass_plane_blind	4
h_pt_balance	38.580711364746094	global_mass_plane_blind	4
drbb1	132.30123901367188	global_mass_plane_blind	4
drbb2	85.14311981201172	global_mass_plane_blind	4
j1_pt	47.97762680053711	global_mass_plane_blind	4
abs_j1_eta	32.819297790527344	global_mass_plane_blind	4
j1_mass	98.39623260498048	global_mass_plane_blind	4
j2_pt	58.54960250854492	global_mass_plane_blind	4
abs_j2_eta	34.55842971801758	global_mass_plane_blind	4
j2_mass	139.4590301513672	global_mass_plane_blind	4
j3_pt	60.75019073486328	global_mass_plane_blind	4
abs_j3_eta	41.90452194213867	global_mass_plane_blind	4
j3_mass	202.0577545166016	global_mass_plane_blind	4
j4_pt	58.657108306884766	global_mass_plane_blind	4
abs_j4_eta	39.75569152832031	global_mass_plane_blind	4
j4_mass	197.10745239257807	global_mass_plane_blind	4
n_selected_jets	437.7710876464844	global_mass_aware	0
n_selected_bjets	4079.871826171875	global_mass_aware	0
ht_selected_jets	221.44677734375	global_mass_aware	0
ht_selected_bjets	1590.2923583984375	global_mass_aware	0
ht_candidate_jets	221.2586669921875	global_mass_aware	0
mhh	285.4931030273437	global_mass_aware	0
hh_pt	223.2726287841797	global_mass_aware	0
abs_hh_eta	42.73495864868164	global_mass_aware	0
h1_pt	116.65074157714844	global_mass_aware	0
abs_h1_eta	31.116254806518555	global_mass_aware	0
h2_pt	50.93886947631836	global_mass_aware	0
abs_h2_eta	48.986549377441406	global_mass_aware	0
abs_h_delta_eta	186.83502197265625	global_mass_aware	0
abs_h_delta_phi	102.9017562866211	global_mass_aware	0
h_delta_r	68.7256851196289	global_mass_aware	0
h_pt_balance	40.62064743041992	global_mass_aware	0
drbb1	119.90494537353516	global_mass_aware	0
drbb2	91.93781280517578	global_mass_aware	0
j1_pt	52.67396926879883	global_mass_aware	0
abs_j1_eta	38.13349151611328	global_mass_aware	0
j1_mass	95.28172302246094	global_mass_aware	0
j2_pt	53.7023811340332	global_mass_aware	0
abs_j2_eta	35.89940643310547	global_mass_aware	0
j2_mass	146.06948852539062	global_mass_aware	0
j3_pt	59.19943618774414	global_mass_aware	0
abs_j3_eta	45.34789657592773	global_mass_aware	0
j3_mass	194.21844482421875	global_mass_aware	0
j4_pt	59.57712173461914	global_mass_aware	0
abs_j4_eta	40.00649642944336	global_mass_aware	0
j4_mass	196.26116943359372	global_mass_aware	0
mbb1	238.72503662109372	global_mass_aware	0
mbb2	156.77159118652344	global_mass_aware	0
delta_mbb	48.23835372924805	global_mass_aware	0
r_hh_125_125	378.4452819824219	global_mass_aware	0
n_selected_jets	428.5056457519531	global_mass_aware	1
n_selected_bjets	4061.966064453125	global_mass_aware	1
ht_selected_jets	231.678466796875	global_mass_aware	1
ht_selected_bjets	1432.0924072265625	global_mass_aware	1
ht_candidate_jets	154.24285888671875	global_mass_aware	1
mhh	257.0404357910156	global_mass_aware	1
hh_pt	234.9383544921875	global_mass_aware	1
abs_hh_eta	44.20282745361328	global_mass_aware	1
h1_pt	122.60626983642578	global_mass_aware	1
abs_h1_eta	41.24721145629883	global_mass_aware	1
h2_pt	56.27374649047852	global_mass_aware	1
abs_h2_eta	45.32144546508789	global_mass_aware	1
abs_h_delta_eta	178.14413452148438	global_mass_aware	1
abs_h_delta_phi	114.7797393798828	global_mass_aware	1
h_delta_r	80.22801971435547	global_mass_aware	1
h_pt_balance	49.5400505065918	global_mass_aware	1
drbb1	145.06988525390625	global_mass_aware	1
drbb2	77.72919464111328	global_mass_aware	1
j1_pt	53.7857551574707	global_mass_aware	1
abs_j1_eta	38.9256591796875	global_mass_aware	1
j1_mass	101.0042495727539	global_mass_aware	1
j2_pt	52.86345291137695	global_mass_aware	1
abs_j2_eta	37.05678176879883	global_mass_aware	1
j2_mass	149.9312286376953	global_mass_aware	1
j3_pt	53.66205596923828	global_mass_aware	1
abs_j3_eta	50.64664077758789	global_mass_aware	1
j3_mass	205.5962371826172	global_mass_aware	1
j4_pt	58.9873046875	global_mass_aware	1
abs_j4_eta	48.28181076049805	global_mass_aware	1
j4_mass	216.7228240966797	global_mass_aware	1
mbb1	239.65989685058597	global_mass_aware	1
mbb2	169.5319061279297	global_mass_aware	1
delta_mbb	52.37765121459961	global_mass_aware	1
r_hh_125_125	422.912353515625	global_mass_aware	1
n_selected_jets	516.899658203125	global_mass_aware	2
n_selected_bjets	3960.83251953125	global_mass_aware	2
ht_selected_jets	252.47589111328125	global_mass_aware	2
ht_selected_bjets	1560.0220947265625	global_mass_aware	2
ht_candidate_jets	174.23924255371094	global_mass_aware	2
mhh	255.14051818847656	global_mass_aware	2
hh_pt	236.53094482421875	global_mass_aware	2
abs_hh_eta	52.23969268798828	global_mass_aware	2
h1_pt	148.59307861328125	global_mass_aware	2
abs_h1_eta	35.1069221496582	global_mass_aware	2
h2_pt	48.394798278808594	global_mass_aware	2
abs_h2_eta	54.46432113647461	global_mass_aware	2
abs_h_delta_eta	200.13319396972656	global_mass_aware	2
abs_h_delta_phi	79.57962036132812	global_mass_aware	2
h_delta_r	79.78677368164062	global_mass_aware	2
h_pt_balance	40.28806686401367	global_mass_aware	2
drbb1	119.4681625366211	global_mass_aware	2
drbb2	87.68328094482422	global_mass_aware	2
j1_pt	46.17418670654297	global_mass_aware	2
abs_j1_eta	39.235626220703125	global_mass_aware	2
j1_mass	103.4669952392578	global_mass_aware	2
j2_pt	57.215599060058594	global_mass_aware	2
abs_j2_eta	42.50101852416992	global_mass_aware	2
j2_mass	139.79257202148438	global_mass_aware	2
j3_pt	58.70867156982422	global_mass_aware	2
abs_j3_eta	51.32095718383789	global_mass_aware	2
j3_mass	181.63731384277344	global_mass_aware	2
j4_pt	67.36849212646484	global_mass_aware	2
abs_j4_eta	45.76402282714844	global_mass_aware	2
j4_mass	215.22711181640625	global_mass_aware	2
mbb1	256.1630249023437	global_mass_aware	2
mbb2	154.64247131347656	global_mass_aware	2
delta_mbb	71.58942413330078	global_mass_aware	2
r_hh_125_125	427.888916015625	global_mass_aware	2
n_selected_jets	395.27783203125	global_mass_aware	3
n_selected_bjets	4156.80859375	global_mass_aware	3
ht_selected_jets	234.37368774414065	global_mass_aware	3
ht_selected_bjets	1793.759521484375	global_mass_aware	3
ht_candidate_jets	144.4827117919922	global_mass_aware	3
mhh	239.99545288085935	global_mass_aware	3
hh_pt	233.6227569580078	global_mass_aware	3
abs_hh_eta	41.80669403076172	global_mass_aware	3
h1_pt	129.5778350830078	global_mass_aware	3
abs_h1_eta	34.08708572387695	global_mass_aware	3
h2_pt	43.11684799194336	global_mass_aware	3
abs_h2_eta	43.240997314453125	global_mass_aware	3
abs_h_delta_eta	195.4705810546875	global_mass_aware	3
abs_h_delta_phi	104.13368225097656	global_mass_aware	3
h_delta_r	81.92720794677734	global_mass_aware	3
h_pt_balance	44.425514221191406	global_mass_aware	3
drbb1	138.39686584472656	global_mass_aware	3
drbb2	72.59465026855469	global_mass_aware	3
j1_pt	53.42101287841797	global_mass_aware	3
abs_j1_eta	39.66731643676758	global_mass_aware	3
j1_mass	104.15451049804688	global_mass_aware	3
j2_pt	50.13961791992188	global_mass_aware	3
abs_j2_eta	44.571537017822266	global_mass_aware	3
j2_mass	161.28643798828125	global_mass_aware	3
j3_pt	54.557899475097656	global_mass_aware	3
abs_j3_eta	42.69017791748047	global_mass_aware	3
j3_mass	208.0722198486328	global_mass_aware	3
j4_pt	61.53269958496094	global_mass_aware	3
abs_j4_eta	44.85655212402344	global_mass_aware	3
j4_mass	227.9219970703125	global_mass_aware	3
mbb1	246.2306671142578	global_mass_aware	3
mbb2	158.4283447265625	global_mass_aware	3
delta_mbb	68.96696472167969	global_mass_aware	3
r_hh_125_125	439.3170166015625	global_mass_aware	3
n_selected_jets	543.9963989257812	global_mass_aware	4
n_selected_bjets	3966.200927734375	global_mass_aware	4
ht_selected_jets	267.8523254394531	global_mass_aware	4
ht_selected_bjets	1563.2147216796875	global_mass_aware	4
ht_candidate_jets	183.99562072753903	global_mass_aware	4
mhh	261.252685546875	global_mass_aware	4
hh_pt	215.85232543945312	global_mass_aware	4
abs_hh_eta	40.99954605102539	global_mass_aware	4
h1_pt	109.74974060058594	global_mass_aware	4
abs_h1_eta	37.368900299072266	global_mass_aware	4
h2_pt	53.20354080200195	global_mass_aware	4
abs_h2_eta	47.799896240234375	global_mass_aware	4
abs_h_delta_eta	174.65890502929688	global_mass_aware	4
abs_h_delta_phi	103.06047821044922	global_mass_aware	4
h_delta_r	103.94770050048828	global_mass_aware	4
h_pt_balance	44.809059143066406	global_mass_aware	4
drbb1	130.33033752441406	global_mass_aware	4
drbb2	95.34800720214844	global_mass_aware	4
j1_pt	43.90614700317383	global_mass_aware	4
abs_j1_eta	37.14532470703125	global_mass_aware	4
j1_mass	101.76093292236328	global_mass_aware	4
j2_pt	60.91865539550781	global_mass_aware	4
abs_j2_eta	35.806884765625	global_mass_aware	4
j2_mass	144.08724975585938	global_mass_aware	4
j3_pt	55.60022735595703	global_mass_aware	4
abs_j3_eta	48.44908905029297	global_mass_aware	4
j3_mass	211.03607177734372	global_mass_aware	4
j4_pt	66.94029998779297	global_mass_aware	4
abs_j4_eta	46.733863830566406	global_mass_aware	4
j4_mass	221.5265045166016	global_mass_aware	4
mbb1	239.4506683349609	global_mass_aware	4
mbb2	166.83383178710938	global_mass_aware	4
delta_mbb	60.49542236328125	global_mass_aware	4
r_hh_125_125	374.9222412109375	global_mass_aware	4
