evaluation_stage	strategy	category	trial_id	fold	training_rows	heldout_rows	training_members	heldout_members	fit_weight_mean	weighted_roc_auc	raw_roc_auc	weighted_average_precision	raw_average_precision	training_time_seconds	member_leakage	fit_status	failure_reason
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	18	3	23068	5096	214	62	1.0000000000000002	0.7491010978990942	0.7823953684374699	0.7924081175558093	0.5985269427951222	1.3643849670188501	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	18	4	22651	5513	224	52	0.9999999999999999	0.7436409130551613	0.7415167796999973	0.7504823037502124	0.46513811817784345	1.7780306319473311	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	19	0	22275	5889	222	54	1.0	0.7817512434362563	0.7683631073486086	0.8237789288997299	0.5399437410393744	1.245265548932366	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	19	1	22068	6096	221	55	0.9999999999999999	0.7365867400730337	0.759717179923329	0.8057265094182747	0.5204573058946097	0.7427237690426409	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	19	2	22594	5570	223	53	1.0	0.7714588325047612	0.7800267558528429	0.7939987169932163	0.4931723332060616	0.8169410940026864	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	19	3	23068	5096	214	62	1.0000000000000002	0.7512147981758506	0.7693327319680391	0.7915843364170136	0.575982761842498	0.7745921340538189	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	19	4	22651	5513	224	52	0.9999999999999999	0.7392403262961927	0.7303545201503389	0.7460249672453401	0.4413238242175687	1.2708305669948459	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	20	0	22275	5889	222	54	1.0	0.7666380395588293	0.7754736102994942	0.8195666755990241	0.5556912465727691	1.0693643490085378	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	20	1	22068	6096	221	55	0.9999999999999999	0.7167579628255727	0.7723989757499289	0.7919810004595562	0.5402697177753144	1.2895515060517937	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	20	2	22594	5570	223	53	1.0	0.7574251812182637	0.7873796970293134	0.7877839593964521	0.51038461107922	1.5315567270154133	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	20	3	23068	5096	214	62	1.0000000000000002	0.7403884259802196	0.775521283232556	0.779559248995893	0.5853638210144323	1.098400505958125	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	20	4	22651	5513	224	52	0.9999999999999999	0.7362637592141645	0.733197902765351	0.7451820049020959	0.45502374430361586	1.296784478938207	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	21	0	22275	5889	222	54	1.0	0.7590978933568311	0.779406212616758	0.8162819302258686	0.558213294317955	1.17012576200068	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	21	1	22068	6096	221	55	0.9999999999999999	0.7191026269971317	0.7731970677683003	0.7893490075345397	0.5391798451463542	1.1181282880716026	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	21	2	22594	5570	223	53	1.0	0.7649057154013463	0.7891734212079481	0.7968074539627296	0.513562701920034	1.1157067330786958	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	21	3	23068	5096	214	62	1.0000000000000002	0.7419441863394285	0.7771709137153278	0.7847435005821972	0.5904313470354092	1.1425489509711042	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	21	4	22651	5513	224	52	0.9999999999999999	0.7332733163749632	0.7345765448373301	0.7449634862631028	0.45754879544583466	1.167359319049865	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	22	0	22275	5889	222	54	1.0	0.7912232088470199	0.7842181146761064	0.8398598355189627	0.5670447748391647	1.6816541029838845	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	22	1	22068	6096	221	55	0.9999999999999999	0.727592905907652	0.7804681628149046	0.8011977995433597	0.5529848453747375	1.653760215966031	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	22	2	22594	5570	223	53	1.0	0.7488505597801224	0.788883828447767	0.7801131954335638	0.5084732243890943	1.7328018639236689	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	22	3	23068	5096	214	62	1.0000000000000002	0.7207006064728849	0.7803580747912467	0.7628867813167035	0.5911187350645453	1.588530054083094	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	22	4	22651	5513	224	52	0.9999999999999999	0.7395225101370602	0.7408068551447521	0.7475524037310912	0.46172118707292753	1.5623727749334648	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	23	0	22275	5889	222	54	1.0	0.7868952287587563	0.783381112494684	0.8349862739709953	0.5622480949885242	1.5562793989665806	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	23	1	22068	6096	221	55	0.9999999999999999	0.7122457694417357	0.7780464325124414	0.7871408304214514	0.5475795735690735	1.9855759890051559	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	23	2	22594	5570	223	53	1.0	0.7480902710652997	0.7910184930159355	0.7809606257861442	0.5117292031401622	2.228559036972001	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	23	3	23068	5096	214	62	1.0000000000000002	0.7265339345322166	0.777814269603609	0.7710264409078744	0.5891609265173057	1.5966038909973577	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	low_mhh	23	4	22651	5513	224	52	0.9999999999999999	0.7410965878113833	0.7397582572118134	0.748728882807679	0.4596700231328129	1.7881304490147159	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	0	0	23284	5878	225	55	1.0	0.833288538936272	0.8314615528628881	0.8356600464897406	0.5234132173526972	0.8995988060487434	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	0	1	23436	5726	225	55	1.0000000000000002	0.8528431069467202	0.8244727629110196	0.8600934602491258	0.5393207310594373	1.6204892930109054	0	pass	none
primary_hyperparameter_search	categorized_cms_inspired_mass_aware	high_mhh	0	2	23553	5609	223	57	1.0	0.797483388415247	0.8249831729262281	0.712368683242987	0.4473825287183843	0.727255120058544	0	pass	none
