variant	feature_order	feature	latex_label	mean_normalized_gain_importance	standard_deviation_normalized_gain_importance	minimum_normalized_gain_importance	maximum_normalized_gain_importance	folds	importance_type	interpretation	strategy	category	rank	status
categorized_cms_inspired_mass_aware	14	abs_h_delta_phi	$|\Delta\phi_{HH}|$	0.01600631428624025	0.0005218993373155634	0.015415770586696968	0.01691196862375451	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	15	h_delta_r	$\Delta R_{HH}$	0.015380062116042975	0.001488606962721881	0.013715768661765293	0.017646025358340475	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	16	h_pt_balance	$p_{\mathrm{T}}\ \mathrm{balance}$	0.01337411481068509	0.0007897950258825459	0.012685323102353966	0.014899522163140236	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	17	drbb1	$\Delta R_{bb}^{H_1}$	0.016590429452479995	0.0009610871085252377	0.015168636702416085	0.017456355500877065	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	18	drbb2	$\Delta R_{bb}^{H_2}$	0.017676968009662793	0.0012929568084392746	0.01595851546338168	0.019915353489338577	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	11	pass
categorized_cms_inspired_mass_aware	19	j1_pt	$p_{\mathrm{T}}^{j_1}$	0.015512365277564697	0.0014871864393926767	0.012949631857470292	0.01678415214064967	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	20	abs_j1_eta	$|\eta_{j_1}|$	0.01642139389457242	0.002226354428232023	0.013870205029867983	0.019910826573662888	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	21	j1_mass	$m_{j_1}$	0.017164230261990234	0.0023512434387232186	0.015541321237509736	0.0217911121982853	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	13	pass
categorized_cms_inspired_mass_aware	22	j2_pt	$p_{\mathrm{T}}^{j_2}$	0.017001371831263573	0.0011075915252843935	0.014804648418688194	0.017731375441977476	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	23	abs_j2_eta	$|\eta_{j_2}|$	0.016375301638745437	0.001034899598661772	0.014825476835134355	0.018055971959631267	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	24	j2_mass	$m_{j_2}$	0.01570995995661357	0.0024560804730233777	0.01296897233393855	0.01977312327455159	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	25	j3_pt	$p_{\mathrm{T}}^{j_3}$	0.013598140193317995	0.0004989323664349682	0.01288481766562084	0.014200464249640537	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	26	abs_j3_eta	$|\eta_{j_3}|$	0.015784617967946203	0.0013938137004180493	0.013690313765146924	0.01802500911752808	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	27	j3_mass	$m_{j_3}$	0.01619921774995884	0.0011494578348230484	0.014879439480333715	0.01830257513697463	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	28	j4_pt	$p_{\mathrm{T}}^{j_4}$	0.01396857107729039	0.0005272633202697896	0.013071784486507747	0.01471305937485366	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	29	abs_j4_eta	$|\eta_{j_4}|$	0.013284232476852138	0.0012880448351403472	0.011781726397725581	0.01567781663334629	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	30	j4_mass	$m_{j_4}$	0.015582474238386709	0.0010856993400996792	0.01409379318547285	0.016936112596617117	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	31	mbb1	$m_{bb}^{H_1}$	0.029989601676729094	0.004492570673688116	0.026330489442334168	0.03874860955198958	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	3	pass
categorized_cms_inspired_mass_aware	32	mbb2	$m_{bb}^{H_2}$	0.03907521920101908	0.004516515129542963	0.03503209644571971	0.04751295984598189	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	2	pass
categorized_cms_inspired_mass_aware	33	delta_mbb	$|m_{bb}^{H_1}-m_{bb}^{H_2}|$	0.023479396851014633	0.001633525118828467	0.021342960195605044	0.02577872139888462	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	7	pass
categorized_cms_inspired_mass_aware	34	r_hh_125_125	$R_{HH}^{125,125}$	0.12128432200819117	0.007778112043015384	0.11196166837972998	0.13169875647425924	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	1	pass
categorized_cms_inspired_mass_aware	35	dr_j1_j2	$\Delta R(j_1,j_2)$	0.017639537062771517	0.0016655073564489317	0.015157390541403621	0.020007922843618246	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh	12	pass
categorized_cms_inspired_mass_aware	36	dr_j1_j3	$\Delta R(j_1,j_3)$	0.014989066524576985	0.0008155122628286626	0.01342312835625351	0.01568808301053416	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	37	dr_j1_j4	$\Delta R(j_1,j_4)$	0.01659223678954715	0.0018605129529338093	0.015029548015883194	0.020061184424405847	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	38	dr_j2_j3	$\Delta R(j_2,j_3)$	0.01582762987319203	0.0011251509733722854	0.014514665855236766	0.017734939934022986	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	39	dr_j2_j4	$\Delta R(j_2,j_4)$	0.01429939627175485	0.0009003010082964103	0.01355446465197544	0.015967981427403796	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
categorized_cms_inspired_mass_aware	40	dr_j3_j4	$\Delta R(j_3,j_4)$	0.013129785943092765	0.00024548086164617267	0.012768237677940086	0.01351589499198598	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	categorized_cms_inspired_mass_aware	high_mhh		pass
