method	category	target_weighted_signal_efficiency	signal_mode	rows	weighted_efficiency	raw_efficiency	status
categorized_v1_features_mass_aware_ablation	high_mhh	0.7	vbf_hh4b	2285	0.745710535984	0.746170678337	pass
categorized_v1_features_mass_aware_ablation	combined	0.585957314769	ggf_hh4b	4893	0.569153353633	0.567954220315	pass
categorized_v1_features_mass_aware_ablation	combined	0.585957314769	vbf_hh4b	5082	0.603018801793	0.603502558048	pass
categorized_v1_features_mass_aware_ablation	low_mhh	0.585957314769	ggf_hh4b	3965	0.593209308692	0.592433795712	pass
categorized_v1_features_mass_aware_ablation	low_mhh	0.585957314769	vbf_hh4b	2797	0.575624777219	0.575974258134	pass
categorized_v1_features_mass_aware_ablation	high_mhh	0.585957314769	ggf_hh4b	928	0.466649002566	0.463362068966	pass
categorized_v1_features_mass_aware_ablation	high_mhh	0.585957314769	vbf_hh4b	2285	0.636521386709	0.637199124726	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	combined	0.3	ggf_hh4b	4893	0.275243627036	0.274064990803	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	combined	0.3	vbf_hh4b	5082	0.32499703382	0.325462416372	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	0.3	ggf_hh4b	3965	0.286610971689	0.285750315259	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	0.3	vbf_hh4b	2797	0.319826374414	0.319985698963	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	0.3	ggf_hh4b	928	0.226806461096	0.224137931034	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	0.3	vbf_hh4b	2285	0.331320692301	0.332166301969	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	combined	0.5	ggf_hh4b	4893	0.476007216635	0.475781729001	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	combined	0.5	vbf_hh4b	5082	0.524266354611	0.524399842582	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	0.5	ggf_hh4b	3965	0.494500209013	0.494325346784	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	0.5	vbf_hh4b	2797	0.508487627776	0.508401859135	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	0.5	ggf_hh4b	928	0.39720709507	0.396551724138	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	0.5	vbf_hh4b	2285	0.543563560621	0.54398249453	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	combined	0.7	ggf_hh4b	4893	0.677927048427	0.677294093603	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	combined	0.7	vbf_hh4b	5082	0.7221838431	0.722353404172	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	0.7	ggf_hh4b	3965	0.695591751734	0.694829760404	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	0.7	vbf_hh4b	2797	0.706590816936	0.706471219163	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	0.7	ggf_hh4b	928	0.602656332932	0.602370689655	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	0.7	vbf_hh4b	2285	0.741253939273	0.741794310722	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	combined	0.585957314769	ggf_hh4b	4893	0.562711474383	0.561823012467	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	combined	0.585957314769	vbf_hh4b	5082	0.60940939938	0.609602518693	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	0.585957314769	ggf_hh4b	3965	0.582183839574	0.581336696091	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	low_mhh	0.585957314769	vbf_hh4b	2797	0.591697674549	0.591705398641	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	0.585957314769	ggf_hh4b	928	0.47973816683	0.478448275862	pass
categorized_cms_inspired_explicit_dijet_mass_plane_blind	high_mhh	0.585957314769	vbf_hh4b	2285	0.631070640268	0.631509846827	pass
global_v1_mass_aware	combined	0.3	ggf_hh4b	4893	0.265108740759	0.264050684652	pass
global_v1_mass_aware	combined	0.3	vbf_hh4b	5082	0.335042622364	0.335891381346	pass
global_v1_mass_aware	low_mhh	0.3	ggf_hh4b	3965	0.265931872463	0.265069356873	pass
global_v1_mass_aware	low_mhh	0.3	vbf_hh4b	2797	0.264704003367	0.265284233107	pass
global_v1_mass_aware	high_mhh	0.3	ggf_hh4b	928	0.26160131065	0.259698275862	pass
global_v1_mass_aware	high_mhh	0.3	vbf_hh4b	2285	0.421065964773	0.422319474836	pass
global_v1_mass_aware	combined	0.5	ggf_hh4b	4893	0.483100313393	0.482117310443	pass
global_v1_mass_aware	combined	0.5	vbf_hh4b	5082	0.51692226549	0.517906336088	pass
global_v1_mass_aware	low_mhh	0.5	ggf_hh4b	3965	0.509231540037	0.508448928121	pass
global_v1_mass_aware	low_mhh	0.5	vbf_hh4b	2797	0.483717739059	0.484447622453	pass
global_v1_mass_aware	high_mhh	0.5	ggf_hh4b	928	0.371753063899	0.369612068966	pass
global_v1_mass_aware	high_mhh	0.5	vbf_hh4b	2285	0.557531029032	0.55886214442	pass
global_v1_mass_aware	combined	0.7	ggf_hh4b	4893	0.698618177749	0.697935826691	pass
global_v1_mass_aware	combined	0.7	vbf_hh4b	5082	0.701485779478	0.702085792995	pass
global_v1_mass_aware	low_mhh	0.7	ggf_hh4b	3965	0.744145172768	0.743757881463	pass
global_v1_mass_aware	low_mhh	0.7	vbf_hh4b	2797	0.716144047558	0.716481944941	pass
global_v1_mass_aware	high_mhh	0.7	ggf_hh4b	928	0.504624005869	0.502155172414	pass
global_v1_mass_aware	high_mhh	0.7	vbf_hh4b	2285	0.683558881962	0.684463894967	pass
global_v1_mass_aware	combined	0.585957314769	ggf_hh4b	4893	0.574088717435	0.572654812998	pass
global_v1_mass_aware	combined	0.585957314769	vbf_hh4b	5082	0.59800809496	0.598780007871	pass
global_v1_mass_aware	low_mhh	0.585957314769	ggf_hh4b	3965	0.610665763396	0.609583858764	pass
global_v1_mass_aware	low_mhh	0.585957314769	vbf_hh4b	2797	0.586902195416	0.587415087594	pass
global_v1_mass_aware	high_mhh	0.585957314769	ggf_hh4b	928	0.418230995262	0.414870689655	pass
global_v1_mass_aware	high_mhh	0.585957314769	vbf_hh4b	2285	0.611590485584	0.612691466083	pass
global_v1_explicit_dijet_mass_plane_blind	combined	0.3	ggf_hh4b	4893	0.271416644728	0.270999386879	pass
global_v1_explicit_dijet_mass_plane_blind	combined	0.3	vbf_hh4b	5082	0.328674619401	0.329791420701	pass
global_v1_explicit_dijet_mass_plane_blind	low_mhh	0.3	ggf_hh4b	3965	0.282874500926	0.282976040353	pass
global_v1_explicit_dijet_mass_plane_blind	low_mhh	0.3	vbf_hh4b	2797	0.293295841605	0.294243832678	pass
global_v1_explicit_dijet_mass_plane_blind	high_mhh	0.3	ggf_hh4b	928	0.222593801844	0.219827586207	pass
global_v1_explicit_dijet_mass_plane_blind	high_mhh	0.3	vbf_hh4b	2285	0.371942467984	0.373304157549	pass
global_v1_explicit_dijet_mass_plane_blind	combined	0.5	ggf_hh4b	4893	0.480143537603	0.479460453709	pass
global_v1_explicit_dijet_mass_plane_blind	combined	0.5	vbf_hh4b	5082	0.519991107834	0.520857929949	pass
global_v1_explicit_dijet_mass_plane_blind	low_mhh	0.5	ggf_hh4b	3965	0.510219084673	0.509962168979	pass
global_v1_explicit_dijet_mass_plane_blind	low_mhh	0.5	vbf_hh4b	2797	0.514123586664	0.514837325706	pass
global_v1_explicit_dijet_mass_plane_blind	high_mhh	0.5	ggf_hh4b	928	0.351989222887	0.349137931034	pass
global_v1_explicit_dijet_mass_plane_blind	high_mhh	0.5	vbf_hh4b	2285	0.52716702044	0.528227571116	pass
global_v1_explicit_dijet_mass_plane_blind	combined	0.7	ggf_hh4b	4893	0.700705796484	0.700592683425	pass
global_v1_explicit_dijet_mass_plane_blind	combined	0.7	vbf_hh4b	5082	0.699418829809	0.69992129083	pass
global_v1_explicit_dijet_mass_plane_blind	low_mhh	0.7	ggf_hh4b	3965	0.744344897291	0.744766708701	pass
global_v1_explicit_dijet_mass_plane_blind	low_mhh	0.7	vbf_hh4b	2797	0.717835499786	0.717912048624	pass
global_v1_explicit_dijet_mass_plane_blind	high_mhh	0.7	ggf_hh4b	928	0.514756093036	0.511853448276	pass
global_v1_explicit_dijet_mass_plane_blind	high_mhh	0.7	vbf_hh4b	2285	0.676895448912	0.677899343545	pass
global_v1_explicit_dijet_mass_plane_blind	combined	0.585957314769	ggf_hh4b	4893	0.575319383039	0.574902922542	pass
global_v1_explicit_dijet_mass_plane_blind	combined	0.585957314769	vbf_hh4b	5082	0.596639640889	0.597402597403	pass
global_v1_explicit_dijet_mass_plane_blind	low_mhh	0.585957314769	ggf_hh4b	3965	0.611185225425	0.611097099622	pass
global_v1_explicit_dijet_mass_plane_blind	low_mhh	0.585957314769	vbf_hh4b	2797	0.605519631755	0.606006435467	pass
global_v1_explicit_dijet_mass_plane_blind	high_mhh	0.585957314769	ggf_hh4b	928	0.422492156256	0.42025862069	pass
global_v1_explicit_dijet_mass_plane_blind	high_mhh	0.585957314769	vbf_hh4b	2285	0.585779511621	0.586870897155	pass
optimized_cut	combined	0.585957314769	ggf_hh4b	4893	0.610904841717	0.609646433681	pass
optimized_cut	combined	0.585957314769	vbf_hh4b	5082	0.56100978782	0.561196379378	pass
optimized_cut	low_mhh	0.585957314769	ggf_hh4b	3965	0.662618482891	0.661790668348	pass
optimized_cut	low_mhh	0.585957314769	vbf_hh4b	2797	0.603144738051	0.603146228102	pass
optimized_cut	high_mhh	0.585957314769	ggf_hh4b	928	0.390548875102	0.386853448276	pass
optimized_cut	high_mhh	0.585957314769	vbf_hh4b	2285	0.509479216098	0.509846827133	pass
