model	component	central_yield	bootstrap_median_yield	bootstrap_p16_yield	bootstrap_p84_yield	central_fraction	bootstrap_median_fraction	bootstrap_p16_fraction	bootstrap_p84_fraction	total_central_yield	total_bootstrap_p16	total_bootstrap_p84	valid_replicas	support_flag	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
bdt	Tchannel Antitop	552.1637628806984	552.135280017879	275.92761586514905	828.3999098962477	0.0009642145023879033	0.0009263928351386405	0.0004450692149831312	0.0015840667773354185	572656.5629465745	468811.43014060816	681766.0024485774	1000	True	552.1637628806984	275.92761586514905	828.3999098962477	1000	True	paired_source_member_bootstrap_p16_p84
bdt	Tchannel Top	1159.2099528141348	1158.969138175996	694.7871698899054	1852.9462903971903	0.002024267297050575	0.0019890145977631392	0.0010313686004815394	0.0031897317351500705	572656.5629465745	468811.43014060816	681766.0024485774	1000	True	1159.2099528141348	694.7871698899054	1852.9462903971903	1000	True	paired_source_member_bootstrap_p16_p84
bdt	Transferred QCD	489184.57119942777	483350.6333666056	386441.69415865873	598409.2627853956	0.8542372564148292	0.8527430538727634	0.8231346984694188	0.8791104923565709	572656.5629465745	468811.43014060816	681766.0024485774	1000	True	489184.57119942777	386441.69415865873	598409.2627853956	1000	True	paired_source_member_bootstrap_p16_p84
bdt	Ttbar Inclusive	73562.4919258485	73548.86012144372	70630.83494277112	76156.55974495508	0.12845830587767393	0.12971016305957345	0.10658941518960911	0.15620632934617182	572656.5629465745	468811.43014060816	681766.0024485774	1000	True	73562.4919258485	70630.83494277112	76156.55974495508	1000	True	paired_source_member_bootstrap_p16_p84
bdt	Tth Hbb	626.5775907853581	626.5775907853581	300.2556381139275	952.8995434567886	0.001094159451454351	0.0010746492150624037	0.00047845314287200014	0.001888592893947921	572656.5629465745	468811.43014060816	681766.0024485774	1000	True	626.5775907853581	300.2556381139275	952.8995434567886	1000	True	paired_source_member_bootstrap_p16_p84
bdt	Zbbbb	5146.379046305585	5147.925081001893	4979.862264908433	5320.649291973821	0.008986850722228974	0.009051515137040268	0.007496316573982637	0.010977950250890366	572656.5629465745	468811.43014060816	681766.0024485774	1000	True	5146.379046305585	4979.862264908433	5320.649291973821	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	Ggh Hbb	804.4342295312507	737.9684781415606	402.6139015580477	1206.096095425602	0.0011658289923755485	0.0011048628908974512	0.0006139157715001735	0.0017738898977485273	690010.4859222083	583545.0407375846	796770.8738308853	1000	True	804.4342295312507	402.6139015580477	1206.096095425602	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	Other	2336.0264357480196	2323.9714599525096	1760.7550270630038	2912.563749946313	0.0033854941097393454	0.0033638218211835417	0.0024791344693502085	0.00449601261142047	690010.4859222083	583545.0407375846	796770.8738308853	1000	True	2336.0264357480196	1760.7550270630038	2912.563749946313	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	Tchannel Antitop	966.4064330693759	966.2664089255854	552.5224177131615	1380.473471008901	0.001400567749021612	0.001376280609199945	0.0008906562726357216	0.0020604039644879705	690010.4859222083	583545.0407375846	796770.8738308853	1000	True	966.4064330693759	552.5224177131615	1380.473471008901	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	Tchannel Top	1158.557799979756	1158.159120507285	694.4760641717286	1623.0382152602547	0.0016790437589239357	0.0016057373345569241	0.0009043733446960679	0.002600578083383245	690010.4859222083	583545.0407375846	796770.8738308853	1000	True	1158.557799979756	694.4760641717286	1623.0382152602547	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	Transferred QCD	596762.2920636479	590122.1983873751	490334.70845600544	703854.5693277402	0.8648597437850051	0.8639857495354688	0.8402309004134078	0.8832202177774265	690010.4859222083	583545.0407375846	796770.8738308853	1000	True	596762.2920636479	490334.70845600544	703854.5693277402	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	Ttbar Inclusive	81347.8533618919	81129.45843606719	77970.97269432843	84397.32255957744	0.11789364802647803	0.11862742270048103	0.10176809704962145	0.13907357570371368	690010.4859222083	583545.0407375846	796770.8738308853	1000	True	81347.8533618919	77970.97269432843	84397.32255957744	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	Tw Antitop	828.2909614482389	773.3062956444749	386.89660558141054	1270.0338803020295	0.0012004034407407838	0.0011102518794316734	0.0005585053748506344	0.0019223849076035527	690010.4859222083	583545.0407375846	796770.8738308853	1000	True	828.2909614482389	386.89660558141054	1270.0338803020295	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	Zbbbb	5806.624636891884	5814.475486982723	5556.639121248982	6079.551805560597	0.008415270137715735	0.008494404532177046	0.007274028090985766	0.010066969280344843	690010.4859222083	583545.0407375846	796770.8738308853	1000	True	5806.624636891884	5556.639121248982	6079.551805560597	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	Other	3242.7738347440763	3261.598647273051	2545.5190740373787	3989.5167005261305	0.003862498036198306	0.003885608783606466	0.0029776875118281716	0.005014062140136905	839553.5232260731	724301.276980694	956291.038940715	1000	True	3242.7738347440763	2545.5190740373787	3989.5167005261305	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	Tchannel Antitop	1380.1079831865372	1311.209151218915	690.2699579663436	2207.644009483134	0.0016438594383873543	0.001560192704890596	0.000793097436302106	0.0026426185881523023	839553.5232260731	724301.276980694	956291.038940715	1000	True	1380.1079831865372	690.2699579663436	2207.644009483134	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	Tchannel Top	1853.9971227040403	1853.0868725572661	927.594268585483	2781.094738921182	0.002208313194351041	0.0021496134401308995	0.0011716052708726941	0.003402949736694384	839553.5232260731	724301.276980694	956291.038940715	1000	True	1853.9971227040403	927.594268585483	2781.094738921182	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	Transferred QCD	711753.7039510797	708975.8218956932	596601.2737969748	828224.8409509521	0.847776448148405	0.8472398236259243	0.8231483872628599	0.8661234035367918	839553.5232260731	724301.276980694	956291.038940715	1000	True	711753.7039510797	596601.2737969748	828224.8409509521	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	Ttbar Inclusive	110904.07645090231	110696.25004074805	107540.34994080859	114174.45208532279	0.13209887563182593	0.1324741797860417	0.11571521749204716	0.15318436558876744	839553.5232260731	724301.276980694	956291.038940715	1000	True	110904.07645090231	107540.34994080859	114174.45208532279	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	Tw Antitop	1325.7797687918478	1271.8106416132896	717.5743096841609	1934.2141232946321	0.001579148597575291	0.0015667696649067679	0.0008532252244702293	0.0023764966173526886	839553.5232260731	724301.276980694	956291.038940715	1000	True	1325.7797687918478	717.5743096841609	1934.2141232946321	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	Tw Top	995.0407741873682	939.8384189814662	552.8123961558863	1381.8117574082364	0.0011852023089175053	0.001144388993499942	0.000664257696089935	0.0017130635900053327	839553.5232260731	724301.276980694	956291.038940715	1000	True	995.0407741873682	552.8123961558863	1381.8117574082364	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	Zbbbb	8098.043340477072	8111.499828875311	7827.035430150264	8391.508635845352	0.009645654644339393	0.009707060728083201	0.008463948230283326	0.011204688006960343	839553.5232260731	724301.276980694	956291.038940715	1000	True	8098.043340477072	7827.035430150264	8391.508635845352	1000	True	paired_source_member_bootstrap_p16_p84
