checkpoint	checkpoint_root	relative_path	bytes	sha256	artifact_kind	rows	columns	inspection
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	weighted_closures/train_class_region_cutflow.tsv	33348	63b51b2113ceb54df522d722b834b1be33b86a069c4656d30dffb01810f3c5bf	tsv	168	15	columns=physical_category,region,mhh_category,btag_category,sample_class,raw_candidate_rows,signed_physical_yield,sum_squared_physical_weights,sum_absolute_physical_weights,effective_events,negative_weight_rows,zero_weight_rows,positive_weight_rows,cancellation_fraction,yield_scope
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	weighted_closures/train_nested_cutflow.tsv	4247	9ecc1aa99deeab9ad21ec9c6b00909ca21eee3037b3c9b748b7c275c907b4d30	tsv	20	15	columns=physical_category,cut_order,region,sample_class,raw_candidate_rows,signed_physical_yield,sum_squared_physical_weights,sum_absolute_physical_weights,effective_events,negative_weight_rows,zero_weight_rows,positive_weight_rows,cancellation_fraction,efficiency_relative_to_baseline_yield,yield_scope
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	weighted_closures/train_process_region_cutflow.tsv	345608	8bbd1957fe85846296a13f589aa1a7cfac042fe8c9aa3c5145d9f1863a67126e	tsv	1635	17	columns=physical_category,region,mhh_category,btag_category,population_kind,sample_class,process_or_mode,raw_candidate_rows,signed_physical_yield,sum_squared_physical_weights,sum_absolute_physical_weights,effective_events,negative_weight_rows,zero_weight_rows,positive_weight_rows,cancellation_fraction,yield_scope
c7q	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7q_full441_train_physical_tables_20260802_v1	weighted_closures/train_source_yield_closure.tsv	200725	0f256bef18ded39c407b441ade27c9f0c44a69d8b913a5407ca5fe83bdb2688f	tsv	626	16	columns=physical_category,population_kind,sample_class,process_or_mode,campaign,transport_id,raw_candidate_rows,signed_physical_yield,sum_squared_physical_weights,sum_absolute_physical_weights,effective_events,negative_weight_rows,zero_weight_rows,positive_weight_rows,cancellation_fraction,yield_scope
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	COMPLETE	44	28cb81b680097c7d46796517bd22d7ecebcf459feafa66273c25b59870c6fda6	marker			text_lines=1
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	README.md	457	4a7a315912147051d4f78c0f27e11ec40865269206372e9eb6cc5da145a01a60	md			text_lines=3
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	RUN_CONTRACT.txt	490	935a87c5b1311b1300a39f97f2e08d66a94e405a5249d4fa223c287266c7073e	txt			text_lines=1
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	SHA256SUMS	916	a663fe73d23db0e2ee856dd041916a22008c020c9b11a7eb59e3dd14acbd19c6	checksum_manifest	10	2	parsed and every listed member independently verified
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	primary_train_yield_projection.tsv	5394	55a9279c2c25547c4271d3d3f0f4b1c9dfa2e28b6e4af5d49271c3076ef9de46	tsv	21	15	columns=mhh_category,region,signal_rows,ordinary_fourb_background_rows,threeb_qcd_template_rows,signal_yield,ordinary_fourb_background_yield,transferred_multijet_yield,primary_background_yield,signal_over_background,signal_over_sqrt_background,statistical_only_asimov_ZA,systematic_aware_significance_calculated,direct_qcd_included_in_primary_background,yield_scope
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	source_evidence_manifest.tsv	701	67d0ac40ba9e9cbf882a655f1197a55a13784c85d1357814c51b8c1a25268e50	tsv	3	3	columns=path,sha256,role
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	summary.json	1787	09ef31a82f8de80f6c5caa1c6dd4e7a142dafafdfbfe4a6cb3e462644e574dc7	json			json_keys=all_direct_qcd_closures_covered_by_alternative_factor_envelopes,baseline_development_authorized_after_final_train_table_freeze,cms_sr_relative_absolute_nonclosure,created_utc,direct_stitched_qcd_role,fourb_direct_qcd_closure_rows,fourb_ordinary_background_rows,fourb_signal_rows,full_run2_prediction,input_checkpoint,maximum_normalization_region_envelope_relative_down,maximum_normalization_region_envelope_relative_up,maximum_relative_absolute_nonclosure_across_frozen_closures,next_gate,nominal_transfer_factor,nominal_transfer_factor_relative_statistical_uncertainty,primary_multijet_role,schema_version,split,status,systematic_aware_significance_calculated,test_or_evaluation_payload_files_opened,threeb_ordinary_background_subtraction_rows,threeb_primary_multijet_template_rows,threeb_simulated_pseudodata_background_rows,transfer_sidecar,validation_payload_files_opened
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	systematic_registry.tsv	600	e986899379efbf699c6c20a6f09501d76299f0fbd7c94d25c2ee7f11da2e3c88	tsv	3	6	columns=nuisance,scope,relative_down,relative_up,source,frozen_for_baseline_reporting
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	threeb_primary_multijet_transfer_sidecar.parquet	15294	7ca005d3c3736453e8c6495b20839f9701e27516319c919b1ee482d0bf7be6d8	parquet	576	12	columns=production_row_index,transport_id,candidate_row_index,event,process_or_mode,campaign,source_index_or_target_index,generator_nominal_weight,threeb_run2_candidate_physical_weight,transfer_factor,primary_multijet_transfer_weight,template_role
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	transfer_closure.tsv	5911	75cf4cbcc27cec0ff7ff320d44e9aa1f13f0fdb88cb7f484c6a07819f21f89ed	tsv	21	18	columns=mhh_category,target_region,nominal_factor_scheme,threeb_qcd_rows,fourb_direct_qcd_rows,threeb_qcd_yield,transferred_qcd_prediction,transferred_qcd_prediction_sumw2_statistical,direct_fourb_qcd_truth,direct_fourb_qcd_truth_sumw2,prediction_over_truth,signed_closure_residual,relative_absolute_nonclosure,alternative_envelope_low,alternative_envelope_high,direct_truth_covered_by_factor_envelope,validation_used,test_used
c7r	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7r_threeb_fourb_multijet_transfer_20260802_v1	transfer_factor_registry.tsv	2660	67ef771791e54243641e011ad584a1bf2ceb76ea0087eeb52143cca66721b505	tsv	9	15	columns=mhh_category,factor_scheme,normalization_region,threeb_rows,fourb_rows,threeb_yield,fourb_yield,threeb_sumw2,fourb_sumw2,threeb_effective_events,fourb_effective_events,transfer_factor,transfer_factor_statistical_uncertainty,transfer_factor_relative_statistical_uncertainty,role
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	COMPLETE	47	ee56abf320541bed9f5471a3f49c539af2222d34887be0752996f62387ac6791	marker			text_lines=1
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	README.md	170	9926ac3da662cef2742e8eacac953d9028ce3efc259ba5ad8978001ce5614423	md			text_lines=3
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	RUN_CONTRACT.txt	372	5c4777425642899c930cedd693e5c11a6dd5cf954506eb412e1f519234ee402b	txt			text_lines=1
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	SHA256SUMS	1310	9885748add80bfd44cb01947e5ae21b58e08f28396c55cf1fdc7934063309ae1	checksum_manifest	14	2	parsed and every listed member independently verified
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	feature_quality.tsv	4678	e57d24253c1f257d7b3fb6aa96a93bb372d79c6ae4df76dc70b1f0ee8468dea0	tsv	34	14	columns=feature_order_mass_aware,feature,source_column_or_expression,logical_dtype,minimum,maximum,mean,standard_deviation,finite_rows,nonfinite_rows,missing_rows,unique_values,constant_feature,status
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	feature_sets.tsv	1926	f1dd32ea7bf925c775c42acd5f67757e37a452bbc4c1de9bf69b855426243ba7	tsv	64	3	columns=feature_set,position,feature
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	member_fold_registry.tsv	67612	a7f2b4222a20c937dd563af542aaab6bed955ce870de2ef8ab480758db52a054	tsv	441	7	columns=member_index,sample_class,stratum,candidate_rows,transport_id,process_or_mode,oof_fold
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	member_weight_audit.tsv	59653	8c5bcf777cc68e33f5e9171b0006612db1a9981d59d8a102a4185bb79ed5ed8a	tsv	441	13	columns=member_index,sample_class,stratum,candidate_rows,weight_eligibility,candidate_bearing_members_in_stratum,hierarchical_stratum_fraction,hierarchical_member_fraction,per_row_raw_weight,per_row_training_weight,aggregate_raw_weight,aggregate_training_weight,status
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	source_evidence_manifest.tsv	612	9f8288618e28c41162520a1f90e0dd12ab83dfef74445fb6dba743f65d911d7b	tsv	3	3	columns=path,sha256,role
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	summary.json	3213	9946d1c3b9cb5e078eaa907574f99e51fbe4bf960d198bf321637664f1a99b3e	json			json_keys=baseline_development_authorized,created_utc,development_weight_mean,development_weighting,direct_qcd_secondary_rows,fold_algorithm,fourb_model_rows,mass_aware_features,mass_plane_blind_features,next_gate,nominal_transfer_factors,oof_folds,primary_projection_rows,primary_transferred_multijet_rows,schema_version,source_members,split,status,table_artifacts,test_or_evaluation_payload_files_opened,validation_evaluation_authorized_at_this_gate,validation_payload_files_opened
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	table_artifact_manifest.tsv	577	15fda107e116a6933b7257ebaeaec4f9981c36b4aebdbfc1e393274cd3cc5c75	tsv	3	9	columns=role,path,bytes,sha256,rows,columns,split,validation_opened,test_opened
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	tables/train_direct_qcd_secondary_projection.parquet	13108071	f8d68205bc3daf9fcec58d591676d469bb1ec35c281631702d9c99ef199a19f3	parquet	30705	123	columns=sample,event,n_selected_jets,n_selected_bjets,n_extra_selected_jets,n_extra_selected_bjets,ht_selected_jets,ht_selected_bjets,ht_candidate_jets,pairing,pairing_combo_bjet_ranks,pairing_score_125_125,higgs_ordering,mbb1,mbb2,avg_mbb,delta_mbb,r_hh,r_hh_125_125,r_hh_125_120,mhh,hh_pt,hh_eta,hh_phi,h1_pt,h1_eta,h1_phi,h2_pt,h2_eta,h2_phi,h_delta_eta,h_delta_phi,h_delta_r,h_pt_balance,drbb1,drbb2,j1_pt,j2_pt,j3_pt,j4_pt,j1_eta,j1_phi,j1_mass,j1_btag,j1_flavor,j1_raw_index,j1_selected_index,j1_bjet_rank,j2_eta,j2_phi,j2_mass,j2_btag,j2_flavor,j2_raw_index,j2_selected_index,j2_bjet_rank,j3_eta,j3_phi,j3_mass,j3_btag,j3_flavor,j3_raw_index,j3_selected_index,j3_bjet_rank,j4_eta,j4_phi,j4_mass,j4_btag,j4_flavor,j4_raw_index,j4_selected_index,j4_bjet_rank,candidate_row_index,production_row_index,population_kind,sample_class,process_or_mode,campaign,production_campaign,transport_id,source_index_or_target_index,transport_class,source_access_mode,final_split,physical_category,source_payload_sha256,input_source_checksum_kind,input_source_checksum_expected,input_root_sha256,input_category_fragment_sha256,input_generator_weight_fragment_sha256,generator_nominal_weight,generator_weight_sign,cross_section_coefficient_pb_per_generator_weight,generator_cross_section_contribution_pb,run2_luminosity_pb_inverse,run2_yield_coefficient_per_generator_weight,run2_candidate_physical_weight,analysis_sample,source_root,source_root_index,abs_hh_eta,abs_h1_eta,abs_h2_eta,abs_h_delta_eta,abs_h_delta_phi,abs_j1_eta,abs_j2_eta,abs_j3_eta,abs_j4_eta,registry_member_index,registry_group_id,registry_training_target,registry_process_or_mode,registry_sample_class,registry_final_split,registry_background_family,registry_signal_mode,registry_stratum,registry_oof_fold,development_hierarchical_weight,analysis_population_role,direct_projection_physical_weight
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	tables/train_fourb_model_development.parquet	13108071	f8d68205bc3daf9fcec58d591676d469bb1ec35c281631702d9c99ef199a19f3	parquet	30705	123	columns=sample,event,n_selected_jets,n_selected_bjets,n_extra_selected_jets,n_extra_selected_bjets,ht_selected_jets,ht_selected_bjets,ht_candidate_jets,pairing,pairing_combo_bjet_ranks,pairing_score_125_125,higgs_ordering,mbb1,mbb2,avg_mbb,delta_mbb,r_hh,r_hh_125_125,r_hh_125_120,mhh,hh_pt,hh_eta,hh_phi,h1_pt,h1_eta,h1_phi,h2_pt,h2_eta,h2_phi,h_delta_eta,h_delta_phi,h_delta_r,h_pt_balance,drbb1,drbb2,j1_pt,j2_pt,j3_pt,j4_pt,j1_eta,j1_phi,j1_mass,j1_btag,j1_flavor,j1_raw_index,j1_selected_index,j1_bjet_rank,j2_eta,j2_phi,j2_mass,j2_btag,j2_flavor,j2_raw_index,j2_selected_index,j2_bjet_rank,j3_eta,j3_phi,j3_mass,j3_btag,j3_flavor,j3_raw_index,j3_selected_index,j3_bjet_rank,j4_eta,j4_phi,j4_mass,j4_btag,j4_flavor,j4_raw_index,j4_selected_index,j4_bjet_rank,candidate_row_index,production_row_index,population_kind,sample_class,process_or_mode,campaign,production_campaign,transport_id,source_index_or_target_index,transport_class,source_access_mode,final_split,physical_category,source_payload_sha256,input_source_checksum_kind,input_source_checksum_expected,input_root_sha256,input_category_fragment_sha256,input_generator_weight_fragment_sha256,generator_nominal_weight,generator_weight_sign,cross_section_coefficient_pb_per_generator_weight,generator_cross_section_contribution_pb,run2_luminosity_pb_inverse,run2_yield_coefficient_per_generator_weight,run2_candidate_physical_weight,analysis_sample,source_root,source_root_index,abs_hh_eta,abs_h1_eta,abs_h2_eta,abs_h_delta_eta,abs_h_delta_phi,abs_j1_eta,abs_j2_eta,abs_j3_eta,abs_j4_eta,registry_member_index,registry_group_id,registry_training_target,registry_process_or_mode,registry_sample_class,registry_final_split,registry_background_family,registry_signal_mode,registry_stratum,registry_oof_fold,development_hierarchical_weight,analysis_population_role,direct_projection_physical_weight
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	tables/train_primary_physical_projection.parquet	13378238	04ecbc94bd8862345d9f93d837f07b7d235c2cf4be2b6c9b6b80dd39775deb0c	parquet	31225	136	columns=sample,event,n_selected_jets,n_selected_bjets,n_extra_selected_jets,n_extra_selected_bjets,ht_selected_jets,ht_selected_bjets,ht_candidate_jets,pairing,pairing_combo_bjet_ranks,pairing_score_125_125,higgs_ordering,mbb1,mbb2,avg_mbb,delta_mbb,r_hh,r_hh_125_125,r_hh_125_120,mhh,hh_pt,hh_eta,hh_phi,h1_pt,h1_eta,h1_phi,h2_pt,h2_eta,h2_phi,h_delta_eta,h_delta_phi,h_delta_r,h_pt_balance,drbb1,drbb2,j1_pt,j2_pt,j3_pt,j4_pt,j1_eta,j1_phi,j1_mass,j1_btag,j1_flavor,j1_raw_index,j1_selected_index,j1_bjet_rank,j2_eta,j2_phi,j2_mass,j2_btag,j2_flavor,j2_raw_index,j2_selected_index,j2_bjet_rank,j3_eta,j3_phi,j3_mass,j3_btag,j3_flavor,j3_raw_index,j3_selected_index,j3_bjet_rank,j4_eta,j4_phi,j4_mass,j4_btag,j4_flavor,j4_raw_index,j4_selected_index,j4_bjet_rank,candidate_row_index,production_row_index,population_kind,sample_class,process_or_mode,campaign,production_campaign,transport_id,source_index_or_target_index,transport_class,source_access_mode,final_split,physical_category,source_payload_sha256,input_source_checksum_kind,input_source_checksum_expected,input_root_sha256,input_category_fragment_sha256,input_generator_weight_fragment_sha256,generator_nominal_weight,generator_weight_sign,cross_section_coefficient_pb_per_generator_weight,generator_cross_section_contribution_pb,run2_luminosity_pb_inverse,run2_yield_coefficient_per_generator_weight,run2_candidate_physical_weight,analysis_sample,source_root,source_root_index,abs_hh_eta,abs_h1_eta,abs_h2_eta,abs_h_delta_eta,abs_h_delta_phi,abs_j1_eta,abs_j2_eta,abs_j3_eta,abs_j4_eta,registry_member_index,registry_group_id,registry_training_target,registry_process_or_mode,registry_sample_class,registry_final_split,registry_background_family,registry_signal_mode,registry_stratum,registry_oof_fold,development_hierarchical_weight,analysis_population_role,primary_projection_physical_weight_inclusive,primary_projection_physical_weight_mhh_category,candidate_category,promoted_jet_rule,promoted_jet_raw_index,promoted_jet_selected_index,promoted_jet_pt,promoted_jet_eta,promoted_jet_phi,promoted_jet_mass,promoted_jet_btag,promoted_jet_flavor,n_selected_untagged_jets,generator_weight_provenance
c7s	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1	weight_summary.tsv	1944	1728eb7944f85bcff02c3d926e64baa8e526f40520a6aa9ffdf14aee4cdfd2e3	tsv	13	13	columns=level,category,parent,candidate_rows,members,candidate_bearing_members,target_hierarchical_fraction,raw_weight_sum,rescale_factor,training_weight_sum,mean_training_weight,physical_normalization,status
c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1	COMPLETE	42	2fb40a1d770ad1addbfc731b4096601c1e2c6f3a9438d5131f2ab701dc92c6aa	marker			text_lines=1
c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1	README.md	218	3985037806feb790e646f221e28567e1dfc7a3af6146aa784937d1badcfbb7e4	md			text_lines=3
c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1	RUN_CONTRACT.txt	452	2e75f02c11558c8bfc9be08038ba23ef86ff3947526e66ce08581e2c6e680ccd	txt			text_lines=1
c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1	SHA256SUMS	2311	2de28666cdd9e055747b7e2d3df70968bad3a8d8d0613bf3d5c6e05a1d6fc016	checksum_manifest	25	2	parsed and every listed member independently verified
c7t	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7t_reestablished_train_baselines_20260802_v1	artifact_manifest.tsv	2312	303c7950f0896ae3b822d12972a2c87b17ca4ba639d316706af1aa64797deeed	tsv	20	4	columns=path,bytes,sha256,role
