variant	feature_order	feature	latex_label	mean_normalized_gain_importance	standard_deviation_normalized_gain_importance	minimum_normalized_gain_importance	maximum_normalized_gain_importance	folds	importance_type	interpretation	status
explicit_dijet_mass_plane_blind	2	n_selected_bjets	$N_{b\mathrm{-jet}}$	0.02454627836420826	0.004926405815270843	0.01880433411021194	0.03182076617346526	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	3	ht_selected_jets	$H_{\mathrm{T}}^{\mathrm{jets}}$	0.029243762003669144	0.0007435764446251274	0.028612957831777246	0.030354564874542436	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	4	ht_selected_bjets	$H_{\mathrm{T}}^{b\mathrm{-jets}}$	0.03945997085182955	0.0032005665527688426	0.037108421849760195	0.04562096732049222	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	5	ht_candidate_jets	$H_{\mathrm{T}}^{HH\ \mathrm{jets}}$	0.055452616394333874	0.005581339866498727	0.050220746506166085	0.06438907983785805	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	6	mhh	$m_{HH}$	0.05696738875634648	0.009839359912462138	0.03838683501484407	0.06727328316969122	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	7	hh_pt	$p_{\mathrm{T}}^{HH}$	0.04050799409538836	0.004526512817544114	0.033390971315206026	0.046864382873626056	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	8	abs_hh_eta	$|\eta_{HH}|$	0.02942837050620243	0.0023911294194151507	0.02636325520401138	0.03359863688409153	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	9	h1_pt	$p_{\mathrm{T}}^{H_1}$	0.03448026331173796	0.003065479086119195	0.031000304953520647	0.03926960477084593	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	10	abs_h1_eta	$|\eta_{H_1}|$	0.024051102604980026	0.0016411514382817889	0.022030331355038173	0.026471001083739776	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	11	h2_pt	$p_{\mathrm{T}}^{H_2}$	0.030708602099512632	0.002613189222561962	0.02871329138315714	0.03573177519315101	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	12	abs_h2_eta	$|\eta_{H_2}|$	0.025614396445320497	0.0019179755704748502	0.022836346357611215	0.028398544039982935	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	13	abs_h_delta_eta	$|\Delta\eta_{HH}|$	0.030578115319429444	0.0015299434315801338	0.02800284902634954	0.03280496565969916	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
explicit_dijet_mass_plane_blind	14	abs_h_delta_phi	$|\Delta\phi_{HH}|$	0.027151189682668275	0.0020818819168681954	0.02476363094984788	0.030274285917377002	5	xgboost_gain_normalized_per_fold	model_diagnostic_not_a_causal_attribution	pass
