variant	trial_id	n_estimators	max_depth	learning_rate	min_child_weight	subsample	colsample_bytree	reg_lambda	reg_alpha	gamma	folds	mean_weighted_roc_auc	worst_fold_weighted_roc_auc	std_weighted_roc_auc	maximum_weighted_roc_auc	mean_raw_roc_auc	mean_weighted_average_precision	mean_raw_average_precision	complexity_proxy	selection_rank	selected	selection_rule	status
mass_aware	13	400	3	0.08	3	0.75	0.75	1.0	0.1	0.1	5	0.7747817569206699	0.756590048598859	0.01913571863260595	0.8087897956412791	0.8110294214634282	0.7793848524472051	0.5097088670103094	3200	8	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	14	400	3	0.08	3	1.0	0.9	20.0	0.0	0.0	5	0.7705909263583668	0.7510294057984015	0.015387211943152625	0.7911560390280223	0.8089066925188195	0.7730763620215473	0.5041727401634339	3200	17	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	15	400	3	0.08	7	1.0	0.9	20.0	0.1	0.1	5	0.7715526110351606	0.7525210830826442	0.014977916923887813	0.792206042894764	0.8088076958270607	0.7753855267643739	0.5045482035665871	3200	15	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	16	400	4	0.05	7	1.0	0.9	5.0	0.0	0.1	5	0.7748182546864858	0.757826515521869	0.014638844917470844	0.7939881331938422	0.8122883553179336	0.7778787403077306	0.5113536651839877	6400	6	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	17	400	4	0.08	7	1.0	0.9	20.0	1.0	0.1	5	0.7683946293052416	0.7390096808609673	0.01945813048806555	0.7926551301045898	0.8107232406826197	0.7729858334156948	0.5108005079809772	6400	21	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	18	400	5	0.03	7	0.75	0.75	1.0	1.0	0.1	5	0.7779836457543103	0.7559568212380613	0.016493775113630493	0.7994059854490657	0.8179248610814032	0.7819200728614547	0.5210012608926389	12800	1	True	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	19	700	2	0.05	7	1.0	0.75	5.0	0.0	0.0	5	0.7713703194918236	0.7579634959499404	0.01013919086728909	0.7854006951439415	0.806757315403576	0.7760811796804423	0.4986906504250165	2800	16	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	20	700	3	0.05	7	0.75	0.75	20.0	1.0	0.0	5	0.7741804720919464	0.7514656859063498	0.016962935062905988	0.7986237141948523	0.8122148101482274	0.7793669762897902	0.5117644376372835	5600	9	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	21	700	3	0.08	1	0.75	1.0	20.0	0.0	0.1	5	0.7664490062687139	0.7494708891669514	0.014672130255778425	0.7882120429861217	0.8098041325976068	0.7738874996824446	0.5132237085622665	5600	24	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	22	700	4	0.05	1	1.0	0.9	5.0	1.0	0.0	5	0.7699218922077553	0.745851647391288	0.018442167784264503	0.794015032521078	0.8115841326951878	0.7732929164617761	0.5144316842357013	11200	18	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
mass_aware	23	700	4	0.05	3	1.0	1.0	20.0	1.0	0.0	5	0.7687424411883406	0.7443606313233817	0.016945381838975652	0.7890234503975329	0.8112629863963114	0.7733576788865529	0.512711199508477	11200	20	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	0	400	3	0.05	3	0.9	0.9	5.0	0.1	0.0	5	0.7226205579852257	0.7087704634111918	0.008737039238925149	0.7343423484746195	0.7738477530395721	0.71422942365336	0.43269841929323843	3200	12	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	1	200	2	0.03	1	0.9	0.9	5.0	0.0	0.1	5	0.693003988829949	0.6732065630087101	0.010256830529518507	0.7025200637823193	0.7402860283607751	0.6738886829848232	0.38087628520799005	800	23	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	2	200	2	0.03	3	0.9	1.0	20.0	0.0	0.0	5	0.6868649245137028	0.6587867613292407	0.014376845235089874	0.6977099338513647	0.7390226904229261	0.6688883155862108	0.3782427358571463	800	24	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	3	200	3	0.05	1	0.75	0.75	1.0	1.0	0.1	5	0.7175520531733596	0.7040496674473427	0.008835430109858086	0.727881703095032	0.7700804383388388	0.7073996100139273	0.42759292364844137	1600	15	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	4	200	3	0.05	1	0.9	0.75	20.0	1.0	0.0	5	0.7144039274580091	0.6948454175402253	0.009831639986622436	0.7207960312699193	0.7692953169019987	0.7064283901590687	0.4251615126457596	1600	21	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	5	200	3	0.05	7	0.75	0.75	20.0	0.0	0.0	5	0.7154753878228706	0.6989193664618426	0.008952856591311785	0.7241989475595338	0.7684220269466338	0.707024670568617	0.42542729949084424	1600	17	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	6	200	4	0.08	3	0.9	0.9	1.0	0.1	0.0	5	0.7296020067955235	0.7019838089108704	0.016894580077022513	0.7501095775648697	0.7775395254103064	0.7223189847075198	0.43977799271212276	3200	5	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	7	200	4	0.08	3	0.9	0.9	1.0	1.0	0.1	5	0.7330766370772457	0.7053838987643305	0.018115656421869013	0.7546694287107529	0.7781142649476942	0.725618467044647	0.44171886470447375	3200	2	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	8	200	5	0.03	1	0.9	0.75	20.0	0.1	0.1	5	0.7238036979642782	0.6963898593423898	0.015294481878018818	0.7400229969693054	0.7798971067785955	0.7157393202136719	0.4440014304647254	6400	10	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	9	200	5	0.08	1	1.0	0.9	5.0	0.0	0.0	5	0.7302683480410489	0.7160100644931443	0.013317896050254937	0.7540153983376694	0.7812796135391327	0.7235021724717516	0.44781162029192456	6400	3	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	10	400	2	0.03	7	1.0	0.75	20.0	1.0	0.0	5	0.697833960492274	0.6809983690165231	0.012760147008661214	0.7187238343003491	0.75017616319086	0.6795397391748839	0.3919096015656631	1600	22	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	11	400	2	0.08	7	0.9	1.0	20.0	0.1	0.1	5	0.7151805655326455	0.7018725766171097	0.01314929195879801	0.7400202064056767	0.7639178946531954	0.7062579338766243	0.4149474176090477	1600	18	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	12	400	3	0.05	7	1.0	0.9	20.0	0.1	0.0	5	0.7144565774320855	0.706115698503167	0.008550470537423378	0.7282340997373498	0.7712136994555024	0.7059856408346283	0.4252092632848715	3200	20	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	13	400	3	0.08	3	0.75	0.75	1.0	0.1	0.1	5	0.7244081234159297	0.7047961507959025	0.014894622828783618	0.7486246622741473	0.7748647716029544	0.7123737550293113	0.43543498153551125	3200	9	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	14	400	3	0.08	3	1.0	0.9	20.0	0.0	0.0	5	0.7156137255043303	0.6998969521268722	0.01086814043974973	0.7337130895757742	0.7727481381856981	0.708680166441251	0.4312301653940507	3200	16	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	15	400	3	0.08	7	1.0	0.9	20.0	0.1	0.1	5	0.7200970220786582	0.7067516858367839	0.009073566533898453	0.7346506276276188	0.7741029342996008	0.7141359377899121	0.4345366049293843	3200	13	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	16	400	4	0.05	7	1.0	0.9	5.0	0.0	0.1	5	0.7176949990144262	0.7011527800756414	0.013676883511379686	0.7426761323267967	0.7784953517959572	0.711795968441802	0.4414470214395198	6400	14	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	17	400	4	0.08	7	1.0	0.9	20.0	1.0	0.1	5	0.7230568967671454	0.6988032663254043	0.017265902931587772	0.7507043916695209	0.779948512334974	0.716685472233996	0.44447122518534127	6400	11	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	18	400	5	0.03	7	0.75	0.75	1.0	1.0	0.1	5	0.7356278350154333	0.7117074194501618	0.0154782409008387	0.7562076505385337	0.785362043263003	0.7318139206722095	0.45702462220646306	12800	1	True	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	19	700	2	0.05	7	1.0	0.75	5.0	0.0	0.0	5	0.7151026261613416	0.6986213215824253	0.010839230926166654	0.7251482112642034	0.7640356954547531	0.7018957158551486	0.4141723321249634	2800	19	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	20	700	3	0.05	7	0.75	0.75	20.0	1.0	0.0	5	0.7299800716076567	0.7095038197881298	0.012773336488718598	0.7427284448567552	0.7782207274934684	0.720987246974709	0.4443648291814388	5600	4	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	21	700	3	0.08	1	0.75	1.0	20.0	0.0	0.1	5	0.7274373211562452	0.7044943597833806	0.018091382792152177	0.749718830753852	0.7766432005198751	0.7180930526557218	0.4401515783187585	5600	6	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	22	700	4	0.05	1	1.0	0.9	5.0	1.0	0.0	5	0.7265033437297607	0.7088920862553735	0.013579333636329894	0.7449772034511131	0.780474209824027	0.7183363427493911	0.44693493634374726	11200	8	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
explicit_dijet_mass_plane_blind	23	700	4	0.05	3	1.0	1.0	20.0	1.0	0.0	5	0.7267045591305975	0.6983617258779176	0.017517337285126337	0.7485385569490028	0.7801941523263717	0.7199710667063205	0.446017285443535	11200	7	False	mean_weighted_roc_auc_desc;worst_fold_weighted_roc_auc_desc;std_weighted_roc_auc_asc;n_estimators_times_two_to_max_depth_asc;trial_id_asc	pass
