evaluation_stage	variant	trial_id	fold	training_members	heldout_members	training_rows	heldout_rows	training_weight_rescale_factor	weighted_roc_auc	raw_roc_auc	weighted_average_precision	raw_average_precision	training_time_seconds	prediction_time_seconds	member_leakage	fit_status	failure_reason
hyperparameter_search	mass_aware	7	4	238	52	46338	10988	0.9763888110014965	0.7576561152254823	0.7859241683906094	0.7407666482333186	0.41894993778729617	0.5908840319607407	0.004276265972293913	0	pass	none
hyperparameter_search	mass_aware	8	0	232	58	45559	11767	0.9989684781992881	0.7827463127823948	0.8194706978291044	0.8194275043896475	0.5452875300164504	0.7214535330422223	0.0052362189162522554	0	pass	none
hyperparameter_search	mass_aware	8	1	232	58	45504	11822	1.0026857730649654	0.7752137168771814	0.8097788915424893	0.8139075957935037	0.5424389736488584	0.5864391829818487	0.006019986001774669	0	pass	none
hyperparameter_search	mass_aware	8	2	231	59	46147	11179	0.9785203482756778	0.8004941475530926	0.8214388792173947	0.7807727494068499	0.47818009947361595	0.6231192400446162	0.005971122998744249	0	pass	none
hyperparameter_search	mass_aware	8	3	227	63	45756	11570	1.047112520024319	0.7602839780696107	0.8333484170499611	0.7361019557486558	0.5659037540613113	0.7258154929149896	0.005345818004570901	0	pass	none
hyperparameter_search	mass_aware	8	4	238	52	46338	10988	0.9763888110014965	0.7607133675294601	0.7878920683195932	0.7451295882988369	0.41656947144837536	0.5840462029445916	0.005542934988625348	0	pass	none
hyperparameter_search	mass_aware	9	0	232	58	45559	11767	0.9989684781992881	0.7832804211375264	0.8207840740652759	0.823347853160452	0.5497633459316731	0.5433524920372292	0.006322663044556975	0	pass	none
hyperparameter_search	mass_aware	9	1	232	58	45504	11822	1.0026857730649654	0.785931462144357	0.8113484168096248	0.818347198213983	0.5484329114477361	0.774092324078083	0.005786268971860409	0	pass	none
hyperparameter_search	mass_aware	9	2	231	59	46147	11179	0.9785203482756778	0.8063806481627253	0.8214753919212998	0.7823442242888023	0.4830861048336791	0.6306406720541418	0.005440990091301501	0	pass	none
hyperparameter_search	mass_aware	9	3	227	63	45756	11570	1.047112520024319	0.7469933321297195	0.8268765423800425	0.7261429565890807	0.5632658468656863	0.5724528949940577	0.006042619002982974	0	pass	none
hyperparameter_search	mass_aware	9	4	238	52	46338	10988	0.9763888110014965	0.7577696072727318	0.7856072974238635	0.7428104241218894	0.42790754812037507	0.5838841929798946	0.005817279918119311	0	pass	none
hyperparameter_search	mass_aware	10	0	232	58	45559	11767	0.9989684781992881	0.778599067069039	0.8080420150306991	0.8064656827798115	0.5105526939626067	0.6978569109924138	0.004004486952908337	0	pass	none
hyperparameter_search	mass_aware	10	1	232	58	45504	11822	1.0026857730649654	0.761977122108895	0.7935915314638531	0.8049477794705631	0.5082826772243925	0.5503705650335178	0.003688254044391215	0	pass	none
hyperparameter_search	mass_aware	10	2	231	59	46147	11179	0.9785203482756778	0.7893618935052419	0.8112248696154568	0.7649329862241976	0.44351276325289213	0.5788985629333183	0.004487068974412978	0	pass	none
hyperparameter_search	mass_aware	10	3	227	63	45756	11570	1.047112520024319	0.7659292321074489	0.8228355546806733	0.7528735147306088	0.5562232366520947	0.6428481750190258	0.0042471010237932205	0	pass	none
hyperparameter_search	mass_aware	10	4	238	52	46338	10988	0.9763888110014965	0.752381671743674	0.7738555078683833	0.7400425164169626	0.39352502041480375	0.630195511970669	0.004012683057226241	0	pass	none
hyperparameter_search	mass_aware	11	0	232	58	45559	11767	0.9989684781992881	0.7702819451563405	0.8132022191227203	0.8109510930535448	0.5341155029263102	0.7606961929704994	0.004490394960157573	0	pass	none
hyperparameter_search	mass_aware	11	1	232	58	45504	11822	1.0026857730649654	0.7716533395647086	0.7986384880457167	0.8142482533138253	0.5192132379643825	0.49084028298966587	0.004121950943954289	0	pass	none
hyperparameter_search	mass_aware	11	2	231	59	46147	11179	0.9785203482756778	0.7888241956653096	0.8125701950281566	0.7666062611335106	0.463105448060577	0.616817474947311	0.004161296063102782	0	pass	none
hyperparameter_search	mass_aware	11	3	227	63	45756	11570	1.047112520024319	0.7705518019675781	0.8252028739881507	0.7542271955350655	0.564351851716178	0.5771321700885892	0.003885469981469214	0	pass	none
hyperparameter_search	mass_aware	11	4	238	52	46338	10988	0.9763888110014965	0.7570746901318821	0.7792559836251172	0.7452484930668888	0.41343811736849195	0.5844565470470116	0.0038120299577713013	0	pass	none
hyperparameter_search	mass_aware	12	0	232	58	45559	11767	0.9989684781992881	0.7786027322018958	0.8152228577709453	0.814714552133244	0.5342831439054134	0.8573768989881501	0.005354395019821823	0	pass	none
hyperparameter_search	mass_aware	12	1	232	58	45504	11822	1.0026857730649654	0.776734893014088	0.8024670776009957	0.8152699866433308	0.5259541135395158	0.7162140680011362	0.014383898000232875	0	pass	none
hyperparameter_search	mass_aware	12	2	231	59	46147	11179	0.9785203482756778	0.7947064934313695	0.8172810756978023	0.7719458924320903	0.46835102007525264	1.0887298419838771	0.005178358987905085	0	pass	none
hyperparameter_search	mass_aware	12	3	227	63	45756	11570	1.047112520024319	0.757931129863036	0.826564729549361	0.7322593820208387	0.5579851201117103	0.9515992810484022	0.0061956209829077125	0	pass	none
hyperparameter_search	mass_aware	12	4	238	52	46338	10988	0.9763888110014965	0.7557911787988143	0.7816707578143494	0.7396970803622471	0.41355103702362084	0.7909388850675896	0.006037320010364056	0	pass	none
hyperparameter_search	mass_aware	13	0	232	58	45559	11767	0.9989684781992881	0.7788353425454407	0.8156414743523757	0.8219851485831668	0.543669395977017	0.7437566550215706	0.005760419997386634	0	pass	none
hyperparameter_search	mass_aware	13	1	232	58	45504	11822	1.0026857730649654	0.7728952568616183	0.8085605712342232	0.8104555652080482	0.5395438624797471	0.6199008639669046	0.00529052410274744	0	pass	none
hyperparameter_search	mass_aware	13	2	231	59	46147	11179	0.9785203482756778	0.8087897956412791	0.8201536449419518	0.7845583993021495	0.47890821009813694	0.7590448000701144	0.005488038994371891	0	pass	none
hyperparameter_search	mass_aware	13	3	227	63	45756	11570	1.047112520024319	0.756590048598859	0.8266063077942405	0.7353799488406944	0.5640590141135571	0.8258547129807994	0.006038632011041045	0	pass	none
hyperparameter_search	mass_aware	13	4	238	52	46338	10988	0.9763888110014965	0.7567983409561523	0.7841851089943497	0.7445452003019667	0.4223638523830883	0.8642427009763196	0.004983355989679694	0	pass	none
hyperparameter_search	mass_aware	14	0	232	58	45559	11767	0.9989684781992881	0.7769506326139964	0.8156174362443387	0.8193231163170054	0.5391847118415982	0.5021020899293944	0.005297216004692018	0	pass	none
hyperparameter_search	mass_aware	14	1	232	58	45504	11822	1.0026857730649654	0.7793732164831179	0.805474499273063	0.8146343575130245	0.5349213480932911	0.6079761310247704	0.005711577017791569	0	pass	none
hyperparameter_search	mass_aware	14	2	231	59	46147	11179	0.9785203482756778	0.7911560390280223	0.8180553901588845	0.7652441797321144	0.4726845261980492	0.6433574770344421	0.005512116011232138	0	pass	none
hyperparameter_search	mass_aware	14	3	227	63	45756	11570	1.047112520024319	0.7544453378682954	0.8238497565800214	0.7261223474618803	0.5560983905873595	0.6013487350428477	0.005798742990009487	0	pass	none
hyperparameter_search	mass_aware	14	4	238	52	46338	10988	0.9763888110014965	0.7510294057984015	0.7815363803377899	0.7400578090837118	0.41797472409687164	0.7116176410345361	0.006015527993440628	0	pass	none
hyperparameter_search	mass_aware	15	0	232	58	45559	11767	0.9989684781992881	0.7796639268182364	0.8163771582921668	0.8199868100514986	0.5414045165471423	0.5969019429758191	0.005426082061603665	0	pass	none
hyperparameter_search	mass_aware	15	1	232	58	45504	11822	1.0026857730649654	0.7771684972336385	0.803955920332186	0.8111618683110164	0.5320247178082272	0.6446486619533971	0.006072668009437621	0	pass	none
hyperparameter_search	mass_aware	15	2	231	59	46147	11179	0.9785203482756778	0.792206042894764	0.8181089335232682	0.7701955067837446	0.4734862198031971	0.8659388989908621	0.006074741017073393	0	pass	none
hyperparameter_search	mass_aware	15	3	227	63	45756	11570	1.047112520024319	0.75620350514652	0.8236774421217388	0.7325602586199798	0.5569557755563983	0.7342808579560369	0.00548394292127341	0	pass	none
hyperparameter_search	mass_aware	15	4	238	52	46338	10988	0.9763888110014965	0.7525210830826442	0.7819190248659441	0.7430231900556303	0.41886978811797054	0.8904142879182473	0.006773635046556592	0	pass	none
hyperparameter_search	mass_aware	16	0	232	58	45559	11767	0.9989684781992881	0.7778244808146513	0.8193462888366272	0.8177316930655885	0.549822026125345	0.8461214140988886	0.008713410003110766	0	pass	none
hyperparameter_search	mass_aware	16	1	232	58	45504	11822	1.0026857730649654	0.7862403368722131	0.8097560696439318	0.8190545628834851	0.5430861804706424	0.8435857830336317	0.006872022990137339	0	pass	none
hyperparameter_search	mass_aware	16	2	231	59	46147	11179	0.9785203482756778	0.7939881331938422	0.8203731082258477	0.7737879721590171	0.4769525025534307	0.8228371099103242	0.007490382995456457	0	pass	none
hyperparameter_search	mass_aware	16	3	227	63	45756	11570	1.047112520024319	0.7582118070298538	0.8277870867381723	0.736050519951308	0.565344393350758	0.8078952869400382	0.007749669020995498	0	pass	none
hyperparameter_search	mass_aware	16	4	238	52	46338	10988	0.9763888110014965	0.757826515521869	0.7841792231450891	0.7427689534792544	0.421563223419762	0.7935888669453561	0.006626393995247781	0	pass	none
hyperparameter_search	mass_aware	17	0	232	58	45559	11767	0.9989684781992881	0.770409533701081	0.8160944748550077	0.8174751905655304	0.5459376199146867	1.0107899740105495	0.007573052076622844	0	pass	none
hyperparameter_search	mass_aware	17	1	232	58	45504	11822	1.0026857730649654	0.7846489357355493	0.8077322087299719	0.8157729610897881	0.5370379050488626	1.453097715973854	0.008329726988449693	0	pass	none
hyperparameter_search	mass_aware	17	2	231	59	46147	11179	0.9785203482756778	0.7926551301045898	0.8198054840533023	0.7740714059005009	0.4826688073657871	0.9223049090942368	0.007530340109951794	0	pass	none
hyperparameter_search	mass_aware	17	3	227	63	45756	11570	1.047112520024319	0.7390096808609673	0.8254387321035904	0.7155721595114494	0.5633112818570394	0.8350251950323582	0.008016839972697198	0	pass	none
