production_row_index	source_uid	group_id	sample_class	process_or_mode	source_fold	resolved_rows	rhh_min	rhh_q01	rhh_q05	rhh_median	rhh_q95	rhh_q99	rhh_max
45	1862b489d3ce604c66545fff::background::173::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin01_pthat75to100_shard1852_seed1211852_bundle.tar.gz	1862b489d3ce604c66545fff	background	qcd_hardqcd	0	565	2.5777475030352703	5.546160721760393	10.769748323582732	44.047660988318775	117.47215407969301	187.00882344359857	330.0471232151169
46	1a9ab3befc2c5033bf19f2d6::background::74::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1092_seed1201092_bundle.tar.gz	1a9ab3befc2c5033bf19f2d6	background	qcd_hardqcd	0	115	3.2131841970496353	6.579057586080264	13.22864828012507	45.58269418831921	91.3907411239084	107.87527990966974	140.95623135285004
47	1b967c0b64f53b628384c424::background::108::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1136_seed1211136_bundle.tar.gz	1b967c0b64f53b628384c424	background	qcd_hardqcd	3	547	2.2926924600656973	3.838532241934933	9.865342867985838	44.01343402018242	139.13648738473825	205.3135020286706	295.29696199141137
48	1bee4336cb3685c3fab75c05::background::115::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1144_seed1211144_bundle.tar.gz	1bee4336cb3685c3fab75c05	background	qcd_hardqcd	1	581	1.3903060298322147	4.94764377535716	11.386143149759235	44.7199996826601	119.63650848177252	185.97833942046466	277.51942476563397
49	1d33e21f26bc3e7ef5c9922d::background::69::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1085_seed1201085_bundle.tar.gz	1d33e21f26bc3e7ef5c9922d	background	qcd_hardqcd	2	127	3.3392584256091236	6.391621394880104	11.02478113936678	41.190711526441945	97.86740452263905	160.6962787625698	260.44183393965795
50	1d994f7dbd40f70a18de22e1::background::148::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1821_seed1201821_bundle.tar.gz	1d994f7dbd40f70a18de22e1	background	qcd_hardqcd	0	123	2.52224793296466	7.967368005163115	15.107805956576124	42.58536704229741	89.21282426206477	140.32964257032782	177.86482558317144
51	20b7e4a97c9e106a368d399f::background::66::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1080_seed1201080_bundle.tar.gz	20b7e4a97c9e106a368d399f	background	qcd_hardqcd	2	151	0.847317668950824	4.616821094499003	13.159190513720587	40.12597508216743	103.45216710659645	128.01956952749447	132.62139729773384
52	220483008330cbda9bc0e2f1::background::210::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin01_pthat75to100_shard9810_seed1219810_bundle.tar.gz	220483008330cbda9bc0e2f1	background	qcd_hardqcd	3	583	0.23404768668773224	3.7045002782502707	9.849462552819478	49.15281592058554	113.80503750542198	186.20775343297672	349.78144338245517
53	224e8975cd1789c339195c41::background::98::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1123_seed1211123_bundle.tar.gz	224e8975cd1789c339195c41	background	qcd_hardqcd	0	577	0.33381906088954194	3.2850476775630875	9.836840976371699	46.810589805906126	116.49743618832852	190.45398589593069	232.16803785022307
54	22579e48074d70b05aab8079::background::189::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9773_seed1209773_bundle.tar.gz	22579e48074d70b05aab8079	background	qcd_hardqcd	1	120	2.6790488403825488	6.813155103079016	12.039355582362957	45.993583080806815	97.60808368239007	115.42233451225768	260.84363611909123
55	24553efcd3b3e4cf989bee14::background::41::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042_bundle.tar.gz	24553efcd3b3e4cf989bee14	background	qcd_hardqcd	1	122	4.812560586245964	8.384193663274097	11.796490881891875	41.30942459994854	93.69422353064697	138.35992284640483	183.35571793502086
56	2496984764c38b86a50c444a::background::84::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1105_seed1201105_bundle.tar.gz	2496984764c38b86a50c444a	background	qcd_hardqcd	2	142	6.983988494547417	11.920895632893949	18.12138040652684	48.10165296533596	111.03481014674864	175.88356377064127	229.50249917739532
57	256666d525d1d35b7272b519::background::216::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin02_pthat100to200_shard9818_seed1229818_bundle.tar.gz	256666d525d1d35b7272b519	background	qcd_hardqcd	4	167	3.5468749323728574	3.8135901748739967	12.161253359784359	67.29912791249302	170.9983222197715	262.49258872918074	313.4514407459948
58	265659ec6844ada669a1c22b::background::200::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9788_seed1209788_bundle.tar.gz	265659ec6844ada669a1c22b	background	qcd_hardqcd	4	122	3.767034658047299	4.3738022844271915	12.208226796144048	41.610843774307256	94.34062306989486	145.84938673854805	213.1344853334418
59	286a8961f7e75524ed52e3b1::background::161::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1837_seed1201837_bundle.tar.gz	286a8961f7e75524ed52e3b1	background	qcd_hardqcd	2	142	4.757539967561017	6.463798711872097	9.69585704636853	42.24648392025752	105.90244503006234	162.55453194067385	215.61460584041953
60	28cad4a2f5ab5c25d207948a::background::64::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1076_seed1201076_bundle.tar.gz	28cad4a2f5ab5c25d207948a	background	qcd_hardqcd	1	144	1.631799524992778	3.7524814917349403	11.503537346397316	39.87485813167476	102.9590161647127	152.30859987300173	164.81572718635252
61	2b5c1961e0da5a94d3dd6922::background::139::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1176_seed1221176_bundle.tar.gz	2b5c1961e0da5a94d3dd6922	background	qcd_hardqcd	2	1492	2.038559777646295	5.0098549244464765	10.970229636819896	58.009189075930585	180.06177795310413	306.0969325635766	484.7954305055675
62	2c2137bd1a11d29566552454::background::110::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1139_seed1211139_bundle.tar.gz	2c2137bd1a11d29566552454	background	qcd_hardqcd	4	576	0.6626804128167162	6.034893032382071	11.982283838284554	45.28805203495552	119.37067364379813	184.6469494763083	247.73227404711795
63	2df9f3c8fd1857d7df03536d::background::204::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9797_seed1209797_bundle.tar.gz	2df9f3c8fd1857d7df03536d	background	qcd_hardqcd	3	129	1.0848003278676457	2.716758031078843	9.67197367973495	43.1306260231785	100.78198335516369	163.47382501852164	415.5296229074682
64	2e18dbab0788c0655351bce6::background::160::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1836_seed1201836_bundle.tar.gz	2e18dbab0788c0655351bce6	background	qcd_hardqcd	2	136	5.840816743583064	8.07229734884881	16.634208396201284	44.091279136732	118.96728300141892	155.03822749935324	259.0132869736099
65	2f862e1d6690070145517b88::background::38::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1038_seed1201038_bundle.tar.gz	2f862e1d6690070145517b88	background	qcd_hardqcd	3	133	4.755484545394819	7.102545994583397	13.17567840489253	42.53642528211959	84.99282683225074	120.45772819829187	127.69775164087419
66	2fc1765f92bee7ca2ad0745c::background::45::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050_bundle.tar.gz	2fc1765f92bee7ca2ad0745c	background	qcd_hardqcd	4	128	7.6621821284444955	10.18688505120925	13.675373424559877	44.17991511011435	101.15291643774528	166.7361031617725	171.30704444357957
67	326a5afd73acd1973ad9efce::background::67::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1083_seed1201083_bundle.tar.gz	326a5afd73acd1973ad9efce	background	qcd_hardqcd	3	135	1.556960819363259	5.159007740077981	14.534440698843294	41.10126410641792	96.50933518222817	218.88333024708405	242.2321720770831
68	34b1e9d59bdb22c9ae6729b8::background::208::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin01_pthat75to100_shard9806_seed1219806_bundle.tar.gz	34b1e9d59bdb22c9ae6729b8	background	qcd_hardqcd	4	560	1.5548309820056159	4.152987126733845	9.752202816769836	47.37308848849894	121.50200544119247	183.35873842180746	248.28982758550848
69	369607981cba9e3f933173ba::background::153::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1826_seed1201826_bundle.tar.gz	369607981cba9e3f933173ba	background	qcd_hardqcd	1	126	7.703587625913206	8.747053818436012	11.50899582512691	40.819213312536235	97.13610363929979	134.34142801957657	195.66345631559383
70	397083e42d53f7591ed40e84::background::141::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin03_pthat200to300_shard1178_seed1231178_bundle.tar.gz	397083e42d53f7591ed40e84	background	qcd_hardqcd	4	3371	1.2885970020677697	4.923227649032198	12.944448317132167	75.20391840443655	334.00055593241274	536.1586089318126	950.2928494573415
71	3985a321950cc46302e7b4a2::background::184::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin04_pthat300to500_shard1866_seed1241866_bundle.tar.gz	3985a321950cc46302e7b4a2	background	qcd_hardqcd	4	1341	1.0149585021314613	4.332113490875626	11.373465665364376	89.67273654000803	483.239478642218	691.9734789439564	954.4467452125263
72	3c218500a70136d42696cdbd::background::205::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin00_pthat50to75_shard9798_seed1209798_bundle.tar.gz	3c218500a70136d42696cdbd	background	qcd_hardqcd	4	129	3.025923505825355	5.470512851330185	11.459640107206631	44.37246056971717	85.84576875254771	105.37169263416007	126.18612568285205
73	3c9b389d779c1cd8f768600b::background::219::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin05_pthat500to700_shard9824_seed1259824_bundle.tar.gz	3c9b389d779c1cd8f768600b	background	qcd_hardqcd	2	1372	0.8598150004951174	4.893204785814906	11.396076527428166	122.6589138990403	689.9939419198431	1013.5053080536513	1600.5192892166765
74	3ce04d39eb1f03650a156ab1::background::182::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin03_pthat200to300_shard1863_seed1231863_bundle.tar.gz	3ce04d39eb1f03650a156ab1	background	qcd_hardqcd	3	3418	0.6403349597054969	5.682123667036748	14.184163496062169	75.66241242085991	347.7494273946891	520.6463153956065	1181.614427880724
75	3d9f6517f0e585392bc55730::background::80::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1100_seed1201100_bundle.tar.gz	3d9f6517f0e585392bc55730	background	qcd_hardqcd	4	132	4.569149479234212	6.111881289358221	11.61351758684395	39.06459585568759	101.20032805282108	147.95658578231067	184.21590491493703
76	3da88a15811d3039fa596d87::background::82::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1102_seed1201102_bundle.tar.gz	3da88a15811d3039fa596d87	background	qcd_hardqcd	1	145	2.639080818442711	7.37859535535414	14.747330924969438	44.84516551810153	104.52485460400486	124.90393605369357	164.74517694866245
