threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,n_signal_test_rows,n_background_test_rows
0.56,194.34402797938142,2030622.633613984,9.570661961622048e-05,0.1363818534868432,117,1399
0.5700000000000001,190.87276750515457,1899819.574002288,0.00010046889195011773,0.13848023488821543,114,1326
0.5800000000000001,190.87276750515457,1787970.809610432,0.00010675384993938602,0.14274593787481515,114,1250
0.59,187.57584603092775,1724793.9685543291,0.00010875261013821159,0.1428263380989189,112,1196
0.6,187.40150703092783,1628924.0787981278,0.0001150461887512883,0.14683265696075928,111,1129
0.61,184.104585556701,1560050.6438019662,0.00011801192883586371,0.14739924439790586,109,1052
0.62,177.51074260824737,1501208.6470230252,0.00011824521725228562,0.14487855715849313,105,1004
0.63,171.09123865979382,1412401.051512502,0.00012113502639818687,0.14396229267260444,102,942
0.64,164.84607371134018,1318614.4428371745,0.00012501461257822407,0.1435554528398854,100,880
0.65,155.1296482886598,1248083.287739544,0.00012429430776981368,0.13885867725357903,95,826
0.66,148.53580534020617,1188656.773194192,0.00012496105578152435,0.1362394621857821,91,782
0.67,148.36146634020614,1131293.7320974278,0.00013114318777771603,0.13948690131776156,90,734
0.68,144.5415278659794,1054472.3082653775,0.0001370747498374351,0.14075863658529014,85,685
0.6900000000000001,135.17378044329894,971889.5250545182,0.00013908348321350244,0.13711469732742448,82,631
0.7000000000000001,128.7542764948454,913190.8847606126,0.00014099382576359987,0.13473514028059866,79,590
0.7100000000000001,119.03785107216495,845858.3415808012,0.00014073024432164187,0.12943039003614643,74,543
0.72,118.68917307216493,788685.5236933972,0.00015048985876695963,0.1336469860969462,72,502
0.73,115.2179125979382,736088.0856858264,0.00015652734345046165,0.13429353587147352,69,455
0.74,105.85016517525774,636194.7895480777,0.00016638011960212472,0.13270781115580213,66,410
0.75,102.37890470103093,552709.3880938869,0.00018523098558919388,0.13770891554766568,63,372
0.76,98.73330522680412,466268.84669749957,0.00021175188075745312,0.1445924032415792,59,332
0.77,92.31380127835052,425872.8977227937,0.00021676373812930168,0.1414577132786359,56,293
0.78,85.8942973298969,394958.5727376364,0.000217476726064014,0.13667483517778597,53,263
0.79,85.71995832989691,314503.10638831864,0.0002725567938399248,0.15285142135580115,52,231
0.8,85.54561932989691,275263.0750125776,0.0003107776781393148,0.1630511237322057,51,197
0.81,72.70661143298969,251189.86564753894,0.00028944882487818646,0.14506840882891692,45,183
0.8200000000000001,69.40968995876288,226101.44093614205,0.000306984730709285,0.14597162388836327,43,165
0.8300000000000001,62.81584701030928,186585.23820151444,0.00033666032541367156,0.14542215613731674,39,136
0.8400000000000001,59.34458653608247,171245.06067692867,0.00034654772699133264,0.1434075715341412,36,121
0.85,52.57640458762886,145448.446953707,0.00036147793729528617,0.13785938590004854,31,106
0.86,49.453822113402055,118754.57777057559,0.0004164371853432287,0.14350752762614885,30,93
0.87,45.808222639175256,97637.55611585797,0.00046916601010392597,0.14660034462979338,26,73
0.88,39.56305769072165,93742.088233955,0.0004220415657050749,0.12921785794491555,24,63
0.89,36.09179721649484,74143.16655777826,0.00048678521422967875,0.13254792808627966,21,49
0.9,26.72404979381443,47618.904765989115,0.0005612067292421552,0.12246516474855652,18,37
0.91,26.201032793814424,37741.28837431203,0.0006942273017803948,0.13486835173720121,15,27
0.92,16.31026837113402,26093.4009001266,0.0006250725397414518,0.10097079218570791,9,16
0.93,13.013346896907217,25313.188147781744,0.0005140935555384637,0.0817928956308949,7,13
0.9400000000000001,13.013346896907217,17217.012574638295,0.0007558423298172337,0.09917680392752239,7,10
0.9500000000000001,9.716425422680413,8364.057611312608,0.0011616880076888388,0.10624243451244325,5,4
0.9600000000000001,6.245164948453608,7851.726897136911,0.0007953874390015874,0.07047925761877033,2,2
0.97,3.122582474226804,7607.278221130372,0.00041047302115930983,0.035801338829923514,1,1
0.98,0.0,0.0,,,0,0
0.99,0.0,0.0,,,0,0
