scope	metric	difference_definition	nominal_difference	difference_mean	difference_std	difference_p2p5	difference_p16	difference_median	difference_p84	difference_p97p5	ratio_mean	ratio_std	ratio_p2p5	ratio_p16	ratio_median	ratio_p84	ratio_p97p5	bootstrap_replicas	bootstrap_seed	bootstrap_unit	selection_reoptimization_inside_bootstrap	validation_payloads_opened	test_payloads_opened
exact3tag	background_finite_mc_relative_uncertainty	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.006536429831395463	-0.006619158324442207	0.0025079926118172086	-0.012205378535472823	-0.009037307995993995	-0.006327354074117379	-0.004163382509514992	-0.0024335342154463064	0.9512725116640022	0.016863548764446644	0.9147053833013572	0.934775250659396	0.9523927018196843	0.967804574696424	0.9821079556503354	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	signal_over_background	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-6.573445595477957e-08	-7.440411682951764e-08	8.861578891101593e-08	-2.8770379041805195e-07	-1.5816311073022452e-07	-6.254328188248553e-08	8.217469746222536e-09	6.487374630650833e-08	0.9762934216581871	0.026894029453415458	0.9183546189688533	0.949452530677925	0.9787856420626206	1.002897410932579	1.0232970524897045	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
exact3tag	asimov_significance_stat_only	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	0.00024568946850654985	0.00022929523116865024	0.00028607393533022134	-0.0004046689161269705	-5.02997228253997e-05	0.000255874632909988	0.0005051174581056371	0.0007215703749961884	1.0117368340211856	0.0141493100648691	0.9811524760619458	0.9975158573053041	1.0129746197097536	1.0257056337674704	1.0363470222852884	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	signal_physical_efficiency	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.0010754289198873224	-0.0010589163505384303	0.0003613153645356923	-0.0018718770243929066	-0.0014108585080135282	-0.0010282101325007065	-0.0006992385254482647	-0.0004196492424646677	0.9982485939648609	0.0005962064328457759	0.996909757675971	0.9976684879082254	0.9982964579449364	0.9988455863827551	0.9993057253012415	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	background_physical_efficiency	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-8.752246461923852e-05	-9.416243612271028e-05	4.763639200617092e-05	-0.0002043643755631791	-0.00013874313497911462	-8.450682151819877e-05	-5.142766474112826e-05	-2.7354220665816453e-05	0.9990158426109006	0.0014325843557662142	0.9943250535564297	0.9986417391326304	0.9994436841856578	0.9997183786368946	0.9998607887126958	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	background_rejection	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	0.003438594317912269	0.026695026717722684	0.09475205599257934	0.0004404794650119337	0.0011829608266323178	0.0034337821551959635	0.01571916892710099	0.34866498186572425	1.0009871971028979	0.0014443861065827675	1.00013923066988	1.0002817006960396	1.0005566254739389	1.0013601082491799	1.00570733526594	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	signal_selected_signed_yield	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.0852141576428238	-0.08392912839235478	0.02876198489136675	-0.14875444408008	-0.11204566634660154	-0.08131483946705842	-0.05456497404272996	-0.033358674789760207	0.9982485939648609	0.0005962064328457757	0.9969097576759711	0.9976684879082254	0.9982964579449365	0.9988455863827551	0.9993057253012415	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	background_selected_signed_yield	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-806.2416520314291	-800.7460515927237	291.74284868745855	-1378.4706612043287	-1134.1615592921105	-802.3228031402687	-473.931741340803	-254.0395306970295	0.9990158426109006	0.0014325843557662127	0.9943250535564299	0.9986417391326304	0.9994436841856578	0.9997183786368945	0.9998607887126958	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	signal_selected_sumw2	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-0.0008863212050232994	-0.0008701949368556787	0.000403867734941561	-0.0017328835124438252	-0.0012955762801115033	-0.0008763843471085164	-0.0004665539757329018	-0.00024270234504399912	0.9986175982375314	0.0006383487645315787	0.997249000730968	0.9979524553005588	0.9986122861818983	0.9992550273987678	0.9996129122714742	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
ge4tag	background_selected_sumw2	fixed_nominal_deployment_cut_minus_historical_rhh125125_lt34	-89259.67370605469	-88628.14679819094	32923.170825166504	-153064.03302612304	-127367.26303222656	-89228.498046875	-51068.67958618164	-25609.357067108158	0.9998029372769365	0.0010955778842129168	0.9965385512841206	0.9999995324439016	0.9999998763979656	0.9999999424808593	0.9999999722493877	2000	20260727	source_group_within_sample_class_and_process_or_mode_strata	False	0	0
