row,event_id,split,ww_mode,n_jets,target_pos_0,target_pos_1
172,386,1,0,4,0,1
173,387,0,0,6,1,2
174,389,0,1,5,0,4
175,392,0,0,6,3,4
176,393,0,1,9,2,6
177,394,0,3,9,3,4
178,398,0,0,9,2,5
179,401,1,0,7,1,3
180,402,0,1,4,0,1
181,403,0,1,5,0,1
182,406,1,2,7,1,6
183,407,0,1,4,0,2
184,408,0,1,5,1,2
185,409,0,3,4,0,2
186,411,1,2,5,0,4
187,412,0,0,7,0,6
188,413,0,0,3,1,2
189,414,0,3,3,0,1
190,416,1,0,5,1,2
191,417,0,0,8,0,1
192,418,0,1,9,5,8
193,419,0,1,7,0,1
194,421,1,3,7,1,4
195,422,0,1,8,0,3
196,424,0,3,7,3,4
197,426,1,0,4,0,3
198,428,0,1,7,0,1
199,433,0,0,4,1,3
200,434,0,2,7,1,5
201,439,0,1,4,0,1
202,441,1,1,8,1,6
203,442,0,1,5,0,3
204,443,0,0,4,0,1
205,444,0,0,4,0,2
206,446,1,0,8,4,7
207,447,0,0,9,2,6
208,448,0,1,4,0,3
209,449,0,1,6,1,2
210,457,0,0,4,0,3
211,458,0,0,2,0,1
212,461,1,1,7,0,2
213,462,0,0,8,1,5
214,463,0,0,7,2,3
215,464,0,5,7,2,5
216,466,1,3,8,2,7
217,467,0,1,12,3,8
218,468,0,1,5,0,2
219,471,1,1,10,2,3
220,472,0,4,8,2,4
221,473,0,3,7,0,5
222,474,0,0,4,1,0
223,476,1,0,5,3,4
224,477,0,1,9,1,7
225,479,0,1,5,0,4
226,482,0,2,4,2,3
227,486,1,1,5,0,1
228,488,0,0,4,1,3
229,491,1,2,8,1,2
230,492,0,1,4,0,3
231,493,0,4,3,1,2
232,494,0,0,5,1,2
233,497,0,0,3,0,1
234,498,0,1,7,0,2
235,499,0,1,6,4,3
236,508,0,1,6,3,5
237,509,0,0,4,0,3
238,512,0,1,6,2,5
239,513,0,0,4,0,1
240,516,1,0,5,1,3
241,523,0,4,5,0,1
242,527,0,0,7,1,6
243,529,0,1,5,0,3
244,531,1,1,7,2,0
245,534,0,2,11,2,4
246,536,1,1,6,0,4
247,537,0,0,5,0,1
248,539,0,3,6,1,3
249,543,0,1,7,0,2
250,544,0,0,6,1,2
251,547,0,1,9,0,4
252,549,0,1,7,3,5
253,553,0,0,7,1,4
254,554,0,0,9,0,3
255,557,0,4,6,2,1
256,558,0,0,7,5,6
257,559,0,1,7,0,1
258,564,0,1,3,0,1
259,566,1,1,5,0,1
260,568,0,0,5,1,4
261,569,0,3,6,1,3
262,572,0,0,8,2,3
263,576,1,0,4,1,2
264,579,0,1,6,2,3
265,582,0,3,6,0,2
266,583,0,1,4,1,2
267,584,0,0,5,0,2
268,586,1,3,3,0,2
269,587,0,1,6,2,4
270,591,1,0,8,0,4
271,592,0,1,6,0,4
272,593,0,0,7,1,2
273,594,0,1,10,4,6
274,596,1,0,6,0,2
275,598,0,1,6,2,5
276,601,1,1,4,0,2
277,602,0,3,3,0,2
278,603,0,1,6,3,2
279,606,1,3,9,1,7
280,607,0,1,8,1,2
281,608,0,4,9,1,8
282,614,0,1,6,3,4
283,618,0,1,6,0,4
284,621,1,1,2,0,1
285,622,0,5,5,0,2
286,623,0,0,4,0,2
287,624,0,1,10,1,4
288,631,1,0,6,0,4
289,633,0,0,2,0,1
290,636,1,4,4,2,0
291,641,1,0,9,0,6
292,642,0,1,8,3,4
293,644,0,1,4,0,1
294,646,1,0,6,0,2
295,647,0,1,5,0,2
296,649,0,3,6,2,3
297,651,1,0,8,3,5
298,653,0,1,3,1,2
299,654,0,1,4,0,2
300,656,1,1,5,1,4
301,658,0,2,4,0,1
302,659,0,1,6,0,4
303,661,1,0,9,2,8
304,662,0,1,6,0,2
305,666,1,1,4,1,2
306,669,0,1,3,0,2
307,672,0,0,8,3,4
308,674,0,2,5,0,2
309,678,0,4,8,1,2
310,679,0,4,4,1,3
311,681,1,1,4,1,2
312,682,0,4,8,2,3
313,684,0,1,4,0,3
314,686,1,0,6,2,1
315,687,0,1,3,1,2
316,688,0,1,3,0,2
317,689,0,1,5,0,3
318,693,0,0,6,1,2
319,694,0,3,8,2,6
320,696,1,1,7,3,4
321,697,0,0,5,2,3
322,698,0,2,4,0,3
323,702,0,1,3,0,2
324,706,1,1,6,3,2
325,712,0,1,6,1,3
326,714,0,2,3,1,2
327,716,1,1,6,1,4
328,717,0,0,7,0,1
329,719,0,0,5,0,3
330,721,1,0,7,1,3
331,726,1,1,7,1,2
332,727,0,0,9,1,2
333,732,0,1,3,0,2
334,733,0,1,7,0,5
335,734,0,2,4,0,1
336,736,1,1,5,1,2
337,737,0,0,10,1,7
338,741,1,0,6,3,2
339,742,0,1,8,1,2
340,743,0,1,7,0,4
341,744,0,1,4,1,2
342,746,1,1,5,0,3
343,748,0,1,4,0,3
344,749,0,0,8,4,5
345,752,0,5,3,1,2
346,756,1,0,4,3,2
347,757,0,0,8,0,4
348,758,0,1,6,0,2
349,762,0,0,5,0,2
350,763,0,1,5,3,2
351,764,0,2,4,1,2
352,767,0,1,7,2,3
353,771,1,1,7,1,0
354,772,0,1,7,0,1
355,773,0,1,5,2,1
356,779,0,1,6,2,3
357,781,1,1,4,0,1
358,784,0,0,6,1,4
359,786,1,3,5,1,2
360,787,0,1,7,0,2
361,789,0,1,8,2,1
362,793,0,3,8,0,5
363,794,0,0,5,2,4
364,796,1,3,6,0,3
365,797,0,4,5,1,2
366,799,0,0,5,1,2
367,801,1,0,5,2,3
368,804,0,1,7,0,4
369,806,1,1,5,0,3
370,807,0,3,6,0,5
371,809,0,1,4,0,1
372,811,1,1,5,3,4
373,812,0,2,5,1,3
374,813,0,1,6,3,4
375,814,0,1,4,0,1
376,818,0,1,5,0,1
377,823,0,0,5,1,2
378,824,0,0,4,0,2
379,829,0,0,4,0,1
380,831,1,2,8,2,6
381,834,0,0,2,1,0
382,838,0,1,6,0,5
383,839,0,0,7,1,3
384,842,0,1,5,0,1
385,851,1,1,4,0,3
386,853,0,4,7,4,2
387,856,1,1,5,1,3
388,858,0,1,9,0,1
389,859,0,0,6,2,4
390,867,0,1,7,1,2
391,873,0,1,5,0,2
392,876,1,1,8,0,3
393,877,0,0,7,2,3
394,879,0,0,7,0,4
395,883,0,1,6,0,4
396,888,0,0,7,1,2
397,889,0,2,9,0,2
398,893,0,1,7,1,2
399,894,0,1,5,0,1
400,896,1,0,8,1,5
401,897,0,1,5,0,4
402,899,0,1,7,2,3
403,904,0,0,5,0,3
404,908,0,1,6,2,1
405,911,1,1,4,2,3
406,913,0,0,6,1,2
407,914,0,2,5,1,2
408,916,1,1,4,1,3
409,919,0,0,5,2,3
410,922,0,1,4,1,3
411,924,0,2,6,0,3
412,926,1,1,4,2,1
413,927,0,1,5,1,3
414,931,1,1,6,2,5
415,932,0,1,9,2,3
416,933,0,0,3,1,0
417,937,0,1,10,1,5
418,939,0,2,8,2,5
419,941,1,1,11,1,4
420,943,0,3,5,0,2
421,948,0,1,5,0,3
422,949,0,1,6,0,3
423,953,0,1,6,3,4
424,957,0,3,4,1,3
425,958,0,1,5,0,2
426,959,0,0,9,1,8
427,962,0,0,4,1,2
428,963,0,1,11,4,9
429,964,0,0,4,2,0
430,966,1,1,5,4,3
431,971,1,1,6,0,1
432,972,0,1,5,1,3
433,973,0,1,4,3,2
434,976,1,1,6,1,3
435,977,0,1,6,0,3
436,981,1,1,7,2,3
437,982,0,3,5,0,1
438,983,0,1,7,0,4
439,984,0,3,6,0,2
440,986,1,4,5,0,3
441,988,0,3,6,1,2
442,989,0,1,9,2,5
443,991,1,1,6,2,5
444,992,0,1,6,1,2
445,996,1,3,7,1,2
446,1008,0,1,6,2,4
447,1011,1,0,5,0,1
448,1014,0,4,5,2,3
449,1021,1,2,7,0,3
450,1024,0,1,7,1,2
451,1027,0,1,8,0,6
452,1028,0,3,6,1,2
453,1029,0,1,6,1,0
454,1033,0,0,4,1,3
455,1037,0,1,7,3,5
456,1038,0,1,6,3,4
457,1039,0,1,6,2,4
458,1043,0,0,5,2,4
459,1047,0,1,9,5,7
460,1048,0,1,6,0,3
461,1049,0,0,4,1,3
462,1052,0,1,7,1,4
463,1054,0,1,4,1,3
464,1056,1,0,3,0,1
465,1058,0,1,6,1,2
466,1061,1,1,4,1,2
467,1062,0,0,2,0,1
468,1064,0,1,10,0,1
469,1066,1,1,7,1,3
470,1067,0,1,9,1,6
471,1069,0,1,5,1,2
472,1071,1,0,7,3,6
473,1072,0,0,4,1,2
474,1073,0,1,8,1,0
475,1074,0,3,6,1,4
476,1078,0,1,6,1,4
477,1079,0,1,10,1,2
478,1082,0,0,7,2,3
479,1083,0,0,9,0,2
480,1084,0,0,4,0,3
481,1086,1,0,3,0,2
482,1087,0,0,4,1,3
483,1088,0,0,7,2,3
484,1091,1,0,7,0,5
485,1092,0,0,7,0,3
486,1093,0,1,9,0,4
487,1094,0,1,8,1,4
488,1097,0,1,8,1,5
489,1101,1,1,7,0,5
490,1102,0,0,3,0,1
491,1108,0,1,5,0,3
492,1111,1,1,4,0,3
493,1113,0,0,6,0,3
494,1116,1,4,7,0,4
495,1117,0,1,8,1,5
496,1123,0,1,4,1,2
497,1124,0,1,3,0,2
498,1127,0,0,8,2,7
499,1128,0,0,9,0,6
500,1129,0,5,5,1,4
501,1131,1,1,4,1,2
502,1132,0,0,7,0,1
503,1133,0,3,9,0,1
504,1136,1,1,6,1,4
505,1138,0,1,7,1,5
506,1141,1,1,9,1,6
507,1146,1,2,5,0,2
508,1147,0,0,11,7,6
509,1152,0,0,3,0,2
510,1153,0,1,6,0,2
511,1154,0,2,13,9,8
512,1156,1,3,6,3,2
513,1157,0,1,7,1,3
514,1161,1,1,9,2,3
515,1162,0,1,7,1,3
516,1169,0,1,12,1,4
517,1171,1,4,5,1,3
518,1172,0,1,8,2,0
519,1173,0,0,4,0,1
520,1174,0,0,7,1,5
521,1176,1,1,3,0,2
522,1177,0,0,8,0,2
523,1179,0,0,7,4,2
524,1182,0,1,8,1,0
525,1183,0,0,9,6,1
526,1184,0,1,8,2,6
527,1188,0,3,5,1,2
528,1189,0,0,3,0,1
529,1191,1,1,5,3,2
530,1194,0,0,7,0,3
531,1196,1,1,3,0,2
532,1198,0,1,7,1,3
533,1199,0,5,5,0,2
534,1202,0,1,6,1,3
535,1203,0,0,6,1,2
536,1204,0,0,7,2,4
537,1207,0,3,5,0,2
538,1208,0,4,6,3,5
539,1209,0,1,4,1,2
540,1211,1,0,2,0,1
541,1212,0,0,5,1,2
542,1213,0,1,2,0,1
543,1214,0,0,8,2,4
544,1216,1,0,10,3,6
545,1217,0,0,6,1,4
546,1218,0,1,6,1,0
547,1222,0,0,7,1,3
548,1223,0,2,7,1,4
549,1224,0,0,3,2,1
550,1226,1,1,6,1,4
551,1227,0,1,5,0,2
552,1228,0,0,5,1,4
553,1229,0,3,3,0,1
554,1231,1,1,7,3,4
555,1234,0,0,7,2,3
556,1238,0,5,5,0,3
557,1239,0,1,8,0,5
558,1241,1,0,6,0,1
559,1247,0,0,8,1,3
560,1248,0,0,8,1,5
561,1251,1,1,4,1,2
562,1254,0,3,6,2,4
563,1256,1,0,8,2,4
564,1257,0,1,5,3,4
565,1258,0,1,5,3,2
566,1259,0,1,6,0,3
567,1261,1,1,5,0,3
568,1262,0,3,5,2,1
569,1264,0,0,4,1,2
570,1268,0,0,3,1,2
571,1269,0,1,10,1,4
572,1273,0,1,7,1,2
573,1274,0,1,7,0,2
574,1279,0,1,7,0,6
575,1283,0,1,7,0,4
576,1284,0,2,6,1,5
577,1286,1,1,7,1,3
578,1287,0,1,6,2,3
579,1289,0,3,6,1,3
580,1292,0,0,5,1,3
581,1293,0,1,7,1,2
582,1296,1,0,4,1,3
583,1298,0,0,7,1,3
584,1299,0,1,8,3,0
585,1302,0,4,4,0,3
586,1304,0,3,3,0,2
587,1307,0,5,8,6,7
588,1308,0,1,5,1,2
589,1309,0,2,7,2,5
590,1311,1,3,5,0,4
591,1312,0,2,8,2,1
592,1313,0,0,4,1,3
593,1314,0,0,7,0,1
594,1316,1,1,6,2,5
595,1319,0,1,11,2,9
596,1323,0,1,9,2,6
597,1324,0,0,8,2,5
598,1326,1,0,3,0,2
599,1328,0,1,5,0,2
600,1332,0,1,4,0,1
601,1333,0,1,5,1,2
602,1334,0,0,4,1,2
603,1336,1,1,10,5,9
604,1339,0,0,4,0,1
605,1341,1,1,3,0,2
606,1342,0,1,3,0,1
607,1347,0,0,4,0,2
608,1353,0,1,7,2,4
609,1361,1,2,6,2,3
610,1362,0,1,4,1,2
611,1363,0,0,4,1,3
612,1364,0,0,8,1,3
613,1371,1,3,5,3,4
614,1386,1,1,6,2,3
615,1389,0,0,8,0,2
616,1392,0,1,6,0,2
617,1398,0,1,3,0,1
618,1399,0,1,5,3,2
619,1401,1,0,5,1,2
620,1402,0,1,5,1,4
621,1403,0,1,5,2,3
622,1404,0,4,6,1,2
623,1406,1,1,7,0,6
624,1407,0,1,8,0,5
625,1414,0,1,8,4,7
626,1416,1,1,8,1,3
627,1418,0,0,5,2,3
628,1422,0,0,4,0,1
629,1423,0,0,6,0,3
630,1429,0,4,3,1,2
631,1431,1,1,8,1,2
632,1433,0,0,4,0,2
633,1437,0,1,6,0,2
634,1438,0,1,9,1,2
635,1439,0,0,11,2,9
636,1441,1,1,7,0,3
637,1442,0,1,7,1,3
638,1443,0,1,5,1,2
639,1448,0,0,7,1,2
640,1449,0,0,4,0,1
641,1451,1,1,4,1,3
642,1453,0,1,4,2,3
643,1456,1,0,6,0,4
644,1457,0,1,6,0,2
645,1458,0,0,4,0,1
646,1462,0,0,6,4,5
647,1464,0,4,7,1,2
648,1471,1,0,5,0,2
649,1473,0,0,5,0,1
650,1479,0,1,6,0,2
651,1481,1,0,7,0,4
652,1482,0,0,4,1,2
653,1483,0,1,7,4,2
654,1484,0,1,7,0,4
655,1486,1,0,6,1,3
656,1489,0,0,5,0,1
657,1492,0,1,8,2,7
658,1493,0,0,5,0,3
659,1494,0,1,5,0,2
660,1497,0,0,12,2,11
661,1498,0,0,8,1,3
662,1502,0,0,6,2,3
663,1504,0,0,5,0,2
664,1507,0,5,5,0,1
665,1508,0,1,11,6,4
666,1509,0,0,6,1,3
667,1511,1,2,7,0,1
668,1519,0,0,5,1,3
669,1521,1,0,6,4,5
670,1523,0,1,8,1,3
671,1524,0,1,8,3,4
672,1526,1,0,3,0,2
673,1527,0,1,5,0,3
674,1529,0,0,10,3,4
675,1532,0,4,4,0,1
676,1533,0,0,3,0,1
677,1536,1,0,5,0,1
678,1537,0,1,5,1,4
679,1538,0,0,4,1,2
680,1539,0,0,7,3,4
681,1541,1,0,6,0,2
682,1542,0,1,4,0,1
683,1543,0,2,7,3,2
684,1546,1,0,7,2,5
685,1548,0,0,8,1,2
686,1551,1,1,8,2,4
687,1556,1,1,6,1,2
688,1557,0,1,7,1,2
689,1558,0,2,8,1,4
690,1559,0,1,7,1,4
691,1561,1,0,6,0,4
692,1564,0,1,7,0,3
693,1568,0,0,6,2,1
694,1571,1,1,7,0,1
695,1574,0,1,4,0,1
696,1578,0,1,7,3,5
697,1579,0,1,7,3,4
698,1584,0,1,4,2,1
699,1586,1,1,5,3,4
700,1588,0,3,5,1,2
701,1593,0,0,4,0,3
702,1598,0,3,8,0,4
703,1602,0,0,5,0,2
704,1604,0,1,5,0,3
705,1606,1,1,8,1,7
706,1607,0,2,9,4,6
707,1611,1,0,10,4,7
708,1612,0,1,7,1,6
709,1614,0,1,7,4,3
710,1616,1,0,7,2,6
711,1617,0,1,8,1,2
712,1621,1,4,5,1,2
713,1624,0,1,4,0,2
714,1627,0,4,8,1,6
715,1628,0,1,4,0,2
716,1629,0,1,3,1,2
717,1631,1,1,6,0,4
718,1633,0,1,5,0,4
719,1634,0,1,10,1,5
720,1636,1,0,5,0,2
721,1638,0,1,4,1,2
722,1641,1,0,5,1,3
723,1644,0,0,3,0,2
724,1647,0,0,8,0,4
725,1648,0,1,8,2,4
726,1651,1,1,5,0,3
727,1652,0,1,4,0,1
728,1653,0,1,5,2,4
729,1654,0,4,3,0,1
730,1657,0,1,7,1,0
731,1664,0,0,4,1,2
732,1666,1,1,8,6,7
733,1667,0,1,8,0,5
734,1668,0,1,4,2,3
735,1669,0,0,5,1,4
736,1672,0,0,6,1,5
737,1674,0,1,3,0,1
738,1677,0,1,5,1,2
739,1678,0,1,3,2,0
740,1679,0,0,6,0,5
741,1682,0,0,8,0,3
742,1686,1,1,6,1,4
743,1688,0,0,6,0,1
744,1694,0,0,10,3,7
745,1697,0,0,4,0,3
746,1699,0,0,3,1,0
747,1701,1,3,5,0,2
748,1702,0,1,8,2,3
749,1703,0,0,6,3,4
750,1704,0,0,5,3,4
751,1706,1,1,7,1,2
752,1708,0,1,5,0,2
753,1709,0,1,5,0,3
754,1711,1,1,7,1,4
755,1713,0,4,6,1,3
756,1714,0,0,6,0,5
757,1716,1,0,5,0,4
758,1717,0,0,4,0,2
759,1718,0,2,7,0,3
760,1719,0,3,5,1,2
761,1721,1,1,5,0,1
762,1722,0,0,5,0,2
763,1723,0,0,6,1,3
764,1726,1,0,10,4,5
765,1727,0,0,5,2,4
766,1728,0,0,5,0,2
767,1731,1,1,9,2,1
768,1732,0,0,6,2,1
769,1733,0,2,6,1,2
770,1737,0,1,5,1,3
771,1744,0,1,11,2,5
772,1746,1,1,5,1,3
773,1747,0,0,6,1,5
774,1748,0,1,6,0,2
775,1751,1,0,4,0,1
776,1752,0,5,3,0,1
777,1753,0,1,7,0,3
778,1756,1,0,4,0,1
779,1758,0,1,5,0,1
780,1759,0,4,4,1,2
781,1761,1,1,5,0,2
782,1762,0,1,5,0,4
783,1763,0,0,5,1,2
784,1764,0,0,3,0,1
785,1766,1,1,7,2,6
786,1768,0,0,5,1,2
787,1769,0,1,12,2,9
788,1771,1,4,5,1,4
789,1772,0,5,8,4,6
790,1774,0,0,4,0,1
791,1776,1,2,5,1,3
792,1779,0,1,8,0,5
793,1781,1,4,5,2,0
794,1784,0,0,4,0,2
795,1786,1,1,6,1,2
796,1787,0,0,7,2,3
797,1788,0,2,3,1,2
798,1789,0,1,9,2,5
799,1792,0,3,4,2,1
800,1802,0,1,7,0,2
801,1803,0,1,7,1,4
802,1804,0,0,6,4,3
803,1807,0,0,8,2,6
804,1811,1,0,6,2,4
805,1813,0,1,5,0,1
806,1814,0,1,6,0,2
807,1817,0,1,9,3,7
808,1819,0,4,4,0,2
809,1821,1,0,8,1,2
810,1823,0,4,4,1,3
811,1824,0,1,5,0,2
812,1826,1,1,6,2,4
813,1828,0,1,6,0,1
814,1829,0,0,4,2,3
815,1831,1,1,6,0,3
816,1832,0,0,7,0,5
817,1833,0,0,6,0,5
818,1837,0,1,6,3,4
819,1841,1,1,8,3,5
820,1842,0,1,5,0,3
821,1844,0,1,4,0,2
822,1846,1,1,5,0,1
823,1847,0,1,3,0,2
824,1848,0,1,6,0,5
825,1853,0,0,5,0,4
826,1857,0,0,9,2,5
827,1858,0,3,4,2,1
828,1859,0,0,6,1,2
829,1861,1,0,5,0,2
830,1862,0,2,3,1,0
831,1863,0,2,4,0,2
832,1864,0,1,3,1,2
833,1867,0,0,8,0,5
834,1869,0,1,6,1,3
835,1871,1,3,8,2,3
836,1872,0,0,4,0,2
837,1873,0,1,4,1,2
838,1874,0,2,10,0,5
839,1876,1,4,5,0,2
840,1881,1,1,7,3,6
841,1882,0,1,6,0,1
842,1883,0,0,6,2,4
843,1884,0,1,5,2,1
844,1886,1,0,4,0,2
845,1891,1,1,10,1,4
846,1892,0,1,5,2,3
847,1894,0,0,5,0,3
848,1896,1,0,4,0,1
849,1898,0,1,5,1,2
850,1901,1,2,8,0,5
851,1902,0,1,6,0,2
852,1903,0,0,7,1,2
853,1906,1,1,5,0,2
854,1907,0,1,8,1,4
855,1909,0,1,7,1,5
856,1911,1,1,5,0,1
857,1912,0,0,4,0,1
858,1913,0,2,4,0,3
859,1914,0,0,6,1,3
860,1916,1,1,8,0,7
861,1917,0,5,6,2,3
862,1919,0,1,7,1,3
863,1921,1,1,4,1,2
864,1923,0,2,6,0,3
865,1924,0,0,4,0,2
866,1926,1,0,6,0,1
867,1928,0,2,3,1,0
868,1929,0,4,4,0,2
869,1933,0,1,5,0,2
870,1934,0,1,4,0,2
871,1937,0,0,4,0,2
872,1938,0,1,4,0,3
873,1942,0,4,5,0,3
874,1946,1,0,7,3,6
875,1947,0,0,9,6,3
876,1948,0,0,4,0,3
877,1951,1,0,6,2,5
878,1953,0,0,3,0,1
879,1954,0,1,9,1,2
880,1957,0,0,4,2,0
881,1958,0,0,5,0,3
882,1961,1,1,6,0,2
883,1962,0,2,6,0,3
884,1963,0,0,6,0,4
885,1964,0,1,4,0,2
886,1967,0,0,5,1,2
887,1968,0,0,5,2,1
888,1969,0,2,6,1,3
889,1971,1,2,6,2,3
890,1972,0,1,5,0,2
891,1973,0,0,6,1,3
892,1976,1,0,9,1,7
893,1978,0,2,6,1,2
894,1981,1,0,9,4,8
895,1989,0,2,6,4,0
896,1993,0,4,8,3,1
897,1996,1,1,7,0,1
898,1997,0,1,6,0,4
899,2002,0,0,5,2,1
900,2003,0,1,7,4,6
901,2008,0,1,6,2,4
902,2009,0,1,6,1,2
903,2013,0,1,12,4,7
904,2017,0,1,5,0,1
905,2019,0,0,7,1,2
906,2022,0,0,6,1,4
907,2027,0,0,7,4,3
908,2029,0,1,10,0,6
909,2031,1,0,4,0,2
910,2032,0,3,4,0,2
911,2033,0,1,5,1,3
912,2039,0,1,4,0,3
913,2044,0,1,4,0,2
914,2049,0,1,5,0,2
915,2051,1,1,7,0,1
916,2052,0,1,4,0,2
917,2053,0,1,4,1,2
918,2057,0,3,8,1,3
919,2058,0,1,8,1,3
920,2062,0,1,7,2,1
921,2063,0,0,4,0,1
922,2066,1,1,4,1,0
923,2068,0,1,7,0,4
924,2069,0,1,8,1,0
925,2071,1,0,6,1,3
926,2073,0,1,7,0,2
927,2074,0,0,5,2,1
928,2076,1,2,7,1,4
929,2077,0,0,7,2,5
930,2081,1,0,4,0,1
931,2082,0,3,6,0,4
932,2084,0,1,5,3,4
933,2087,0,0,4,0,2
934,2088,0,1,4,1,3
935,2089,0,0,4,0,2
936,2092,0,0,7,2,3
937,2093,0,3,12,3,5
938,2094,0,1,4,2,3
939,2097,0,1,8,0,4
940,2099,0,3,4,0,3
941,2102,0,0,6,0,2
942,2103,0,3,5,0,1
943,2104,0,0,7,1,5
944,2106,1,1,5,1,2
945,2107,0,1,7,1,4
946,2108,0,0,4,0,2
947,2109,0,2,5,1,2
948,2111,1,0,5,1,3
949,2112,0,0,5,0,3
950,2114,0,1,7,1,6
951,2116,1,1,8,1,0
952,2117,0,0,4,1,2
953,2121,1,0,5,0,1
954,2122,0,4,3,1,0
955,2123,0,0,6,3,4
956,2129,0,1,9,2,7
957,2133,0,0,5,0,2
