campaign	source_tag	shard	seed	n_events	remote_bundle_path	structured_metadata_proven	payload_sha256	payload_equivalence_scope	status
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020	20	86020	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard021_seed86021	21	86021	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard021_seed86021_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard022_seed86022	22	86022	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard022_seed86022_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard023_seed86023	23	86023	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard023_seed86023_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard024_seed86024	24	86024	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard024_seed86024_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard025_seed86025	25	86025	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard025_seed86025_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard026_seed86026	26	86026	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard026_seed86026_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard027_seed86027	27	86027	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard027_seed86027_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard028_seed86028	28	86028	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard028_seed86028_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard029_seed86029	29	86029	1000	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard029_seed86029_bundle.tar.gz	True	93dc90edd396c5a61d502a0f349fdabcf1f5f167f4553ffd410c0adf818f7923	four_submit_descriptions_plus_one_representative_provenance_per_campaign	ggf_shard_denominator_evidence_frozen
