score	checkpoint	relative_path	file_type	column_count	matched_terms	columns_json	first_row_json	read_status
6	hh4b_physical_normalization_train_candidate_physical_weight_sidecar_materialization_20260731_v1	train_candidate_physical_weight_sign_closure.tsv	tsv	8	population_kind	"[""population_kind"", ""sample_class"", ""process_or_mode"", ""negative_physical_weight_rows"", ""zero_physical_weight_rows"", ""positive_physical_weight_rows"", ""candidate_physical_weight_rows"", ""selected_physical_yield_calculated""]"	"[""hard_qcd"", ""background"", ""qcd_hardqcd"", ""0"", ""0"", ""56"", ""56"", ""False""]"	pass
2	hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1	batch_A_reconstructed_process_denominator_binding.tsv	tsv	15		"[""process_or_mode"", ""campaigns"", ""generated_events"", ""process_denominator_sumw"", ""process_denominator_sumw2"", ""negative_weight_events"", ""zero_weight_events"", ""positive_weight_events"", ""weight_convention_class"", ""denominator_reconstruction_source"", ""all_campaign_denominators_frozen"", ""all_campaign_denominator_use_authorized"", ""cross_campaign_process_aggregation_authorized"", ""global_ordinary_registry_frozen"", ""physical_weight_application_authorized""]"	"[""bbh_hbb_4fs"", ""2"", ""50000"", ""1434.6193888299167"", ""41.16635819828508"", ""1"", ""0"", ""49999"", ""signed_generator_weights"", ""PN-c6z exact aggregation of frozen campaign denominators"", ""True"", ""True"", ""True"", ""True"", ""False""]"	pass
2	hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1	full_inventory_event_reconciliation.tsv	tsv	7		"[""accounting_view"", ""population"", ""sample_class"", ""members"", ""generated_events"", ""nominal_physical_addition_included"", ""reason""]"	"[""raw_original_630_member_inventory"", ""ordinary_22_process_population_including_recovered_legacy_ttbar"", ""mixed"", ""339"", ""2390000"", ""True"", ""22 frozen ordinary processes; 20 backgrounds plus 2 signals""]"	pass
2	hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1	global_ordinary_campaign_denominator_binding.tsv	tsv	17		"[""sample_class"", ""process_or_mode"", ""campaign"", ""members"", ""generated_events"", ""sumw"", ""sumw2"", ""negative_weight_events"", ""zero_weight_events"", ""positive_weight_events"", ""denominator_frozen"", ""denominator_use_authorized"", ""global_ordinary_registry_frozen"", ""cross_campaign_process_aggregation_authorized"", ""integrated_luminosity_contract_frozen"", ""physical_weight_application_authorized"", ""source_registry""]"	"[""background"", ""bbh_hbb_4fs"", ""bbh_hbb_4fs_pilot10k_20260722_v1"", ""1"", ""10000"", ""287.09711506962776"", ""8.24247534813031"", ""0"", ""0"", ""10000"", ""True"", ""True"", ""True"", ""True"", ""False"", ""False"", ""docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv""]"	pass
2	hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1	ordinary_process_classification.tsv	tsv	6		"[""process_or_mode"", ""sample_class"", ""generated_events"", ""included_in_22_process_ordinary_registry"", ""nominal_physical_addition_role"", ""global_ordinary_registry_frozen""]"	"[""bbh_hbb_4fs"", ""background"", ""50000"", ""True"", ""ordinary_background"", ""True""]"	pass
2	hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1	ordinary_vs_hard_qcd_disjointness.tsv	tsv	6		"[""comparison"", ""ordinary_count"", ""hard_qcd_count"", ""intersection_count"", ""intersection_values"", ""status""]"	"[""campaign_identity"", ""21"", ""4"", ""0"", """", ""disjoint""]"	pass
2	hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1	source_evidence_manifest.tsv	tsv	3		"[""source_path"", ""sha256"", ""bytes""]"	"[""/uscms/homes/i/iturkmen/pn_c6z_global_ordinary_inventory_reconciliation_preflight_20260731_v2/SHA256SUMS"", ""514d077e4912ded1aee1b882a9ba16efc650f57b96b2abb92ba6cb465f09dbce"", ""1303""]"	pass
2	hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1	unresolved_inventory_discrepancy.tsv	tsv	5		"[""issue_id"", ""population"", ""generated_events"", ""reason"", ""blocking_global_registry_freeze""]"	[]	pass
2	hh4b_physical_normalization_hard_qcd_global_weight_contract_freeze_20260731_v1	hard_qcd_campaign_extension_binding.tsv	tsv	13		"[""sample_class"", ""process_or_mode"", ""campaign"", ""campaign_role"", ""members"", ""generated_events"", ""nominal_production_included"", ""independent_full_cross_section_assignment_forbidden"", ""combination_policy"", ""status"", ""hard_qcd_global_weight_contract_frozen"", ""independent_campaign_normalization_authorized"", ""event_level_weight_application_authorized""]"	"[""background"", ""qcd_hardqcd"", ""qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718"", ""nominal_production_extension"", ""150"", ""1500000"", ""True"", ""True"", ""merge_with_other_production_extensions_inside_each_exclusive_pthat_bin"", ""qcd_production_extension_role_frozen"", ""True"", ""False"", ""False""]"	pass
2	hh4b_physical_normalization_hard_qcd_global_weight_contract_freeze_20260731_v1	hard_qcd_overlap_exclusion_policy.tsv	tsv	8		"[""population"", ""members"", ""generated_events"", ""overlap_with"", ""nominal_physical_addition_included"", ""nominal_physical_yield_contribution"", ""policy"", ""hard_qcd_global_weight_contract_frozen""]"	"[""qcd_bbbb_general_and_qcd_bbbb_iht400to600"", ""30"", ""300000"", ""qcd_hardqcd"", ""False"", ""0"", ""retain_in_raw_inventory_but_never_add_to_nominal_qcd_hardqcd_prediction"", ""True""]"	pass
2	hh4b_physical_normalization_hard_qcd_global_weight_contract_freeze_20260731_v1	source_evidence_manifest.tsv	tsv	3		"[""source_path"", ""sha256"", ""bytes""]"	"[""/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1/SHA256SUMS"", ""91a47bfc44d673177305b9e8f962f647afe2d86177bde4503b69d7bedd9ce622"", ""1312""]"	pass
2	hh4b_physical_normalization_run2_coefficient_analytical_closure_freeze_20260731_v2	nominal_inventory_coefficient_reconciliation.tsv	tsv	5		"[""inventory_component"", ""sample_class"", ""generated_events"", ""nominal_included"", ""nominal_coefficient_policy""]"	"[""authoritative_ordinary_background"", ""background"", ""2190000"", ""True"", ""ordinary_process_coefficient""]"	pass
2	hh4b_physical_normalization_run2_coefficient_analytical_closure_freeze_20260731_v2	ordinary_class_run2_analytical_closure.tsv	tsv	9		"[""sample_class"", ""processes"", ""campaigns"", ""generated_events"", ""effective_reference_cross_section_sum_pb"", ""analytical_run2_reference_yield_sum"", ""reconstructed_run2_denominator_yield_sum"", ""analytical_physical_weight_sum_squared"", ""run2_analytical_yield_closure_pass""]"	"[""background"", ""20"", ""43"", ""2190000"", ""1242.8109002297003"", ""171507904.23169864"", ""171507904.23169864"", ""21751175550.211652"", ""True""]"	pass
2	hh4b_physical_normalization_run2_coefficient_analytical_closure_freeze_20260731_v2	source_evidence_manifest.tsv	tsv	3		"[""path"", ""sha256"", ""role""]"	"[""/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1/SHA256SUMS"", ""91a47bfc44d673177305b9e8f962f647afe2d86177bde4503b69d7bedd9ce622"", ""frozen_source_evidence""]"	pass
2	hh4b_physical_normalization_train_candidate_physical_weight_sidecar_materialization_20260731_v1	sidecar_artifact_manifest.tsv	tsv	9		"[""artifact_role"", ""final_path"", ""sha256"", ""bytes"", ""rows"", ""schema"", ""identity_key"", ""physical_weight_column"", ""selected_physical_yield_calculated""]"	"[""combined_train_candidate_physical_weight_sidecar"", ""/uscms/home/iturkmen/physical_weight_sidecars/train_candidate_run2_physical_weights_20260731_v1/train_candidate_run2_physical_weights.parquet"", ""d5315ed70bb0298b4fc67e6e8c41437a7457b9b28b10fea2982d95b96275e2d3"", ""104999"", ""30705"", ""population_kind,sample_class,process_or_mode,campaign,transport_id,source_index_or_target_index,candidate_row_index,event,generator_nominal_weight,generator_weight_sign,cross_section_coefficient_pb_per_generator_weight,generator_cross_section_contribution_pb,run2_luminosity_pb_inverse,run2_yield_coefficient_per_generator_weight,run2_candidate_physical_weight"", ""population_kind,transport_id,event"", ""run2_candidate_physical_weight"", ""False""]"	pass
2	hh4b_physical_normalization_train_candidate_physical_weight_sidecar_materialization_20260731_v1	source_evidence_manifest.tsv	tsv	3		"[""path"", ""sha256"", ""role""]"	"[""/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/docs/checkpoints/hh4b_physical_normalization_unified_train_generator_weight_transport_freeze_20260731_v2/SHA256SUMS"", ""a3bbaf323a70845038f3d0438e81edc58c07e988e0b4fe2486716d8e68bfb3be"", ""frozen_source_evidence""]"	pass
0	hh4b_physical_normalization_global_ordinary_registry_freeze_20260731_v1	global_ordinary_registry_summary.tsv	tsv	13		"[""registry"", ""processes"", ""campaigns"", ""members"", ""generated_events"", ""background_processes"", ""background_events"", ""signal_processes"", ""signal_events"", ""global_registry_frozen"", ""integrated_luminosity_contract_frozen"", ""physical_weight_application_authorized"", ""physical_yield_calculation_authorized""]"	"[""global_ordinary_22_process_registry"", ""22"", ""47"", ""339"", ""2390000"", ""20"", ""2190000"", ""2"", ""200000"", ""True"", ""False"", ""False"", ""False""]"	pass
