production_row_index	source_uid	group_id	sample_class	process_or_mode	workflow_population	generator_weight_transport_class	optimized_fold_k5	auxiliary_qcd	physical_evaluation_eligible	coefficient_campaign	coefficient_source_tag	coefficient_join_status	run2_yield_coefficient_per_generator_weight	accounting_rows	resolved_rows	positive_generator_weight_rows	negative_generator_weight_rows	zero_generator_weight_rows	sum_generator_nominal_weight	sum_generator_nominal_weight_squared	generated_run2_yield	resolved_run2_yield	generated_run2_sumw2	resolved_run2_sumw2	generated_effective_events	resolved_effective_events	signed_resolved_fraction	absolute_weight_resolved_fraction	source_event_weight_closure	resolved_file_weight_closure	physical_weight_application_authorized	authorization_status
10	f76c4d295021c2545924a8cb::background::352::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	f76c4d295021c2545924a8cb	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	4	True	False			auxiliary_qcd_null_physical_coefficient		10000	2959	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
11	0f1d84b89957afb5ad1b5c6d::background::367::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	0f1d84b89957afb5ad1b5c6d	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	0	True	False			auxiliary_qcd_null_physical_coefficient		10000	7994	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
12	16ca7fe539d16ce0cbe2994e::background::375::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard006_10k_bundle.tar.gz	16ca7fe539d16ce0cbe2994e	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	0	True	False			auxiliary_qcd_null_physical_coefficient		10000	7986	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
13	18da05b1009ec2362315d6db::background::373::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard003_10k_bundle.tar.gz	18da05b1009ec2362315d6db	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	2	True	False			auxiliary_qcd_null_physical_coefficient		10000	7992	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
14	2bce797964cf5af141e4525f::background::372::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard002_10k_bundle.tar.gz	2bce797964cf5af141e4525f	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	1	True	False			auxiliary_qcd_null_physical_coefficient		10000	8061	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
15	48a560034fc93461d1a27171::background::374::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	48a560034fc93461d1a27171	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	3	True	False			auxiliary_qcd_null_physical_coefficient		10000	8085	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
16	80c6a6c15054fb3b01ee2a95::background::376::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	80c6a6c15054fb3b01ee2a95	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	2	True	False			auxiliary_qcd_null_physical_coefficient		10000	8013	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
17	852a26fa10837984b6514fd7::background::369::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard011_10k_bundle.tar.gz	852a26fa10837984b6514fd7	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	4	True	False			auxiliary_qcd_null_physical_coefficient		10000	7906	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
18	8b599686a633844f7ef32be4::background::377::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	8b599686a633844f7ef32be4	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	0	True	False			auxiliary_qcd_null_physical_coefficient		10000	7921	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
19	971534c289c8c141e6703131::background::366::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	971534c289c8c141e6703131	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	4	True	False			auxiliary_qcd_null_physical_coefficient		10000	7987	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
20	9cacc87dca5502e5a629cb02::background::368::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	9cacc87dca5502e5a629cb02	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	4	True	False			auxiliary_qcd_null_physical_coefficient		10000	8033	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
21	bd8b7f9e133dbca1fd322312::background::371::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard013_10k_bundle.tar.gz	bd8b7f9e133dbca1fd322312	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	3	True	False			auxiliary_qcd_null_physical_coefficient		10000	8033	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
22	fabd00856f2405973059615f::background::370::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	fabd00856f2405973059615f	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	1	True	False			auxiliary_qcd_null_physical_coefficient		10000	8012	0	0	0											True	True	False	not_applicable_auxiliary_classification_only
23	2b75740d79c95d2ed01426b1::background::1::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	2b75740d79c95d2ed01426b1	background	bbh_hbb_4fs	primary_physical_background	signed_exact_event_sidecar	2	False	True	bbh_hbb_4fs_scaleout40k_20260722_v1		ordinary_campaign_exact_key_match	50.76091998128821	10000	3114	9999	1	0	287.4450006596744	8.265768817320197	14590.972677507074	4544.537799335569	21298.16678236206	6632.249136027545	9996.000400000004	3113.9999999999995	0.3114622924584916	0.3113999999999999	True	True	True	authorized_by_external_sidecar_for_run2_138fb
24	44496f1095922dfadc459546::background::2::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	44496f1095922dfadc459546	background	bbh_hbb_4fs	primary_physical_background	uniform_member_constant	3	False	True	bbh_hbb_4fs_scaleout40k_20260722_v1		ordinary_campaign_exact_key_match	50.76091998128821	10000	3180	10000	0	0	285.854022949934	8.171252243666139	14510.213185290926	4614.247792922513	21054.628668259058	6695.371916506381	10000.000000000002	3179.9999999999986	0.3179999999999999	0.3179999999999999	True	True	True	authorized_by_external_sidecar_for_run2_138fb
25	6b17060f283655da93e0921e::background::0::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	6b17060f283655da93e0921e	background	bbh_hbb_4fs	primary_physical_background	uniform_member_constant	1	False	True	bbh_hbb_4fs_scaleout40k_20260722_v1		ordinary_campaign_exact_key_match	50.76091998128821	10000	3154	10000	0	0	286.0054187476635	8.179909955302634	14517.89817526497	4578.945084478573	21076.9367427362	6647.665848658999	9999.999999999998	3154.000000000001	0.3154000000000001	0.3154000000000001	True	True	True	authorized_by_external_sidecar_for_run2_138fb
26	5581eba7ecceab1d7eb22b19::background::11::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	5581eba7ecceab1d7eb22b19	background	ggh_hbb	primary_physical_background	uniform_member_constant	3	False	True	ggh_hbb_scaleout90k_20260722_v1		ordinary_campaign_exact_key_match	5.222994214764605	10000	785	10000	0	0	128020.21980285645	1638917.6678371676	668648.8674032125	52488.936091152165	44709130.78795987	3509666.7668548506	10000.000000000002	784.9999999999995	0.07849999999999999	0.07849999999999999	True	True	True	authorized_by_external_sidecar_for_run2_138fb
27	6aeca1df086a5ba7b74a5ebf::background::6::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	6aeca1df086a5ba7b74a5ebf	background	ggh_hbb	primary_physical_background	uniform_member_constant	4	False	True	ggh_hbb_scaleout90k_20260722_v1		ordinary_campaign_exact_key_match	5.222994214764605	10000	761	10000	0	0	128170.26138305664	1642761.590300106	669432.5337085719	50943.815815222326	44813991.71874785	3410344.7697967114	9999.999999999996	760.9999999999997	0.0761	0.0761	True	True	True	authorized_by_external_sidecar_for_run2_138fb
28	7dcf83e3d7a9fbe6d951f885::background::8::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	7dcf83e3d7a9fbe6d951f885	background	ggh_hbb	primary_physical_background	uniform_member_constant	4	False	True	ggh_hbb_scaleout90k_20260722_v1		ordinary_campaign_exact_key_match	5.222994214764605	10000	746	10000	0	0	128320.36972045898	1646611.7285195286	670216.5486864125	49998.15453200638	44919022.21331264	3350959.057113123	9999.999999999998	746.0000000000002	0.07460000000000001	0.07460000000000001	True	True	True	authorized_by_external_sidecar_for_run2_138fb
29	9524da743bed17f1a164de40::background::10::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	9524da743bed17f1a164de40	background	ggh_hbb	primary_physical_background	uniform_member_constant	2	False	True	ggh_hbb_scaleout90k_20260722_v1		ordinary_campaign_exact_key_match	5.222994214764605	10000	738	10000	0	0	128234.1194152832	1644398.9382213112	669766.0638414575	49428.73551149957	44858658.02736795	3310568.9624197544	9999.999999999996	738.0000000000001	0.07380000000000002	0.07380000000000002	True	True	True	authorized_by_external_sidecar_for_run2_138fb
30	b01df2690d845a4ec70c448d::background::5::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	b01df2690d845a4ec70c448d	background	ggh_hbb	primary_physical_background	uniform_member_constant	1	False	True	ggh_hbb_scaleout90k_20260722_v1		ordinary_campaign_exact_key_match	5.222994214764605	10000	746	10000	0	0	128385.28633117676	1648278.1746338243	670555.6077686334	50023.44833954006	44964482.31099616	3354350.380400314	9999.999999999993	745.9999999999997	0.07460000000000001	0.07460000000000001	True	True	True	authorized_by_external_sidecar_for_run2_138fb
31	c3243743a4a6a550a9c5c805::background::12::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9708_10k_bundle.tar.gz	c3243743a4a6a550a9c5c805	background	ggh_hbb	primary_physical_background	signed_exact_event_sidecar	0	False	True	ggh_hbb_scaleout90k_20260722_v1		ordinary_campaign_exact_key_match	5.222994214764605	10000	802	9999	1	0	128548.37041854858	1653129.5394170228	671407.3950134969	53857.644609004245	45096825.93438169	3616765.4399374127	9996.0004	801.9999999999997	0.08021604320864172	0.0802	True	True	True	authorized_by_external_sidecar_for_run2_138fb
32	d57b5a8ba73ef272a21399fc::background::9::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	d57b5a8ba73ef272a21399fc	background	ggh_hbb	primary_physical_background	uniform_member_constant	2	False	True	ggh_hbb_scaleout90k_20260722_v1		ordinary_campaign_exact_key_match	5.222994214764605	10000	780	10000	0	0	128532.27615356445	1652054.6013216153	671323.3347605936	52363.22011132631	45067501.97940841	3515265.1543938564	9999.999999999998	780.0	0.07800000000000001	0.07800000000000001	True	True	True	authorized_by_external_sidecar_for_run2_138fb
33	db851bd542564798669015d6::background::7::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	db851bd542564798669015d6	background	ggh_hbb	primary_physical_background	signed_exact_event_sidecar	1	False	True	ggh_hbb_scaleout90k_20260722_v1		ordinary_campaign_exact_key_match	5.222994214764605	10000	766	9999	1	0	128129.3429889679	1642369.7356779394	669218.8171729692	51272.41587862516	44803302.054528534	3431932.9373768857	9996.000399999999	765.9999999999995	0.07661532306461291	0.07659999999999999	True	True	True	authorized_by_external_sidecar_for_run2_138fb
34	01311a969155f53d6624fd5f::background::186::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin05_pthat500to700_shard1868_seed1251868_bundle.tar.gz	01311a969155f53d6624fd5f	background	qcd_hardqcd	primary_physical_background	qcd_uniform_constant	2	False	True	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin05_pthat500to700_shard1868_seed1251868	hard_qcd_source_tag_exact_substring_match	2096.54706292625	2526	1372	2526	0	0	2526.0	2526.0	5295877.880951706	2876462.5703348145	11103057216.925392	6030639153.452746	2525.9999999999995	1372.0	0.5431512272367379	0.5431512272367379	True	True	True	authorized_by_external_sidecar_for_run2_138fb
35	03b82368ee8a80a11d321612::background::218::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin03_pthat200to300_shard9820_seed1239820_bundle.tar.gz	03b82368ee8a80a11d321612	background	qcd_hardqcd	primary_physical_background	qcd_uniform_constant	4	False	True	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin03_pthat200to300_shard9820_seed1239820	hard_qcd_source_tag_exact_substring_match	183031.79840385017	4532	1548	4532	0	0	4532.0	4532.0	829500110.3662491	283333223.92916006	151824896976526.75	51858989523314.95	4532.000000000002	1548.0	0.3415710503089143	0.3415710503089143	True	True	True	authorized_by_external_sidecar_for_run2_138fb
36	0bc14151d9ef1452b67c229a::background::180::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1861_seed1221861_bundle.tar.gz	0bc14151d9ef1452b67c229a	background	qcd_hardqcd	primary_physical_background	qcd_uniform_constant	2	False	True	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1861_seed1221861	hard_qcd_source_tag_exact_substring_match	453740.5792752725	10000	1427	10000	0	0	10000.0	10000.0	4537405792.752726	647487806.6258138	2058805132810599.0	293791492452072.4	10000.000000000002	1427.0000000000002	0.14269999999999997	0.14269999999999997	True	True	True	authorized_by_external_sidecar_for_run2_138fb
37	0c8c993da718c671b9e4b916::background::168::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1846_seed1201846_bundle.tar.gz	0c8c993da718c671b9e4b916	background	qcd_hardqcd	primary_physical_background	qcd_variable_frozen_fragment	3	False	True	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1846_seed1201846	hard_qcd_source_tag_exact_substring_match	1862394.4725794669	10000	129	10000	0	0	10000.12224662304	10000.24875159441	18624172397.22971	240248886.9627512	3.4685994513127144e+16	447438199122797.06	9999.995743251982	128.99999999999997	0.01289984230378406	0.01289984230378406	True	True	True	authorized_by_external_sidecar_for_run2_138fb
38	0d6f9c8a8ab14ab9a78b6ebe::background::166::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1844_seed1201844_bundle.tar.gz	0d6f9c8a8ab14ab9a78b6ebe	background	qcd_hardqcd	primary_physical_background	qcd_variable_frozen_fragment	0	False	True	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1844_seed1201844	hard_qcd_source_tag_exact_substring_match	1862098.195921113	10000	99	10000	0	0	10000.087871551514	10000.177329413651	18621145584.668674	184347721.39619023	3.4674711786254076e+16	343273559434013.75	9999.998414489632	99.00000000000003	0.009899913007928418	0.009899913007928418	True	True	True	authorized_by_external_sidecar_for_run2_138fb
39	0f7f19ccd5e2f87f8428be14::background::157::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1832_seed1201832_bundle.tar.gz	0f7f19ccd5e2f87f8428be14	background	qcd_hardqcd	primary_physical_background	qcd_variable_frozen_fragment	4	False	True	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1832_seed1201832	hard_qcd_source_tag_exact_substring_match	1886055.8723032307	10000	121	10000	0	0	10000.106659889221	10000.21772011815	18860759889.54272	228212760.5486909	3.557284200996965e+16	430422017167389.56	9999.995600893712	120.99999999999996	0.012099870942910557	0.012099870942910557	True	True	True	authorized_by_external_sidecar_for_run2_138fb
40	11a8cc9e20b8e73dae12f48e::background::124::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1154_seed1221154_bundle.tar.gz	11a8cc9e20b8e73dae12f48e	background	qcd_hardqcd	primary_physical_background	qcd_uniform_constant	0	False	True	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1154_seed1221154	hard_qcd_source_tag_exact_substring_match	451426.9731124428	10000	1429	10000	0	0	10000.0	10000.0	4514269731.124428	645089144.5776807	2037863120534622.5	291210639924397.44	9999.999999999995	1428.9999999999998	0.1429	0.1429	True	True	True	authorized_by_external_sidecar_for_run2_138fb
