index_source	index_ordinal	sample_class	process_or_mode	campaign	member_name	member_type	size_bytes	content_opened	content_extracted	status
scaleout	6	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	./parquet/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_hh4b_candidates_v2.parquet	regular_file	607470	False	False	payload_identified_and_protected
scaleout	6	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	./parquet/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_event_summary.parquet	regular_file	245930	False	False	payload_identified_and_protected
scaleout	6	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	./source/unweighted_events.lhe.gz	regular_file	12083369	False	False	payload_identified_and_protected
scaleout	7	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	./root/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	regular_file	973134555	False	False	payload_identified_and_protected
scaleout	7	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	./parquet/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.parquet	regular_file	245756	False	False	payload_identified_and_protected
scaleout	7	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	./parquet/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_hh4b_candidates_v2.parquet	regular_file	610303	False	False	payload_identified_and_protected
scaleout	7	background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	./source/unweighted_events.lhe.gz	regular_file	12067140	False	False	payload_identified_and_protected
scaleout	8	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	./hepmc/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033.hepmc	regular_file	2438496134	False	False	payload_identified_and_protected
scaleout	8	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	./root/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_delphes.root	regular_file	782431250	False	False	payload_identified_and_protected
scaleout	8	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	./parquet/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_event_summary.parquet	regular_file	237253	False	False	payload_identified_and_protected
