index_source	index_ordinal	sample_class	process_or_mode	campaign	member_index	member_name	member_type	size_bytes	safe_relative_path	event_payload	nested_archive	artifact_types	allowlist_candidate	content_opened	content_extracted	status
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	14	./cards/pythia8_card_default.dat	regular_file	4434	True	False	False	parton_shower_card	True	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	15	./source	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	16	./source/unweighted_events.lhe.gz	regular_file	10807538	True	True	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	17	./logs	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	18	./logs/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_candidates.log	regular_file	234	True	False	False	candidate_or_event_summary_log	True	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	19	./logs/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	regular_file	5132	True	False	False	generator_stdout_or_summary	True	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	20	./logs/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_compile_converter.log	regular_file	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	21	./logs/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.log	regular_file	8280	True	False	False	delphes_log_or_configuration	True	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	22	./logs/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.log	regular_file	1118	True	False	False	candidate_or_event_summary_log,generator_stdout_or_summary	True	False	False	archive_header_indexed_only
canary	3	background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	23	./logs/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	regular_file	18772	True	False	False	parton_shower_card	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	1	.	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	2	./root	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	3	./root/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.root	regular_file	870890574	True	True	False	none	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	4	./parquet	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	5	./parquet/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.parquet	regular_file	245128	True	True	False	generator_stdout_or_summary	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	6	./parquet/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_hh4b_candidates_v2.parquet	regular_file	189794	True	True	False	none	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	7	./metadata	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	8	./metadata/generation_banner.txt	regular_file	19472	True	False	False	generator_banner_or_lhe_init	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	9	./metadata/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_provenance.json	regular_file	1446	True	False	False	generation_provenance_metadata	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	10	./logs	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	11	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	regular_file	5557	True	False	False	generator_stdout_or_summary	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	12	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_compile_converter.log	regular_file	0	True	False	False	none	False	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	13	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	regular_file	18616	True	False	False	parton_shower_card	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	14	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_delphes.log	regular_file	8281	True	False	False	delphes_log_or_configuration	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	15	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_event_summary.log	regular_file	1120	True	False	False	candidate_or_event_summary_log,generator_stdout_or_summary	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	16	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_candidates.log	regular_file	237	True	False	False	candidate_or_event_summary_log	True	False	False	archive_header_indexed_only
canary	4	background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	17	./cards	directory	0	True	False	False	none	False	False	False	archive_header_indexed_only
