index_source	index_ordinal	sample_class	process_or_mode	campaign	representative_locator	expected_size_bytes	copied_size_bytes	bundle_sha256	archive_members	regular_file_members	event_payload_members	provenance_named_members	allowlist_candidate_members	unsafe_member_names	temporary_copy_removed	event_payload_content_opened	event_payload_extracted	status
scaleout	15	background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_pilot50k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_pilot_shard4201_10kevt_bundle.tar.gz	791506809	791506809	88cac128c9af2146c79082c4c704363c96d2489716e3324e8b14fb7088780529	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	16	background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_single_top_scaleout280k_20260722_v1/tchannel_top_run2_frozen_v2_single_top_scaleout_shard4301_10kevt_bundle.tar.gz	790733540	790733540	a99b2c1ed553606788ae500317345203c01495e35459eb8ccf158f22fafc6a9d	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	17	background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/ttbar_inclusive_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	903935916	903935916	c9611d9455292527e1c8ca64d1161cfd04171038d79e109e65e38837ad87c901	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	18	background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_pilot_shard1001_10000evt_bundle.tar.gz	1012172139	1012172139	d6fbec626026a7c7f1e22f9a1149e8cc0147382c30d33a3cf0a3cefd854daa1f	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	19	background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tth_hbb_run2_frozen_v2_waveb_scale400k_shard2006_10000evt_bundle.tar.gz	1012173681	1012173681	27784218bd9c11b3000a9e4c33436e30d097257d647c543408c26d9bbdbe0917	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	20	background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_pilots10k_20260721_v1/tttt_run2_frozen_v2_waveb_pilot_shard1003_10000evt_bundle.tar.gz	1164973491	1164973491	abe32474c405508546d2ab0c36db353fa9a5eaed06913705e27e978fb2c707fc	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	21	background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/tttt_run2_frozen_v2_waveb_scale400k_shard2201_10000evt_bundle.tar.gz	1165198481	1165198481	9faff1e530c15eff5fffaf9e8d8018fa98b28f4bc7d022f054aea09af8ce7f87	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	22	background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_pilot40k_20260721_v1/ttw_run2_frozen_v2_wavec1_pilot_shard3202_10kevt_bundle.tar.gz	900359881	900359881	e9e63c3f3480b582e9f31c393e3926d9a7e32e6f79dba3d97bece0280465bad2	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	23	background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavec1_scaleout180k_20260721_v2/ttw_run2_frozen_v2_wavec1_scaleout_shard3401_10kevt_bundle.tar.gz	896621135	896621135	3ebc8715c5e6946d705be679c7438ecf3ac9b722cd4f7d67ece228211df96775	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
scaleout	24	background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_waveb_priority_scale400k_20260721_v1/ttz_zbb_run2_frozen_v2_waveb_scale400k_shard2103_10000evt_bundle.tar.gz	998430208	998430208	1b1218e86e8acfa6e405a04e8980cdbb71535555f09cccd4d66ada12958f5885	23	16	4	12	11	0	True	False	False	bundle_index_scaleout_pass
