sample_class	process_or_mode	campaign	source_type	representative_bundle_indexed	bundle_sha256_recorded	archive_members_extracted	event_payload_opened	physics_normalization_ready	status
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	eos_bundle	True	True	0	False	False	eos_representative_bundle_index_complete
background	ttbar_inclusive	parquet	local_candidate_reference	False	False	0	False	False	blocking_legacy_generation_provenance_unresolved
