sample_class	process_or_mode	campaign	evidence_classes	line_text	source_archive_path	source_member_name	source_line	source_kind	normalization_denominator_authorized	status
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	198	generator_banner	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_pilot10k_20260722_v1	generated_events	# Number of Events : 10000	background/bbh_hbb_4fs/bbh_hbb_4fs_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	367	generator_banner	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	# Number of events and rnd seed *	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	23	run_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	26	run_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	70	run_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	unweighted	INFO: Generating 10000.0 unweighted events.	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_mg5.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_mg5.log	57	generator_log_or_summary	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	INFO: # Events generated with PDF: NNPDF31_nlo_as_0118_nf_4 (320500)	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_mg5.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_mg5.log	83	generator_log_or_summary	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	event_weighting_strategy	Event weighting strategy = -4	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	191	pythia_log_or_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	| Subprocess Code | Number of events | sigma +- delta |	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	./logs/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_pythia_hepmc.log	238	pythia_log_or_card	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	# the events generated: *	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	19	generator_banner	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	# Number of events and rnd seed *	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	151	generator_banner	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	154	generator_banner	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	198	generator_banner	False	text_candidate_requires_review
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	generated_events	# Number of Events : 10000	background/bbh_hbb_4fs/bbh_hbb_4fs_scaleout40k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	367	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generated_events	# Number of events and rnd seed *	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	23	run_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	26	run_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	70	run_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	unweighted	INFO: Generating 10000.0 unweighted events.	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_mg5.log	./logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_mg5.log	63	generator_log_or_summary	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generated_events	INFO: # Events generated with PDF: NNPDF23_nlo_as_0119 (230000)	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_mg5.log	./logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_mg5.log	98	generator_log_or_summary	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	event_weighting_strategy	Event weighting strategy = -4	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_pythia_hepmc.log	./logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_pythia_hepmc.log	193	pythia_log_or_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generated_events	| Subprocess Code | Number of events | sigma +- delta |	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_pythia_hepmc.log	./logs/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_pythia_hepmc.log	239	pythia_log_or_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generated_events	# the events generated: *	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	19	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generated_events	# Number of events and rnd seed *	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	150	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	153	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	197	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_pilot10k_20260722_v1	generated_events	# Number of Events : 10000	background/ggh_hbb/ggh_hbb_pilot10k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	361	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generated_events	# Number of events and rnd seed *	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	23	run_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	26	run_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/cards/run_card.dat	./cards/run_card.dat	70	run_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	unweighted	INFO: Generating 10000.0 unweighted events.	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_mg5.log	./logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_mg5.log	63	generator_log_or_summary	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generated_events	INFO: # Events generated with PDF: NNPDF23_nlo_as_0119 (230000)	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_mg5.log	./logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_mg5.log	98	generator_log_or_summary	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	event_weighting_strategy	Event weighting strategy = -4	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_pythia_hepmc.log	./logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_pythia_hepmc.log	193	pythia_log_or_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generated_events	| Subprocess Code | Number of events | sigma +- delta |	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_pythia_hepmc.log	./logs/ggh_hbb_run2_frozen_v2_train_shard9701_10k_pythia_hepmc.log	235	pythia_log_or_card	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generated_events	# the events generated: *	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	19	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generated_events	# Number of events and rnd seed *	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	150	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	153	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	197	generator_banner	False	text_candidate_requires_review
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	generated_events	# Number of Events : 10000	background/ggh_hbb/ggh_hbb_scaleout90k_20260722_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	361	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	# Number of events and rnd seed *	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	23	run_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	26	run_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	70	run_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	unweighted	INFO: Generating 10000.0 unweighted events.	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	61	generator_log_or_summary	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	INFO: # Events generated with PDF: NNPDF23_lo_as_0130_qed (247000)	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	92	generator_log_or_summary	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	event_weighting_strategy	Event weighting strategy = -4	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	191	pythia_log_or_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	| Subprocess Code | Number of events | sigma +- delta |	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	238	pythia_log_or_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	# the events generated: *	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	19	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	# Number of events and rnd seed *	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	148	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	151	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	195	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	# Number of Events : 10000	background/qcd_bbbb_general/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	375	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generated_events	# Number of events and rnd seed *	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	23	run_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	26	run_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/cards/run_card.dat	./cards/run_card.dat	70	run_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	unweighted	INFO: Generating 10000.0 unweighted events.	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	61	generator_log_or_summary	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generated_events	INFO: # Events generated with PDF: NNPDF23_lo_as_0130_qed (247000)	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_mg5.log	91	generator_log_or_summary	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	event_weighting_strategy	Event weighting strategy = -4	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	191	pythia_log_or_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generated_events	| Subprocess Code | Number of events | sigma +- delta |	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	./logs/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_pythia_hepmc.log	238	pythia_log_or_card	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generated_events	# the events generated: *	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	19	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generated_events	# Number of events and rnd seed *	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	148	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	151	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	195	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generated_events	# Number of Events : 10000	background/qcd_bbbb_general/unified_background_5m_wavea_proven111_20260720_v1/metadata/generation_banner.txt	./metadata/generation_banner.txt	375	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	# Number of events and rnd seed *	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	23	run_card	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	26	run_card	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	event_norm	average = event_norm ! average/sum. Normalization of the weight in the LHEF	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/cards/run_card.dat	./cards/run_card.dat	70	run_card	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	unweighted	INFO: Generating 10000.0 unweighted events.	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	./logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	61	generator_log_or_summary	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	INFO: # Events generated with PDF: NNPDF23_lo_as_0130_qed (247000)	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	./logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_mg5.log	93	generator_log_or_summary	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	event_weighting_strategy	Event weighting strategy = -4	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	./logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	191	pythia_log_or_card	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	| Subprocess Code | Number of events | sigma +- delta |	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	./logs/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_pythia_hepmc.log	238	pythia_log_or_card	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	# the events generated: *	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	19	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generated_events	# Number of events and rnd seed *	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	148	generator_banner	False	text_candidate_requires_review
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	unweighted,generated_events	10000 = nevents ! Number of unweighted events	background/qcd_bbbb_iht400to600/unified_background_5m_wavea_pilots_20260720_retry1/metadata/generation_banner.txt	./metadata/generation_banner.txt	151	generator_banner	False	text_candidate_requires_review
