seed,working_point,qcd_threshold,top_threshold,sample,group,rows,xsec_pb,expected_events_450fb
12,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht200to400_combined120k,background,79,0.23420093199802983,105390.41939911342
12,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht400to600_20000,background,34,0.049108247477349605,22098.71136480732
12,previous_v2_loose_best,0.8,0.5,qcd_bbbb_iht600plus_20000,background,21,0.0054152038678526885,2436.84174053371
12,previous_v2_loose_best,0.8,0.5,ttbar_200k,background,29,0.20894743544891586,94026.34595201214
12,ablation_best_median,0.825,0.5,VBF_HH4b_SMnorm,signal,69,1.1066567716535434e-05,4.979955472440945
12,ablation_best_median,0.825,0.5,Zbbbb_100k,background,40,0.007841193898596202,3528.537254368291
12,ablation_best_median,0.825,0.5,ggF_HH4b_SMnorm,signal,50,0.00015874530516431928,71.43538732394367
12,ablation_best_median,0.825,0.5,qcd_bbbb_iht200to400_combined120k,background,46,0.13637016293556165,61366.57332100274
12,ablation_best_median,0.825,0.5,qcd_bbbb_iht400to600_20000,background,29,0.04188644637773936,18848.900869982714
12,ablation_best_median,0.825,0.5,qcd_bbbb_iht600plus_20000,background,17,0.004383736464452176,1972.6814090034793
12,ablation_best_median,0.825,0.5,ttbar_200k,background,25,0.1801270995249275,81057.19478621737
12,ablation_tighter_qcd_same_top,0.85,0.5,VBF_HH4b_SMnorm,signal,58,9.302332283464566e-06,4.186049527559055
12,ablation_tighter_qcd_same_top,0.85,0.5,Zbbbb_100k,background,28,0.005488835729017342,2469.976078057804
12,ablation_tighter_qcd_same_top,0.85,0.5,ggF_HH4b_SMnorm,signal,42,0.0001333460563380282,60.005725352112684
12,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht200to400_combined120k,background,32,0.0948662003029994,42689.79013634973
12,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht400to600_20000,background,24,0.03466464527812914,15599.090375158112
12,ablation_tighter_qcd_same_top,0.85,0.5,qcd_bbbb_iht600plus_20000,background,11,0.0028365353593514083,1276.4409117081336
12,ablation_tighter_qcd_same_top,0.85,0.5,ttbar_200k,background,23,0.16571693156293327,74572.61920331998
12,ablation_qcd825_looser_top,0.825,0.475,VBF_HH4b_SMnorm,signal,71,1.1387337795275593e-05,5.124302007874017
12,ablation_qcd825_looser_top,0.825,0.475,Zbbbb_100k,background,40,0.007841193898596202,3528.537254368291
12,ablation_qcd825_looser_top,0.825,0.475,ggF_HH4b_SMnorm,signal,50,0.00015874530516431928,71.43538732394367
12,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht200to400_combined120k,background,49,0.14526386921396783,65368.74114628552
12,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht400to600_20000,background,29,0.04188644637773936,18848.900869982714
12,ablation_qcd825_looser_top,0.825,0.475,qcd_bbbb_iht600plus_20000,background,17,0.004383736464452176,1972.6814090034793
12,ablation_qcd825_looser_top,0.825,0.475,ttbar_200k,background,26,0.1873321835059246,84299.48257766607
