path,relative_path,basename,size_bytes,size_gib,suggested_family,used_in_phase1,phase1_process,phase1_shard,phase1_split,phase1_tag
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard002_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard002_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard002_pythia8.hepmc,2873945205,2.676570047624409,qcd_bbbb,True,qcd_bbbb_iht400to600,2,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard002_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard003_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard003_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard003_pythia8.hepmc,2879442924,2.6816901974380016,qcd_bbbb,True,qcd_bbbb_iht400to600,3,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard003_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard004_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard004_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard004_pythia8.hepmc,2870432599,2.6732986783608794,qcd_bbbb,True,qcd_bbbb_iht400to600,4,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard004_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard005_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard005_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard005_pythia8.hepmc,2891725342,2.693129090592265,qcd_bbbb,True,qcd_bbbb_iht400to600,5,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard005_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard006_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard006_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard006_pythia8.hepmc,2868958093,2.6719254376366735,qcd_bbbb,True,qcd_bbbb_iht400to600,6,validation,qcd_bbbb_iht400to600_run2_frozen_v2_shard006_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard007_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard007_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard007_pythia8.hepmc,2882181823,2.6842409959062934,qcd_bbbb,True,qcd_bbbb_iht400to600,7,validation,qcd_bbbb_iht400to600_run2_frozen_v2_shard007_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard008_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard008_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard008_pythia8.hepmc,2877235001,2.679633908905089,qcd_bbbb,True,qcd_bbbb_iht400to600,8,test,qcd_bbbb_iht400to600_run2_frozen_v2_shard008_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard009_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard009_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard009_pythia8.hepmc,2868123899,2.6711485339328647,qcd_bbbb,True,qcd_bbbb_iht400to600,9,test,qcd_bbbb_iht400to600_run2_frozen_v2_shard009_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_presel_10k_pythia8.hepmc,qcd_bbbb_presel_10k_pythia8.hepmc,qcd_bbbb_presel_10k_pythia8.hepmc,2679603947,2.4955756468698382,qcd_bbbb,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_presel_1k_pythia8.hepmc,qcd_bbbb_presel_1k_pythia8.hepmc,qcd_bbbb_presel_1k_pythia8.hepmc,272457474,0.2537457961589098,qcd_bbbb,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_presel_smoke_200_pythia8.hepmc,qcd_bbbb_presel_smoke_200_pythia8.hepmc,qcd_bbbb_presel_smoke_200_pythia8.hepmc,53937806,0.050233496353030205,qcd_bbbb,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_smoke_20_pythia8.hepmc,qcd_bbbb_smoke_20_pythia8.hepmc,qcd_bbbb_smoke_20_pythia8.hepmc,4368515,0.004068496637046337,qcd_bbbb,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_10k_pythia8.hepmc,ttbar_10k_pythia8.hepmc,ttbar_10k_pythia8.hepmc,2801392426,2.6090000066906214,ttbar,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_1k_pythia8.hepmc,ttbar_1k_pythia8.hepmc,ttbar_1k_pythia8.hepmc,279259023,0.26008023228496313,ttbar,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard000_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard000_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard000_pythia8.hepmc,2800510214,2.6081783827394247,ttbar,True,ttbar,0,train,ttbar_run2_frozen_v2_shard000_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard001_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard001_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard001_pythia8.hepmc,2799341162,2.6070896182209253,ttbar,True,ttbar,1,train,ttbar_run2_frozen_v2_shard001_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard002_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard002_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard002_pythia8.hepmc,2804096943,2.6115187844261527,ttbar,True,ttbar,2,train,ttbar_run2_frozen_v2_shard002_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard003_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard003_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard003_pythia8.hepmc,2809704933,2.6167416321113706,ttbar,True,ttbar,3,validation,ttbar_run2_frozen_v2_shard003_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard004_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard004_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard004_pythia8.hepmc,2810311337,2.6173063898459077,ttbar,True,ttbar,4,test,ttbar_run2_frozen_v2_shard004_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/vbf_hh4b_ak4ak8_10k_pythia8.hepmc,vbf_hh4b_ak4ak8_10k_pythia8.hepmc,vbf_hh4b_ak4ak8_10k_pythia8.hepmc,2669874300,2.4865142069756985,vbf_hh4b,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbb_1k_pythia8.hepmc,zbb_1k_pythia8.hepmc,zbb_1k_pythia8.hepmc,279259023,0.26008023228496313,unresolved,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,2658534487,2.4759531831368804,zbbbb,True,zbbbb,0,train,zbbbb_run2_frozen_v2_shard000_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,2658434867,2.475860404781997,zbbbb,True,zbbbb,1,train,zbbbb_run2_frozen_v2_shard001_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,2618189623,2.438379100523889,zbbbb,True,zbbbb,2,train,zbbbb_run2_frozen_v2_shard002_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard003_pythia8.hepmc,2644410488,2.462799184024334,zbbbb,True,zbbbb,3,validation,zbbbb_run2_frozen_v2_shard003_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard004_pythia8.hepmc,2646064104,2.4643392339348793,zbbbb,True,zbbbb,4,test,zbbbb_run2_frozen_v2_shard004_10k
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_presel_10k_pythia8.hepmc,zbbbb_presel_10k_pythia8.hepmc,zbbbb_presel_10k_pythia8.hepmc,2649360660,2.4674093909561634,zbbbb,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_presel_1k_pythia8.hepmc,zbbbb_presel_1k_pythia8.hepmc,zbbbb_presel_1k_pythia8.hepmc,260792247,0.2428817069157958,zbbbb,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zh4b_ak4ak8_pilot10k_pythia8.hepmc,zh4b_ak4ak8_pilot10k_pythia8.hepmc,zh4b_ak4ak8_pilot10k_pythia8.hepmc,2498512176,2.3269207924604416,zh4b,False,,,,
/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zz4b_ak4ak8_pilot10k_pythia8.hepmc,zz4b_ak4ak8_pilot10k_pythia8.hepmc,zz4b_ak4ak8_pilot10k_pythia8.hepmc,2477166105,2.307040714658797,zz4b,False,,,,
