process,shard,split,tag,input_hepmc,input_basename,input_size_bytes,input_hepmc_sha256,expected_run_name,banner_path,banner_sha256,nevents,iseed,lhaid,ickkw,cut_decays,ihtmin,ihtmax,ptj,ptb,etaj,etab,drbb,drbj,process_definition,banner_integrated_weight_pb,metadata_generator_xsec_pb,xsec_relative_difference,lineage_status
qcd_bbbb_iht400to600,5,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard005_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard005_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard005_pythia8.hepmc,2891725342,af1d25423671c380db3f5639a8306fbf4c2f8f24f56190d552b79c4e2eee0dff,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_005,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_005/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_005_tag_1_banner.txt,85f0a90ad0d53c8df590173ea606f0c23a417551179582630750d8487b7f7924,10000,852005,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.7756835,9.775683403015137,9.92103138439407e-09,EXACT_LINEAGE_VALID
qcd_bbbb_iht400to600,6,validation,qcd_bbbb_iht400to600_run2_frozen_v2_shard006_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard006_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard006_pythia8.hepmc,2868958093,9bc23c4b5d14ecfcc43fb3ad87596b8207a7ff49e2e68d096dbf9d6297e0d573,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_006,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_006/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_006_tag_1_banner.txt,96b0154c1fa0bf419a698ccfdde47106cdcddded1d88be00d5801f0436caaed6,10000,852006,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.8308779,9.830878257751465,3.639059173021725e-08,EXACT_LINEAGE_VALID
qcd_bbbb_iht400to600,7,validation,qcd_bbbb_iht400to600_run2_frozen_v2_shard007_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard007_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard007_pythia8.hepmc,2882181823,0f7863c0495c2c480e0f98f35ffd6292f9ac9fb80404223dba26c5479a67802d,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_007,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_007/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_007_tag_1_banner.txt,2c3608ca75615c395c85f9e0915909aedbc361015f8d0062d6fb4d68020e56d8,10000,852007,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.8366586,9.836658477783203,1.2424625236358785e-08,EXACT_LINEAGE_VALID
qcd_bbbb_iht400to600,8,test,qcd_bbbb_iht400to600_run2_frozen_v2_shard008_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard008_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard008_pythia8.hepmc,2877235001,9dc35acba647fcd42b02d2551225c50bf581dc350b4484928cc383ea27cef73c,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_008,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_008/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_008_tag_1_banner.txt,4fe0a7a112bf39e9134ea49ba28206a4ce93e242eb7350de3dcfc9917f56a240,10000,852008,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.7907124,9.790712356567383,4.436103904196337e-09,EXACT_LINEAGE_VALID
qcd_bbbb_iht400to600,9,test,qcd_bbbb_iht400to600_run2_frozen_v2_shard009_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard009_pythia8.hepmc,qcd_bbbb_iht400to600_extra100k_rootkeep_v1_shard009_pythia8.hepmc,2868123899,2f94d52f189b1ef85a2070d771e3c2842d04fcbfe4e7d4e03cc384f4981b9da9,run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_009,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/QCD_bbbb_presel_smoke/Events/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_009/run_qcd_bbbb_iht400to600_extra100k_rootkeep_v1_009_tag_1_banner.txt,9c98f5c583c24efb07446c975235c338d63af206197c7afb050340ffda35db8e,10000,852009,230000,,,400.0,600.0,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > b b~ b b~ QED=0,9.7427505,9.74275016784668,3.409235615338975e-08,EXACT_LINEAGE_VALID
ttbar,0,train,ttbar_run2_frozen_v2_shard000_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard000_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard000_pythia8.hepmc,2800510214,61e8b38c1d8b35e831dd6bfcf8b14e9f2f0a7ff5e3a931937e6697d25dbea73a,run_ttbar_extra50k_ak4ak8_v1_000,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Events/run_ttbar_extra50k_ak4ak8_v1_000/run_ttbar_extra50k_ak4ak8_v1_000_tag_1_banner.txt,0bb8faeb0b1629b72c4cab749cac251998e32f17813065cdc26cf2963627b0bd,10000,714000,230000,,,,,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s b u~ c~ d~ s~ b~ | generate p p > t t~,511.11637,511.1163635253906,1.2667583690629997e-08,EXACT_LINEAGE_VALID
ttbar,1,train,ttbar_run2_frozen_v2_shard001_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard001_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard001_pythia8.hepmc,2799341162,b998b96cfee4f4b609c5ea31d9d300523fa059b52c05d98af4e5b55643840354,run_ttbar_extra50k_ak4ak8_v1_001,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Events/run_ttbar_extra50k_ak4ak8_v1_001/run_ttbar_extra50k_ak4ak8_v1_001_tag_1_banner.txt,9c6ad250d718f2caecaf4e38c55f08b4e5e55765febce878cae5b4501bbbea57,10000,714001,230000,,,,,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s b u~ c~ d~ s~ b~ | generate p p > t t~,512.6113,512.611328125,5.486613340678164e-08,EXACT_LINEAGE_VALID
ttbar,2,train,ttbar_run2_frozen_v2_shard002_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard002_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard002_pythia8.hepmc,2804096943,3369ea82eedf30894b0d30dd27d1392736521d491afd43378934691ff2fc5757,run_ttbar_extra50k_ak4ak8_v1_002,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Events/run_ttbar_extra50k_ak4ak8_v1_002/run_ttbar_extra50k_ak4ak8_v1_002_tag_1_banner.txt,c7cbaf6ed0156bc84622152d549b7c15b75b2b1261570c51bb9c3c2449066452,10000,714002,230000,,,,,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s b u~ c~ d~ s~ b~ | generate p p > t t~,512.30196,512.3019409179688,3.7247624932416485e-08,EXACT_LINEAGE_VALID
ttbar,3,validation,ttbar_run2_frozen_v2_shard003_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard003_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard003_pythia8.hepmc,2809704933,6921af83f6dabd464b88104174736491b6661dd38217f46bef5b62d68c24b00c,run_ttbar_extra50k_ak4ak8_v1_003,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Events/run_ttbar_extra50k_ak4ak8_v1_003/run_ttbar_extra50k_ak4ak8_v1_003_tag_1_banner.txt,bd1d7cc4d880eeba3ec6dd5a8202ca56650d6c86e1b9016efcab6c0cd80ff3e1,10000,714003,230000,,,,,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s b u~ c~ d~ s~ b~ | generate p p > t t~,512.44917,512.4491577148438,2.397341424315971e-08,EXACT_LINEAGE_VALID
ttbar,4,test,ttbar_run2_frozen_v2_shard004_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/ttbar_extra50k_ak4ak8_v1_shard004_pythia8.hepmc,ttbar_extra50k_ak4ak8_v1_shard004_pythia8.hepmc,2810311337,3cf6898ca9dba3d52e1330d98b6f635f8bff42fdabd39b1ffec162ad0b408f5f,run_ttbar_extra50k_ak4ak8_v1_004,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Events/run_ttbar_extra50k_ak4ak8_v1_004/run_ttbar_extra50k_ak4ak8_v1_004_tag_1_banner.txt,7dfa4b124dbe4034f0312ba9844b03793b18f8bd93edb982c9c965f397503d12,10000,714004,230000,,,,,20.0,25.0,5.0,2.7,0.4,0.4,import model sm | define p = g u c d s u~ c~ d~ s~ | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s b u~ c~ d~ s~ b~ | generate p p > t t~,511.93321,511.9331970214844,2.5351970424258628e-08,EXACT_LINEAGE_VALID
zbbbb,0,train,zbbbb_run2_frozen_v2_shard000_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard000_pythia8.hepmc,2658534487,ff9e9e2beb3d9ced93ba148d9a5cb717cec5d5f477a28ed7f850e2ffd7bba880,run_zbbbb_ak4ak8_extra50k_v1_000,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/Zbbbb_presel_smoke/Events/run_zbbbb_ak4ak8_extra50k_v1_000/run_zbbbb_ak4ak8_extra50k_v1_000_tag_1_banner.txt,af014ba721a12e989770d936b740c07ac93cb97b518254082c66e8d0daaba4bf,10000,718000,230000,,False,0.0,-1.0,20.0,25.0,5.0,2.7,0.4,0.4,"import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > z b b~, z > b b~",6.925643,6.925642967224121,4.732539476814888e-09,EXACT_LINEAGE_VALID
zbbbb,1,train,zbbbb_run2_frozen_v2_shard001_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard001_pythia8.hepmc,2658434867,14a3954d6c73cb2656fe2b74fcd9f6b3db905ee4a08fd092d398e268435dee35,run_zbbbb_ak4ak8_extra50k_v1_001,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/Zbbbb_presel_smoke/Events/run_zbbbb_ak4ak8_extra50k_v1_001/run_zbbbb_ak4ak8_extra50k_v1_001_tag_1_banner.txt,197cf5520841cf9d770282677b67f0aa5b142507fba8e5b23273e0447928c767,10000,718001,230000,,False,0.0,-1.0,20.0,25.0,5.0,2.7,0.4,0.4,"import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > z b b~, z > b b~",6.871753,6.871753215789795,3.140243761988554e-08,EXACT_LINEAGE_VALID
zbbbb,2,train,zbbbb_run2_frozen_v2_shard002_10k,/uscms_data/d3/iturkmen/hh4b_delphes/hepmc/zbbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,zbbbb_ak4ak8_extra50k_v1_shard002_pythia8.hepmc,2618189623,98f38d343d0c39df4196ae836dfc30cb2951405e5e7ff726114fbb61be55c178,run_zbbbb_ak4ak8_extra50k_v1_002,/uscms_data/d3/iturkmen/hh4b_delphes/mg5/Zbbbb_presel_smoke/Events/run_zbbbb_ak4ak8_extra50k_v1_002/run_zbbbb_ak4ak8_extra50k_v1_002_tag_1_banner.txt,37d501e900ad9e0b3251aa85515e3ec45aaf9c27c7472465500c9f3c48ad6967,10000,718002,230000,,False,0.0,-1.0,20.0,25.0,5.0,2.7,0.4,0.4,"import model sm | define j = g u c d s u~ c~ d~ s~ | define l+ = e+ mu+ | define l- = e- mu- | define vl = ve vm vt | define vl~ = ve~ vm~ vt~ | define p = g u c d s u~ c~ d~ s~ | generate p p > z b b~, z > b b~",6.914365,6.914364814758301,2.679084765023398e-08,EXACT_LINEAGE_VALID
