variable	rows	unique_values	mean	std	min	q0_001	q0_01	q0_05	q0_10	q0_25	median	q0_75	q0_90	q0_95	q0_99	q0_999	max
drbb1	1042397	1042397	1.898503598810497	0.7597048132001419	0.37338691447681516	0.4155489226803917	0.48218893853872696	0.6615504591675185	0.8505261462543908	1.3103325772665388	1.9000824135218013	2.4730258411548425	2.9179465258649464	3.110461433300457	3.503939896751729	4.193678154945056	5.4382286165117195
drbb2	1042397	1042397	2.3937161202070953	0.7497686990943808	0.3810007820280408	0.43322170818529243	0.5615782729997841	0.9506261353202616	1.2836871330073745	1.9108302918098408	2.522711550646784	2.9603097507467275	3.211028221454692	3.398780606802406	3.839462192622752	4.478266878421514	5.64531320707043
h_delta_r	1042397	1042397	2.889420105471175	1.0254292980253028	0.005807856693149171	0.1412572917277889	0.4540443404340091	1.0485679804634152	1.5122287953500275	2.342018004115033	2.968003424880032	3.3808798905903847	4.087331740962846	4.6066328423312015	5.684445524761334	7.118408769622931	11.47019926585938
h_pt_balance	1042397	1042397	0.27502701724518397	0.22087497796110425	2.6925597718020735e-07	0.0003687437362629137	0.003447578986723872	0.017535272044308912	0.035380984558455154	0.09410946265632623	0.2188780251800876	0.4106036601885613	0.6111088559471085	0.720979299375344	0.8731392187180607	0.9599981528203492	0.999676969707933
abs_h_delta_eta	1042397	1042397	1.48496296871658	1.2136837572611103	2.3312710117906477e-06	0.0022206154014481395	0.021068806542218085	0.10513186190339541	0.21102887327657596	0.5390137959110772	1.1782671015474813	2.139487764645493	3.2172559873819995	3.8950704446894067	5.203628874809297	6.7999304517996615	11.43852465648548
abs_mbb1_minus_125	1042397	1042397	34.37993533966908	68.3317336027059	1.649748104171067e-05	0.024512511865849206	0.25932107603003207	1.3214195491588414	2.706333704247862	7.357918347993063	17.885953221546202	37.27637927167186	66.37478147039641	107.37411871360995	322.2277551708622	847.7051437647543	2699.7852547843736
abs_mbb2_minus_125	1042397	1042397	32.46894445138383	63.50152386727976	3.135144226007469e-06	0.024103688417124885	0.24540042175288876	1.2642808464422786	2.606733011568085	7.098542925643329	17.195896346061275	35.41861354009461	63.52049076354847	100.65485772627142	293.4986628272232	792.4958150133083	2548.1857052756786
max_abs_mbb_minus_125	1042397	1042397	50.3706679225369	84.6653370637681	0.013372035675118354	0.74724076621087	2.476315828982814	5.910749059377685	8.88752837683582	16.39599317543241	30.011638482495442	50.96164224689609	92.51628014139449	159.9871525192228	417.91634686547644	1002.7972447175188	2699.7852547843736
max_drbb	1042397	1042397	2.5228820846334417	0.6894177630555941	0.4103403647676624	0.5381322632510536	0.7794279951917088	1.2157450098690439	1.5258046841048574	2.0835478095533744	2.6379540652621647	3.0286686752028236	3.2722042816030013	3.4641910936097835	3.916441458387538	4.556082492521308	5.64531320707043
min_drbb	1042397	1042397	1.7693376343841534	0.7090208741716418	0.37338691447681516	0.41253269624101546	0.466639268349808	0.6128446086554215	0.7747259062055412	1.2047391267145655	1.7805563652008152	2.322881460112969	2.726460096956401	2.9135410503550236	3.148545415846574	3.451740800268761	4.25455154072836
