sample	selected_order_index	root_event_entry	p_signal	fit_success	p1_x_mean_gev	p1_y_mean_gev	p1_physical	p1_in_target_region	p2_amp	p2_x_mean_gev	p2_y_mean_gev	p2_valid	p2_physical	p2_in_target_region	bg_amp	reasons
ZH	25	108	0.9995097517967224	True	129.7453991899618	317.8755671469957	False	False	5.001209629131866	181.23380120380224	135.50041107704033	True	True	False	0.0004524279844959826	primary_nonphysical,one_or_more_parameters_at_bound
ZH	26	111	0.9995311498641968	True	69.04482981108069	116.31136689813373	True	False	0.012432109356388447	80.20965388041405	130.93238900705694	True	True	True	0.000254937568258383	one_or_more_parameters_at_bound
ZH	27	114	0.9976946711540222	True	138.13663417177744	232.59961281068743	False	False	0.01396648423538111	42.96064354134828	146.64888238795498	True	True	False	2.8818309782689406e-40	primary_nonphysical,one_or_more_parameters_at_bound
ZH	29	123	0.9990211129188538	True	93.80690611668751	124.19760008693805	True	True	0.010346394742543114	139.6453795500611	92.88012739366322	True	True	True	0.0001630015111535557	one_or_more_parameters_at_bound
ZH	30	130	0.9999481439590454	True	84.02763993311508	112.62084844713404	True	True	0.0	500.0	500.0	False	False	False	0.0009097373368529687	secondary_invalid_or_sentinel
ZH	32	134	0.997726559638977	True	83.87533120960859	149.56110957571858	True	False	68.90048434703763	168.90611211161217	221.97609974997053	True	False	False	0.0031962934366507665	secondary_nonphysical,one_or_more_parameters_at_bound
ZH	36	167	0.9991167187690735	True	87.95556303512072	129.80562681550205	True	True	0.008454993445784039	98.00513140496298	137.32665618683296	True	True	True	0.00018993187678493403	one_or_more_parameters_at_bound
ZH	40	198	0.9986532926559448	True	82.37103373913392	107.78197767224307	True	False	0.011668615497607093	171.28315026287208	109.965872123618	True	True	False	0.0016032421504080772	one_or_more_parameters_at_bound
ZH	41	202	0.9988267421722412	True	73.452018996739	99.07410062053664	True	False	0.0025419692311301383	184.73056307171876	98.65710126233549	True	True	False	0.0003025876595078751	one_or_more_parameters_at_bound
ZH	43	219	0.9983394145965576	True	100.68295943933022	136.85125021778188	True	True	0.0035639385700247713	103.47714511291677	221.15566481820932	True	False	False	0.001854796877325239	secondary_nonphysical,one_or_more_parameters_at_bound
ZH	44	226	0.9999935030937195	True	86.51464124343144	130.99764909207497	True	True	0.0076793401232288	153.54389331134198	101.66348621784316	True	True	False	0.00015363736085991083	one_or_more_parameters_at_bound
ZH	46	251	0.9997310638427734	True	86.75466369387627	244.10177980469777	False	False	0.0	500.0	500.0	False	False	False	1.7725201545547562e-05	primary_nonphysical,secondary_invalid_or_sentinel
ZH	47	261	0.9998893141746521	True	84.56887230362973	112.95131030063172	True	True	0.02365822189972603	125.74333746082655	95.47722073043902	True	True	True	0.0002043004999240757	one_or_more_parameters_at_bound
