variant	outer_fold	selection_role	candidate_id	category_count	stage1_target_signal_efficiency	stage1_threshold	stage2_boundaries_json	boundary_quantiles_json	inner_nominal_ZA	inner_systematic_ZA	boundary_instability	outer_held_used_for_selection
mass_aware	1	best_supported_n6	e0.65_n6_q0.10-0.20-0.40-0.50	6	0.65	0.6635502576828003	[0.7795555118459572,0.8434681737650263,0.9094457193863736,0.9289800876534141]	[0.1,0.2,0.4,0.5]	0.07249145076122111	0.06500874962730692	0.008729126830616224	False
mass_aware	2	outer_selected	e0.90_n6_q0.40-0.50-0.60-0.70	6	0.9	0.38165003061294556	[0.8454724937512363,0.8820373459471741,0.9097910422203893,0.9320877757638086]	[0.4,0.5,0.6,0.7000000000000001]	0.08510930364756726	0.0782674712390874	0.005909701331942002	False
mass_aware	2	best_supported_n2	e0.65_n2_q	2	0.65	0.6451204419136047	[]	[]	0.06332188832261808	0.054207450543374516	0.0	False
mass_aware	2	best_supported_n3	e0.90_n3_q0.70	3	0.9	0.38165003061294556	[0.9320877757638086]	[0.7000000000000001]	0.08294498081326343	0.07595818376288306	0.003753526954707509	False
mass_aware	2	best_supported_n4	e0.90_n4_q0.50-0.70	4	0.9	0.38165003061294556	[0.8820373459471741,0.9320877757638086]	[0.5,0.7000000000000001]	0.08465647352475773	0.07778899359468497	0.005067520971262748	False
mass_aware	2	best_supported_n5	e0.90_n5_q0.40-0.60-0.70	5	0.9	0.38165003061294556	[0.8454724937512363,0.9097910422203893,0.9320877757638086]	[0.4,0.6,0.7000000000000001]	0.08501654598857256	0.07816703922161446	0.005909701331942002	False
mass_aware	2	best_supported_n6	e0.90_n6_q0.40-0.50-0.60-0.70	6	0.9	0.38165003061294556	[0.8454724937512363,0.8820373459471741,0.9097910422203893,0.9320877757638086]	[0.4,0.5,0.6,0.7000000000000001]	0.08510930364756726	0.0782674712390874	0.005909701331942002	False
mass_aware	3	outer_selected	e0.75_n6_q0.20-0.30-0.50-0.70	6	0.75	0.5665678381919861	[0.8154283490170915,0.863121120988761,0.9184313253738103,0.951592025780292]	[0.2,0.30000000000000004,0.5,0.7000000000000001]	0.06530004032211424	0.05609568969768412	0.0038143325395956665	False
mass_aware	3	best_supported_n2	e0.65_n2_q	2	0.65	0.6544979214668274	[]	[]	0.050665971515442894	0.03793072324243208	0.0	False
mass_aware	3	best_supported_n3	e0.75_n3_q0.70	3	0.75	0.5665678381919861	[0.951592025780292]	[0.7000000000000001]	0.06409389234522639	0.054620271183728066	0.0020064334519143386	False
mass_aware	3	best_supported_n4	e0.75_n4_q0.50-0.70	4	0.75	0.5665678381919861	[0.9184313253738103,0.951592025780292]	[0.5,0.7000000000000001]	0.06428759350912877	0.05479324229681045	0.002953764377811465	False
mass_aware	3	best_supported_n5	e0.75_n5_q0.20-0.30-0.70	5	0.75	0.5665678381919861	[0.8154283490170915,0.863121120988761,0.951592025780292]	[0.2,0.30000000000000004,0.7000000000000001]	0.06499745652167051	0.05575362691786612	0.004095439753876847	False
mass_aware	3	best_supported_n6	e0.75_n6_q0.20-0.30-0.50-0.70	6	0.75	0.5665678381919861	[0.8154283490170915,0.863121120988761,0.9184313253738103,0.951592025780292]	[0.2,0.30000000000000004,0.5,0.7000000000000001]	0.06530004032211424	0.05609568969768412	0.0038143325395956665	False
mass_aware	4	outer_selected	e0.65_n6_q0.40-0.50-0.60-0.70	6	0.65	0.6566517353057861	[0.9155208171643,0.9345681305817444,0.9484914954877405,0.9597481894173477]	[0.4,0.5,0.6,0.7000000000000001]	0.07907359827500919	0.07199672073711882	0.0019745351620484445	False
mass_aware	4	best_supported_n2	e0.65_n2_q	2	0.65	0.6566517353057861	[]	[]	0.05971676904405228	0.04955432587446562	0.0	False
mass_aware	4	best_supported_n3	e0.65_n3_q0.70	3	0.65	0.6566517353057861	[0.9597481894173477]	[0.7000000000000001]	0.07381219602629224	0.0658962887400274	0.0011140227702062834	False
mass_aware	4	best_supported_n4	e0.65_n4_q0.10-0.70	4	0.65	0.6566517353057861	[0.792571953069397,0.9597481894173477]	[0.1,0.7000000000000001]	0.07516617129419914	0.06733051742463471	0.001978003190266751	False
mass_aware	4	best_supported_n5	e0.65_n5_q0.40-0.50-0.70	5	0.65	0.6566517353057861	[0.9155208171643,0.9345681305817444,0.9597481894173477]	[0.4,0.5,0.7000000000000001]	0.07819171088523331	0.07096621759856295	0.0017960286974311275	False
mass_aware	4	best_supported_n6	e0.65_n6_q0.40-0.50-0.60-0.70	6	0.65	0.6566517353057861	[0.9155208171643,0.9345681305817444,0.9484914954877405,0.9597481894173477]	[0.4,0.5,0.6,0.7000000000000001]	0.07907359827500919	0.07199672073711882	0.0019745351620484445	False
mass_plane_blind	0	outer_selected	e0.65_n6_q0.10-0.20-0.40-0.60	6	0.65	0.6333733201026917	[0.7674332747656927,0.8207778039604978,0.8821669884919093,0.91718156841396]	[0.1,0.2,0.4,0.6]	0.06440746423294406	0.05508267776168241	0.006871386004129175	False
mass_plane_blind	0	best_supported_n2	e0.65_n2_q	2	0.65	0.6333733201026917	[]	[]	0.060887070958498664	0.05070199025518567	0.0	False
mass_plane_blind	0	best_supported_n3	e0.65_n3_q0.10	3	0.65	0.6333733201026917	[0.7674332747656927]	[0.1]	0.061879520147821505	0.051805816747038845	0.006089106594572583	False
mass_plane_blind	0	best_supported_n4	e0.65_n4_q0.40-0.60	4	0.65	0.6333733201026917	[0.8821669884919093,0.91718156841396]	[0.4,0.6]	0.06276949565608743	0.052989045018119844	0.006195236946451031	False
mass_plane_blind	0	best_supported_n5	e0.65_n5_q0.10-0.20-0.30	5	0.65	0.6333733201026917	[0.7674332747656927,0.8207778039604978,0.8572166212280515]	[0.1,0.2,0.30000000000000004]	0.06367702801932423	0.054106151020919556	0.007771486885656619	False
mass_plane_blind	0	best_supported_n6	e0.65_n6_q0.10-0.20-0.40-0.60	6	0.65	0.6333733201026917	[0.7674332747656927,0.8207778039604978,0.8821669884919093,0.91718156841396]	[0.1,0.2,0.4,0.6]	0.06440746423294406	0.05508267776168241	0.006871386004129175	False
mass_plane_blind	1	outer_selected	e0.65_n6_q0.20-0.30-0.50-0.70	6	0.65	0.6607727408409119	[0.8326255843596261,0.8633181569648385,0.902847894100928,0.9325335461626396]	[0.2,0.30000000000000004,0.5,0.7000000000000001]	0.0672001053114495	0.05928893321710064	0.004134324923228215	False
mass_plane_blind	1	best_supported_n2	e0.65_n2_q	2	0.65	0.6607727408409119	[]	[]	0.06201335610644766	0.05317534461038489	0.0	False
mass_plane_blind	1	best_supported_n3	e0.65_n3_q0.70	3	0.65	0.6607727408409119	[0.9325335461626396]	[0.7000000000000001]	0.06551771242810933	0.05714119921844673	0.003491346206512108	False
mass_plane_blind	1	best_supported_n4	e0.65_n4_q0.40-0.70	4	0.65	0.6607727408409119	[0.8851827457931543,0.9325335461626396]	[0.4,0.7000000000000001]	0.0661091759158769	0.05776225830127495	0.004188733667607473	False
mass_plane_blind	1	best_supported_n5	e0.65_n5_q0.20-0.40-0.70	5	0.65	0.6607727408409119	[0.8326255843596261,0.8851827457931543,0.9325335461626396]	[0.2,0.4,0.7000000000000001]	0.06690317606635682	0.05890999989593386	0.004188733667607473	False
mass_plane_blind	1	best_supported_n6	e0.65_n6_q0.20-0.30-0.50-0.70	6	0.65	0.6607727408409119	[0.8326255843596261,0.8633181569648385,0.902847894100928,0.9325335461626396]	[0.2,0.30000000000000004,0.5,0.7000000000000001]	0.0672001053114495	0.05928893321710064	0.004134324923228215	False
mass_plane_blind	2	outer_selected	e0.65_n6_q0.20-0.40-0.50-0.70	6	0.65	0.6433941721916199	[0.8227363014716542,0.880999880179664,0.9000346389456465,0.9322839442586865]	[0.2,0.4,0.5,0.7000000000000001]	0.06319109172217442	0.05422795451879266	0.005758153287063217	False
mass_plane_blind	2	best_supported_n2	e0.65_n2_q	2	0.65	0.6433941721916199	[]	[]	0.057379400170114774	0.04679001927108344	0.0	False
mass_plane_blind	2	best_supported_n3	e0.65_n3_q0.20	3	0.65	0.6433941721916199	[0.8227363014716542]	[0.2]	0.06014235132400291	0.05002690918849719	0.008477655656014977	False
mass_plane_blind	2	best_supported_n4	e0.65_n4_q0.20-0.50	4	0.65	0.6433941721916199	[0.8227363014716542,0.9000346389456465]	[0.2,0.5]	0.06274645024152624	0.053610434289820375	0.006188018895773952	False
mass_plane_blind	2	best_supported_n5	e0.65_n5_q0.20-0.50-0.70	5	0.65	0.6433941721916199	[0.8227363014716542,0.9000346389456465,0.9322839442586865]	[0.2,0.5,0.7000000000000001]	0.06299807583787297	0.05395529198924243	0.005362520967967069	False
mass_plane_blind	2	best_supported_n6	e0.65_n6_q0.20-0.40-0.50-0.70	6	0.65	0.6433941721916199	[0.8227363014716542,0.880999880179664,0.9000346389456465,0.9322839442586865]	[0.2,0.4,0.5,0.7000000000000001]	0.06319109172217442	0.05422795451879266	0.005758153287063217	False
mass_plane_blind	3	outer_selected	e0.65_n6_q0.20-0.40-0.70-0.80	6	0.65	0.656667172908783	[0.8414159435905972,0.8948381268477382,0.9400109892585365,0.952042262629996]	[0.2,0.4,0.7000000000000001,0.8]	0.06010043914485098	0.05049928825996423	0.003928326331357397	False
mass_plane_blind	3	best_supported_n2	e0.65_n2_q	2	0.65	0.656667172908783	[]	[]	0.057746571149564656	0.04770680648514319	0.0	False
mass_plane_blind	3	best_supported_n3	e0.65_n3_q0.80	3	0.65	0.656667172908783	[0.952042262629996]	[0.8]	0.059309521480298874	0.04949875613074247	0.002366956380999981	False
mass_plane_blind	3	best_supported_n4	e0.65_n4_q0.70-0.80	4	0.65	0.656667172908783	[0.9400109892585365,0.952042262629996]	[0.7000000000000001,0.8]	0.059534885058733444	0.049830792697798665	0.002687834947939031	False
mass_plane_blind	3	best_supported_n5	e0.65_n5_q0.20-0.40-0.80	5	0.65	0.656667172908783	[0.8414159435905972,0.8948381268477382,0.952042262629996]	[0.2,0.4,0.8]	0.059919959264204986	0.05026157198833919	0.004615887619523812	False
mass_plane_blind	3	best_supported_n6	e0.65_n6_q0.20-0.40-0.70-0.80	6	0.65	0.656667172908783	[0.8414159435905972,0.8948381268477382,0.9400109892585365,0.952042262629996]	[0.2,0.4,0.7000000000000001,0.8]	0.06010043914485098	0.05049928825996423	0.003928326331357397	False
mass_plane_blind	4	outer_selected	e0.65_n6_q0.10-0.50-0.70-0.80	6	0.65	0.6575133800506592	[0.7861479648454796,0.9101331194474738,0.9373925276386056,0.9497155619284959]	[0.1,0.5,0.7000000000000001,0.8]	0.06909780210605947	0.06090022237888992	0.0032100242991385457	False
mass_plane_blind	4	best_supported_n2	e0.65_n2_q	2	0.65	0.6575133800506592	[]	[]	0.061028055475027904	0.051460582808145146	0.0	False
mass_plane_blind	4	best_supported_n3	e0.65_n3_q0.80	3	0.65	0.6575133800506592	[0.9497155619284959]	[0.8]	0.06549668524581893	0.05664174307646672	0.0026770414479191963	False
mass_plane_blind	4	best_supported_n4	e0.65_n4_q0.70-0.80	4	0.65	0.6575133800506592	[0.9373925276386056,0.9497155619284959]	[0.7000000000000001,0.8]	0.06662623885524172	0.05815097770804001	0.0026770414479191963	False
mass_plane_blind	4	best_supported_n5	e0.65_n5_q0.50-0.70-0.80	5	0.65	0.6575133800506592	[0.9101331194474738,0.9373925276386056,0.9497155619284959]	[0.5,0.7000000000000001,0.8]	0.06840509268323212	0.06015957263195977	0.0032100242991385457	False
mass_plane_blind	4	best_supported_n6	e0.65_n6_q0.10-0.50-0.70-0.80	6	0.65	0.6575133800506592	[0.7861479648454796,0.9101331194474738,0.9373925276386056,0.9497155619284959]	[0.1,0.5,0.7000000000000001,0.8]	0.06909780210605947	0.06090022237888992	0.0032100242991385457	False
