comparison	model	reference_model	metric	nominal_difference	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	fraction_valid_difference_greater_than_zero	interval_includes_zero_68	interval_includes_zero_95
mass_aware_scan_n4_n4_minus_inclusive_bdt	mass_aware_scan_n4_n4	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.37875499331284	21.475943220289388	169.6848623306768	209.76757036954788	150.831109628549	236.44254120943074	1000	0	{}	1.0	False	False
mass_aware_fixed5_n5_minus_inclusive_bdt	mass_aware_fixed5_n5	inclusive_bdt	combined_nominal_asimov_ZA	0.005483859380034817	0.007208105207490279	0.006590284238524639	0.006561950497263995	0.0008664111877524712	0.013307201445677918	-0.003692206352392094	0.022391177864364564	1000	0	{}	0.882	False	True
mass_aware_fixed5_n5_minus_inclusive_bdt	mass_aware_fixed5_n5	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.05763162827622499	0.060461761264543966	0.059625806832412906	0.008469697272648976	0.052205327588294645	0.06848967125589686	0.04714977055450284	0.0788860087600569	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_aware_fixed5_n5_minus_inclusive_bdt	mass_aware_fixed5_n5	inclusive_bdt	signal_over_background	-6.48946186704139e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.598972678541276e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_aware_fixed5_n5_minus_inclusive_bdt	mass_aware_fixed5_n5	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.3787549933128	21.475943220289388	169.6848623306768	209.76757036954783	150.831109628549	236.4425412094307	1000	0	{}	1.0	False	False
mass_aware_scan_n6_n6_minus_inclusive_bdt	mass_aware_scan_n6_n6	inclusive_bdt	combined_nominal_asimov_ZA	0.0034879629588082384	0.006368743243012386	0.005688006077316631	0.006105192965463516	0.0008846261486216624	0.011739928965439059	-0.00340213338250075	0.021129534330358687	1000	0	{}	0.879	False	True
mass_aware_scan_n6_n6_minus_inclusive_bdt	mass_aware_scan_n6_n6	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.05516352750398569	0.05936841611756556	0.058478171214861575	0.009396860943173501	0.0501039271362398	0.06800786307602566	0.04404058137108348	0.08231766185435319	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_aware_scan_n6_n6_minus_inclusive_bdt	mass_aware_scan_n6_n6	inclusive_bdt	signal_over_background	-6.48946186704139e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.5989726785412755e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_aware_scan_n6_n6_minus_inclusive_bdt	mass_aware_scan_n6_n6	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.37875499331284	21.475943220289388	169.68486233067676	209.76757036954777	150.83110962854903	236.44254120943074	1000	0	{}	1.0	False	False
mass_aware_outer_selected_minus_inclusive_bdt	mass_aware_outer_selected	inclusive_bdt	combined_nominal_asimov_ZA	0.0034879629588082384	0.006368743243012386	0.005688006077316631	0.006105192965463516	0.0008846261486216624	0.011739928965439059	-0.00340213338250075	0.021129534330358687	1000	0	{}	0.879	False	True
mass_aware_outer_selected_minus_inclusive_bdt	mass_aware_outer_selected	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.05516352750398569	0.05936841611756556	0.058478171214861575	0.009396860943173501	0.0501039271362398	0.06800786307602566	0.04404058137108348	0.08231766185435319	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_aware_outer_selected_minus_inclusive_bdt	mass_aware_outer_selected	inclusive_bdt	signal_over_background	-6.48946186704139e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.5989726785412755e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_aware_outer_selected_minus_inclusive_bdt	mass_aware_outer_selected	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.37875499331284	21.475943220289388	169.68486233067676	209.76757036954777	150.83110962854903	236.44254120943074	1000	0	{}	1.0	False	False
mass_plane_blind_scan_n2_n2_minus_inclusive_bdt	mass_plane_blind_scan_n2_n2	inclusive_bdt	combined_nominal_asimov_ZA	0.0023362652985877974	0.002313875549934295	0.002678266259063443	0.005887304804799564	-0.00369608050972256	0.008122914193279008	-0.010193496237130851	0.012759422192893643	1000	0	{}	0.655	True	True
mass_plane_blind_scan_n2_n2_minus_inclusive_bdt	mass_plane_blind_scan_n2_n2	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.05445603171951762	0.055032418517578584	0.05451041500789858	0.005883452116747716	0.04935098510116998	0.060963753630781985	0.044605529498051785	0.06694490625881218	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_plane_blind_scan_n2_n2_minus_inclusive_bdt	mass_plane_blind_scan_n2_n2	inclusive_bdt	signal_over_background	-6.489461867041391e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.598972678541276e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_plane_blind_scan_n2_n2_minus_inclusive_bdt	mass_plane_blind_scan_n2_n2	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.3787549933128	21.475943220289384	169.6848623306768	209.76757036954777	150.83110962854892	236.4425412094307	1000	0	{}	1.0	False	False
mass_plane_blind_scan_n3_n3_minus_inclusive_bdt	mass_plane_blind_scan_n3_n3	inclusive_bdt	combined_nominal_asimov_ZA	0.0025439122326620933	0.0032859882174812124	0.0035031316630880424	0.006174797975827213	-0.0030772416514217938	0.009475133867896952	-0.00836915624418988	0.014406841978661775	1000	0	{}	0.704	True	True
