target_index	source_tag	transport_class	fragment_path	fragment_sha256s_sha256	complete_marker_sha256	sidecar_or_uniform_sha256
11	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1051_seed1201051	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1051_seed1201051	3feb22d24856d0de3e364be725206c1bea0e2a35bef5d92620b9e50afeb0ce2c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
12	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1052_seed1201052	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1052_seed1201052	157b0993ad488ff46e2bb6317a042ef18f5594034b3057b0eed9201be8d782d7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
13	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1054_seed1201054	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1054_seed1201054	fb19f83ff2eb98c8c8e480ab33633b1a6fcf3fedbba083883fc7d7817b869a67	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
14	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1057_seed1201057	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1057_seed1201057	718bbe814dc118272011bbb8392e40126c669ce8e9250fdc88b3b0e024d2f80f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
15	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1058_seed1201058	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1058_seed1201058	87c30a7a6c94de26fce99d504b8efa6dba72dad6c99db472ff2ea1e64543bdb2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
16	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1059_seed1201059	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1059_seed1201059	cb520c67c01f535f6b09d03616f818398a7d1b93a212da7ab027aabe9e53fd22	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
17	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1060_seed1201060	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1060_seed1201060	0b877943d32be13efad9f97f04bf82d6bfc9442ff89404606c651d1a1772849c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
18	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1061_seed1201061	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1061_seed1201061	87cb3e9ffa8f596f84e631fe92ca16155137806c3772fb7e11523a47daa73208	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
19	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1063_seed1201063	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1063_seed1201063	18f301ea058a3c2854b0a723d2690b7188843455f7d4f2d4b6dccfbd03f71cf6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
20	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1066_seed1201066	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1066_seed1201066	8e28d7f88576ef76b5868449868c9f5a4dcfdff11a393f04dd5eda42bab7112b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
21	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1067_seed1201067	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1067_seed1201067	7cbe414d00c7e0418089522e5c418acccffe6650331a202e8dd092581d9dd8e6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
22	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1068_seed1201068	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1068_seed1201068	7194ad7d37b04ae8cef8ca1d4245db8b878ef3c6fad7d0360b0ba6a9f88140d2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
23	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1070_seed1201070	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1070_seed1201070	e5a73315ffc112fa8027b3057f461a63fc7eeeccca0cc571b9430a8f3a3091db	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
24	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1071_seed1201071	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1071_seed1201071	f756793aeb967dacafda9d0e36d2d089a7755e2e59534711321cd8aff82a42b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
25	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1072_seed1201072	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1072_seed1201072	83ba6a8f40f34d4c507fc1d4fff2fa42120274cf4880b335310f1c2264ea06db	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
26	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1073_seed1201073	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1073_seed1201073	5dd5820af8b4f91bdbfef2dac6d29011eb21a85e01edac512b45ddf911b0c658	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
27	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1075_seed1201075	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1075_seed1201075	f430f17fa48a7392f28cd62e325272688936decd777fe156a5dd90577b9dffbb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
28	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1076_seed1201076	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1076_seed1201076	46784aac5cd7e6bad7be995c924f512a9c0c68addededa20bafd30cfb21b1a87	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
29	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1079_seed1201079	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1079_seed1201079	1f647529c0456bae0b4d9d070e58148ac108f30a7af4b68be919d0243a08512a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
30	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1080_seed1201080	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1080_seed1201080	37341a23b93d46487d0f7b5d98987d8c7da9d572e79ac05c453b2c02b48b7542	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
31	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1083_seed1201083	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1083_seed1201083	f8cb4641c09e77092fe6616035f4fc586533960a23ce56569a1a61479ad3dbaa	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
32	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1084_seed1201084	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1084_seed1201084	a4dd7477d9e408e18f000081f8ad60f6b302e5c5f09e0ca6ac0a17367ac63fce	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
33	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1085_seed1201085	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1085_seed1201085	e626c467061eb54ae00897096d7b8c8424fdb7e4a34c0048749c3bdf57e9022a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
34	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1086_seed1201086	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1086_seed1201086	6ee89e8b9e09fad17e102ff21f6776dca0846fb44239780c52a4cb7f607838e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
35	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1088_seed1201088	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1088_seed1201088	ce635dff6cb194d0a79bb5dd181ca6fae811c00493cd770b785db958d990955a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
36	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1090_seed1201090	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1090_seed1201090	c23e0bdbad587a9df8aec4f10f23f493fc1cfe76b43eee46ecab8a17c9c37273	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
37	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1092_seed1201092	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1092_seed1201092	518c83d389bf292106632702ec381f64124cfa44f1f10c68e2a493a30f8605eb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
38	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1096_seed1201096	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1096_seed1201096	d0e6bae799b484460e1a94af690e2223949c2035314c5babc03983e63ed5a114	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
39	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1097_seed1201097	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1097_seed1201097	367b395e10ac2260a08e9f40356259bac0217f17ee2f8f8789a56f675978d9df	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
40	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1098_seed1201098	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1098_seed1201098	9d78e4ae1ace4a8b7be330d854ce052b2d634040652b5e4e945ae2a4f2311796	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
41	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1099_seed1201099	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1099_seed1201099	ffdfd6df36f4b72a5a95d412c2d768722560122ba969b68a9be2833a6a9fe7ed	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
42	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1100_seed1201100	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1100_seed1201100	105a1cfa71bdaf6f0347207f521d5497712c4c3784d30764908c32d8fb69b353	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
43	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1101_seed1201101	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1101_seed1201101	38d13f82877131ebc20b8e0bc5d32a1b144539544c23a7528fd71570cef3d300	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
44	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1106_seed1211106	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1106_seed1211106	61ef3cde25f16b015e87b577a4c5203d2975483d24857c02a3741a3e57ea47f2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
45	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1107_seed1211107	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1107_seed1211107	8ae552aca95b0c0630a8e2952d1060a903eb8cbfa9ce3a57f22000fd4beb8b48	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
46	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1108_seed1211108	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1108_seed1211108	97218f65eefcc40241965cd8534bed6d7910d871e40f28fe966803914169e9a6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
47	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1109_seed1211109	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1109_seed1211109	3b2ce83eb2125c35cd5271c4d87db25ff53ed50df6a014d658baa5b3245b22da	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
