target_index	source_tag	campaign	transport_class	generated_events	candidate_rows	candidate_sha256	source_bundle_sha256	source_bundle_sha256_origin	fragment_sha256s_sha256	fragment_complete_marker_sha256	root_tree	root_weight_branch	root_weight_storage_dtype	n_events_closure	sum_event_weights_closure	sum_squared_event_weights_closure	min_event_weight_closure	max_event_weight_closure	candidate_event_join_column	candidate_event_join_pass	sidecar_rows	source_bundle_sha256_frozen_during_transport	validation_payload_files_opened	evaluation_payload_files_opened	physical_luminosity_weights_calculated	physical_yields_calculated	transport_complete
20	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1066_seed1201066	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	6a2a936e5f0a884881c6dca4c48157aac024324626b287936bf86dbaf4f53f4a	pn_c4f_exact_bundle_checksum	8e28d7f88576ef76b5868449868c9f5a4dcfdff11a393f04dd5eda42bab7112b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
21	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1067_seed1201067	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	2b085f6f9ef69a59d1aa005a23f5bd77f4501e427922d7d391f88345d7bf2237	pn_c4f_exact_bundle_checksum	7cbe414d00c7e0418089522e5c418acccffe6650331a202e8dd092581d9dd8e6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
22	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1068_seed1201068	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	3ff2aa84d51a062b150ab8ec32e784b0b7b4b4f101d5e5937f9f4a5c8d012b71	pn_c4f_exact_bundle_checksum	7194ad7d37b04ae8cef8ca1d4245db8b878ef3c6fad7d0360b0ba6a9f88140d2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
23	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1070_seed1201070	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	ac07502d1a1e2da3474fe10f48519ffb717444d462b240195eb15b6fa55a36da	pn_c4f_exact_bundle_checksum	e5a73315ffc112fa8027b3057f461a63fc7eeeccca0cc571b9430a8f3a3091db	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
24	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1071_seed1201071	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	810e6a7969b99fce87bc638789b074e204bc5edd9a11fc5554ff6a9d07d691f9	pn_c4f_exact_bundle_checksum	f756793aeb967dacafda9d0e36d2d089a7755e2e59534711321cd8aff82a42b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
25	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1072_seed1201072	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	10bfddb1f1d87a496318c7b7ad0a03b23649f9cb6c9dfb7196d9889d323dda6c	pn_c4f_exact_bundle_checksum	83ba6a8f40f34d4c507fc1d4fff2fa42120274cf4880b335310f1c2264ea06db	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
26	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1073_seed1201073	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	4092a8f0ee6d7eb57f795198f8076faba3ed25cac0bd49a8da0dc94173bb54dc	pn_c4f_exact_bundle_checksum	5dd5820af8b4f91bdbfef2dac6d29011eb21a85e01edac512b45ddf911b0c658	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
27	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1075_seed1201075	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	14b7197151bfefe128e8605a634c385d294984f3a5caa5d587b756094d73d9fc	pn_c4f_exact_bundle_checksum	f430f17fa48a7392f28cd62e325272688936decd777fe156a5dd90577b9dffbb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
28	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1076_seed1201076	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	7fae42c40236d68081d4568adcd6632cf7ae481225adc83208cea565f7dd4707	pn_c4f_exact_bundle_checksum	46784aac5cd7e6bad7be995c924f512a9c0c68addededa20bafd30cfb21b1a87	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
29	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1079_seed1201079	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	48c306f75999b5ebd99ff2348669c0ffffe62641e1e088b74d008bea5660167c	pn_c4f_exact_bundle_checksum	1f647529c0456bae0b4d9d070e58148ac108f30a7af4b68be919d0243a08512a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
30	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1080_seed1201080	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	d06977ad694a0e27c86726179663bcf5fb0d613284c5a76f723cd56ec20b52b3	pn_c4f_exact_bundle_checksum	37341a23b93d46487d0f7b5d98987d8c7da9d572e79ac05c453b2c02b48b7542	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
31	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1083_seed1201083	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	93bdd5fc0e269a73585aaa7647605a7166215b6bf4c53795db40d12ec427223b	pn_c4f_exact_bundle_checksum	f8cb4641c09e77092fe6616035f4fc586533960a23ce56569a1a61479ad3dbaa	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
32	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1084_seed1201084	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	f1fdc152307def2f74821f017e8e614ae327a7320327c74952d2b1274c94202f	pn_c4f_exact_bundle_checksum	a4dd7477d9e408e18f000081f8ad60f6b302e5c5f09e0ca6ac0a17367ac63fce	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
33	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1085_seed1201085	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	44f7a38a21fc2f7e8e71d2cf7e1bff36a855239c989d42d9bb3fa78ab664bf24	pn_c4f_exact_bundle_checksum	e626c467061eb54ae00897096d7b8c8424fdb7e4a34c0048749c3bdf57e9022a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
34	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1086_seed1201086	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	f996a6ac725cd9a49c59e732cd00147f0d1fd5a2b53dce8e1e1591750feb1373	pn_c4f_exact_bundle_checksum	6ee89e8b9e09fad17e102ff21f6776dca0846fb44239780c52a4cb7f607838e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
35	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1088_seed1201088	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	13f152b4de7975377d19feec994582aff2bae9830705cfd8ca173809928aebac	pn_c4f_exact_bundle_checksum	ce635dff6cb194d0a79bb5dd181ca6fae811c00493cd770b785db958d990955a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
36	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1090_seed1201090	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	f7af6dca6fd3f04a1f92f508efbc2171f3dfb679d9e0fb4212a1d03294da0359	pn_c4f_exact_bundle_checksum	c23e0bdbad587a9df8aec4f10f23f493fc1cfe76b43eee46ecab8a17c9c37273	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
37	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1092_seed1201092	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	e964dbc588d17296e0c34bcd6b9456e38a58885ad5322632a887fd8872151f9c	pn_c4f_exact_bundle_checksum	518c83d389bf292106632702ec381f64124cfa44f1f10c68e2a493a30f8605eb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
38	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1096_seed1201096	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	221003a452f9439f247ef11d9075572822346b1e014026725746a99233200266	pn_c4f_exact_bundle_checksum	d0e6bae799b484460e1a94af690e2223949c2035314c5babc03983e63ed5a114	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
