sample_group_directory	branch	typename
00_ZZ_ntuple	part_d0val	std::vector<float>
00_ZZ_ntuple	part_d0err	std::vector<float>
00_ZZ_ntuple	part_dzval	std::vector<float>
00_ZZ_ntuple	part_dzerr	std::vector<float>
00_ZZ_ntuple	part_dr	std::vector<float>
00_ZZ_ntuple	part_deta	std::vector<float>
00_ZZ_ntuple	part_dphi	std::vector<float>
00_ZZ_ntuple	gen_bhadron_fromhh	std::vector<int32_t>
00_ZZ_ntuple	gen_bhadron_px	std::vector<float>
00_ZZ_ntuple	gen_bhadron_py	std::vector<float>
00_ZZ_ntuple	gen_bhadron_pz	std::vector<float>
00_ZZ_ntuple	gen_bhadron_energy	std::vector<float>
00_ZZ_ntuple	gen_bhadron_mass	std::vector<float>
00_ZZ_ntuple	gen_bhadron_pt	std::vector<float>
00_ZZ_ntuple	gen_bhadron_eta	std::vector<float>
00_ZZ_ntuple	gen_bhadron_phi	std::vector<float>
00_ZZ_ntuple	gen_bhadron_charge	std::vector<int32_t>
00_ZZ_ntuple	gen_bhadron_pid	std::vector<int32_t>
00_ZZ_ntuple	genpart_pt	std::vector<float>
00_ZZ_ntuple	genpart_eta	std::vector<float>
00_ZZ_ntuple	genpart_phi	std::vector<float>
00_ZZ_ntuple	genpart_energy	std::vector<float>
00_ZZ_ntuple	genpart_pid	std::vector<int32_t>
00_ZZ_ntuple	process_index	int32_t
00_ZZ_ntuple	gen_weight	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pass_selection	int32_t
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pass_4j3b_selection	int32_t
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pass_4j2b_selection	int32_t
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pass_boosted_trigger	int32_t
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	HT	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pfcand_sum_mass	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pfcand_sum_HT	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pfcand_sum_pt	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pfcand_sum_eta	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pfcand_sum_phi	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	pfcand_sum_energy	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_higgs1_pt	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_higgs1_eta	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_higgs1_phi	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_higgs1_mass	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_higgs2_pt	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_higgs2_eta	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_higgs2_phi	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_higgs2_mass	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_dihiggs_mass	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_dihiggs_HT	float
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_pt	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_eta	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_phi	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_energy	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_mass	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_hadronFlavor	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_partonFlavor	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_flavor	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_nparticles	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_sophonAK4_probB	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_sophonAK4_probC	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	jet_sophonAK4_probL	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_pt	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_eta	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_phi	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_energy	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_mass	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sdmass	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_trmass	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_nparticles	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sophon_probXbb	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sophon_probXcc	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sophon_probXqq	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sophon_probXbc	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sophon_probXcs	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sophon_probXbq	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sophon_probXcq	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sophon_probXbqq	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	fj_sophon_probQCD	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_label	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_fjlabel	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_px	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_py	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_pz	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_energy	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_mass	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_pt	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_eta	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_phi	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_charge	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_pid	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_d0val	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_d0err	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_dzval	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_dzerr	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_dr	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_deta	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	part_dphi	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_fromhh	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_px	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_py	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_pz	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_energy	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_mass	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_pt	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_eta	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_phi	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_charge	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_bhadron_pid	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	genpart_pt	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	genpart_eta	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	genpart_phi	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	genpart_energy	std::vector<float>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	genpart_pid	std::vector<int32_t>
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	process_index	int32_t
01_QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	gen_weight	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pass_selection	int32_t
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pass_4j3b_selection	int32_t
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pass_4j2b_selection	int32_t
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pass_boosted_trigger	int32_t
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	HT	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pfcand_sum_mass	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pfcand_sum_HT	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pfcand_sum_pt	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pfcand_sum_eta	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pfcand_sum_phi	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	pfcand_sum_energy	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_higgs1_pt	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_higgs1_eta	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_higgs1_phi	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_higgs1_mass	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_higgs2_pt	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_higgs2_eta	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_higgs2_phi	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_higgs2_mass	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_dihiggs_mass	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_dihiggs_HT	float
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_pt	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_eta	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_phi	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_energy	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_mass	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_hadronFlavor	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_partonFlavor	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_flavor	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_nparticles	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_sophonAK4_probB	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_sophonAK4_probC	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	jet_sophonAK4_probL	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_pt	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_eta	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_phi	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_energy	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_mass	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sdmass	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_trmass	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_nparticles	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sophon_probXbb	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sophon_probXcc	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sophon_probXqq	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sophon_probXbc	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sophon_probXcs	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sophon_probXbq	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sophon_probXcq	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sophon_probXbqq	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	fj_sophon_probQCD	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_label	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_fjlabel	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_px	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_py	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_pz	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_energy	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_mass	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_pt	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_eta	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_phi	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_charge	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_pid	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_d0val	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_d0err	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_dzval	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_dzerr	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_dr	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_deta	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	part_dphi	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_fromhh	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_px	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_py	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_pz	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_energy	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_mass	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_pt	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_eta	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_phi	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_charge	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_bhadron_pid	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	genpart_pt	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	genpart_eta	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	genpart_phi	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	genpart_energy	std::vector<float>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	genpart_pid	std::vector<int32_t>
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	process_index	int32_t
02_QCD_DelphesHH4JTrig_forInfer_merged_ntuple	gen_weight	std::vector<float>
03_SingleTop_ntuple	event_no	int32_t
03_SingleTop_ntuple	event_class	int32_t
03_SingleTop_ntuple	pass_selection	int32_t
03_SingleTop_ntuple	pass_4j3b_selection	int32_t
03_SingleTop_ntuple	pass_4j2b_selection	int32_t
03_SingleTop_ntuple	pass_boosted_trigger	int32_t
03_SingleTop_ntuple	HT	float
03_SingleTop_ntuple	pfcand_sum_mass	float
03_SingleTop_ntuple	pfcand_sum_HT	float
03_SingleTop_ntuple	pfcand_sum_pt	float
03_SingleTop_ntuple	pfcand_sum_eta	float
03_SingleTop_ntuple	pfcand_sum_phi	float
03_SingleTop_ntuple	pfcand_sum_energy	float
03_SingleTop_ntuple	gen_higgs1_pt	float
03_SingleTop_ntuple	gen_higgs1_eta	float
03_SingleTop_ntuple	gen_higgs1_phi	float
03_SingleTop_ntuple	gen_higgs1_mass	float
03_SingleTop_ntuple	gen_higgs2_pt	float
03_SingleTop_ntuple	gen_higgs2_eta	float
03_SingleTop_ntuple	gen_higgs2_phi	float
03_SingleTop_ntuple	gen_higgs2_mass	float
03_SingleTop_ntuple	gen_dihiggs_mass	float
03_SingleTop_ntuple	gen_dihiggs_HT	float
03_SingleTop_ntuple	jet_pt	std::vector<float>
03_SingleTop_ntuple	jet_eta	std::vector<float>
03_SingleTop_ntuple	jet_phi	std::vector<float>
03_SingleTop_ntuple	jet_energy	std::vector<float>
03_SingleTop_ntuple	jet_mass	std::vector<float>
03_SingleTop_ntuple	jet_hadronFlavor	std::vector<int32_t>
03_SingleTop_ntuple	jet_partonFlavor	std::vector<int32_t>
03_SingleTop_ntuple	jet_flavor	std::vector<int32_t>
03_SingleTop_ntuple	jet_nparticles	std::vector<float>
03_SingleTop_ntuple	jet_sophonAK4_probB	std::vector<float>
03_SingleTop_ntuple	jet_sophonAK4_probC	std::vector<float>
03_SingleTop_ntuple	jet_sophonAK4_probL	std::vector<float>
03_SingleTop_ntuple	fj_pt	std::vector<float>
03_SingleTop_ntuple	fj_eta	std::vector<float>
03_SingleTop_ntuple	fj_phi	std::vector<float>
03_SingleTop_ntuple	fj_energy	std::vector<float>
03_SingleTop_ntuple	fj_mass	std::vector<float>
03_SingleTop_ntuple	fj_sdmass	std::vector<float>
03_SingleTop_ntuple	fj_trmass	std::vector<float>
03_SingleTop_ntuple	fj_nparticles	std::vector<float>
03_SingleTop_ntuple	fj_sophon_probXbb	std::vector<float>
03_SingleTop_ntuple	fj_sophon_probXcc	std::vector<float>
03_SingleTop_ntuple	fj_sophon_probXqq	std::vector<float>
03_SingleTop_ntuple	fj_sophon_probXbc	std::vector<float>
03_SingleTop_ntuple	fj_sophon_probXcs	std::vector<float>
03_SingleTop_ntuple	fj_sophon_probXbq	std::vector<float>
03_SingleTop_ntuple	fj_sophon_probXcq	std::vector<float>
03_SingleTop_ntuple	fj_sophon_probXbqq	std::vector<float>
03_SingleTop_ntuple	fj_sophon_probQCD	std::vector<float>
03_SingleTop_ntuple	lep_pt	std::vector<float>
03_SingleTop_ntuple	lep_eta	std::vector<float>
03_SingleTop_ntuple	lep_phi	std::vector<float>
03_SingleTop_ntuple	lep_energy	std::vector<float>
03_SingleTop_ntuple	lep_charge	std::vector<int32_t>
03_SingleTop_ntuple	lep_pid	std::vector<int32_t>
03_SingleTop_ntuple	lep_iso	std::vector<float>
03_SingleTop_ntuple	met_pt	float
03_SingleTop_ntuple	met_phi	float
03_SingleTop_ntuple	part_label	std::vector<int32_t>
03_SingleTop_ntuple	part_fjlabel	std::vector<int32_t>
03_SingleTop_ntuple	part_px	std::vector<float>
03_SingleTop_ntuple	part_py	std::vector<float>
03_SingleTop_ntuple	part_pz	std::vector<float>
03_SingleTop_ntuple	part_energy	std::vector<float>
03_SingleTop_ntuple	part_mass	std::vector<float>
03_SingleTop_ntuple	part_pt	std::vector<float>
03_SingleTop_ntuple	part_eta	std::vector<float>
03_SingleTop_ntuple	part_phi	std::vector<float>
03_SingleTop_ntuple	part_charge	std::vector<int32_t>
03_SingleTop_ntuple	part_pid	std::vector<int32_t>
03_SingleTop_ntuple	part_d0val	std::vector<float>
03_SingleTop_ntuple	part_d0err	std::vector<float>
03_SingleTop_ntuple	part_dzval	std::vector<float>
03_SingleTop_ntuple	part_dzerr	std::vector<float>
03_SingleTop_ntuple	part_dr	std::vector<float>
03_SingleTop_ntuple	part_deta	std::vector<float>
03_SingleTop_ntuple	part_dphi	std::vector<float>
03_SingleTop_ntuple	gen_bhadron_fromhh	std::vector<int32_t>
03_SingleTop_ntuple	gen_bhadron_px	std::vector<float>
03_SingleTop_ntuple	gen_bhadron_py	std::vector<float>
03_SingleTop_ntuple	gen_bhadron_pz	std::vector<float>
03_SingleTop_ntuple	gen_bhadron_energy	std::vector<float>
03_SingleTop_ntuple	gen_bhadron_mass	std::vector<float>
03_SingleTop_ntuple	gen_bhadron_pt	std::vector<float>
03_SingleTop_ntuple	gen_bhadron_eta	std::vector<float>
03_SingleTop_ntuple	gen_bhadron_phi	std::vector<float>
03_SingleTop_ntuple	gen_bhadron_charge	std::vector<int32_t>
03_SingleTop_ntuple	gen_bhadron_pid	std::vector<int32_t>
03_SingleTop_ntuple	genpart_pt	std::vector<float>
03_SingleTop_ntuple	genpart_eta	std::vector<float>
03_SingleTop_ntuple	genpart_phi	std::vector<float>
03_SingleTop_ntuple	genpart_energy	std::vector<float>
03_SingleTop_ntuple	genpart_pid	std::vector<int32_t>
03_SingleTop_ntuple	process_index	int32_t
03_SingleTop_ntuple	gen_weight	std::vector<float>
04_TTbar_forInfer2_ntuple	event_no	int32_t
04_TTbar_forInfer2_ntuple	event_class	int32_t
04_TTbar_forInfer2_ntuple	pass_selection	int32_t
04_TTbar_forInfer2_ntuple	pass_4j3b_selection	int32_t
04_TTbar_forInfer2_ntuple	pass_4j2b_selection	int32_t
04_TTbar_forInfer2_ntuple	pass_boosted_trigger	int32_t
04_TTbar_forInfer2_ntuple	HT	float
04_TTbar_forInfer2_ntuple	pfcand_sum_mass	float
04_TTbar_forInfer2_ntuple	pfcand_sum_HT	float
04_TTbar_forInfer2_ntuple	pfcand_sum_pt	float
