member_index	source_member_id	target_tag	dataset_split	generated_events	candidate_path	candidate_sha256	candidate_rows	schema_sha256	classification	canonical72_ready	include_in_future_dataset_v2_manifest	normalization_authorized
341	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard014_event_summary.parquet	ttbar_200k_shard014	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__014__ttbar_200k_shard014_pythia8_delphes_v2_hh4b_candidates.parquet	9435e7ae3238d876d3e37364d95b6d6288d6d96b8ed447985a89c7cd4e4183b1	48	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
342	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard016_event_summary.parquet	ttbar_200k_shard016	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__016__ttbar_200k_shard016_pythia8_delphes_v2_hh4b_candidates.parquet	db5735f6ec15f6e5cb88942c61d0d17be668833fcfa4a45e99e977db728d7575	29	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
343	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard017_event_summary.parquet	ttbar_200k_shard017	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__017__ttbar_200k_shard017_pythia8_delphes_v2_hh4b_candidates.parquet	e6e26ead542b18432972644e21dfb2146664985c834c8fe947f1093f28f132a9	36	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
344	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard018_event_summary.parquet	ttbar_200k_shard018	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__018__ttbar_200k_shard018_pythia8_delphes_v2_hh4b_candidates.parquet	5cd3bdc67c9aab57ea2e1815bd9594b6296674b147f1eecd5a9035d81f6be028	40	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
345	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard019_event_summary.parquet	ttbar_200k_shard019	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__019__ttbar_200k_shard019_pythia8_delphes_v2_hh4b_candidates.parquet	2b05ee8c87ec7a45184df6e1ce7608ff49a8e7310fff8402188dd59d84f3198e	42	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
346	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard000_event_summary.parquet	ttbar_100k_shard000	validation	10000	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/hh4b_ttbar27_canonical72_recovery_20260727_v1/runtime_candidates/ttbar_100k_shard000_pythia8_delphes_canonical72.parquet	ff2bed58c9a4a6ce5380b16324f18ff44bbd9a2a0f51f5990e390906086e7d09	29	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_reconstructed_from_retained_root	True	True	False
347	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard004_event_summary.parquet	ttbar_100k_shard004	validation	10000			0		exact_deterministic_regeneration_possible	False	False	False
348	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard005_event_summary.parquet	ttbar_100k_shard005	validation	10000			0		exact_deterministic_regeneration_possible	False	False	False
349	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard008_event_summary.parquet	ttbar_200k_shard008	validation	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__008__ttbar_200k_shard008_pythia8_delphes_v2_hh4b_candidates.parquet	0e6c568bfa1a942638dddd26eaccd4126f8651f93ea62ba4a496fe2406cf3377	35	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
350	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard015_event_summary.parquet	ttbar_200k_shard015	validation	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__015__ttbar_200k_shard015_pythia8_delphes_v2_hh4b_candidates.parquet	157619e15cd68250e17072d5683501d1353b744b266d4c6662286ce69fb66bd5	44	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
