signal_precut_yield	background_precut_yield	signal_postcut_yield	background_postcut_yield	signal_postcut_sumw2	background_postcut_sumw2	signal_precut_rows	background_precut_rows	signal_postcut_rows	background_postcut_rows	signal_physical_efficiency	background_physical_efficiency	signal_raw_efficiency	background_raw_efficiency	signal_over_background	signal_over_sqrt_background	asimov_significance_stat_only	signal_effective_events	background_effective_events	signal_mc_relative_uncertainty	background_mc_relative_uncertainty	replica
754.74825385232	62402334542.15351	416.33111635357864	20337021590.031788	5.467710607305472	2.1829057737564504e+16	90796	949027	47608	488507	0.5516158722177598	0.3259016147271524	0.5243402793074585	0.5147451020887709	2.0471587469703222e-08	0.0029194107050552988	0.002919410685600837	31700.945952155307	18946.967483698834	0.005616475763684196	0.00726490843782182	20
756.8490752384927	61377467477.7451	418.08950016886496	20065544363.477562	5.493110792379191	2.2304113062187256e+16	90952	976962	47706	493826	0.552408021423716	0.32692036977174305	0.5245184273023134	0.5054710418624265	2.083619026702577e-08	0.0029515067972417366	0.0029515068034797367	31821.464514052153	18051.651257331036	0.005605829935297062	0.007442888836764596	21
755.3056621328556	60890001037.898865	417.1890016935081	20011559819.186287	5.48249785052479	2.319190255641733e+16	90786	943541	47605	486116	0.552344597173331	0.3286510014465394	0.5243649901967263	0.5152038968099956	2.084740047567526e-08	0.002949119562234079	0.0029491195755229987	31745.86983510919	17267.342574534097	0.005612500392599745	0.007610045394396046	22
755.7018037681646	64274529962.075905	420.59563657031464	20681284615.10387	5.528916825113637	2.2033469249908736e+16	90509	947245	47730	487685	0.5565629650122492	0.32176485191422655	0.5273508711840812	0.5148456840627292	2.0337016988932447e-08	0.002924664186945459	0.002924664179670565	31995.54182086151	19412.08297611615	0.005590559390364916	0.007177346786940456	23
755.4072155694432	67340072985.628136	418.25672514048404	21725210342.73202	5.494941500499171	2.213094711770733e+16	90851	950630	47852	489699	0.5536837834216245	0.3226193465422686	0.5267085667741687	0.5151310183772866	1.9252136966324385e-08	0.002837663785491666	0.0028376637577169446	31836.314928803276	21326.91212561381	0.005604522330913266	0.006847562584381938	24
753.3860001632406	60697424654.158646	418.04335249732173	19619920065.88523	5.488645098380319	2.1902066205198708e+16	90593	972223	47791	490969	0.554886011163921	0.3232413924919463	0.5275352400295829	0.5049962817172603	2.1307087444469668e-08	0.0029845077093617455	0.0029845076982754275	31840.325150331028	17575.568432002805	0.005604169380939857	0.007543020882260558	25
750.2747980093793	65676140015.66338	414.8224179926271	20636053053.47468	5.450281543260671	2.1205848099357132e+16	90378	978843	47452	492556	0.552893978437273	0.3142092858769273	0.5250392794706676	0.5032022500033202	2.0101829401082083e-08	0.002887678908437043	0.002887678882180709	31572.24761756126	20081.568236770097	0.005627911375777634	0.007056692405235387	26
749.9904056921853	61344848280.836624	416.44587742394816	20092588455.348858	5.464880609333862	2.2812541014613436e+16	90375	943258	47660	485614	0.5552682731182402	0.3275350582556667	0.5273582295988934	0.514826272345424	2.0726342867640127e-08	0.002937924444451215	0.0029379244313873444	31734.850442513478	17696.937424787757	0.005613474731167025	0.007517110639142442	27
754.2294033643021	62609527521.504555	419.7244516020656	20461871601.848564	5.519269012770949	2.2841205039569104e+16	90415	939872	47719	484807	0.5564944163272477	0.3268172179517008	0.5277774705524526	0.5158223673010793	2.0512515168169998e-08	0.002934212701891123	0.0029342127163985874	31918.831074372516	18330.389693767018	0.005597273273842602	0.007386082445232604	28
750.024431629272	61022659772.73817	415.6345261984999	19950975825.43336	5.460471508583117	2.195616497141069e+16	90169	964449	47393	489677	0.5541613161795548	0.3269437271291548	0.5256019252736528	0.5077272100442843	2.08327918310969e-08	0.0029425885818629045	0.0029425885683488236	31636.839254029397	18128.91444864436	0.005622163302521683	0.007427011566093833	29
753.9100073141987	62088539503.300575	414.7516771288509	20089484541.940086	5.448917275904901	2.25092138385832e+16	90645	959897	47365	491262	0.5501341978552613	0.32356187957798793	0.5225329582436979	0.5117861603901251	2.0645212487308416e-08	0.00292619830219906	0.0029261982982611984	31569.38249766829	17929.87494165868	0.005628166754149435	0.007468121411400808	30
753.9472024172899	61865354074.51116	415.02870607370755	19850568402.482735	5.447762614880788	2.202281916333084e+16	90711	964768	47556	491650	0.5504744957512292	0.32086728831414335	0.5242583589641829	0.5096043815715281	2.0907648469239773e-08	0.002945721353290653	0.0029457213562837014	31618.26956165659	17892.580553799027	0.005623814033569121	0.007475900446794556	31
754.0919707604401	61867136488.157234	421.1410946748384	19965513298.87068	5.534473088655233	2.24830253627547e+16	90764	953520	48035	486253	0.5584744447685235	0.3227159754305508	0.5292296505222335	0.509955742931454	2.1093426869153404e-08	0.0029804880275080647	0.002980488022318147	32046.37890235295	17729.896882460373	0.005586123311524585	0.007510120323754141	32
