sample,version,event,mbb1,mbb2,mbb_avg,mass_distance_hh,in_hh_window_90_150
vbf_hh4b_smoke1000,R05,495,93.80543106881302,100.63334933738042,97.21939020309672,55.561219593806555,True
vbf_hh4b_smoke1000,R05,501,106.77536772840502,133.92498967498463,120.35017870169483,27.149621946579614,True
vbf_hh4b_smoke1000,R05,513,96.16324608060206,120.78515614238377,108.47420111149292,33.051597777014166,True
vbf_hh4b_smoke1000,R05,519,104.88984366932337,113.97824225462753,109.43404296197545,31.1319140760491,True
vbf_hh4b_smoke1000,R05,523,114.92733786860441,151.34931515008049,133.13832650934245,36.421977281476074,False
vbf_hh4b_smoke1000,R05,526,79.86023981787568,132.86336689787407,106.36180335787488,53.00312707999839,False
vbf_hh4b_smoke1000,R05,535,120.69735771560038,135.7373139781277,128.21733584686405,15.039956262527326,True
vbf_hh4b_smoke1000,R05,547,144.44082822634928,150.43250042140505,147.43666432387715,44.873328647754334,False
vbf_hh4b_smoke1000,R05,565,60.09725306004885,117.1367971951967,88.61702512762278,72.76594974475445,False
vbf_hh4b_smoke1000,R05,584,98.44874016162638,103.33515614347667,100.89194815255152,48.21610369489696,True
vbf_hh4b_smoke1000,R05,586,111.53997017823566,117.20165864295953,114.3708144105976,21.258371178804808,True
vbf_hh4b_smoke1000,R05,601,115.79929210885234,238.26983106974134,177.03456158929686,122.470538960889,False
vbf_hh4b_smoke1000,R05,608,105.61569051231743,121.02176612376897,113.3187283180432,23.362543363913602,True
vbf_hh4b_smoke1000,R05,624,100.14266581789057,220.8590945543501,160.50088018612033,120.71642873645952,False
vbf_hh4b_smoke1000,R05,639,94.29840045032832,117.49812165976702,105.89826105504767,38.20347788990466,True
vbf_hh4b_smoke1000,R05,659,107.60435899714288,111.86836110723029,109.73636005218658,30.527279895626833,True
vbf_hh4b_smoke1000,R05,662,101.6563510024877,113.41305482162473,107.53470291205622,34.93059417588758,True
vbf_hh4b_smoke1000,R05,687,106.60183636606675,127.07849891880085,116.8401676424338,20.476662552734098,True
vbf_hh4b_smoke1000,R05,699,68.1646203725905,130.26314278932193,99.21388158095621,62.09852241673143,False
vbf_hh4b_smoke1000,R05,707,124.42744036014511,175.49898001586328,149.9632101880042,51.07153965571817,False
vbf_hh4b_smoke1000,R05,721,423.24408519201796,729.6432749422129,576.4436800671155,902.8873601342309,False
vbf_hh4b_smoke1000,R05,746,126.25113538718712,163.37248398642666,144.8118096868069,39.62361937361378,False
vbf_hh4b_smoke1000,R05,759,127.98662920336855,245.7424794162306,186.8645543097996,123.72910861959915,False
vbf_hh4b_smoke1000,R05,780,105.87519567726098,120.13441054065565,113.00480310895831,23.990393782083373,True
vbf_hh4b_smoke1000,R05,786,123.12303912056957,206.1136528408796,164.6183459807246,82.99061372031004,False
vbf_hh4b_smoke1000,R05,804,132.35813008440778,377.45558856350436,254.90685932395607,259.81371864791214,False
vbf_hh4b_smoke1000,R05,838,87.0138909450708,148.06362147915823,117.53875621211452,61.04973053408743,False
vbf_hh4b_smoke1000,R05,849,109.175893338009,116.50446816273964,112.84018075037432,24.319638499251354,True
vbf_hh4b_smoke1000,R05,850,83.42161173276517,109.9801180837833,96.70086490827424,56.59827018345153,False
vbf_hh4b_smoke1000,R05,851,101.99560573319147,126.37659620597563,114.18610096958355,24.380990472784163,True
